PERMNO,date,TICKER,C2C,indexC2C,C2CindexAdj,C2CindexAdjFwd3Days,C2CindexAdjFwd5Days,C2CindexAdjFwd10Days,C2CindexAdjFwd1Day
59010,20010102,GPS,-0.00245100,-0.02800000,0.02554900,,,,0.14164600
59010,20010103,GPS,0.19164599,0.05000000,0.14164600,0.14748932,,,-0.01580400
59010,20010104,GPS,-0.02680400,-0.01100000,-0.01580400,0.06963035,,,-0.04179700
59010,20010105,GPS,-0.06779700,-0.02600000,-0.04179700,-0.06651399,0.08256198,,-0.01163600
59010,20010108,GPS,-0.01363600,-0.00200000,-0.01163600,-0.03102474,0.08235823,,0.02365000
59010,20010109,GPS,0.02765000,0.00400000,0.02365000,-0.00064752,-0.05733069,,-0.01224200
59010,20010110,GPS,-0.00224200,0.01000000,-0.01224200,0.04033597,-0.01674288,,0.02820200
59010,20010111,GPS,0.03820200,0.01000000,0.02820200,0.04431642,0.05672855,,0.02764500
59010,20010112,GPS,0.02164500,-0.00600000,0.02764500,0.04621612,0.05880620,0.14710896,-0.01023700
59010,20010116,GPS,-0.00423700,0.00600000,-0.01023700,-0.02577376,-0.01089301,0.07224181,-0.04242600
59010,20010117,GPS,-0.04042600,0.00200000,-0.04242600,-0.09415848,-0.04188238,-0.09725815,-0.04282500
59010,20010118,GPS,-0.02882500,0.01400000,-0.04282500,-0.12685782,-0.11149474,-0.12607515,-0.04622800
59010,20010119,GPS,-0.05022800,-0.00400000,-0.04622800,0.02775014,-0.02651035,0.02931330,0.12500000
59010,20010122,GPS,0.12500000,0.00000000,0.12500000,0.06639454,-0.02299238,0.03538379,-0.00659000
59010,20010123,GPS,0.00641000,0.01300000,-0.00659000,0.13780658,0.03815866,0.02740865,0.01610800
59010,20010124,GPS,0.01910800,0.00300000,0.01610800,0.08733086,0.16660041,0.12180764,0.07583300
59010,20010125,GPS,0.07083300,-0.00500000,0.07583300,0.08681299,0.21702374,0.08292413,-0.00578200
59010,20010126,GPS,-0.00778200,-0.00200000,-0.00578200,0.07237218,0.08382898,0.05618406,0.00225500
59010,20010129,GPS,0.00925500,0.00700000,0.00225500,0.00743441,0.10254428,0.07954051,0.01102900
59010,20010130,GPS,0.01802900,0.00700000,0.01102900,0.01478048,0.08574745,0.12945484,0.00142000
59010,20010131,GPS,-0.00458000,-0.00600000,0.00142000,0.01983759,0.01625906,0.18750969,0.00727000
59010,20010201,GPS,0.01227000,0.00500000,0.00727000,-0.00122432,0.01190262,0.23070078,-0.00966700
59010,20010202,GPS,-0.02666700,-0.01700000,-0.00966700,-0.05168294,-0.04006628,0.03916078,-0.04976600
59010,20010205,GPS,-0.04576600,0.00400000,-0.04976600,-0.07586742,-0.06791315,0.02534265,-0.01920700
59010,20010206,GPS,-0.02120700,-0.00200000,-0.01920700,-0.07367735,-0.07521582,0.00246638,-0.00666700
59010,20010207,GPS,-0.01466700,-0.00800000,-0.00666700,-0.11588678,-0.16485277,-0.15355190,-0.09379701
59010,20010208,GPS,-0.09979700,-0.00600000,-0.09379701,-0.07322981,-0.13457060,-0.12399786,0.02765600
59010,20010209,GPS,0.01465600,-0.01300000,0.02765600,-0.04528714,-0.06907265,-0.10519168,0.02540700
59010,20010212,GPS,0.03740700,0.01200000,0.02540700,0.09244468,-0.01604495,-0.08098388,0.03720400
59010,20010213,GPS,0.02820400,-0.00900000,0.03720400,0.06948326,-0.00427591,-0.07773516,0.00547200
59010,20010214,GPS,0.00347200,-0.00200000,0.00547200,0.05340836,0.10982045,-0.07560154,0.00999300
59010,20010215,GPS,0.01799300,0.00800000,0.00999300,0.03535167,0.10064517,-0.04858573,0.01968000
59010,20010216,GPS,0.00068000,-0.01900000,0.01968000,0.04180372,0.08469227,0.01099349,0.01224500
59010,20010220,GPS,-0.00475500,-0.01700000,0.01224500,-0.00676801,0.00779034,-0.00779065,-0.03792100
59010,20010221,GPS,-0.05692100,-0.01900000,-0.03792100,-0.02617905,0.00204690,-0.00206803,-0.00053500
59010,20010222,GPS,-0.00253500,-0.00200000,-0.00053500,-0.02871842,0.00214944,0.10543679,0.00999400
59010,20010223,GPS,0.00399400,-0.00600000,0.00999400,0.03748370,0.00922528,0.10797489,0.02784600
59010,20010226,GPS,0.04484600,0.01700000,0.02784600,0.03095775,-0.00933593,0.07338412,-0.00653800
59010,20010227,GPS,-0.01453800,-0.00800000,-0.00653800,-0.00956798,-0.00019465,0.00750070,-0.02920300
59010,20010228,GPS,-0.04320300,-0.01400000,-0.02920300,-0.07670193,-0.04313772,-0.03911488,-0.04395200
59010,20010301,GPS,-0.04295200,0.00100000,-0.04395200,-0.14474559,-0.12863974,-0.11887030,-0.08069000
59010,20010302,GPS,-0.08669000,-0.00600000,-0.08069000,-0.10338724,-0.13274134,-0.12133425,0.02088000
59010,20010305,GPS,0.02688000,0.00600000,0.02088000,-0.05100672,-0.11870254,-0.12473899,0.01249500
59010,20010306,GPS,0.02249500,0.01000000,0.01249500,0.07612236,-0.05705441,-0.05648780,0.04000000
59010,20010307,GPS,0.04600000,0.00600000,0.04000000,0.04530286,-0.02074014,-0.06354968,-0.00773600
59010,20010308,GPS,-0.00573600,0.00200000,-0.00773600,0.04318793,0.07868312,-0.06070345,0.01153800
59010,20010309,GPS,-0.01346200,-0.02500000,0.01153800,-0.02595449,0.02223199,-0.10728324,-0.03029400
59010,20010312,GPS,-0.07329400,-0.04300000,-0.03029400,-0.04091770,-0.01225937,-0.12408563,-0.02383500
59010,20010313,GPS,-0.00883500,0.01500000,-0.02383500,-0.03381885,-0.02945478,-0.08101109,0.01920900
59010,20010314,GPS,-0.00679100,-0.02600000,0.01920900,0.00461645,-0.01452099,-0.03372848,0.00895700
59010,20010315,GPS,0.01495700,0.00600000,0.00895700,0.02744326,-0.02552891,0.04588920,-0.00021100
59010,20010316,GPS,-0.02021100,-0.02000000,-0.00021100,0.02201446,0.01748066,0.03905295,0.01337100
59010,20010319,GPS,0.03137100,0.01800000,0.01337100,-0.00274996,0.02470594,0.01158656,-0.01516700
59010,20010320,GPS,-0.03916700,-0.02400000,-0.01516700,0.01314308,0.02142543,-0.00916048,0.01583200
59010,20010321,GPS,-0.00216800,-0.01800000,0.01583200,0.01581869,0.02828610,0.01200926,0.01616900
59010,20010322,GPS,0.01216900,-0.00400000,0.01616900,0.03402339,0.03112976,0.00293661,0.00146800
59010,20010323,GPS,0.02146800,0.02000000,0.00146800,0.02288338,0.02226598,0.03968938,0.00455300
59010,20010326,GPS,0.01555300,0.01100000,0.00455300,-0.02196521,0.01156970,0.03689064,-0.02724200
59010,20010327,GPS,-0.00124200,0.02600000,-0.02724200,-0.02247901,-0.00503992,0.01708032,-0.00003600
59010,20010328,GPS,-0.02403600,-0.02400000,-0.00003600,-0.01582241,-0.01030082,0.01896198,0.01094500
59010,20010329,GPS,0.00594500,-0.00500000,0.01094500,0.00120663,-0.02135204,0.00987367,-0.00973400
59010,20010330,GPS,0.00126600,0.01100000,-0.00973400,0.04306882,0.01552037,0.03778386,0.04151100
59010,20010402,GPS,0.02951100,-0.01200000,0.04151100,0.01694209,0.02690563,0.03899536,-0.01350200
59010,20010403,GPS,-0.04750200,-0.03400000,-0.01350200,0.03496468,0.03642882,0.03245953,0.00901900
59010,20010404,GPS,0.00601900,-0.00300000,0.00901900,-0.00220194,0.02985156,0.02001873,0.00300900
59010,20010405,GPS,0.04700900,0.04400000,0.00300900,0.04185842,0.06777114,0.04678459,0.02816300
59010,20010406,GPS,0.00816300,-0.02000000,0.02816300,-0.01421058,-0.01864041,-0.00342537,-0.04443700
59010,20010409,GPS,-0.03643700,0.00800000,-0.04443700,-0.07328675,-0.06457024,-0.03383058,-0.05809200
59010,20010410,GPS,-0.03109200,0.02700000,-0.05809200,-0.07039166,-0.04079156,-0.00202532,0.03322300
59010,20010411,GPS,0.03122300,-0.00200000,0.03322300,-0.05334462,-0.06889367,-0.04057173,-0.02719500
59010,20010412,GPS,-0.01219500,0.01500000,-0.02719500,-0.01123193,-0.11310733,-0.04692592,-0.01658300
59010,20010416,GPS,-0.01958300,-0.00300000,-0.01658300,-0.03384929,-0.06017576,-0.07817514,0.01040800
59010,20010417,GPS,0.02040800,0.01000000,0.01040800,0.03123733,0.03775964,-0.03099728,0.03802100
59010,20010418,GPS,0.07702100,0.03900000,0.03802100,0.06506150,0.01677386,-0.02683487,0.01347200
59010,20010419,GPS,0.02647200,0.01300000,0.01347200,0.05398701,0.04718376,-0.02712065,0.00130200
59010,20010420,GPS,-0.00769800,-0.00900000,0.00130200,0.02460873,0.07610147,-0.04641107,0.00995700
59010,20010423,GPS,-0.00504300,-0.01500000,0.00995700,0.01902697,0.07217320,0.01018146,0.00810100
59010,20010424,GPS,-0.00389900,-0.01200000,0.00810100,-0.00931048,0.00503859,0.04301007,-0.02774200
59010,20010425,GPS,-0.01174200,0.01600000,-0.02774200,0.02548023,0.03641789,0.05630516,0.04569300
59010,20010426,GPS,0.05069300,0.00500000,0.04569300,0.06771240,0.08565732,0.14159744,0.04832400
59010,20010427,GPS,0.06332400,0.01500000,0.04832400,0.08041065,0.05942329,0.14387458,-0.01472400
59010,20010430,GPS,-0.01772400,-0.00300000,-0.01472400,0.05265591,0.07240263,0.15433826,0.01884000
59010,20010501,GPS,0.03284000,0.01400000,0.01884000,0.00327414,0.10197289,0.10693235,-0.00030100
59010,20010502,GPS,0.00069900,0.00100000,-0.00030100,0.01897661,0.05233646,0.09028987,0.00068400
59010,20010503,GPS,-0.01431600,-0.01500000,0.00068400,-0.01795814,-0.01464395,0.07055343,-0.01860500
59010,20010504,GPS,-0.00460500,0.01400000,-0.01860500,0.00355631,0.02216409,0.08406612,0.02157300
59010,20010507,GPS,0.01957300,-0.00200000,0.02157300,0.00280455,0.00315815,0.07563571,-0.00009400
59010,20010508,GPS,-0.00209400,-0.00200000,-0.00009400,0.03289103,0.01476651,0.11778578,0.01134500
59010,20010509,GPS,0.00734500,-0.00400000,0.01134500,0.13723088,0.14216093,0.20391597,0.12534700
59010,20010510,GPS,0.12534700,-0.00000000,0.12534700,0.17321244,0.19741036,0.18222972,0.03237500
59010,20010511,GPS,0.02437500,-0.00800000,0.03237500,0.14773179,0.15967644,0.18701367,-0.01173500
59010,20010514,GPS,-0.00873500,0.00300000,-0.01173500,0.03186747,0.17304666,0.17599501,0.01124300
