PERMNO,date,TICKER,C2C,indexC2C,C2CindexAdj,C2CindexAdjFwd3Days,C2CindexAdjFwd5Days,C2CindexAdjFwd10Days,C2CindexAdjFwd1Day
88031,20010102,HANS,-0.01612900,-0.02800000,0.01187100,,,,0.01557400
88031,20010103,HANS,0.06557400,0.05000000,0.01557400,0.03901401,,,0.01100000
88031,20010104,HANS,0.00000000,-0.01100000,0.01100000,0.05412380,,,0.02600000
88031,20010105,HANS,0.00000000,-0.02600000,0.02600000,0.02325558,0.05109456,,-0.01338500
88031,20010108,HANS,-0.01538500,-0.00200000,-0.01338500,0.00867487,0.03571519,,-0.00400000
88031,20010109,HANS,0.00000000,0.00400000,-0.00400000,0.00337236,0.04052737,,0.02125000
88031,20010110,HANS,0.03125000,0.01000000,0.02125000,-0.02418030,-0.01094148,,-0.04030300
88031,20010111,HANS,-0.03030300,0.01000000,-0.04030300,0.04852063,0.03015428,,0.06850000
88031,20010112,HANS,0.06250000,-0.00600000,0.06850000,0.00518772,0.02273137,0.07579280,-0.02070600
88031,20010116,HANS,-0.01470600,0.00600000,-0.02070600,0.06053551,0.04039608,0.07888739,0.01292500
88031,20010117,HANS,0.01492500,0.00200000,0.01292500,-0.00741873,0.01930277,0.06118695,0.00070600
88031,20010118,HANS,0.01470600,0.01400000,0.00070600,-0.02688926,0.01932235,0.00795309,-0.03947800
88031,20010119,HANS,-0.04347800,-0.00400000,-0.03947800,-0.03935543,-0.04744761,-0.01893935,0.00000000
88031,20010122,HANS,0.00000000,0.00000000,0.00000000,-0.08141150,-0.06989552,-0.04986949,-0.04330300
88031,20010123,HANS,-0.03030300,0.01300000,-0.04330300,-0.01603900,-0.05555393,-0.01757388,0.02825000
88031,20010124,HANS,0.03125000,0.00300000,0.02825000,-0.01095881,-0.05039298,-0.03324731,0.00500000
88031,20010125,HANS,0.00000000,-0.00500000,0.00500000,0.00401095,-0.03923992,-0.02097114,-0.02830300
88031,20010126,HANS,-0.03030300,-0.00200000,-0.02830300,-0.03026407,-0.04630245,-0.09314735,-0.00700000
88031,20010129,HANS,0.00000000,0.00700000,-0.00700000,-0.04232387,-0.00998164,-0.08012790,-0.00700000
88031,20010130,HANS,0.00000000,0.00700000,-0.00700000,0.00766034,-0.01607051,-0.07120284,0.02162500
88031,20010131,HANS,0.01562500,-0.00600000,0.02162500,-0.02158753,-0.05643278,-0.10492542,-0.03576900
88031,20010201,HANS,-0.03076900,0.00500000,-0.03576900,-0.01323726,-0.02703314,-0.06528842,0.00112700
88031,20010202,HANS,-0.01587300,-0.01700000,0.00112700,-0.03802019,-0.02406654,-0.06930710,-0.00400000
88031,20010205,HANS,0.00000000,0.00400000,-0.00400000,-0.01670411,-0.03081835,-0.04063972,-0.01412900
88031,20010206,HANS,-0.01612900,-0.00200000,-0.01412900,-0.02623364,-0.05888622,-0.07377466,-0.00839300
88031,20010207,HANS,-0.01639300,-0.00800000,-0.00839300,-0.00020418,-0.00296122,-0.05763503,0.02266700
88031,20010208,HANS,0.01666700,-0.00600000,0.02266700,0.02677141,0.00870374,-0.01793011,0.01300000
88031,20010209,HANS,0.00000000,-0.01300000,0.01300000,0.04048227,0.01706201,-0.00712709,0.00439300
88031,20010212,HANS,0.01639300,0.01200000,0.00439300,-0.00624819,0.00756303,-0.02287154,-0.02325800
88031,20010213,HANS,-0.03225800,-0.00900000,-0.02325800,-0.01728003,0.01805250,-0.04115932,0.00200000
88031,20010214,HANS,0.00000000,-0.00200000,0.00200000,-0.01305879,0.00422226,0.00113951,0.00866700
88031,20010215,HANS,0.01666700,0.00800000,0.00866700,0.04646282,0.02666854,0.03485273,0.03539300
88031,20010216,HANS,0.01639300,-0.01900000,0.03539300,0.12796206,0.10315319,0.11955601,0.08151600
88031,20010220,HANS,0.06451600,-0.01700000,0.08151600,0.10317881,0.11500459,0.12031676,-0.01130300
88031,20010221,HANS,-0.03030300,-0.01900000,-0.01130300,0.05373452,0.09833793,0.11551780,-0.01362500
88031,20010222,HANS,-0.01562500,-0.00200000,-0.01362500,-0.01861834,0.09434199,0.09830434,0.00600000
88031,20010223,HANS,0.00000000,-0.00600000,0.00600000,-0.07137615,-0.00514066,0.02072043,-0.06461900
88031,20010226,HANS,-0.04761900,0.01700000,-0.06461900,-0.05042976,-0.07269889,0.02388564,0.00800000
88031,20010227,HANS,0.00000000,-0.00800000,0.00800000,-0.08997790,-0.09616886,0.01090574,-0.03600000
88031,20010228,HANS,-0.05000000,-0.01400000,-0.03600000,0.02091022,-0.03737889,0.05808315,0.05163200
88031,20010301,HANS,0.05263200,0.00100000,0.05163200,-0.01439680,-0.06912462,0.02198500,-0.02733300
88031,20010302,HANS,-0.03333300,-0.00600000,-0.02733300,0.03412401,0.00427871,-0.00089230,0.01124100
88031,20010305,HANS,0.01724100,0.00600000,0.01124100,-0.04329690,-0.03015293,-0.09987947,-0.02694900
88031,20010306,HANS,-0.01694900,0.01000000,-0.02694900,-0.00491565,0.01804827,-0.08173330,0.01124100
88031,20010307,HANS,0.01724100,0.00600000,0.01124100,-0.03504134,-0.05138895,-0.08699566,-0.01894900
88031,20010308,HANS,-0.01694900,0.00200000,-0.01894900,0.01718805,0.00140384,-0.06773512,0.02500000
88031,20010309,HANS,0.00000000,-0.02500000,0.02500000,0.04810984,0.03309444,0.03660746,0.04300000
