PERMNO,date,TICKER,C2C,indexC2C,C2CindexAdj,C2CindexAdjFwd3Days,C2CindexAdjFwd5Days,C2CindexAdjFwd10Days,C2CindexAdjFwd1Day
77219,20010102,HII,0.00000000,-0.02800000,0.02800000,,,,0.05000000
77219,20010103,HII,0.10000000,0.05000000,0.05000000,0.19062655,,,0.10190900
77219,20010104,HII,0.09090900,-0.01100000,0.10190900,0.18854968,,,0.02600000
77219,20010105,HII,0.00000000,-0.02600000,0.02600000,0.03864082,0.11883690,,-0.08133300
77219,20010108,HII,-0.08333300,-0.00200000,-0.08133300,0.02406011,0.18653522,,0.08690900
77219,20010109,HII,0.09090900,0.00400000,0.08690900,-0.01201162,0.11605242,,-0.01000000
77219,20010110,HII,0.00000000,0.01000000,-0.01000000,0.33945593,0.25444380,,0.23999999
77219,20010111,HII,0.25000000,0.01000000,0.23999999,0.31935430,0.31733484,,0.07266700
77219,20010112,HII,0.06666700,-0.00600000,0.07266700,0.24003665,0.33949311,0.49514858,-0.06850000
77219,20010116,HII,-0.06250000,0.00600000,-0.06850000,-0.06863072,0.14456313,0.36413407,-0.06866699
77219,20010117,HII,-0.06666700,0.00200000,-0.06866699,-0.14712457,0.14051513,0.27237661,-0.01400000
77219,20010118,HII,0.00000000,0.01400000,-0.01400000,-0.01196388,-0.01192723,0.24256964,0.07542900
77219,20010119,HII,0.07142900,-0.00400000,0.07542900,0.06148496,-0.08053571,0.21567721,0.00000000
77219,20010122,HII,0.00000000,0.00000000,0.00000000,0.06248101,-0.02511942,0.31376723,-0.01300000
77219,20010123,HII,0.00000000,0.01300000,-0.01300000,-0.08270605,-0.02614254,0.11784275,-0.06966700
77219,20010124,HII,-0.06666700,0.00300000,-0.06966700,0.38904063,0.49308505,0.71675262,0.50500000
77219,20010125,HII,0.50000000,-0.00500000,0.50500000,0.47067694,0.45772907,0.44569539,0.04961900
77219,20010126,HII,0.04761900,-0.00200000,0.04961900,0.71432441,0.58399969,0.46567550,0.08390900
77219,20010129,HII,0.09090900,0.00700000,0.08390900,0.03940758,0.46201759,0.43664746,-0.08700000
77219,20010130,HII,-0.08000000,0.00700000,-0.08700000,0.04658107,0.65622418,0.63005764,0.05672500
77219,20010131,HII,0.05072500,-0.00600000,0.05672500,-0.03929577,0.09378364,0.63917385,-0.00500000
77219,20010201,HII,0.00000000,0.00500000,-0.00500000,0.06149066,0.05148918,0.53131643,0.01010300
