PERMNO,date,TICKER,C2C,indexC2C,C2CindexAdj,C2CindexAdjFwd3Days,C2CindexAdjFwd5Days,C2CindexAdjFwd10Days,C2CindexAdjFwd1Day
12319,20010102,HM,0.01492500,-0.02800000,0.04292500,,,,-0.09411800
12319,20010103,HM,-0.04411800,0.05000000,-0.09411800,-0.05415053,,,-0.00438500
12319,20010104,HM,-0.01538500,-0.01100000,-0.00438500,-0.04086271,,,0.05725000
12319,20010105,HM,0.03125000,-0.02600000,0.05725000,0.10017907,0.04868664,,0.04745500
12319,20010108,HM,0.04545500,-0.00200000,0.04745500,0.10218529,0.00124054,,-0.00400000
12319,20010109,HM,0.00000000,0.00400000,-0.00400000,0.03344309,0.08668164,,-0.01000000
12319,20010110,HM,0.00000000,0.01000000,-0.01000000,-0.00968734,0.09819417,,0.00449300
12319,20010111,HM,0.01449300,0.01000000,0.00449300,0.07297782,0.12036562,,0.07742900
12319,20010112,HM,0.07142900,-0.00600000,0.07742900,0.12047178,0.10629195,0.15932688,0.03400000
12319,20010116,HM,0.04000000,0.00600000,0.03400000,0.08375073,0.07934653,0.08178132,-0.02764100
12319,20010117,HM,-0.02564100,0.00200000,-0.02764100,0.00454246,0.08979136,0.18426548,-0.00084200
12319,20010118,HM,0.01315800,0.01400000,-0.00084200,-0.02478436,0.08807295,0.19569523,0.00400000
12319,20010119,HM,0.00000000,-0.00400000,0.00400000,0.09531910,0.10196421,0.23840505,0.09090900
12319,20010122,HM,0.09090900,0.00000000,0.09090900,0.04300024,0.01334235,0.12404461,-0.04871400
12319,20010123,HM,-0.03571400,0.01300000,-0.04871400,-0.01603913,-0.01298471,0.06711884,-0.05238300
12319,20010124,HM,-0.04938300,0.00300000,-0.05238300,-0.08238743,0.00607192,0.09718819,0.01798700
12319,20010125,HM,0.01298700,-0.00500000,0.01798700,-0.02068028,0.01703743,0.10760124,0.01482100
12319,20010126,HM,0.01282100,-0.00200000,0.01482100,-0.00255793,-0.10171328,-0.01032329,-0.03484800
12319,20010129,HM,-0.02784800,0.00700000,-0.03484800,-0.01920018,-0.05393238,-0.04253119,0.00133300
12319,20010130,HM,0.00833300,0.00700000,0.00133300,-0.00543354,0.02765233,0.01501954,0.02872700
12319,20010131,HM,0.02272700,-0.00600000,0.02872700,0.04195368,0.02081672,0.02722565,0.01116200
12319,20010201,HM,0.01616200,0.00500000,0.01116200,0.05107076,0.01687498,0.03427889,0.01103600
12319,20010202,HM,-0.00596400,-0.01700000,0.01103600,-0.01206794,0.01759995,-0.08489126,-0.03400000
12319,20010205,HM,-0.03000000,0.00400000,-0.03400000,-0.04658791,-0.00873642,-0.06141887,-0.02480400
12319,20010206,HM,-0.02680400,-0.00200000,-0.02480400,-0.03197565,-0.01024562,0.01661524,0.02706800
12319,20010207,HM,0.01906800,-0.00800000,0.02706800,-0.02325078,-0.04477397,-0.02598004,-0.02518500
12319,20010208,HM,-0.03118500,-0.00600000,-0.02518500,0.02677139,-0.03116712,-0.01510571,0.02587600
12319,20010209,HM,0.01287600,-0.01300000,0.02587600,-0.00116653,0.00056760,0.01787318,-0.00140700
12319,20010212,HM,0.01059300,0.01200000,-0.00140700,0.03375113,0.03454991,0.02516619,0.00900000
12319,20010213,HM,0.00000000,-0.00900000,0.00900000,0.00546943,0.00557880,-0.00463964,-0.00219300
12319,20010214,HM,-0.00419300,-0.00200000,-0.00219300,-0.00531654,0.01924348,-0.02675695,-0.01221100
12319,20010215,HM,-0.00421100,0.00800000,-0.01221100,0.04038288,0.04841064,0.01485282,0.05494100
12319,20010216,HM,0.03594100,-0.01900000,0.05494100,0.03427770,0.04073311,0.04060692,-0.00749000
12319,20010220,HM,-0.02449000,-0.01700000,-0.00749000,0.09205445,0.07768804,0.11139088,0.04619700
12319,20010221,HM,0.02719700,-0.01900000,0.04619700,0.05189155,0.09465393,0.09878237,0.01422000
12319,20010222,HM,0.01222000,-0.00200000,0.01422000,0.15863563,0.20531924,0.22646231,0.09453100
12319,20010223,HM,0.08853100,-0.00600000,0.09453100,0.17034945,0.20874988,0.26380842,0.05324000
12319,20010226,HM,0.07024000,0.01700000,0.05324000,0.15815477,0.22532332,0.26578690,0.00454600
12319,20010227,HM,-0.00345400,-0.00800000,0.00454600,0.04407662,0.15780825,0.23910197,-0.01199700
12319,20010228,HM,-0.02599700,-0.01400000,-0.01199700,0.00018436,0.15108423,0.25176649,0.00789700
12319,20010301,HM,0.00889700,0.00100000,0.00789700,-0.00879405,0.04720799,0.25721160,-0.00458200
12319,20010302,HM,-0.01058200,-0.00600000,-0.00458200,0.02928569,0.02094542,0.22912739,0.02608600
