PERMNO,date,TICKER,C2C,indexC2C,C2CindexAdj,C2CindexAdjFwd3Days,C2CindexAdjFwd5Days,C2CindexAdjFwd10Days,C2CindexAdjFwd1Day
32707,20010102,HP,0.00000000,-0.02800000,0.02800000,,,,-0.09131100
32707,20010103,HP,-0.04131100,0.05000000,-0.09131100,-0.07917471,,,-0.01871800
32707,20010104,HP,-0.02971800,-0.01100000,-0.01871800,-0.08267572,,,0.02446900
32707,20010105,HP,-0.00153100,-0.02600000,0.02446900,0.01783805,-0.04241757,,0.01273600
32707,20010108,HP,0.01073600,-0.00200000,0.01273600,0.04396801,-0.06474781,,0.00662200
32707,20010109,HP,0.01062200,0.00400000,0.00662200,0.04626995,0.05040287,,0.02603600
32707,20010110,HP,0.03603600,0.01000000,0.02603600,0.04106954,0.07948143,,0.00739100
32707,20010111,HP,0.01739100,0.01000000,0.00739100,0.02505932,0.04534979,,-0.00824500
32707,20010112,HP,-0.01424500,-0.00600000,-0.00824500,-0.01865991,0.01379199,-0.03049450,-0.01756100
32707,20010116,HP,-0.01156100,0.00600000,-0.01756100,-0.06606707,-0.03561786,-0.09997023,-0.04147400
32707,20010117,HP,-0.03947400,0.00200000,-0.04147400,-0.10594023,-0.10731207,-0.05830177,-0.04900800
32707,20010118,HP,-0.03500800,0.01400000,-0.04900800,-0.08213967,-0.10594516,-0.03346563,0.00715500
32707,20010119,HP,0.00315500,-0.00400000,0.00715500,-0.01451019,-0.07294956,-0.03125724,0.02830200
32707,20010122,HP,0.02830200,0.00000000,0.02830200,0.06360734,-0.03096803,-0.01800438,0.02675500
32707,20010123,HP,0.03975500,0.01300000,0.02675500,0.08144539,0.03626244,-0.00077663,0.02347100
32707,20010124,HP,0.02647100,0.00300000,0.02347100,0.12818472,0.16816426,0.04646181,0.07233500
32707,20010125,HP,0.06733500,-0.00500000,0.07233500,0.09518743,0.15772943,0.03600809,-0.00202700
32707,20010126,HP,-0.00402700,-0.00200000,-0.00202700,0.09757457,0.15537656,0.07272752,0.02545300
32707,20010129,HP,0.03245300,0.00700000,0.02545300,0.00381774,0.10295938,0.07108007,-0.01911400
32707,20010130,HP,-0.01211400,0.00700000,-0.01911400,0.02297833,0.09501137,0.13723632,0.01678200
32707,20010131,HP,0.01078200,-0.00600000,0.01678200,-0.03269738,-0.01017421,0.15805495,-0.03030900
32707,20010201,HP,-0.02530900,0.00500000,-0.03030900,0.03259909,0.03904009,0.20261110,0.04682800
32707,20010202,HP,0.02982800,-0.01700000,0.04682800,0.05435663,0.05187623,0.21502703,0.03830000
32707,20010205,HP,0.04230000,0.00400000,0.03830000,0.09379634,0.07884537,0.18905647,0.00699800
32707,20010206,HP,0.00499800,-0.00200000,0.00699800,0.10854433,0.12470645,0.22996731,0.06051600
32707,20010207,HP,0.05251600,-0.00800000,0.06051600,0.05550782,0.14466249,0.13489749,-0.01119900
32707,20010208,HP,-0.01719900,-0.00600000,-0.01119900,0.07630243,0.12422638,0.16662302,0.02761500
32707,20010209,HP,0.01461500,-0.01300000,0.02761500,0.00506971,0.07263861,0.12687618,-0.01124200
32707,20010212,HP,0.00075800,0.01200000,-0.01124200,0.05139472,0.10103848,0.18433912,0.03447300
32707,20010213,HP,0.02547300,-0.00900000,0.03447300,0.02403519,0.04006801,0.16679726,0.00070500
32707,20010214,HP,-0.00129500,-0.00200000,0.00070500,-0.00863024,0.00772645,0.15267346,-0.04300000
32707,20010215,HP,-0.03500000,0.00800000,-0.04300000,-0.00850960,0.01431873,0.13869180,0.03416000
32707,20010216,HP,0.01516000,-0.01900000,0.03416000,0.02888792,0.06373020,0.13710418,0.03873900
32707,20010220,HP,0.02173900,-0.01700000,0.03873900,0.08681427,0.04371415,0.14323820,0.01474500
32707,20010221,HP,-0.00425500,-0.01900000,0.01474500,0.00017702,-0.00869859,0.02924110,-0.05188300
32707,20010222,HP,-0.05388300,-0.00200000,-0.05188300,-0.02348685,0.04658781,0.05400190,0.01405200
32707,20010223,HP,0.00805200,-0.00600000,0.01405200,-0.02968590,0.02333739,0.03736218,0.00969000
32707,20010226,HP,0.02669000,0.01700000,0.00969000,0.03685936,-0.00232574,0.06018557,0.01255400
32707,20010227,HP,0.00455400,-0.00800000,0.01255400,0.01616965,-0.02265403,0.02058759,-0.00583400
32707,20010228,HP,-0.01983400,-0.01400000,-0.00583400,0.01294009,0.03694829,0.02623136,0.00651600
32707,20010301,HP,0.00751600,0.00100000,0.00651600,0.04651422,0.07004872,0.11511100,0.04655100
32707,20010302,HP,0.04055100,-0.00600000,0.04655100,0.06667881,0.07217796,0.09475370,0.01238200
32707,20010305,HP,0.01838200,0.00600000,0.01238200,0.07419851,0.07382585,0.06999142,0.01310500
32707,20010306,HP,0.02310500,0.01000000,0.01310500,0.05339447,0.11053760,0.08353367,0.02628600
32707,20010307,HP,0.03228600,0.00600000,0.02628600,0.02901917,0.09154559,0.13160606,-0.01054600
32707,20010308,HP,-0.00854600,0.00200000,-0.01054600,0.03183115,0.05857256,0.13202608,0.01638100
32707,20010309,HP,-0.00861900,-0.02500000,0.01638100,0.00626562,0.04408700,0.11491161,0.00057300
32707,20010312,HP,-0.04242700,-0.04300000,0.00057300,-0.04446752,-0.03087665,0.03742056,-0.06421000
32707,20010313,HP,-0.04921000,0.01500000,-0.06421000,-0.05338543,-0.04683552,0.04935838,0.00651900
32707,20010314,HP,-0.01948100,-0.02600000,0.00651900,-0.09296238,-0.07209506,0.00495590,-0.03891800
32707,20010315,HP,-0.03291800,0.00600000,-0.03891800,-0.02651961,-0.08262788,-0.03271855,0.00469300
32707,20010316,HP,-0.01530700,-0.02000000,0.00469300,-0.01141698,-0.06719029,-0.02304718,0.02393100
32707,20010319,HP,0.04193100,0.01800000,0.02393100,0.07987825,0.04497344,0.01208716,0.05089400
32707,20010320,HP,0.02689400,-0.02400000,0.05089400,0.08445101,0.04763680,-0.00325220,0.00882400
32707,20010321,HP,-0.00917600,-0.01800000,0.00882400,0.03146355,0.05933642,-0.01787414,-0.02687000
32707,20010322,HP,-0.03087000,-0.00400000,-0.02687000,-0.00948596,0.06605439,-0.02574843,0.00906600
32707,20010323,HP,0.02906600,0.02000000,0.00906600,-0.02863861,0.03149989,-0.03700465,-0.00983900
32707,20010326,HP,0.00116100,0.01100000,-0.00983900,-0.03852183,-0.05585983,-0.00926653,-0.03643500
32707,20010327,HP,-0.01043500,0.02600000,-0.03643500,-0.06926824,-0.08793316,-0.03977755,-0.02403700
32707,20010328,HP,-0.04803700,-0.02400000,-0.02403700,-0.10767285,-0.11188695,-0.05222726,-0.05161500
32707,20010329,HP,-0.05661500,-0.00500000,-0.05161500,-0.07768083,-0.12268415,-0.06243996,-0.00425900
32707,20010330,HP,0.00674100,0.01100000,-0.00425900,-0.07715472,-0.13166518,-0.10240876,-0.02277300
32707,20010402,HP,-0.03477300,-0.01200000,-0.02277300,-0.02383204,-0.09189151,-0.14230206,0.00244900
32707,20010403,HP,-0.03155100,-0.03400000,0.00244900,0.02080904,-0.03371415,-0.11588047,0.04320300
32707,20010404,HP,0.04020300,-0.00300000,0.04320300,0.04620974,0.01762054,-0.09623941,-0.00002000
32707,20010405,HP,0.04398000,0.04400000,-0.00002000,0.06982837,0.04524513,-0.07891126,0.02361700
32707,20010406,HP,0.00361700,-0.02000000,0.02361700,0.03821932,0.08416927,-0.05809012,0.01277600
32707,20010409,HP,0.02077600,0.00800000,0.01277600,0.04251002,0.09190113,-0.01936483,0.00477600
32707,20010410,HP,0.03177600,0.02700000,0.00477600,-0.00664498,0.01849034,-0.01856134,-0.02336200
32707,20010411,HP,-0.02536200,-0.00200000,-0.02336200,-0.01560551,0.02211770,0.04071152,0.00400000
32707,20010412,HP,0.01900000,0.01500000,0.00400000,0.00657416,0.02509890,0.07287414,0.02651000
32707,20010416,HP,0.02351000,-0.00300000,0.02651000,0.01241447,-0.00728073,0.08032889,-0.01811900
32707,20010417,HP,-0.00811900,0.01000000,-0.01811900,-0.05840239,-0.07873278,0.00702258,-0.06595100
32707,20010418,HP,-0.02695100,0.03900000,-0.06595100,-0.12837814,-0.10093698,-0.08866916,-0.04459600
32707,20010419,HP,-0.03159600,0.01300000,-0.04459600,-0.09913271,-0.09205522,-0.07340811,0.01069500
32707,20010420,HP,0.00169500,-0.00900000,0.01069500,0.03210253,-0.05231608,-0.02996517,0.06745300
32707,20010423,HP,0.05245300,-0.01500000,0.06745300,0.08451912,-0.02663892,-0.03510259,0.00697600
32707,20010424,HP,-0.00502400,-0.01200000,0.00697600,0.04318674,0.00843621,-0.06987280,-0.03054200
32707,20010425,HP,-0.01454200,0.01600000,-0.03054200,0.01468607,0.09427398,-0.00749921,0.03886100
32707,20010426,HP,0.04386100,0.00500000,0.03886100,-0.00650318,0.06986840,-0.02589556,-0.01382200
32707,20010427,HP,0.00117800,0.01500000,-0.01382200,0.03299521,0.00865463,-0.04488102,0.00770700
32707,20010430,HP,0.00470700,-0.00300000,0.00770700,-0.05832293,-0.05219595,-0.07950260,-0.05186800
32707,20010501,HP,-0.03786800,0.01400000,-0.05186800,-0.13964086,-0.12062221,-0.11203745,-0.09858600
32707,20010502,HP,-0.09758600,0.00100000,-0.09858600,-0.12373940,-0.13053143,-0.04546584,0.02399300
32707,20010503,HP,0.00899300,-0.01500000,0.02399300,-0.08479603,-0.12625696,-0.06554504,-0.00909800
32707,20010504,HP,0.00490200,0.01400000,-0.00909800,-0.00870782,-0.15386243,-0.14965147,-0.02349900
32707,20010507,HP,-0.02549900,-0.00200000,-0.02349900,-0.04002812,-0.11265303,-0.16412893,-0.00755600
32707,20010508,HP,-0.00955600,-0.00200000,-0.00755600,0.01285819,0.02806558,-0.09392854,0.04512100
32707,20010509,HP,0.04112100,-0.00400000,0.04512100,0.01782439,-0.01504313,-0.14455881,-0.01875500
32707,20010510,HP,-0.01875500,-0.00000000,-0.01875500,0.01415042,-0.01678874,-0.13909687,-0.01100200
32707,20010511,HP,-0.01900200,-0.00800000,-0.01100200,-0.00054835,0.03641189,-0.12093451,0.03006500
32707,20010514,HP,0.03306500,0.00300000,0.03006500,0.03490268,0.06112258,-0.05765887,0.01622600
32707,20010515,HP,0.01622600,0.00000000,0.01622600,0.01323294,-0.01757651,0.01079802,-0.03324900
32707,20010516,HP,-0.00524900,0.02800000,-0.03324900,-0.00885600,0.01005743,-0.00546725,0.00821400
32707,20010517,HP,0.01121400,0.00300000,0.00821400,-0.01908520,0.02839178,0.01004861,0.00613200
32707,20010518,HP,0.00913200,0.00300000,0.00613200,-0.00451504,-0.02205054,0.01564765,-0.01880100
32707,20010521,HP,-0.00280100,0.01600000,-0.01880100,-0.06469714,-0.09065975,-0.03135452,-0.05166700
32707,20010522,HP,-0.05466700,-0.00300000,-0.05166700,-0.08638060,-0.07375455,-0.09176698,-0.01828600
32707,20010523,HP,-0.03428600,-0.01600000,-0.01828600,-0.10456131,-0.11775923,-0.11190907,-0.03968600
32707,20010524,HP,-0.03668600,0.00300000,-0.03968600,-0.04939422,-0.11508104,-0.09459495,0.00708600
32707,20010525,HP,-0.00491400,-0.01200000,0.00708600,-0.02114222,-0.08627221,-0.11001161,0.01145700
32707,20010529,HP,0.00345700,-0.00800000,0.01145700,0.02452968,-0.03183014,-0.11675140,0.00640400
32707,20010530,HP,-0.00959600,-0.01600000,0.00640400,-0.00568815,-0.03725286,-0.10637856,-0.02364000
32707,20010531,HP,-0.01764000,0.00600000,-0.02364000,-0.02732836,-0.00897115,-0.12264636,-0.01057600
32707,20010601,HP,-0.00657600,0.00400000,-0.01057600,-0.03346024,-0.01528713,-0.12736759,0.00085500
32707,20010604,HP,0.00585500,0.00500000,0.00085500,-0.02112605,-0.03790071,-0.12057364,-0.01122800
32707,20010605,HP,0.00177200,0.01300000,-0.01122800,-0.02723316,-0.06093514,-0.08843032,-0.01679200
32707,20010606,HP,-0.02779200,-0.01100000,-0.01679200,-0.05343671,-0.06324276,-0.09703327,-0.02605000
32707,20010607,HP,-0.02105000,0.00500000,-0.02605000,-0.02390841,-0.03436221,-0.04215954,0.01882200
32707,20010608,HP,0.00982200,-0.00900000,0.01882200,-0.00747790,-0.03487370,-0.04915276,-0.00014900
32707,20010611,HP,-0.00814900,-0.00800000,-0.00014900,0.01382095,-0.02837505,-0.06470550,-0.00471100
32707,20010612,HP,-0.00371100,0.00100000,-0.00471100,0.01162198,0.00423188,-0.05555468,0.01658700
32707,20010613,HP,0.00558700,-0.01100000,0.01658700,0.00636279,0.02437844,-0.03721642,-0.00528000
32707,20010614,HP,-0.02328000,-0.01800000,-0.00528000,0.01849561,0.01361730,-0.01978552,0.00770900
32707,20010615,HP,0.00270900,-0.00500000,0.00770900,-0.02987530,-0.01839435,-0.05113062,-0.03281700
32707,20010618,HP,-0.03781700,-0.00500000,-0.03281700,-0.02739319,-0.01600299,-0.04256314,-0.00215800
32707,20010619,HP,0.00084200,0.00300000,-0.00215800,-0.05883077,-0.05532505,-0.05018364,-0.02442800
32707,20010620,HP,-0.01542800,0.00900000,-0.02442800,-0.09390648,-0.11641986,-0.08940781,-0.06798000
32707,20010621,HP,-0.05698000,0.01100000,-0.06798000,-0.08132547,-0.11368981,-0.09690323,0.01020800
32707,20010622,HP,0.00120800,-0.00900000,0.01020800,-0.05287013,-0.07861483,-0.09275756,0.00479300
32707,20010625,HP,-0.00120700,-0.00600000,0.00479300,0.04712652,-0.04632232,-0.05998020,0.03221100
32707,20010626,HP,0.03021100,-0.00200000,0.03221100,-0.00757161,-0.06414309,-0.11427400,-0.04309400
32707,20010627,HP,-0.04809400,-0.00500000,-0.04309400,-0.07139180,-0.05637266,-0.16578475,-0.06005900
32707,20010628,HP,-0.04805900,0.01200000,-0.06005900,-0.10212069,-0.06790414,-0.17423800,-0.00158900
32707,20010629,HP,-0.00258900,-0.00100000,-0.00158900,-0.07716634,-0.08828073,-0.16174740,-0.01584000
