PERMNO,date,TICKER,C2C,indexC2C,C2CindexAdj,C2CindexAdjFwd3Days,C2CindexAdjFwd5Days,C2CindexAdjFwd10Days,C2CindexAdjFwd1Day
49373,20010102,HRB,-0.02719000,-0.02800000,0.00081000,,,,-0.05155300
49373,20010103,HRB,-0.00155300,0.05000000,-0.05155300,-0.03203162,,,0.01722100
49373,20010104,HRB,0.00622100,-0.01100000,0.01722100,-0.00368648,,,0.02909100
49373,20010105,HRB,0.00309100,-0.02600000,0.02909100,-0.02823373,-0.07481910,,-0.07350101
49373,20010108,HRB,-0.07550100,-0.00200000,-0.07350101,-0.04085595,-0.07402483,,0.00433300
49373,20010109,HRB,0.00833300,0.00400000,0.00433300,-0.06440074,-0.01840333,,0.00652900
49373,20010110,HRB,0.01652900,0.01000000,0.00652900,-0.00751392,-0.05274426,,-0.01813000
49373,20010111,HRB,-0.00813000,0.01000000,-0.01813000,-0.00571483,-0.07609217,,0.00600000
49373,20010112,HRB,0.00000000,-0.00600000,0.00600000,0.00954871,0.02085635,-0.05772246,0.02186900
49373,20010116,HRB,0.02786900,0.00600000,0.02186900,0.01934720,0.00764844,-0.06847578,-0.00838000
49373,20010117,HRB,-0.00638000,0.00200000,-0.00838000,0.02869468,0.01612433,-0.00346243,0.01489200
49373,20010118,HRB,0.02889200,0.01400000,0.01489200,0.01355338,0.04216988,-0.01361509,0.00712000
49373,20010119,HRB,0.00312000,-0.00400000,0.00712000,0.02376296,0.03770077,-0.04202933,0.00155500
49373,20010122,HRB,0.00155500,0.00000000,0.00155500,0.04565335,0.05302870,0.07679524,0.03668900
49373,20010123,HRB,0.04968900,0.01300000,0.03668900,0.00884365,0.03164102,0.04043079,-0.02814800
49373,20010124,HRB,-0.02514800,0.00300000,-0.02814800,0.01699069,0.02584509,0.04317354,0.00955200
49373,20010125,HRB,0.00455200,-0.00500000,0.00955200,-0.01965796,0.01750074,0.06099423,-0.00102100
49373,20010126,HRB,-0.00302100,-0.00200000,-0.00102100,0.05157099,0.06002434,0.10167385,0.04293900
49373,20010129,HRB,0.04993900,0.00700000,0.04293900,0.04175544,0.02197046,0.07724543,-0.00030400
49373,20010130,HRB,0.00669600,0.00700000,-0.00030400,0.04294406,0.05158420,0.08623502,0.00026600
49373,20010131,HRB,-0.00573400,-0.00600000,0.00026600,-0.00850239,0.03313028,0.06034446,-0.00846000
49373,20010201,HRB,-0.00346000,0.00500000,-0.00846000,0.00425077,0.04664030,0.06530031,0.01237000
49373,20010202,HRB,-0.00463000,-0.01700000,0.01237000,-0.00224782,-0.00228403,0.05713550,-0.00632600
49373,20010205,HRB,-0.00232600,0.00400000,-0.00632600,0.00300423,-0.00504502,0.01641148,-0.00312800
49373,20010206,HRB,-0.00512800,-0.00200000,-0.00312800,-0.02002263,-0.01587410,0.03394627,-0.01074400
49373,20010207,HRB,-0.01874400,-0.00800000,-0.01074400,-0.00085909,0.00517218,0.03757697,0.01316300
49373,20010208,HRB,0.00716300,-0.00600000,0.01316300,0.03005063,0.02064546,0.06700345,0.02817300
49373,20010209,HRB,0.01517300,-0.01300000,0.02817300,0.04392026,0.02918271,0.02666136,0.00201200
49373,20010212,HRB,0.01401200,0.01200000,0.00201200,0.03551308,0.03731114,0.03159966,0.00508500
49373,20010213,HRB,-0.00391500,-0.00900000,0.00508500,0.00098266,0.04240806,0.02538245,-0.00609200
49373,20010214,HRB,-0.00809200,-0.00200000,-0.00609200,0.02402827,0.05519444,0.05904153,0.02533300
49373,20010215,HRB,0.03333300,0.00800000,0.02533300,0.05821698,0.06585787,0.08601548,0.03862600
49373,20010216,HRB,0.01962600,-0.01900000,0.03862600,0.07225112,0.07042032,0.09932905,0.00815000
49373,20010220,HRB,-0.00885000,-0.01700000,0.00815000,0.04655516,0.06567959,0.10206432,0.00114300
49373,20010221,HRB,-0.01785700,-0.01900000,0.00114300,0.00685331,0.06955034,0.11160241,-0.00231800
49373,20010222,HRB,-0.00431800,-0.00200000,-0.00231800,0.00719381,0.05230748,0.10677061,0.00851100
49373,20010223,HRB,0.00251100,-0.00600000,0.00851100,0.00680610,0.01583448,0.08078657,0.00053200
49373,20010226,HRB,0.01753200,0.01700000,0.00053200,0.03462390,0.03271965,0.10289755,0.02500600
49373,20010227,HRB,0.01700600,-0.00800000,0.02500600,0.12775521,0.13366066,0.20079073,0.09870800
49373,20010228,HRB,0.08470800,-0.01400000,0.09870800,0.13748976,0.14924844,0.22125248,0.01117000
49373,20010301,HRB,0.01217000,0.00100000,0.01117000,0.13224609,0.16233347,0.21260403,0.02002800
49373,20010302,HRB,0.01402800,-0.00600000,0.02002800,0.03148989,0.15990134,0.17360000,-0.00007100
49373,20010305,HRB,0.00592900,0.00600000,-0.00007100,0.01308246,0.12639132,0.16084081,-0.00705300
49373,20010306,HRB,0.00294700,0.01000000,-0.00705300,0.00985977,0.04218947,0.18320957,0.01691900
49373,20010307,HRB,0.02291900,0.00600000,0.01691900,0.01432425,0.03505058,0.19186612,0.00431900
49373,20010308,HRB,0.00631900,0.00200000,0.00431900,0.02155089,0.01469914,0.17904030,0.00069400
49373,20010309,HRB,-0.02430600,-0.02500000,0.00069400,-0.00026789,0.00895624,0.16210006,-0.00505800
49373,20010312,HRB,-0.04805800,-0.04300000,-0.00505800,0.01560828,0.03630656,0.16144057,0.02147200
49373,20010313,HRB,0.03647200,0.01500000,0.02147200,0.03467704,0.03869282,0.07997996,0.02003600
49373,20010314,HRB,-0.00596400,-0.02600000,0.02003600,0.03574880,0.02895603,0.06302008,-0.00600000
49373,20010315,HRB,0.00000000,0.00600000,-0.00600000,0.03319246,0.04744747,0.06178876,0.01940000
49373,20010316,HRB,-0.00060000,-0.02000000,0.01940000,-0.00462566,0.03706586,0.04442925,-0.01840000
49373,20010319,HRB,-0.00040000,0.01800000,-0.01840000,0.00130358,0.01511451,0.04961700,-0.00002400
49373,20010320,HRB,-0.02402400,-0.02400000,-0.00002400,-0.01490757,-0.00170743,0.03557467,0.00282000
49373,20010321,HRB,-0.01518000,-0.01800000,0.00282000,-0.00364797,-0.00234586,0.02533130,-0.00662300
49373,20010322,HRB,-0.01062300,-0.00400000,-0.00662300,-0.00173695,-0.01963441,0.02778530,0.00210500
49373,20010323,HRB,0.02210500,0.02000000,0.00210500,0.02476874,0.02660935,0.06387562,0.02916500
49373,20010326,HRB,0.04016500,0.01100000,0.02916500,0.00512601,0.00106536,0.01667350,-0.02600000
49373,20010327,HRB,0.00000000,0.02600000,-0.02600000,0.01644528,0.01189955,0.00966984,0.01310900
49373,20010328,HRB,-0.01089100,-0.02400000,0.01310900,-0.01221067,0.01883992,0.01548761,-0.00000500
49373,20010329,HRB,-0.00500500,-0.00500000,-0.00000500,0.00948441,0.01269185,-0.00766470,-0.00375700
49373,20010330,HRB,0.00724300,0.01100000,-0.00375700,-0.00188231,-0.01405371,0.01227428,0.00181200
49373,20010402,HRB,-0.01018800,-0.01200000,0.00181200,0.00370467,0.01622689,0.01780766,0.00554400
49373,20010403,HRB,-0.02845600,-0.03400000,0.00554400,0.03127571,0.02778269,0.04029561,0.02501900
49373,20010404,HRB,0.02201900,-0.00300000,0.02501900,0.01369430,0.01175588,0.03122205,-0.01757700
