PERMNO,date,TICKER,C2C,indexC2C,C2CindexAdj,C2CindexAdjFwd3Days,C2CindexAdjFwd5Days,C2CindexAdjFwd10Days,C2CindexAdjFwd1Day
88832,20011029,IDNX,-0.07375000,-0.02400000,-0.04975000,,,,-0.07206900
88832,20011030,IDNX,-0.08906900,-0.01700000,-0.07206900,-0.09190826,,,0.02814800
88832,20011031,IDNX,0.02814800,-0.00000000,0.02814800,-0.02450309,,,0.02455000
88832,20011101,IDNX,0.04755000,0.02300000,0.02455000,0.01837525,-0.10316916,,-0.03326100
88832,20011102,IDNX,-0.03026100,0.00300000,-0.03326100,-0.03899279,-0.08482488,,-0.02818400
88832,20011105,IDNX,-0.01418400,0.01400000,-0.02818400,-0.06530915,-0.01455863,,-0.00348900
88832,20011106,IDNX,0.01151100,0.01500000,-0.00348900,-0.06725679,-0.07880871,,-0.03540700
88832,20011107,IDNX,-0.03840700,-0.00300000,-0.03540700,-0.02261179,-0.08352787,,0.01723100
88832,20011108,IDNX,0.01923100,0.00200000,0.01723100,0.00185293,-0.03023046,-0.13292864,0.02122200
88832,20011109,IDNX,0.02322200,0.00200000,0.02122200,0.14445405,0.10113339,0.00884491,0.10129099
88832,20011112,IDNX,0.09929100,-0.00200000,0.10129099,0.07098929,0.05030776,0.03757436,-0.04996800
88832,20011113,IDNX,-0.03096800,0.01900000,-0.04996800,0.05192568,0.09378769,0.01072789,0.00332600
88832,20011114,IDNX,0.00532600,0.00200000,0.00332600,-0.04657614,0.07518643,-0.01411354,0.00032400
88832,20011115,IDNX,0.00132400,0.00100000,0.00032400,0.01199036,0.06105840,0.03031541,0.00829100
88832,20011116,IDNX,0.00529100,-0.00300000,0.00829100,0.00956745,-0.03794483,0.06187521,0.00084200
88832,20011119,IDNX,0.01184200,0.01100000,0.00084200,0.02422061,0.02804030,0.08045961,0.01480200
88832,20011120,IDNX,0.00780200,-0.00700000,0.01480200,0.00504344,0.01369241,0.10878974,-0.01048400
88832,20011121,IDNX,-0.01548400,-0.00500000,-0.01048400,-0.02069786,-0.01182614,0.06280109,-0.02510600
88832,20011123,IDNX,-0.01310600,0.01200000,-0.02510600,0.08895377,0.10672808,0.17714798,0.12813000
88832,20011126,IDNX,0.13413000,0.00600000,0.12813000,0.15943422,0.16239800,0.12323938,0.05266700
88832,20011127,IDNX,0.04566700,-0.00700000,0.05266700,0.10932822,0.07156975,0.10155463,-0.06262700
88832,20011128,IDNX,-0.08062700,-0.01800000,-0.06262700,-0.04342506,0.05105956,0.06532958,-0.03070600
88832,20011129,IDNX,-0.02070600,0.01000000,-0.03070600,-0.05017830,0.12574198,0.11353750,0.04577600
88832,20011130,IDNX,0.04477600,-0.00100000,0.04577600,-0.03502213,-0.04744938,0.05085077,-0.04795200
88832,20011203,IDNX,-0.05595200,-0.00800000,-0.04795200,0.04088561,-0.05502872,0.09779436,0.04626900
88832,20011204,IDNX,0.05926900,0.01300000,0.04626900,0.03847305,0.05389843,0.13126073,0.04347600
88832,20011205,IDNX,0.06547600,0.02200000,0.04347600,0.04095997,0.03555933,0.08969889,-0.04616200
