PERMNO,date,TICKER,C2C,indexC2C,C2CindexAdj,C2CindexAdjFwd3Days,C2CindexAdjFwd5Days,C2CindexAdjFwd10Days,C2CindexAdjFwd1Day
79906,20010102,INCY,-0.09296500,-0.02800000,-0.06496499,,,,-0.02783900
79906,20010103,INCY,0.02216100,0.05000000,-0.02783900,-0.09417259,,,-0.00187300
79906,20010104,INCY,-0.01287300,-0.01100000,-0.00187300,-0.08070271,,,-0.05155700
79906,20010105,INCY,-0.07755700,-0.02600000,-0.05155700,-0.01556116,-0.10427995,,0.04069000
79906,20010108,INCY,0.03869000,-0.00200000,0.04069000,0.07828035,0.05024634,,0.09628700
79906,20010109,INCY,0.10028700,0.00400000,0.09628700,0.10703599,0.04411278,,-0.03083300
79906,20010110,INCY,-0.02083300,0.01000000,-0.03083300,0.04458807,0.02846501,,-0.01797900
79906,20010111,INCY,-0.00797900,0.01000000,-0.01797900,0.01206212,0.15661955,,0.06230000
79906,20010112,INCY,0.05630000,-0.00600000,0.06230000,0.02727018,0.09333561,-0.02495319,-0.01615200
79906,20010116,INCY,-0.01015200,0.00600000,-0.01615200,0.05969877,0.00914717,0.06108690,0.01338500
79906,20010117,INCY,0.01538500,0.00200000,0.01338500,0.04894297,0.09618976,0.14328084,0.05165700
79906,20010118,INCY,0.06565700,0.01400000,0.05165700,0.04701133,0.09531209,0.12640616,-0.01732700
79906,20010119,INCY,-0.02132700,-0.00400000,-0.01732700,0.09611740,0.09364103,0.26924952,0.06053300
79906,20010122,INCY,0.06053300,0.00000000,0.06053300,0.09294823,0.16718977,0.28251123,0.04864400
79906,20010123,INCY,0.06164400,0.01300000,0.04864400,0.12439704,0.16325211,0.17774014,0.00990300
79906,20010124,INCY,0.01290300,0.00300000,0.00990300,0.06438348,0.10919897,0.21941342,0.00500000
79906,20010125,INCY,0.00000000,-0.00500000,0.00500000,0.05777435,0.17750425,0.29270363,0.04234000
79906,20010126,INCY,0.04034000,-0.00200000,0.04234000,0.01490095,0.07532461,0.17887585,-0.03149000
79906,20010129,INCY,-0.02449000,0.00700000,-0.03149000,-0.05023713,-0.03578806,0.12618816,-0.05930100
79906,20010130,INCY,-0.05230100,0.00700000,-0.05930100,-0.09776092,-0.05399771,0.09917755,-0.00945300
79906,20010131,INCY,-0.01545300,-0.00600000,-0.00945300,-0.07290854,-0.06405719,0.03890269,-0.00500000
79906,20010201,INCY,0.00000000,0.00500000,-0.00500000,-0.16300293,-0.23864045,-0.10637708,-0.15116100
79906,20010202,INCY,-0.16816100,-0.01700000,-0.15116100,-0.19590234,-0.25013897,-0.19819915,-0.04712700
79906,20010205,INCY,-0.04312700,0.00400000,-0.04712700,-0.16657230,-0.17820431,-0.20881893,0.03016900
79906,20010206,INCY,0.02816900,-0.00200000,0.03016900,-0.02362628,-0.17478907,-0.21853529,-0.00569900
79906,20010207,INCY,-0.01369900,-0.00800000,-0.00569900,-0.01506176,-0.19991532,-0.25151744,-0.03844400
79906,20010208,INCY,-0.04444400,-0.00600000,-0.03844400,-0.07459952,-0.09107154,-0.30166871,-0.03351200
79906,20010209,INCY,-0.04651200,-0.01300000,-0.03351200,-0.07896177,-0.05617780,-0.28759318,-0.00895100
79906,20010212,INCY,0.00304900,0.01200000,-0.00895100,-0.05962234,-0.09933203,-0.25397094,-0.01835600
79906,20010213,INCY,-0.02735600,-0.00900000,-0.01835600,-0.11978881,-0.17916979,-0.31625500,-0.09487500
79906,20010214,INCY,-0.09687500,-0.00200000,-0.09487500,-0.09723497,-0.13531351,-0.30343861,0.01622100
79906,20010215,INCY,0.02422100,0.00800000,0.01622100,-0.11187077,-0.13606637,-0.21043152,-0.03505400
79906,20010216,INCY,-0.05405400,-0.01900000,-0.03505400,-0.04470223,-0.14677362,-0.19003124,-0.02585700
79906,20010220,INCY,-0.04285700,-0.01700000,-0.02585700,-0.09127084,-0.16103690,-0.23571346,-0.03697000
79906,20010221,INCY,-0.05597000,-0.01900000,-0.03697000,-0.08025088,-0.09699028,-0.24837066,-0.02171500
79906,20010222,INCY,-0.02371500,-0.00200000,-0.02171500,-0.01047713,-0.06682235,-0.18448242,0.05053400
79906,20010223,INCY,0.04453400,-0.00600000,0.05053400,0.10179538,0.03068890,-0.10617877,0.07214700
79906,20010226,INCY,0.08914700,0.01700000,0.07214700,0.09030574,0.02567253,-0.12318830,-0.03114600
79906,20010227,INCY,-0.03914600,-0.00800000,-0.03114600,0.04789508,0.07644643,-0.09846979,0.01029600
79906,20010228,INCY,-0.00370400,-0.01400000,0.01029600,-0.02446411,0.09627102,-0.01371702,-0.00378800
79906,20010301,INCY,-0.00278800,0.00100000,-0.00378800,0.06337989,0.10326216,0.02386746,0.05725800
79906,20010302,INCY,0.05125800,-0.00600000,0.05725800,0.01390562,-0.00752530,0.02249395,-0.03791500
79906,20010305,INCY,-0.03191500,0.00600000,-0.03791500,0.01519910,0.02169793,0.04745074,-0.00267400
79906,20010306,INCY,0.00732600,0.01000000,-0.00267400,-0.03634108,0.01641732,0.09520460,0.00490900
79906,20010307,INCY,0.01090900,0.00600000,0.00490900,-0.07303682,-0.05626608,0.03690253,-0.07394200
79906,20010308,INCY,-0.07194200,0.00200000,-0.07394200,-0.08099351,-0.11916316,-0.02713086,-0.01376000
79906,20010309,INCY,-0.03876000,-0.02500000,-0.01376000,-0.10400544,-0.10380213,-0.10799555,-0.02554800
79906,20010312,INCY,-0.06854800,-0.04300000,-0.02554800,-0.07110210,-0.13284054,-0.11458636,-0.03664500
79906,20010313,INCY,-0.02164500,0.01500000,-0.03664500,-0.05093800,-0.12573044,-0.11476259,0.00830100
79906,20010314,INCY,-0.01769900,-0.02600000,0.00830100,-0.05947660,-0.09077253,-0.13951797,-0.03302700
79906,20010315,INCY,-0.02702700,0.00600000,-0.03302700,-0.07529125,-0.12628880,-0.22221084,-0.05407400
79906,20010316,INCY,-0.07407400,-0.02000000,-0.05407400,-0.09822045,-0.12206454,-0.20627734,-0.01300000
79906,20010319,INCY,0.00500000,0.01800000,-0.01300000,-0.02462306,-0.04699153,-0.16535781,0.04390000
79906,20010320,INCY,0.01990000,-0.02400000,0.04390000,-0.05068430,-0.12857427,-0.22361550,-0.07956100
79906,20010321,INCY,-0.09756100,-0.01800000,-0.07956100,-0.04415116,-0.10512379,-0.17445744,-0.00681100
79906,20010322,INCY,-0.01081100,-0.00400000,-0.00681100,0.01212289,0.04378301,-0.08987066,0.11114800
79906,20010323,INCY,0.13114800,0.02000000,0.11114800,0.17247242,0.11967813,-0.01602490,0.06107700
79906,20010326,INCY,0.07207700,0.01100000,0.06107700,0.15377170,0.04692483,-0.00606377,-0.02672100
79906,20010327,INCY,-0.00072100,0.02600000,-0.02672100,0.09756018,0.21343744,0.04562472,0.06007500
79906,20010328,INCY,0.03607500,-0.02400000,0.06007500,0.02886544,0.21580339,0.07482116,-0.00474900
79906,20010329,INCY,-0.00974900,-0.00500000,-0.00474900,0.12570199,0.16806404,0.21853528,0.06846600
79906,20010330,INCY,0.07946600,0.01100000,0.06846600,-0.00988984,0.02350474,0.14505971,-0.06747900
79906,20010402,INCY,-0.07947900,-0.01200000,-0.06747900,-0.07812761,-0.02722765,0.01451676,-0.07357300
79906,20010403,INCY,-0.10757300,-0.03400000,-0.07357300,-0.09617087,-0.04285642,0.15107733,0.04423700
79906,20010404,INCY,0.04123700,-0.00300000,0.04423700,-0.05006489,-0.05497339,0.14839277,-0.01582000
79906,20010405,INCY,0.02818000,0.04400000,-0.01582000,0.07907752,-0.07061314,0.07983717,0.04666700
79906,20010406,INCY,0.02666700,-0.02000000,0.04666700,0.01667728,-0.01943745,0.00354431,-0.01521500
79906,20010409,INCY,-0.00721500,0.00800000,-0.01521500,0.06178464,0.09628755,0.05885194,0.02895900
79906,20010410,INCY,0.05595900,0.02700000,0.02895900,-0.01077900,0.02217665,-0.02502349,-0.02277600
79906,20010411,INCY,-0.02477600,-0.00200000,-0.02277600,0.01345931,0.04640491,-0.01243921,0.00828900
79906,20010412,INCY,0.02328900,0.01500000,0.00828900,-0.00855421,0.00428687,-0.06995507,0.00644800
79906,20010416,INCY,0.00344800,-0.00300000,0.00644800,-0.03195466,-0.02794913,-0.04757938,-0.04573900
79906,20010417,INCY,-0.03573900,0.01000000,-0.04573900,-0.03175911,-0.04742280,0.04740325,0.00946800
79906,20010418,INCY,0.04846800,0.03900000,0.00946800,0.05105707,0.06822539,0.09748575,0.08897100
79906,20010419,INCY,0.10197100,0.01300000,0.08897100,0.07813489,0.03452314,0.08581971,-0.02061100
79906,20010420,INCY,-0.02961100,-0.00900000,-0.02061100,0.02885062,-0.00879630,-0.00478589,-0.03331500
79906,20010423,INCY,-0.04831500,-0.01500000,-0.03331500,-0.12234765,-0.04214401,-0.07134102,-0.07617600
