PERMNO,date,TICKER,C2C,indexC2C,C2CindexAdj,C2CindexAdjFwd3Days,C2CindexAdjFwd5Days,C2CindexAdjFwd10Days,C2CindexAdjFwd1Day
56573,20010102,ITW,-0.00839500,-0.02800000,0.01960500,,,,-0.02354500
56573,20010103,ITW,0.02645500,0.05000000,-0.02354500,0.04833839,,,0.05017500
56573,20010104,ITW,0.03917500,-0.01100000,0.05017500,0.05944874,,,0.02996800
56573,20010105,ITW,0.00396800,-0.02600000,0.02996800,0.07987746,0.07864701,,0.00002400
56573,20010108,ITW,-0.00197600,-0.00200000,0.00002400,0.01116355,0.03944537,,-0.01885100
56573,20010109,ITW,-0.01485100,0.00400000,-0.01885100,-0.03770260,0.04163852,,-0.01904500
56573,20010110,ITW,-0.00904500,0.01000000,-0.01904500,-0.05883292,-0.02829374,,-0.02115600
56573,20010111,ITW,-0.01115600,0.01000000,-0.02115600,-0.04513478,-0.06342890,,-0.00528200
56573,20010112,ITW,-0.01128200,-0.00600000,-0.00528200,0.00423488,-0.03404399,0.04446566,0.03134400
56573,20010116,ITW,0.03734400,0.00600000,0.03134400,0.03701001,-0.00401294,0.03609198,0.01100000
56573,20010117,ITW,0.01300000,0.00200000,0.01100000,0.00588328,-0.02108100,0.02129869,-0.03571800
56573,20010118,ITW,-0.02171800,0.01400000,-0.03571800,-0.02196417,0.00345643,-0.02528794,0.00299100
56573,20010119,ITW,-0.00100900,-0.00400000,0.00299100,-0.02870087,0.01308350,-0.05210994,0.00404000
56573,20010122,ITW,0.00404000,0.00000000,0.00404000,0.01829703,-0.00711999,-0.04194865,0.01114500
56573,20010123,ITW,0.02414500,0.01300000,0.01114500,-0.00189740,-0.03502713,-0.03977864,-0.01675200
56573,20010124,ITW,-0.01375200,0.00300000,-0.01675200,0.02425262,0.03142998,0.01036258,0.02990000
56573,20010125,ITW,0.02490000,-0.00500000,0.02990000,0.02169302,0.03752780,0.04159244,0.00880300
56573,20010126,ITW,0.00680300,-0.00200000,0.00880300,0.02888383,0.02319661,0.03721130,-0.00993400
56573,20010129,ITW,-0.00293400,0.00700000,-0.00993400,-0.00412926,0.00880076,0.00176811,-0.00297300
56573,20010130,ITW,0.00402700,0.00700000,-0.00297300,0.00361891,0.04290614,0.00746561,0.01649100
56573,20010131,ITW,0.01049100,-0.00600000,0.01649100,0.03183200,0.03081085,0.06376733,0.01790100
56573,20010201,ITW,0.02290100,0.00500000,0.01790100,0.02017277,0.00746043,0.04517664,-0.01344800
56573,20010202,ITW,-0.03044800,-0.01700000,-0.01344800,0.00324821,0.01678716,0.04047513,-0.00061300
56573,20010205,ITW,0.00338700,0.00400000,-0.00061300,-0.01943604,0.01405121,0.02297458,-0.00551800
56573,20010206,ITW,-0.00751800,-0.00200000,-0.00551800,0.00063566,0.00444806,0.04677527,0.00676300
56573,20010207,ITW,-0.00123700,-0.00800000,0.00676300,0.00917282,-0.00494799,0.02476923,0.00801200
56573,20010208,ITW,0.00201200,-0.00600000,0.00801200,0.01363044,0.00758992,0.01488972,-0.00090200
56573,20010209,ITW,-0.01390200,-0.01300000,-0.00090200,0.01086355,0.01199801,0.02861398,0.00382100
56573,20010212,ITW,0.01582100,0.01200000,0.00382100,0.01848696,0.03307640,0.04672467,0.01563100
56573,20010213,ITW,0.00663100,-0.00900000,0.01563100,0.00569325,0.01263563,0.01683170,-0.01362500
56573,20010214,ITW,-0.01562500,-0.00200000,-0.01362500,0.01093447,0.01379936,0.00840678,0.00911800
56573,20010215,ITW,0.01711800,0.00800000,0.00911800,-0.00770387,0.01152911,0.01884225,-0.00303200
56573,20010216,ITW,-0.02203200,-0.01900000,-0.00303200,0.02095931,0.02260032,0.03402032,0.01527900
