PERMNO,date,TICKER,C2C,indexC2C,C2CindexAdj,C2CindexAdjFwd3Days,C2CindexAdjFwd5Days,C2CindexAdjFwd10Days,C2CindexAdjFwd1Day
52329,20010102,JEC,-0.00541300,-0.02800000,0.02258700,,,,-0.02823100
52329,20010103,JEC,0.02176900,0.05000000,-0.02823100,0.01498361,,,0.01898900
52329,20010104,JEC,0.00798900,-0.01100000,0.01898900,-0.03730040,,,-0.02816100
52329,20010105,JEC,-0.05416100,-0.02600000,-0.02816100,-0.00929602,-0.01364017,,0.00060300
52329,20010108,JEC,-0.00139700,-0.00200000,0.00060300,-0.05123755,-0.06108421,,-0.02497900
52329,20010109,JEC,-0.02097900,0.00400000,-0.02497900,-0.03715176,-0.04542978,,-0.01285700
52329,20010110,JEC,-0.00285700,0.01000000,-0.01285700,-0.03816590,-0.06424852,,0.00002900
52329,20010111,JEC,0.01002900,0.01000000,0.00002900,-0.01255066,-0.03694910,,0.00032600
52329,20010112,JEC,-0.00567400,-0.00600000,0.00032600,-0.02142508,-0.05910848,-0.07115832,-0.02169200
52329,20010116,JEC,-0.01569200,0.00600000,-0.02169200,-0.04026192,-0.05353168,-0.11341693,-0.01939100
52329,20010117,JEC,-0.01739100,0.00200000,-0.01939100,-0.02782988,-0.02758353,-0.07225471,0.01402400
52329,20010118,JEC,0.02802400,0.01400000,0.01402400,-0.01196326,-0.03320387,-0.09593787,-0.00604300
52329,20010119,JEC,-0.01004300,-0.00400000,-0.00604300,0.00775544,-0.03372709,-0.07063602,0.00000000
52329,20010122,JEC,0.00000000,0.00000000,0.00000000,0.00396409,-0.00193079,-0.06245654,0.01018800
52329,20010123,JEC,0.02318800,0.01300000,0.01018800,0.01874267,0.02695423,-0.02882403,0.00833100
52329,20010124,JEC,0.01133100,0.00300000,0.00833100,0.04411288,0.03756061,0.00973255,0.02460800
52329,20010125,JEC,0.01960800,-0.00500000,0.02460800,0.02950584,0.04033714,0.00597830,-0.00349500
52329,20010126,JEC,-0.00549500,-0.00200000,-0.00349500,0.04541648,0.06573808,0.03043985,0.02393900
52329,20010129,JEC,0.03093900,0.00700000,0.02393900,0.02094576,0.05517339,0.05450272,0.00050300
52329,20010130,JEC,0.00750300,0.00700000,0.00050300,0.04728361,0.06910828,0.09975671,0.02195700
52329,20010131,JEC,0.01595700,-0.00600000,0.02195700,0.04119715,0.06264730,0.10340655,0.01803700
52329,20010201,JEC,0.02303700,0.00500000,0.01803700,0.09801203,0.12598421,0.17235902,0.05609900
52329,20010202,JEC,0.03909900,-0.01700000,0.05609900,0.06258390,0.08649739,0.15883335,-0.01207700
52329,20010205,JEC,-0.00807700,0.00400000,-0.01207700,0.05250331,0.09435390,0.15478904,0.00855400
52329,20010206,JEC,0.00655400,-0.00200000,0.00855400,0.00917651,0.08442411,0.15819794,0.01273600
52329,20010207,JEC,0.00473600,-0.00800000,0.01273600,0.03181316,0.07586717,0.14229701,0.01051700
52329,20010208,JEC,0.00451700,-0.00600000,0.01051700,0.05676327,0.05320140,0.18253538,0.03352800
52329,20010209,JEC,0.02052800,-0.01300000,0.03352800,0.06370820,0.08558211,0.17739158,0.01865100
52329,20010212,JEC,0.03065100,0.01200000,0.01865100,0.08189506,0.10564523,0.20601054,0.02795900
52329,20010213,JEC,0.01895900,-0.00900000,0.02795900,0.06922807,0.11506698,0.20560608,0.02097100
52329,20010214,JEC,0.01897100,-0.00200000,0.02097100,0.03187991,0.08633314,0.16594482,-0.01713000
52329,20010215,JEC,-0.00913000,0.00800000,-0.01713000,0.00054234,0.04724771,0.10124282,-0.00304200
52329,20010216,JEC,-0.02204200,-0.01900000,-0.00304200,0.00898630,0.05722429,0.14342077,0.02937800
52329,20010220,JEC,0.01237800,-0.01700000,0.02937800,0.01515546,0.01878678,0.12085998,-0.01019700
52329,20010221,JEC,-0.02919700,-0.01900000,-0.01019700,0.03520489,0.01504111,0.12600516,0.01703800
52329,20010222,JEC,0.01503800,-0.00200000,0.01703800,0.04015749,0.06480787,0.15114814,0.03433300
52329,20010223,JEC,0.02833300,-0.00600000,0.03433300,0.07383043,0.09122279,0.14056195,0.02027700
52329,20010226,JEC,0.03727700,0.01700000,0.02027700,0.05089210,0.05653100,0.11376397,-0.00415300
52329,20010227,JEC,-0.01215300,-0.00800000,-0.00415300,0.01840558,0.07072429,0.08717296,0.00275200
52329,20010228,JEC,-0.01124800,-0.01400000,0.00275200,-0.00495844,0.04931302,0.06255812,-0.00366600
52329,20010301,JEC,-0.00266600,0.00100000,-0.00366600,0.02157221,0.03761208,0.10187865,0.02275300
52329,20010302,JEC,0.01675300,-0.00600000,0.02275300,0.01841111,0.01660515,0.10698175,-0.00074100
52329,20010305,JEC,0.00525900,0.00600000,-0.00074100,0.00678978,0.00581679,0.06239093,-0.01523100
