PERMNO,date,TICKER,C2C,indexC2C,C2CindexAdj,C2CindexAdjFwd3Days,C2CindexAdjFwd5Days,C2CindexAdjFwd10Days,C2CindexAdjFwd1Day
89105,20111206,JOY,0.00803100,0.00100000,0.00703100,,,,-0.00222100
89105,20111207,JOY,-0.00022100,0.00200000,-0.00222100,-0.00804045,,,-0.01264700
89105,20111208,JOY,-0.03364700,-0.02100000,-0.01264700,-0.01235167,,,0.00281400
89105,20111209,JOY,0.01981400,0.01700000,0.00281400,-0.02309962,-0.01856650,,-0.01330200
89105,20111212,JOY,-0.02830200,-0.01500000,-0.01330200,-0.02434099,-0.03822757,,-0.01376900
89105,20111213,JOY,-0.02276900,-0.00900000,-0.01376900,-0.11813783,-0.12621652,,-0.09674700
89105,20111214,JOY,-0.10774700,-0.01100000,-0.09674700,-0.12531812,-0.13479483,,-0.01930400
89105,20111215,JOY,-0.01630400,0.00300000,-0.01930400,-0.10588329,-0.12697123,,0.00993600
89105,20111216,JOY,0.01293600,0.00300000,0.00993600,-0.02561791,-0.12984314,-0.14339647,-0.01620300
89105,20111219,JOY,-0.02820300,-0.01200000,-0.01620300,0.01178236,-0.10628432,-0.13814458,0.01887100
89105,20111220,JOY,0.04887100,0.03000000,0.01887100,-0.01515196,-0.02487435,-0.15024267,-0.01648700
89105,20111221,JOY,-0.01448700,0.00200000,-0.01648700,0.00951286,0.00250239,-0.13683523,0.00762700
89105,20111222,JOY,0.01562700,0.00800000,0.00762700,-0.00957865,-0.00808212,-0.13850286,-0.00039400
89105,20111223,JOY,0.00860600,0.00900000,-0.00039400,-0.00992105,-0.00861150,-0.14356445,-0.01680700
89105,20111227,JOY,-0.01680700,0.00000000,-0.01680700,-0.02818747,-0.03728731,-0.14080533,-0.01114300
89105,20111228,JOY,-0.02314300,-0.01200000,-0.01114300,-0.02278539,-0.01605336,-0.04133863,0.00528800
89105,20111229,JOY,0.01628800,0.01100000,0.00528800,-0.00907367,-0.02625465,-0.02462008,-0.00302000
89105,20111230,JOY,-0.00702000,-0.00400000,-0.00302000,0.00163118,-0.02660238,-0.03553517,-0.00059400
89105,20120103,JOY,0.01440600,0.01500000,-0.00059400,0.02429199,0.01794966,0.00999096,0.02774500
89105,20120104,JOY,0.02774500,0.00000000,0.02774500,0.02050435,0.02292937,-0.01599214,-0.00683800
89105,20120105,JOY,-0.00383800,0.00300000,-0.00683800,0.01526285,0.01171893,-0.00451147,-0.00534800
89105,20120106,JOY,-0.00834800,-0.00300000,-0.00534800,-0.00186202,0.02566428,-0.00161285,0.01043400
89105,20120109,JOY,0.01243400,0.00200000,0.01043400,0.04377583,0.06578431,0.03778344,0.03858900
89105,20120110,JOY,0.04758900,0.00900000,0.03858900,0.05374168,0.04080974,0.06008928,0.00390800
89105,20120111,JOY,0.00390800,0.00000000,0.00390800,0.06381995,0.06911732,0.09559750,0.02001700
89105,20120112,JOY,0.02201700,0.00200000,0.02001700,0.01339086,0.06365001,0.07690405,-0.01023400
89105,20120113,JOY,-0.01523400,-0.00500000,-0.01023400,-0.01082970,0.03133534,0.05859347,-0.02019500
89105,20120117,JOY,-0.01619500,0.00400000,-0.02019500,-0.01187242,0.01206923,0.07956904,0.01922100
89105,20120118,JOY,0.03022100,0.01100000,0.01922100,0.01626039,0.02601313,0.06886659,0.01753800
89105,20120119,JOY,0.02253800,0.00500000,0.01753800,0.03157786,-0.00008395,0.07013494,-0.00554800
89105,20120120,JOY,-0.00454800,0.00100000,-0.00554800,0.02535713,0.02418390,0.09091160,0.01323800
89105,20120123,JOY,0.01323800,0.00000000,0.01323800,0.03953413,0.07903182,0.11413598,0.03163900
