PERMNO,date,TICKER,C2C,indexC2C,C2CindexAdj,C2CindexAdjFwd3Days,C2CindexAdjFwd5Days,C2CindexAdjFwd10Days,C2CindexAdjFwd1Day
26825,20010102,K,0.00238100,-0.02800000,0.03038100,,,,-0.05000000
26825,20010103,K,0.00000000,0.05000000,-0.05000000,-0.05699216,,,-0.03888100
26825,20010104,K,-0.04988100,-0.01100000,-0.03888100,-0.04470411,,,0.04350000
26825,20010105,K,0.01750000,-0.02600000,0.04350000,0.01488784,-0.00259171,,0.01182800
26825,20010108,K,0.00982800,-0.00200000,0.01182800,0.08155974,-0.00871427,,0.02519700
26825,20010109,K,0.02919700,0.00400000,0.02519700,0.02975699,0.03226916,,-0.00763600
26825,20010110,K,0.00236400,0.01000000,-0.00763600,-0.02174750,0.03444320,,-0.03830200
26825,20010111,K,-0.02830200,0.01000000,-0.03830200,-0.04471208,-0.00862816,,0.00114600
26825,20010112,K,-0.00485400,-0.00600000,0.00114600,-0.02175618,-0.00467897,-0.00723298,0.01595100
26825,20010116,K,0.02195100,0.00600000,0.01595100,0.02473563,-0.02210303,-0.03111492,0.00754700
26825,20010117,K,0.00954700,0.00200000,0.00754700,0.00714434,-0.03086790,0.00202517,-0.01636400
26825,20010118,K,-0.00236400,0.01400000,-0.01636400,-0.03821600,-0.02163528,0.01256969,-0.02917500
26825,20010119,K,-0.03317500,-0.00400000,-0.02917500,-0.05486095,-0.03266932,-0.04169390,-0.00980400
26825,20010122,K,-0.00980400,0.00000000,-0.00980400,-0.03975369,-0.04898527,-0.05473525,-0.00062400
26825,20010123,K,0.01237600,0.01300000,-0.00062400,0.00847046,-0.03796275,-0.06064362,0.01900500
26825,20010124,K,0.02200500,0.00300000,0.01900500,0.01626870,-0.02350257,-0.05447307,-0.00217700
26825,20010125,K,-0.00717700,-0.00500000,-0.00217700,0.05046548,0.04008206,0.01786432,0.03332500
26825,20010126,K,0.03132500,-0.00200000,0.03332500,0.00405807,0.02281219,-0.01071365,-0.02643900
26825,20010129,K,-0.01943900,0.00700000,-0.02643900,0.00928000,0.02630172,-0.02380022,0.00291200
26825,20010130,K,0.00991200,0.00700000,0.00291200,-0.02852490,0.00195205,-0.03606866,-0.00494700
26825,20010131,K,-0.01094700,-0.00600000,-0.00494700,0.02263067,0.02921447,0.00496929,0.02477100
26825,20010201,K,0.02977100,0.00500000,0.02477100,0.03915352,0.01543251,0.05610204,0.01959500
