PERMNO,date,TICKER,C2C,indexC2C,C2CindexAdj,C2CindexAdjFwd3Days,C2CindexAdjFwd5Days,C2CindexAdjFwd10Days,C2CindexAdjFwd1Day
46886,20010102,KLAC,0.01298700,-0.02800000,0.04098700,,,,0.20091601
46886,20010103,KLAC,0.25091600,0.05000000,0.20091601,0.17244492,,,-0.05635000
46886,20010104,KLAC,-0.06735000,-0.01100000,-0.05635000,0.07829351,,,-0.03993400
46886,20010105,KLAC,-0.06593400,-0.02600000,-0.03993400,-0.01553252,0.21735222,,0.08771399
46886,20010108,KLAC,0.08571400,-0.00200000,0.08771399,0.06644601,0.20265227,,0.02386400
46886,20010109,KLAC,0.02786400,0.00400000,0.02386400,0.05017267,-0.04952777,,-0.05819300
46886,20010110,KLAC,-0.04819300,0.01000000,-0.05819300,0.03619140,0.07979666,,0.07386100
46886,20010111,KLAC,0.08386100,0.01000000,0.07386100,-0.05162969,0.05795062,,-0.06115300
46886,20010112,KLAC,-0.06715300,-0.00600000,-0.06115300,-0.06850792,-0.10309084,0.09904389,-0.07485799
46886,20010116,KLAC,-0.06885800,0.00600000,-0.07485799,-0.05889866,-0.04921226,0.14728370,0.08371400
46886,20010117,KLAC,0.08571400,0.00200000,0.08371400,0.13123965,0.13998771,0.07871171,0.12686700
46886,20010118,KLAC,0.14086699,0.01400000,0.12686700,0.19643966,0.03770753,0.12129735,-0.02042300
46886,20010119,KLAC,-0.02442300,-0.00400000,-0.02042300,0.04578435,0.04925696,0.11189531,-0.05146000
46886,20010122,KLAC,-0.05146000,0.00000000,-0.05146000,-0.05236697,0.15975467,0.04146204,0.02072400
46886,20010123,KLAC,0.03372400,0.01300000,0.02072400,-0.02160273,0.08066860,0.02798298,0.01118400
46886,20010124,KLAC,0.01418400,0.00300000,0.01118400,0.01543336,-0.05711857,0.07434753,-0.01597900
46886,20010125,KLAC,-0.02097900,-0.00500000,-0.01597900,-0.01868417,-0.05066165,-0.01513172,-0.01371400
46886,20010126,KLAC,-0.01571400,-0.00200000,-0.01371400,-0.02093994,0.01039285,0.06113726,0.00896500
46886,20010129,KLAC,0.01596500,0.00700000,0.00896500,0.03797921,0.03257123,0.19994209,0.04300000
46886,20010130,KLAC,0.05000000,0.00700000,0.04300000,0.05734664,0.02565404,0.10913692,0.00463900
46886,20010131,KLAC,-0.00136100,-0.00600000,0.00463900,0.03975076,0.03473516,-0.02475431,-0.00772500
46886,20010201,KLAC,-0.00272500,0.00500000,-0.00772500,-0.06634175,-0.01900621,-0.06866120,-0.06360100
46886,20010202,KLAC,-0.08060100,-0.01700000,-0.06360100,-0.10767026,-0.06567425,-0.05708935,-0.03966100
46886,20010205,KLAC,-0.03566100,0.00400000,-0.03966100,-0.11473922,-0.11727723,-0.09021946,-0.01649000
46886,20010206,KLAC,-0.01849000,-0.00200000,-0.01649000,-0.08164323,-0.14545165,-0.12412541,-0.02810700
46886,20010207,KLAC,-0.03610700,-0.00800000,-0.02810700,-0.08423035,-0.17340176,-0.14759324,-0.04286000
46886,20010208,KLAC,-0.04886000,-0.00600000,-0.04286000,-0.07213050,-0.12227039,-0.13796517,-0.00412300
46886,20010209,KLAC,-0.01712300,-0.01300000,-0.00412300,0.02017893,-0.02454055,-0.08730632,0.07162400
46886,20010212,KLAC,0.08362400,0.01200000,0.07162400,0.02726963,-0.04354751,-0.15220889,-0.03601600
46886,20010213,KLAC,-0.04501600,-0.00900000,-0.03601600,0.20120464,0.14183155,-0.02418206,0.16361600
46886,20010214,KLAC,0.16161600,-0.00200000,0.16361600,0.14294089,0.21826381,0.00146437,0.01953600
46886,20010215,KLAC,0.02753600,0.00800000,0.01953600,0.13602528,0.17229701,0.02593773,-0.04023800
46886,20010216,KLAC,-0.05923800,-0.01900000,-0.04023800,-0.03725531,0.07561436,0.04887626,-0.01598400
46886,20010220,KLAC,-0.03298400,-0.01700000,-0.01598400,-0.04473133,0.12409559,0.07427618,0.00969800
46886,20010221,KLAC,-0.00930200,-0.01900000,0.00969800,0.02111365,-0.00093718,0.13392248,0.02860400
46886,20010222,KLAC,0.02660400,-0.00200000,0.02860400,0.10280568,0.04039950,0.25387509,0.06392700
46886,20010223,KLAC,0.05792700,-0.00600000,0.06392700,0.05059151,0.04210957,0.21655697,-0.04149600
46886,20010226,KLAC,-0.02449600,0.01700000,-0.04149600,-0.02720131,0.01045818,0.08508230,-0.04665300
46886,20010227,KLAC,-0.05465300,-0.00800000,-0.04665300,-0.17053273,-0.09164550,0.02386845,-0.09225000
46886,20010228,KLAC,-0.10625000,-0.01400000,-0.09225000,-0.04703691,-0.02787012,-0.02742439,0.10214700
46886,20010301,KLAC,0.10314700,0.00100000,0.10214700,0.01581149,-0.07045173,-0.02897541,0.01709400
46886,20010302,KLAC,0.01109400,-0.00600000,0.01709400,0.16686888,0.00765166,0.04899396,0.04102200
46886,20010305,KLAC,0.04702200,0.00600000,0.04102200,0.13108254,0.12818039,0.13761167,0.06784400
46886,20010306,KLAC,0.07784400,0.01000000,0.06784400,0.12204401,0.25918478,0.13880174,0.00788900
46886,20010307,KLAC,0.01388900,0.00600000,0.00788900,0.06873452,0.13250004,0.09907715,-0.00747900
46886,20010308,KLAC,-0.00547900,0.00200000,-0.00747900,-0.05642213,0.04685939,-0.02727455,-0.05626700
46886,20010309,KLAC,-0.08126700,-0.02500000,-0.05626700,-0.03083116,0.03806785,0.04483054,0.03250500
46886,20010312,KLAC,-0.01049500,-0.04300000,0.03250500,0.01849341,0.01895236,0.14368999,0.04712100
46886,20010313,KLAC,0.06212100,0.01500000,0.04712100,0.13186127,0.06064006,0.31695278,0.05167800
46886,20010314,KLAC,0.02567800,-0.02600000,0.05167800,0.00394369,-0.02026806,0.09963812,-0.08944900
46886,20010315,KLAC,-0.08344900,0.00600000,-0.08944900,-0.08007543,-0.00770322,0.03565430,-0.04373300
46886,20010316,KLAC,-0.06373300,-0.02000000,-0.04373300,-0.07455755,0.01992712,0.05745920,0.06465800
