PERMNO,date,TICKER,C2C,indexC2C,C2CindexAdj,C2CindexAdjFwd3Days,C2CindexAdjFwd5Days,C2CindexAdjFwd10Days,C2CindexAdjFwd1Day
12749,20010102,KM,0.02352900,-0.02800000,0.05152900,,,,-0.05000000
12749,20010103,KM,0.00000000,0.05000000,-0.05000000,0.15533205,,,0.14893100
12749,20010104,KM,0.13793100,-0.01100000,0.14893100,0.18395199,,,0.07650501
12749,20010105,KM,0.05050500,-0.02600000,0.07650501,0.24553652,0.25412967,,0.01161500
12749,20010108,KM,0.00961500,-0.00200000,0.01161500,0.05436286,0.15894870,,-0.03257100
12749,20010109,KM,-0.02857100,0.00400000,-0.03257100,-0.02162719,0.20905121,,-0.00019600
12749,20010110,KM,0.00980400,0.01000000,-0.00019600,-0.04322744,0.04484758,,-0.01000000
12749,20010111,KM,0.00000000,0.01000000,-0.01000000,0.05464769,0.03207734,,0.06425200
12749,20010112,KM,0.05825200,-0.00600000,0.06425200,0.17450180,0.13776133,0.43044087,0.11326601
12749,20010116,KM,0.11926600,0.00600000,0.11326601,0.10483140,0.09554298,0.27447790,-0.06757399
12749,20010117,KM,-0.06557400,0.00200000,-0.06757399,0.15218739,0.21656619,0.47091266,0.10880700
12749,20010118,KM,0.12280700,0.01400000,0.10880700,0.02082274,0.21137261,0.26529543,-0.01162500
12749,20010119,KM,-0.01562500,-0.00400000,-0.01162500,0.11286291,0.15627583,0.19644492,0.01587300
12749,20010122,KM,0.01587300,0.00000000,0.01587300,0.02230194,0.05684745,0.20727314,0.01825000
12749,20010123,KM,0.03125000,0.01300000,0.01825000,0.04745345,0.14929650,0.26490141,0.01215200
12749,20010124,KM,0.01515200,0.00300000,0.01215200,-0.03439571,-0.03035193,0.18034487,-0.06216400
12749,20010125,KM,-0.06716400,-0.00500000,-0.06216400,-0.04901878,-0.01687288,0.19262104,0.00200000
12749,20010126,KM,0.00000000,-0.00200000,0.00200000,-0.09249820,-0.06599885,0.08127295,-0.03420000
12749,20010129,KM,-0.02720000,0.00700000,-0.03420000,0.08109899,0.02517038,0.08464840,0.11668400
12749,20010130,KM,0.12368400,0.00700000,0.11668400,0.11203503,0.04385701,0.20098495,0.03059000
12749,20010131,KM,0.02459000,-0.00600000,0.03059000,0.20324780,0.16534156,0.13078132,0.04528600
12749,20010201,KM,0.05028600,0.00500000,0.04528600,0.05197054,0.13445668,0.11658791,-0.02217300
12749,20010202,KM,-0.03917300,-0.01700000,-0.02217300,-0.01243761,0.13481494,0.06254951,-0.03344500
12749,20010205,KM,-0.02944500,0.00400000,-0.03344500,-0.06656830,0.00434724,0.02926629,-0.01316900
12749,20010206,KM,-0.01516900,-0.00200000,-0.01316900,0.01281972,0.03403727,0.07862732,0.06131800
12749,20010207,KM,0.05331800,-0.00800000,0.06131800,0.03576124,-0.02018164,0.13684230,-0.01087300
12749,20010208,KM,-0.01687300,-0.00600000,-0.01087300,0.02440161,-0.02159977,0.10670493,-0.02361300
12749,20010209,KM,-0.03661300,-0.01300000,-0.02361300,-0.00972339,0.03689942,0.17412373,0.02600500
12749,20010212,KM,0.03800500,0.01200000,0.02600500,0.03989415,0.09030741,0.09349308,0.03874800
12749,20010213,KM,0.02974800,-0.00900000,0.03874800,0.03949341,0.00342916,0.03690684,-0.02466700
12749,20010214,KM,-0.02666700,-0.00200000,-0.02466700,0.05570040,0.05685345,0.03397316,0.04222800
12749,20010215,KM,0.05022800,0.00800000,0.04222800,-0.00020472,0.06490630,0.04051477,-0.01578300
12749,20010216,KM,-0.03478300,-0.01900000,-0.01578300,0.07362430,0.08669133,0.12388481,0.04853200
12749,20010220,KM,0.03153200,-0.01700000,0.04853200,0.02247704,0.03833724,0.12682307,-0.00829300
12749,20010221,KM,-0.02729300,-0.01900000,-0.00829300,0.07814619,0.10313203,0.10488728,0.03903700
12749,20010222,KM,0.03703700,-0.00200000,0.03903700,0.03011103,0.06046864,0.11700497,0.00058900
12749,20010223,KM,-0.00541100,-0.00600000,0.00058900,0.04611847,0.08567637,0.15350313,0.00585100
12749,20010226,KM,0.02285100,0.01700000,0.00585100,0.02749260,0.05751127,0.14538759,0.02076600
12749,20010227,KM,0.01276600,-0.00800000,0.02076600,0.02267062,0.06258927,0.09979427,-0.00385700
12749,20010228,KM,-0.01785700,-0.01400000,-0.00385700,0.01665415,0.02322666,0.12657532,0.00006900
12749,20010301,KM,0.00106900,0.00100000,0.00006900,-0.00417357,0.02220921,0.08203452,-0.00041000
12749,20010302,KM,-0.00641000,-0.00600000,-0.00041000,-0.01058999,0.00605136,0.09028759,-0.01030100
12749,20010305,KM,-0.00430100,0.00600000,-0.01030100,-0.01423733,-0.01782904,0.03879865,-0.00352100
12749,20010306,KM,0.00647900,0.01000000,-0.00352100,-0.00065179,-0.00099785,0.06260865,0.01331300
12749,20010307,KM,0.01931300,0.00600000,0.01331300,0.02294396,0.01185870,0.03565874,0.01273700
12749,20010308,KM,0.01473700,0.00200000,0.01273700,0.04723139,0.03366214,0.05624309,0.02085100
12749,20010309,KM,-0.00414900,-0.02500000,0.02085100,0.02821723,0.03816435,0.04334447,-0.00387500
12749,20010312,KM,-0.04687500,-0.04300000,-0.00387500,-0.00412439,0.02066337,0.00320860,-0.02155700
12749,20010313,KM,-0.00655700,0.01500000,-0.02155700,-0.03776601,-0.00639652,-0.00742143,-0.01470400
12749,20010314,KM,-0.04070400,-0.02600000,-0.01470400,-0.03716428,-0.01926766,-0.00883938,-0.00141300
12749,20010315,KM,0.00458700,0.00600000,-0.00141300,0.00014851,-0.02336587,0.00727845,0.01657500
12749,20010316,KM,-0.00342500,-0.02000000,0.01657500,0.01128221,-0.02498115,0.01318207,-0.00425400
12749,20010319,KM,0.01374600,0.01800000,-0.00425400,0.04571014,0.02832774,0.04734300,0.03304000
12749,20010320,KM,0.00904000,-0.02400000,0.03304000,0.02317174,0.03809337,0.02881288,-0.00551600
12749,20010321,KM,-0.02351600,-0.01800000,-0.00551600,0.01715429,0.02939085,0.00835841,-0.00976100
12749,20010322,KM,-0.01376100,-0.00400000,-0.00976100,-0.02786765,0.00076672,-0.02246340,-0.01302300
12749,20010323,KM,0.00697700,0.02000000,-0.01302300,0.00845586,0.03593936,0.01016957,0.03172500
12749,20010326,KM,0.04272500,0.01100000,0.03172500,0.02336321,0.00660255,0.03580077,0.00390000
12749,20010327,KM,0.02990000,0.02600000,0.00390000,0.06151119,0.03800547,0.07718484,0.02400000
12749,20010328,KM,0.00000000,-0.02400000,0.02400000,0.07229007,0.09461639,0.12308672,0.04263400
12749,20010329,KM,0.03763400,-0.00500000,0.04263400,0.02894968,0.06703913,0.06728255,-0.03690700
12749,20010330,KM,-0.02590700,0.01100000,-0.03690700,0.02548083,0.05459188,0.09147063,0.02051100
12749,20010402,KM,0.00851100,-0.01200000,0.02051100,-0.01050232,0.05328223,0.06167677,0.00551900
12749,20010403,KM,-0.02848100,-0.03400000,0.00551900,0.02505164,0.02989508,0.06826242,-0.00025700
12749,20010404,KM,-0.00325700,-0.00300000,-0.00025700,-0.03079456,-0.04682692,0.04248293,-0.03746400
12749,20010405,KM,0.00653600,0.04400000,-0.03746400,-0.03850845,-0.01184168,0.05241204,-0.00164500
12749,20010406,KM,-0.02164500,-0.02000000,-0.00164500,-0.04982391,-0.04283000,0.00925913,-0.01131900
12749,20010409,KM,-0.00331900,0.00800000,-0.01131900,-0.07295343,-0.11134714,-0.05400497,-0.06140600
12749,20010410,KM,-0.03440600,0.02700000,-0.06140600,-0.06522559,-0.10387320,-0.07093285,0.00774700
12749,20010411,KM,0.00574700,-0.00200000,0.00774700,-0.06362776,-0.07528952,-0.12021334,-0.00928600
12749,20010412,KM,0.00571400,0.01500000,-0.00928600,0.00615999,-0.06762174,-0.07741246,0.00754500
12749,20010416,KM,0.00454500,-0.00300000,0.00754500,-0.03693249,-0.09085716,-0.13122011,-0.03488700
12749,20010417,KM,-0.02488700,0.01000000,-0.03488700,-0.00078826,-0.00234174,-0.12021906,0.02828500
12749,20010418,KM,0.06728500,0.03900000,0.02828500,-0.00534062,-0.00717078,-0.11857551,0.00330400
12749,20010419,KM,0.01630400,0.01300000,0.00330400,0.03469121,0.00537624,-0.07395669,0.00258300
12749,20010420,KM,-0.00641700,-0.00900000,0.00258300,0.01226238,0.00419208,-0.06606924,0.00638900
12749,20010423,KM,-0.00861100,-0.01500000,0.00638900,-0.00399317,0.02670282,-0.06667853,-0.01297300
12749,20010424,KM,-0.02497300,-0.01200000,-0.01297300,0.00479117,0.01067108,0.00895997,0.01184000
12749,20010425,KM,0.02784000,0.01600000,0.01184000,-0.00556988,0.00348426,-0.00333826,-0.00391700
12749,20010426,KM,0.00108300,0.00500000,-0.00391700,0.05714535,0.04845117,0.05657143,0.04777100
12749,20010427,KM,0.06277100,0.01500000,0.04777100,0.06640889,0.06488907,0.07188464,0.02133000
12749,20010430,KM,0.01833000,-0.00300000,0.02133000,0.08534988,0.09589985,0.12788289,0.01300000
12749,20010501,KM,0.02700000,0.01400000,0.01300000,0.07357094,0.12264553,0.13406111,0.03697500
12749,20010502,KM,0.03797500,0.00100000,0.03697500,0.06621132,0.14193903,0.14379437,0.01500000
12749,20010503,KM,0.00000000,-0.01500000,0.01500000,0.02650157,0.06257544,0.11511720,-0.02525700
12749,20010504,KM,-0.01125700,0.01400000,-0.02525700,0.00226907,0.05324141,0.12346034,0.01243600
12749,20010507,KM,0.01043600,-0.00200000,0.01243600,-0.01088658,0.04120710,0.14262310,0.00200000
12749,20010508,KM,0.00000000,-0.00200000,0.00200000,0.00228745,-0.00770519,0.11262066,-0.01196200
12749,20010509,KM,-0.01596200,-0.00400000,-0.01196200,0.03697837,0.02411053,0.17059351,0.04771000
12749,20010510,KM,0.04771000,-0.00000000,0.04771000,-0.00774953,0.00642888,0.06847973,-0.04118000
12749,20010511,KM,-0.04918000,-0.00800000,-0.04118000,0.00693256,-0.00309803,0.04935710,0.00274700
12749,20010514,KM,0.00574700,0.00300000,0.00274700,-0.07512136,-0.04263847,-0.00338006,-0.03809500
12749,20010515,KM,-0.03809500,0.00000000,-0.03809500,-0.06077773,-0.05623218,-0.06316382,-0.02503000
12749,20010516,KM,0.00297000,0.02800000,-0.02503000,-0.02346550,-0.06233409,-0.03947020,0.04142200
12749,20010517,KM,0.04442200,0.00300000,0.04142200,0.06285156,0.02402210,0.03046275,0.04425900
12749,20010518,KM,0.04725900,0.00300000,0.04425900,0.17532716,0.10451291,0.09978578,0.07876500
12749,20010521,KM,0.09476500,0.01600000,0.07876500,0.11349858,0.13559530,0.08392597,-0.01183900
12749,20010522,KM,-0.01483900,-0.00300000,-0.01183900,0.04386928,0.13546894,0.07455877,-0.01914600
12749,20010523,KM,-0.03514600,-0.01600000,-0.01914600,-0.03592791,0.08422253,0.01864975,-0.00560200
12749,20010524,KM,-0.00260200,0.00300000,-0.00560200,-0.01778569,0.04475344,0.07122446,0.00678300
12749,20010525,KM,-0.00521700,-0.01200000,0.00678300,0.01436234,-0.01634195,0.08191402,0.01324500
12749,20010529,KM,0.00524500,-0.00800000,0.01324500,0.01558615,-0.00873364,0.11873043,-0.00400000
12749,20010530,KM,-0.02000000,-0.01600000,-0.00400000,0.00402913,0.00520609,0.13775199,-0.00511300
12749,20010531,KM,0.00088700,0.00600000,-0.00511300,-0.03299422,-0.01321175,0.06767903,-0.02439000
12749,20010601,KM,-0.02039000,0.00400000,-0.02439000,-0.04346848,-0.03367461,0.00957484,-0.01405000
12749,20010604,KM,-0.00905000,0.00500000,-0.01405000,-0.06025754,-0.06833953,-0.08132531,-0.02213200
12749,20010605,KM,-0.00913200,0.01300000,-0.02213200,-0.03492019,-0.06398639,-0.06922714,0.00086200
12749,20010606,KM,-0.01013800,-0.01100000,0.00086200,-0.01143150,-0.04963528,-0.04326995,0.00989800
12749,20010607,KM,0.01489800,0.00500000,0.00989800,0.04725932,0.01078203,-0.00288852,0.03652300
12749,20010608,KM,0.02752300,-0.00900000,0.03652300,0.02504895,0.00378680,-0.02970727,-0.02057100
12749,20010611,KM,-0.02857100,-0.00800000,-0.02057100,0.00768835,0.01821766,-0.04965469,-0.00743400
12749,20010612,KM,-0.00643400,0.00100000,-0.00743400,0.03578817,0.08335651,0.01685160,0.06557900
12749,20010613,KM,0.05457900,-0.01100000,0.06557900,0.07194788,0.08648953,0.03613890,0.01449100
12749,20010614,KM,-0.00350900,-0.01800000,0.01449100,0.08453649,0.05471573,0.06580464,0.00500000
12749,20010615,KM,0.00000000,-0.00500000,0.00500000,0.02516338,0.08256409,0.08568110,0.00588000
12749,20010618,KM,0.00088000,-0.00500000,0.00588000,0.03253259,0.11331014,0.13046154,0.02162600
12749,20010619,KM,0.02462600,0.00300000,0.02162600,-0.00608670,0.01347084,0.09631290,-0.03303400
12749,20010620,KM,-0.02403400,0.00900000,-0.03303400,0.01465986,0.02577915,0.11447693,0.02681900
12749,20010621,KM,0.03781900,0.01100000,0.02681900,0.00195797,0.02985134,0.08547944,0.00900000
12749,20010622,KM,0.00000000,-0.00900000,0.00900000,-0.00820244,-0.02017984,0.06212498,-0.04230500
12749,20010625,KM,-0.04830500,-0.00600000,-0.04230500,-0.05596549,-0.06378684,0.04488888,-0.02382400
