PERMNO,date,TICKER,C2C,indexC2C,C2CindexAdj,C2CindexAdjFwd3Days,C2CindexAdjFwd5Days,C2CindexAdjFwd10Days,C2CindexAdjFwd1Day
81301,20010102,L,-0.04207600,-0.02800000,-0.01407600,,,,-0.01632500
81301,20010103,L,0.03367500,0.05000000,-0.01632500,-0.03321623,,,-0.00316400
81301,20010104,L,-0.01416400,-0.01100000,-0.00316400,-0.01291413,,,0.00588500
81301,20010105,L,-0.02011500,-0.02600000,0.00588500,0.00039701,-0.02884943,,-0.00239900
81301,20010108,L,-0.00439900,-0.00200000,-0.00239900,0.01256555,-0.00614410,,0.00925500
81301,20010109,L,0.01325500,0.00400000,0.00925500,0.01877956,0.02089376,,0.01180200
81301,20010110,L,0.02180200,0.01000000,0.01180200,0.00527451,0.00875332,,-0.01569000
81301,20010111,L,-0.00569000,0.01000000,-0.01569000,-0.01252621,-0.00573556,,-0.00830600
81301,20010112,L,-0.01430600,-0.00600000,-0.00830600,-0.03130040,-0.01088846,-0.03991518,-0.00745100
81301,20010116,L,-0.00145100,0.00600000,-0.00745100,-0.00482512,-0.00902240,-0.01536836,0.01108100
81301,20010117,L,0.01308100,0.00200000,0.01108100,0.00400025,-0.02046177,0.00106534,0.00034700
81301,20010118,L,0.01434700,0.01400000,0.00034700,0.00838440,-0.00763570,0.00118911,-0.00307200
81301,20010119,L,-0.00707200,-0.00400000,-0.00307200,0.00440356,0.00808942,0.00233345,0.00712300
81301,20010122,L,0.00712300,0.00000000,0.00712300,0.00095370,0.01267127,0.00167726,-0.00309900
81301,20010123,L,0.00990100,0.01300000,-0.00309900,0.02099874,0.01833442,0.00931598,0.01660800
81301,20010124,L,0.01960800,0.00300000,0.01660800,0.00742895,0.01147345,-0.00906453,-0.00598900
81301,20010125,L,-0.01098900,-0.00500000,-0.00598900,0.01101376,0.01528016,0.00764180,0.00061100
81301,20010126,L,-0.00138900,-0.00200000,0.00061100,-0.00062034,0.01302487,0.02158400,0.00485000
81301,20010129,L,0.01185000,0.00700000,0.00485000,-0.00490981,0.00559268,0.01860179,-0.01029900
81301,20010130,L,-0.00329900,0.00700000,-0.01029900,-0.00012042,-0.00553453,0.01257058,0.00533800
81301,20010131,L,-0.00066200,-0.00600000,0.00533800,-0.02751570,-0.02231202,-0.01112290,-0.02266400
81301,20010201,L,-0.01766400,0.00500000,-0.02266400,0.02066009,0.01539865,0.03098729,0.03835300
81301,20010202,L,0.02135300,-0.01700000,0.03835300,0.00725035,0.00234481,0.01534418,-0.00818100
81301,20010205,L,-0.00418100,0.00400000,-0.00818100,0.04336336,0.02554481,0.03144554,0.01305000
81301,20010206,L,0.01105000,-0.00200000,0.01305000,0.00602453,0.02134857,0.01581533,0.00122400
81301,20010207,L,-0.00677600,-0.00800000,0.00122400,0.02056505,0.05058701,0.02834389,0.00644000
81301,20010208,L,0.00044000,-0.00600000,0.00644000,0.01037680,0.01514906,0.03033473,0.00288100
81301,20010209,L,-0.01011900,-0.01300000,0.00288100,0.01727193,0.03142619,0.03357894,0.00800000
81301,20010212,L,0.02000000,0.01200000,0.00800000,0.03544193,0.04275307,0.06809159,0.02446800
81301,20010213,L,0.01546800,-0.00900000,0.02446800,0.04844639,0.05722397,0.07837669,0.01508700
81301,20010214,L,0.01308700,-0.00200000,0.01508700,0.01940914,0.03039836,0.08143455,-0.02007100
81301,20010215,L,-0.01207100,0.00800000,-0.02007100,0.00047113,0.03294159,0.04761601,0.00549500
81301,20010216,L,-0.01350500,-0.01900000,0.00549500,-0.01439278,0.02382156,0.05437571,-0.00038400
81301,20010220,L,-0.01738400,-0.01700000,-0.00038400,0.01970114,0.01486885,0.05583481,0.01524100
81301,20010221,L,-0.00375900,-0.01900000,0.01524100,0.02978353,0.01530194,0.07035920,0.01554100
81301,20010222,L,0.01354100,-0.00200000,0.01554100,0.03302103,0.03689682,0.06638979,0.00248800
81301,20010223,L,-0.00351200,-0.00600000,0.00248800,0.00822355,0.02277915,0.05534375,-0.00995200
81301,20010226,L,0.00704800,0.01700000,-0.00995200,-0.00456700,0.02616786,0.04916792,0.00275100
81301,20010227,L,-0.00524900,-0.00800000,0.00275100,0.00041449,0.01829347,0.03235369,0.00740400
81301,20010228,L,-0.00659600,-0.01400000,0.00740400,0.04234510,0.03526149,0.04924183,0.03264300
81301,20010301,L,0.03364300,0.00100000,0.03264300,0.03278803,0.02587834,0.06175921,-0.00663400
81301,20010302,L,-0.01263400,-0.00600000,-0.00663400,0.02493209,0.03472493,0.05687632,-0.00079500
81301,20010305,L,0.00520500,0.00600000,-0.00079500,-0.01660191,0.02318871,0.04945788,-0.00913700
81301,20010306,L,0.00086300,0.01000000,-0.00913700,-0.02128839,0.00443031,0.02305802,-0.01117300
81301,20010307,L,-0.00517300,0.00600000,-0.01117300,-0.02995792,-0.03732710,-0.00236293,-0.00958400
81301,20010308,L,-0.00758400,0.00200000,-0.00958400,0.00447049,-0.00531825,0.02044058,0.02500000
81301,20010309,L,0.00000000,-0.02500000,0.02500000,0.00763772,-0.01144425,0.02138522,-0.00721800
81301,20010312,L,-0.05021800,-0.04300000,-0.00721800,0.00161956,-0.01803362,0.00374287,-0.01614900
81301,20010313,L,-0.00114900,0.01500000,-0.01614900,-0.00788923,0.00680301,0.01104396,0.01495300
81301,20010314,L,-0.01104700,-0.02600000,0.01495300,0.01005704,0.02616777,-0.00897540,0.01098900
81301,20010315,L,0.01698900,0.00600000,0.01098900,0.05816557,0.03341782,0.02823263,0.03258600
81301,20010316,L,0.01258600,-0.02000000,0.03258600,0.00684717,0.00596760,-0.00575426,-0.03675700
81301,20010319,L,-0.01875700,0.01800000,-0.03675700,-0.01946295,0.00565382,-0.01190983,-0.01561300
81301,20010320,L,-0.03961300,-0.02400000,-0.01561300,-0.05071166,-0.00938124,-0.00219097,-0.00046500
81301,20010321,L,-0.01846500,-0.01800000,-0.00046500,-0.01033281,-0.01412996,0.01143866,0.00571000
81301,20010322,L,0.00171000,-0.00400000,0.00571000,-0.00003155,-0.05110356,-0.01624985,-0.00536600
81301,20010323,L,0.01463400,0.02000000,-0.00536600,-0.02562904,-0.04036536,-0.03441667,-0.02566300
81301,20010326,L,-0.01466300,0.01100000,-0.02566300,-0.04973843,-0.04346361,-0.03586234,-0.01746100
81301,20010327,L,0.00853900,0.02600000,-0.01746100,-0.01527463,-0.01506997,-0.02400322,0.02738700
81301,20010328,L,0.00338700,-0.02400000,0.02738700,0.01558570,-0.01576742,-0.02931143,0.00500000
81301,20010329,L,0.00000000,-0.00500000,0.00500000,0.02448737,-0.01840870,-0.06935064,-0.00810700
81301,20010330,L,0.00289300,0.01100000,-0.00810700,0.01745767,0.02818038,-0.01356999,0.02041400
81301,20010402,L,0.00841400,-0.01200000,0.02041400,0.02303978,0.05425242,0.01305695,0.01087700
81301,20010403,L,-0.02312300,-0.03400000,0.01087700,0.04845519,0.04569119,0.03188021,0.01812900
81301,20010404,L,0.01512900,-0.00300000,0.01812900,0.00143426,0.01398212,-0.00169003,-0.02861500
81301,20010405,L,0.01538500,0.04400000,-0.02861500,-0.00370137,0.02765757,0.00973591,0.00603200
81301,20010406,L,-0.01396800,-0.02000000,0.00603200,-0.03082377,-0.00111858,0.02684544,-0.00872000
81301,20010409,L,-0.00072000,0.00800000,-0.00872000,-0.01924679,-0.03010669,0.02744454,-0.01690900
81301,20010410,L,0.01009100,0.02700000,-0.01690900,-0.01537897,-0.03804185,0.01014514,0.01032500
81301,20010411,L,0.00832500,-0.00200000,0.01032500,-0.02157982,-0.02388259,-0.00995117,-0.01476400
81301,20010412,L,0.00023600,0.01500000,-0.01476400,-0.01064487,-0.03685360,-0.00798200,-0.00619800
81301,20010416,L,-0.00919800,-0.00300000,-0.00619800,-0.03127452,-0.03844143,-0.03931082,-0.01023800
81301,20010417,L,-0.00023800,0.01000000,-0.01023800,-0.03822286,-0.04316098,-0.07618480,-0.02138100
81301,20010418,L,0.01761900,0.03900000,-0.02138100,-0.01566195,-0.03775924,-0.07939945,0.01648100
81301,20010419,L,0.02948100,0.01300000,0.01648100,-0.01446278,-0.03143606,-0.05663911,-0.00918200
81301,20010420,L,-0.01818200,-0.00900000,-0.00918200,0.03129691,0.00018530,-0.03805471,0.02425900
81301,20010423,L,0.00925900,-0.01500000,0.02425900,0.00330599,-0.00125024,-0.04028203,-0.01139400
81301,20010424,L,-0.02339400,-0.01200000,-0.01139400,-0.03180656,-0.02534624,-0.06860944,-0.04512200
81301,20010425,L,-0.02912200,0.01600000,-0.04512200,-0.06479006,-0.04929697,-0.08835280,-0.00935400
81301,20010426,L,-0.00435400,0.00500000,-0.00935400,-0.05142739,-0.03776712,-0.07018614,0.00395000
81301,20010427,L,0.01895000,0.01500000,0.00395000,-0.01048344,-0.06652949,-0.06885834,-0.00486800
81301,20010430,L,-0.00786800,-0.00300000,-0.00486800,-0.00668649,-0.06231455,-0.06448506,-0.00558900
81301,20010501,L,0.00841100,0.01400000,-0.00558900,-0.00982339,-0.01559403,-0.04124776,0.00066800
81301,20010502,L,0.00166800,0.00100000,0.00066800,-0.11057974,-0.11281055,-0.15540492,-0.10467600
81301,20010503,L,-0.11967600,-0.01500000,-0.10467600,-0.14778699,-0.15833641,-0.19189112,-0.04778400
81301,20010504,L,-0.03378400,0.01400000,-0.04778400,-0.13669219,-0.14297710,-0.20376312,0.01318900
81301,20010507,L,0.01118900,-0.00200000,0.01318900,-0.03156999,-0.13306739,-0.19318218,0.00338300
81301,20010508,L,0.00138300,-0.00200000,0.00338300,-0.00768482,-0.15356080,-0.17157464,-0.02390100
81301,20010509,L,-0.02790100,-0.00400000,-0.02390100,-0.02526737,-0.05942259,-0.16689388,-0.00483100
81301,20010510,L,-0.00483100,-0.00000000,-0.00483100,-0.02311540,-0.00702147,-0.16180147,0.00543000
81301,20010511,L,-0.00257000,-0.00800000,0.00543000,-0.00890093,-0.02912588,-0.16671039,-0.00958500
81301,20010514,L,-0.00658500,0.00300000,-0.00958500,-0.00725510,-0.03547215,-0.16247202,-0.00317000
81301,20010515,L,-0.00317000,0.00000000,-0.00317000,-0.07889388,-0.07768052,-0.22210612,-0.06645000
81301,20010516,L,-0.03845000,0.02800000,-0.06645000,-0.06566562,-0.06930750,-0.12656043,0.00421600
81301,20010517,L,0.00721600,0.00300000,0.00421600,-0.06800828,-0.08051566,-0.08595205,-0.00539500
81301,20010518,L,-0.00239500,0.00300000,-0.00539500,-0.00674703,-0.07750144,-0.10499599,-0.00549600
