PERMNO,date,TICKER,C2C,indexC2C,C2CindexAdj,C2CindexAdjFwd3Days,C2CindexAdjFwd5Days,C2CindexAdjFwd10Days,C2CindexAdjFwd1Day
79328,20051128,LNX,0.03155300,-0.00900000,0.04055300,,,,-0.01333300
79328,20051129,LNX,-0.01333300,0.00000000,-0.01333300,0.01494602,,,-0.01148800
79328,20051130,LNX,-0.01748800,-0.00600000,-0.01148800,-0.02475107,,,0.00013600
79328,20051201,LNX,0.01213600,0.01200000,0.00013600,-0.00990218,0.01687975,,0.00159900
79328,20051202,LNX,0.00159900,0.00000000,0.00159900,0.03371348,0.00784909,,0.03152900
79328,20051205,LNX,0.02952900,-0.00200000,0.03152900,0.07214537,0.06026321,,0.03776000
79328,20051206,LNX,0.03876000,0.00100000,0.03776000,0.08021928,0.08306650,,0.00947800
79328,20051207,LNX,0.00447800,-0.00500000,0.00947800,0.03988569,0.07413834,,-0.00717200
79328,20051208,LNX,-0.00817200,-0.00100000,-0.00717200,-0.01191174,0.05748436,0.07508705,-0.01423600
79328,20051209,LNX,-0.01123600,0.00300000,-0.01423600,-0.03345972,0.01264639,0.02063628,-0.01236400
79328,20051212,LNX,-0.01136400,0.00100000,-0.01236400,-0.03549555,-0.03307603,0.02527054,-0.00906500
79328,20051213,LNX,-0.00306500,0.00600000,-0.00906500,-0.03527638,-0.05614335,0.02301080,-0.01399200
79328,20051214,LNX,-0.00999200,0.00400000,-0.01399200,-0.01207885,-0.03852143,0.03399803,0.01109300
79328,20051215,LNX,0.01009300,-0.00100000,0.01109300,0.00462514,-0.01684139,0.04014440,0.00761200
79328,20051216,LNX,0.00461200,-0.00300000,0.00761200,0.01928948,-0.00378227,0.00881952,0.00064400
79328,20051219,LNX,-0.00535600,-0.00600000,0.00064400,0.01128792,0.00831899,-0.02480028,0.00307700
79328,20051220,LNX,0.00307700,-0.00000000,0.00307700,0.00148773,0.02020159,-0.03641908,-0.00223300
79328,20051221,LNX,0.00076700,0.00300000,-0.00223300,-0.00624237,0.00203328,-0.03646162,-0.00706500
79328,20051222,LNX,-0.00306500,0.00400000,-0.00706500,-0.00624439,-0.00249956,-0.01933267,0.00307500
79328,20051223,LNX,0.00307500,0.00000000,0.00307500,0.00067663,0.00152048,-0.00225605,0.00463600
79328,20051227,LNX,-0.00536400,-0.01000000,0.00463600,0.04052430,0.03120266,0.03957646,0.03289800
79328,20051228,LNX,0.03389800,0.00100000,0.03289800,0.02577568,0.02182426,0.04215167,-0.01115800
79328,20051229,LNX,-0.01415800,-0.00300000,-0.01115800,0.02702360,0.03460199,0.03660087,0.00575600
79328,20051230,LNX,0.00075600,-0.00500000,0.00575600,-0.03843895,-0.00187198,-0.00436570,-0.03337200
79328,20060103,LNX,-0.01737200,0.01600000,-0.03337200,-0.03083655,-0.00984926,-0.00829398,-0.00323100
79328,20060104,LNX,0.00076900,0.00400000,-0.00323100,-0.03365936,-0.03874447,-0.00829898,0.00307200
79328,20060105,LNX,0.00307200,0.00000000,0.00307200,-0.00996141,-0.03770405,-0.01587392,-0.00976600
79328,20060106,LNX,-0.00076600,0.00900000,-0.00976600,-0.00919564,-0.04620133,-0.01126177,-0.00246700
79328,20060109,LNX,0.00153300,0.00400000,-0.00246700,-0.00844106,-0.00863209,-0.01050960,0.00382600
79328,20060110,LNX,0.00382600,-0.00000000,0.00382600,-0.01467354,-0.02145055,-0.03152424,-0.01595700
79328,20060111,LNX,-0.01295700,0.00300000,-0.01595700,-0.00386689,-0.01610283,-0.05480194,0.00831700
79328,20060112,LNX,0.00231700,-0.00600000,0.00831700,-0.00559996,-0.00426779,-0.04198808,0.00208200
79328,20060113,LNX,0.00308200,0.00100000,0.00208200,0.00435310,-0.00775796,-0.05358188,-0.00598500
79328,20060117,LNX,-0.00998500,-0.00400000,-0.00598500,-0.00687537,-0.01440059,-0.02306822,-0.00298200
79328,20060118,LNX,-0.00698200,-0.00400000,-0.00298200,-0.01256100,-0.00223800,-0.02352577,-0.00365600
79328,20060119,LNX,0.00234400,0.00600000,-0.00365600,0.00054395,-0.00332646,-0.01910272,0.00708800
79328,20060120,LNX,-0.01091200,-0.01800000,0.00708800,-0.01877426,-0.02727999,-0.03140815,-0.02248900
79328,20060123,LNX,-0.02048900,0.00200000,-0.02248900,-0.01555047,-0.02201523,-0.02937600,-0.00039100
79328,20060124,LNX,0.00160900,0.00200000,-0.00039100,-0.02642464,-0.02267615,-0.03637771,-0.00362200
79328,20060125,LNX,-0.00562200,-0.00200000,-0.00362200,0.00668148,-0.00877413,-0.01091035,0.01077100
79328,20060126,LNX,0.01777100,0.00700000,0.01077100,-0.00579620,-0.02890202,-0.03163958,-0.01276200
79328,20060127,LNX,-0.00476200,0.00800000,-0.01276200,0.00573869,0.00163292,-0.02615937,0.00777200
79328,20060130,LNX,0.00877200,0.00100000,0.00777200,0.07836094,0.08640330,0.06121891,0.08305100
79328,20060131,LNX,0.07905100,-0.00400000,0.08305100,0.06560303,0.06432146,0.03921661,-0.02397800
79328,20060201,LNX,-0.02197800,0.00200000,-0.02397800,0.05209650,0.04731881,0.03771468,-0.00448300
79328,20060202,LNX,-0.01348300,-0.00900000,-0.00448300,-0.04296185,0.04365907,0.01467311,-0.01550100
79328,20060203,LNX,-0.02050100,-0.00500000,-0.01550100,-0.02148754,0.03392340,0.03613235,-0.00177500
79328,20060206,LNX,-0.00077500,0.00100000,-0.00177500,0.00589899,-0.02211810,0.06051970,0.02351600
79328,20060207,LNX,0.01551600,-0.00800000,0.02351600,0.04070727,0.01954444,0.08462198,0.01850200
79328,20060208,LNX,0.02750200,0.00900000,0.01850200,0.03731140,0.01926425,0.06726158,-0.00494800
79328,20060209,LNX,-0.00594800,-0.00100000,-0.00494800,0.00579153,0.02785327,0.07248353,-0.00748800
79328,20060210,LNX,-0.00448800,0.00300000,-0.00748800,0.01067353,0.05361124,0.08854899,0.02328500
79328,20060213,LNX,0.02028500,-0.00300000,0.02328500,0.00347138,0.01707902,-0.00613924,-0.01220900
79328,20060214,LNX,-0.00220900,0.01000000,-0.01220900,0.00402819,-0.00855652,0.01117822,-0.00695200
79328,20060215,LNX,-0.00295200,0.00400000,-0.00695200,-0.00493728,0.01103234,0.03087117,0.01446600
79328,20060216,LNX,0.02146600,0.00700000,0.01446600,0.00575493,0.01701953,0.04586047,-0.00162300
79328,20060217,LNX,-0.00362300,-0.00200000,-0.00162300,-0.00122991,-0.02045581,0.03292030,-0.01372700
79328,20060221,LNX,-0.01672700,-0.00300000,-0.01372700,-0.00731365,-0.00000382,0.01731463,0.00827200
79328,20060222,LNX,0.01627200,0.00800000,0.00827200,-0.00022832,0.01255908,0.00400769,0.00545600
79328,20060223,LNX,0.00145600,-0.00400000,0.00545600,0.01277964,-0.00285108,0.00808905,-0.00100000
79328,20060224,LNX,0.00000000,0.00100000,-0.00100000,-0.00971674,-0.01541848,0.00119286,-0.01417400
79328,20060227,LNX,-0.01017400,0.00400000,-0.01417400,-0.02402372,-0.01073608,-0.03112200,-0.00909000
79328,20060228,LNX,-0.01909000,-0.01000000,-0.00909000,-0.06368525,-0.05930947,-0.06014497,-0.04168300
79328,20060301,LNX,-0.03368300,0.00800000,-0.04168300,-0.07962588,-0.09393188,-0.08309970,-0.03130800
79328,20060302,LNX,-0.03330800,-0.00200000,-0.03130800,-0.05363116,-0.07521647,-0.07784647,0.01943000
79328,20060303,LNX,0.01843000,-0.00100000,0.01943000,-0.00009322,-0.04963903,-0.06440266,0.01250700
79328,20060306,LNX,0.00550700,-0.00700000,0.01250700,0.03882341,-0.03487014,-0.04515005,0.00669500
79328,20060307,LNX,0.00469500,-0.00200000,0.00669500,0.00700337,-0.00551156,-0.06389612,-0.01212500
79328,20060308,LNX,-0.01012500,0.00200000,-0.01212500,0.00030922,0.03218787,-0.06352118,0.00578700
79328,20060309,LNX,0.00078700,-0.00500000,0.00578700,-0.02188196,-0.00281560,-0.07743717,-0.01564800
79328,20060310,LNX,-0.00864800,0.00700000,-0.01564800,-0.00475585,-0.01022499,-0.05943020,0.00513700
79328,20060313,LNX,0.00713700,0.00200000,0.00513700,-0.01045690,-0.01681613,-0.05159093,0.00023600
79328,20060314,LNX,0.01023600,0.01000000,0.00023600,-0.00496575,-0.01491741,-0.02029743,-0.01023500
79328,20060315,LNX,-0.00623500,0.00400000,-0.01023500,0.00834144,-0.00242849,0.03052467,0.01839200
79328,20060316,LNX,0.02039200,0.00200000,0.01839200,0.02182468,0.02766955,0.02458240,0.01360400
79328,20060317,LNX,0.01460400,0.00100000,0.01360400,0.02723905,0.01723349,0.00674673,-0.00481800
79328,20060320,LNX,-0.00681800,-0.00200000,-0.00481800,0.02006237,0.02830959,0.01148872,0.01133900
79328,20060321,LNX,0.00533900,-0.00600000,0.01133900,0.02476268,0.05786260,0.04311297,0.01827900
79328,20060322,LNX,0.02427900,0.00600000,0.01827900,0.03278350,0.04169745,0.04022939,0.00300000
79328,20060323,LNX,0.00000000,-0.00300000,0.00300000,0.00891316,0.01539804,0.04367638,-0.01211100
79328,20060324,LNX,-0.01111100,0.00100000,-0.01211100,-0.00440671,0.02515641,0.04314970,0.00474500
79328,20060327,LNX,0.00374500,-0.00100000,0.00474500,-0.00140675,0.01972827,0.04849007,0.00600000
79328,20060328,LNX,0.00000000,-0.00600000,0.00600000,0.00154054,-0.00758423,0.04971387,-0.00923900
79328,20060329,LNX,-0.00223900,0.00700000,-0.00923900,-0.00343406,-0.01080762,0.03043922,-0.00024400
79328,20060330,LNX,-0.00224400,-0.00200000,-0.00024400,-0.02335445,-0.01269260,0.00246828,-0.01399100
