PERMNO,date,TICKER,C2C,indexC2C,C2CindexAdj,C2CindexAdjFwd3Days,C2CindexAdjFwd5Days,C2CindexAdjFwd10Days,C2CindexAdjFwd1Day
17279,20080610,LO,,-0.00200000,,,,,0.02417700
17279,20080611,LO,0.00717700,-0.01700000,0.02417700,,,,-0.02969100
17279,20080612,LO,-0.02669100,0.00300000,-0.02969100,-0.05124074,,,-0.04641600
17279,20080613,LO,-0.03141600,0.01500000,-0.04641600,-0.10135648,,,-0.02762500
17279,20080616,LO,-0.02762500,0.00000000,-0.02762500,-0.05501951,-0.05963455,,0.01873100
17279,20080617,LO,0.01173100,-0.00700000,0.01873100,0.00304844,-0.07116458,,0.01237500
17279,20080618,LO,0.00237500,-0.01000000,0.01237500,0.02119494,-0.05226009,,-0.00985400
17279,20080619,LO,-0.00585400,0.00400000,-0.00985400,0.01556495,0.00632424,,0.01311200
17279,20080620,LO,-0.00588800,-0.01900000,0.01311200,-0.00694530,0.02355213,,-0.01043600
17279,20080623,LO,-0.01043600,0.00000000,-0.01043600,-0.01310499,-0.01056797,-0.06784523,-0.01609600
17279,20080624,LO,-0.01909600,-0.00300000,-0.01609600,0.00660806,0.00990926,-0.06108862,0.03409900
17279,20080625,LO,0.04009900,0.00600000,0.03409900,0.00814914,0.01068261,-0.03978521,-0.00843500
17279,20080626,LO,-0.03743500,-0.02900000,-0.00843500,0.01473250,-0.01131923,-0.00489691,-0.00949600
17279,20080627,LO,-0.01349600,-0.00400000,-0.00949600,-0.00202627,0.01463725,0.03738565,0.01635800
17279,20080630,LO,0.01735800,0.00100000,0.01635800,-0.01419010,0.01015421,-0.00056913,-0.02077300
17279,20080701,LO,-0.01677300,0.00400000,-0.02077300,0.01705704,-0.00111529,0.00834519,0.02167600
17279,20080702,LO,0.00367600,-0.01800000,0.02167600,-0.01438667,-0.00789398,0.00288498,-0.01550500
17279,20080703,LO,-0.01450500,0.00100000,-0.01550500,0.02841098,0.02382635,0.01174904,0.02257000
17279,20080707,LO,0.01457000,-0.00800000,0.02257000,-0.00313327,-0.00216955,0.01243542,-0.01011300
17279,20080708,LO,0.00688700,0.01700000,-0.01011300,0.01656936,0.02243673,0.03200445,0.00408000
17279,20080709,LO,-0.01892000,-0.02300000,0.00408000,0.03284626,0.03970692,0.03674629,0.03913500
17279,20080710,LO,0.04613500,0.00700000,0.03913500,0.05303381,0.06652793,0.05718588,0.01071600
17279,20080711,LO,-0.00028400,-0.01100000,0.01071600,0.06525670,0.05876592,0.08235600,0.01509900
17279,20080714,LO,0.00609900,-0.00900000,0.01509900,0.01891168,0.06060887,0.05814544,-0.00648200
17279,20080715,LO,-0.01748200,-0.01100000,-0.00648200,-0.03963739,0.00869024,0.03106291,-0.04882000
17279,20080716,LO,-0.02382000,0.02500000,-0.04882000,-0.05239525,-0.02631989,0.01272899,0.00299300
17279,20080717,LO,0.01499300,0.01200000,0.00299300,-0.05437598,-0.04502611,0.02044106,-0.00796500
17279,20080718,LO,-0.00796500,0.00000000,-0.00796500,-0.01598619,-0.07054319,-0.01309679,-0.01082500
17279,20080721,LO,-0.01182500,-0.00100000,-0.01082500,-0.00764194,-0.05461306,0.00823126,0.01152400
17279,20080722,LO,0.02452400,0.01300000,0.01152400,0.00016957,-0.00500236,0.00388717,-0.00025100
17279,20080723,LO,0.00374900,0.00400000,-0.00025100,-0.00400044,-0.02249899,-0.04815683,-0.01463800
17279,20080724,LO,-0.03763800,-0.02300000,-0.01463800,-0.03313675,-0.03313242,-0.07706715,-0.01877800
17279,20080725,LO,-0.01477800,0.00400000,-0.01877800,0.02508831,0.03668608,-0.03402888,0.06036400
17279,20080728,LO,0.04136400,-0.01900000,0.06036400,0.03765400,0.02132139,-0.03275894,-0.00423100
17279,20080729,LO,0.01876900,0.02300000,-0.00423100,0.02058895,-0.01392234,-0.01925374,-0.03556600
17279,20080730,LO,-0.01856600,0.01700000,-0.03556600,-0.05043593,-0.00959242,-0.03206140,-0.01042800
17279,20080731,LO,-0.02342800,-0.01300000,-0.01042800,-0.03460268,0.02050735,-0.01341694,0.01091700
17279,20080801,LO,0.00491700,-0.00600000,0.01091700,0.01101757,-0.02839549,0.00827684,0.01092800
17279,20080804,LO,0.00192800,-0.00900000,0.01092800,0.02840027,-0.01873557,0.00277688,0.00592700
17279,20080805,LO,0.03492700,0.02900000,0.00592700,-0.00633861,-0.00591800,-0.01981264,-0.02273400
17279,20080806,LO,-0.01973400,0.00300000,-0.02273400,-0.01735711,0.00461889,-0.00494954,-0.00008900
17279,20080807,LO,-0.01808900,-0.01800000,-0.00008900,-0.03032105,-0.01410978,0.00667404,-0.00765800
17279,20080808,LO,0.01634200,0.02400000,-0.00765800,0.01146297,-0.00617578,-0.03574764,0.01916600
17279,20080811,LO,0.02616600,0.00700000,0.01916600,0.01077119,-0.01246564,-0.03124997,-0.00082000
17279,20080812,LO,-0.01282000,-0.01200000,-0.00082000,0.02955719,0.02194762,0.01599040,0.01136900
17279,20080813,LO,0.00836900,-0.00300000,0.01136900,0.00577765,0.01768677,0.02245921,-0.00471200
17279,20080814,LO,0.00128800,0.00600000,-0.00471200,0.03889378,0.05762092,0.04431349,0.03187300
17279,20080815,LO,0.03587300,0.00400000,0.03187300,0.04304933,0.05320547,0.04922420,0.01569000
17279,20080818,LO,0.00069000,-0.01500000,0.01569000,0.05026032,0.05729856,0.04452914,0.00293400
17279,20080819,LO,-0.00606600,-0.00900000,0.00293400,0.00848930,0.03549897,0.05795614,-0.01016100
17279,20080820,LO,-0.00416100,0.00600000,-0.01016100,-0.00969301,0.03754966,0.05650618,-0.00255700
