PERMNO,date,TICKER,C2C,indexC2C,C2CindexAdj,C2CindexAdjFwd3Days,C2CindexAdjFwd5Days,C2CindexAdjFwd10Days,C2CindexAdjFwd1Day
61399,20010102,LOW,0.00561800,-0.02800000,0.03361800,,,,0.13435800
61399,20010103,LOW,0.18435800,0.05000000,0.13435800,0.19568266,,,0.02279200
61399,20010104,LOW,0.01179200,-0.01100000,0.02279200,0.14637028,,,-0.00780000
61399,20010105,LOW,-0.03380000,-0.02600000,-0.00780000,-0.02975695,0.12838606,,-0.04504500
61399,20010108,LOW,-0.04704500,-0.00200000,-0.04504500,-0.07151249,0.07033224,,-0.02172200
61399,20010109,LOW,-0.01772200,0.00400000,-0.02172200,-0.03975677,-0.02438672,,0.02866000
61399,20010110,LOW,0.03866000,0.01000000,0.02866000,-0.01278831,-0.06432227,,-0.01868500
61399,20010111,LOW,-0.00868500,0.01000000,-0.01868500,0.02468062,-0.04374414,,0.01476100
61399,20010112,LOW,0.00876100,-0.00600000,0.01476100,-0.02733371,-0.02161243,0.10750569,-0.02337000
61399,20010116,LOW,-0.01737000,0.00600000,-0.02337000,-0.03755891,-0.02911408,0.04033307,-0.02907100
61399,20010117,LOW,-0.02707100,0.00200000,-0.02907100,-0.10582569,-0.10985290,-0.12943638,-0.05555800
61399,20010118,LOW,-0.04155800,0.01400000,-0.05555800,-0.11484684,-0.12267022,-0.17932419,-0.03394000
61399,20010119,LOW,-0.03794000,-0.00400000,-0.03394000,-0.05539811,-0.10546191,-0.14706897,0.03521100
61399,20010122,LOW,0.03521100,0.00000000,0.03521100,0.02899255,-0.05724405,-0.07954426,0.02917700
61399,20010123,LOW,0.04217700,0.01300000,0.02917700,0.05015828,-0.04302479,-0.07259835,-0.01474900
61399,20010124,LOW,-0.01174900,0.00300000,-0.01474900,0.04346325,0.04322090,-0.07100929,0.02877800
61399,20010125,LOW,0.02377800,-0.00500000,0.02877800,0.02359350,0.09106318,-0.04278791,0.00974200
61399,20010126,LOW,0.00774200,-0.00200000,0.00974200,0.05261446,0.06808216,-0.04501925,0.01323000
61399,20010129,LOW,0.02023000,0.00700000,0.01323000,0.03634035,0.05069734,-0.00874674,0.01267900
61399,20010130,LOW,0.01967900,0.00700000,0.01267900,0.08704180,0.12880363,0.08356481,0.05858000
61399,20010131,LOW,0.05258000,-0.00600000,0.05858000,0.08841572,0.11418347,0.16360356,0.01464500
61399,20010201,LOW,0.01964500,0.00500000,0.01464500,0.07827326,0.10721342,0.20861399,0.00489000
61399,20010202,LOW,-0.01211000,-0.01700000,0.00489000,0.00158621,0.07344981,0.14721870,-0.01774400
61399,20010205,LOW,-0.01374400,0.00400000,-0.01774400,-0.02569198,0.04559635,0.09824641,-0.01344300
61399,20010206,LOW,-0.01544300,-0.00200000,-0.01344300,-0.02462288,-0.00553721,0.12022499,0.00627800
61399,20010207,LOW,-0.00172200,-0.00800000,0.00627800,-0.04245721,-0.05378511,0.05037984,-0.03596200
61399,20010208,LOW,-0.04196200,-0.00600000,-0.03596200,0.05029731,0.01870221,0.12517957,0.08320001
61399,20010209,LOW,0.07020000,-0.01300000,0.08320001,0.04182984,0.03400967,0.10846001,-0.00284300
61399,20010212,LOW,0.00915700,0.01200000,-0.00284300,0.13514570,0.09989293,0.14734780,0.05066700
61399,20010213,LOW,0.04166700,-0.00900000,0.05066700,0.05330887,0.09891055,0.09114164,0.00484400
61399,20010214,LOW,0.00284400,-0.00200000,0.00484400,0.05658807,0.14202174,0.07673711,0.00050900
61399,20010215,LOW,0.00850900,0.00800000,0.00050900,0.01757386,0.06615291,0.08425743,0.01214500
61399,20010216,LOW,-0.00685500,-0.01900000,0.01214500,0.06146692,0.11826656,0.15296656,0.04885800
61399,20010220,LOW,0.03185800,-0.01700000,0.04885800,0.00864848,0.01384882,0.10996474,-0.04943900
61399,20010221,LOW,-0.06843900,-0.01900000,-0.04943900,-0.00416443,0.00809722,0.10288133,-0.00113000
61399,20010222,LOW,-0.00313000,-0.00200000,-0.00113000,-0.03697156,0.02095115,0.15711769,0.01412700
61399,20010223,LOW,0.00812700,-0.00600000,0.01412700,0.07582266,0.06977194,0.13802961,0.06233300
61399,20010226,LOW,0.07933300,0.01700000,0.06233300,0.05925007,0.00448781,0.12095809,-0.01593500
61399,20010227,LOW,-0.02393500,-0.00800000,-0.01593500,0.02907798,0.04211384,0.05432729,-0.01417400
61399,20010228,LOW,-0.02817400,-0.01400000,-0.01417400,-0.04529299,0.02630879,0.03326440,-0.01656900
61399,20010301,LOW,-0.01556900,0.00100000,-0.01656900,0.01197923,0.05641005,0.07485616,0.04399300
61399,20010302,LOW,0.03799300,-0.00600000,0.04399300,0.02176348,-0.00893105,0.05899857,-0.00512400
61399,20010305,LOW,0.00087600,0.00600000,-0.00512400,0.06075077,0.02752783,0.03162363,0.02062100
61399,20010306,LOW,0.03062100,0.01000000,0.02062100,0.06873670,0.09767044,0.14332532,0.05155500
