PERMNO,date,TICKER,C2C,indexC2C,C2CindexAdj,C2CindexAdjFwd3Days,C2CindexAdjFwd5Days,C2CindexAdjFwd10Days,C2CindexAdjFwd1Day
48486,20010102,LRCX,-0.00862100,-0.02800000,0.01937900,,,,0.15000001
48486,20010103,LRCX,0.20000000,0.05000000,0.15000001,0.24493685,,,0.06534800
48486,20010104,LRCX,0.05434800,-0.01100000,0.06534800,0.26246324,,,0.03287300
48486,20010105,LRCX,0.00687300,-0.02600000,0.03287300,0.15548892,0.34750070,,0.05404800
48486,20010108,LRCX,0.05204800,-0.00200000,0.05404800,0.06529688,0.30392644,,-0.02103200
48486,20010109,LRCX,-0.01703200,0.00400000,-0.02103200,0.07672472,0.18093996,,0.04280500
48486,20010110,LRCX,0.05280500,0.01000000,0.04280500,0.11450443,0.21062798,,0.09031300
48486,20010111,LRCX,0.10031300,0.01000000,0.09031300,0.07842902,0.11369250,,-0.05098000
48486,20010112,LRCX,-0.05698000,-0.00600000,-0.05098000,0.00257521,0.02370621,0.38738818,-0.03016900
48486,20010116,LRCX,-0.02416900,0.00600000,-0.03016900,0.02652627,0.16931501,0.53369840,0.11564700
48486,20010117,LRCX,0.11764700,0.00200000,0.11564700,0.09267993,0.13058845,0.33660551,0.00816100
48486,20010118,LRCX,0.02216100,0.01400000,0.00816100,0.11497162,0.02511021,0.24342780,-0.00955000
48486,20010119,LRCX,-0.01355000,-0.00400000,-0.00955000,-0.04595460,0.03332452,0.15338947,-0.04395600
48486,20010122,LRCX,-0.04395600,0.00000000,-0.04395600,-0.04959856,0.07085597,0.09854810,0.00424100
48486,20010123,LRCX,0.01724100,0.01300000,0.00424100,0.07462007,0.07358071,0.26140675,0.11846900
48486,20010124,LRCX,0.12146900,0.00300000,0.11846900,0.07812136,0.02018525,0.15484056,-0.04034000
48486,20010125,LRCX,-0.04534000,-0.00500000,-0.04034000,0.05485816,0.01304055,0.03885816,-0.01647000
48486,20010126,LRCX,-0.01847000,-0.00200000,-0.01647000,-0.00751786,0.11618397,0.15600891,0.05214000
48486,20010129,LRCX,0.05914000,0.00700000,0.05214000,0.06713460,0.14538549,0.23090216,0.03107100
48486,20010130,LRCX,0.03807100,0.00700000,0.03107100,0.12913246,0.06457218,0.14465986,0.04023000
48486,20010131,LRCX,0.03423000,-0.00600000,0.04023000,0.07271739,0.11039330,0.13379184,-0.00027200
48486,20010201,LRCX,0.00472800,0.00500000,-0.00027200,-0.00888197,0.07410968,0.08872399,-0.04652900
48486,20010202,LRCX,-0.06352900,-0.01700000,-0.04652900,-0.11006960,-0.04611584,0.06313781,-0.06681400
48486,20010205,LRCX,-0.06281400,0.00400000,-0.06681400,-0.11672249,-0.08174280,0.04860818,-0.00872400
48486,20010206,LRCX,-0.01072400,-0.00200000,-0.00872400,-0.09699086,-0.13799173,-0.08362143,-0.02452000
48486,20010207,LRCX,-0.03252000,-0.00800000,-0.02452000,-0.03233289,-0.13592106,-0.04520231,0.00039800
48486,20010208,LRCX,-0.00560200,-0.00600000,0.00039800,-0.02200970,-0.09325839,-0.02750711,0.00173200
48486,20010209,LRCX,-0.01126800,-0.01300000,0.00173200,0.02675673,-0.00706699,-0.05201935,0.02503700
48486,20010212,LRCX,0.03703700,0.01200000,0.02503700,-0.00957303,-0.03295428,-0.10951594,-0.03495600
48486,20010213,LRCX,-0.04395600,-0.00900000,-0.03495600,0.11022529,0.11048971,-0.04225039,0.12269000
48486,20010214,LRCX,0.12069000,-0.00200000,0.12269000,0.15142201,0.18168714,0.01641518,0.06379500
48486,20010215,LRCX,0.07179500,0.00800000,0.06379500,0.17692383,0.16412293,0.05244149,-0.01210000
