PERMNO,date,TICKER,C2C,indexC2C,C2CindexAdj,C2CindexAdjFwd3Days,C2CindexAdjFwd5Days,C2CindexAdjFwd10Days,C2CindexAdjFwd1Day
83946,20010102,LTBG,-0.03333300,-0.02800000,-0.00533300,,,,0.02389200
83946,20010103,LTBG,0.07389200,0.05000000,0.02389200,0.04777065,,,0.02934900
83946,20010104,LTBG,0.01834900,-0.01100000,0.02934900,0.07722001,,,0.02149500
83946,20010105,LTBG,-0.00450500,-0.02600000,0.02149500,-0.00264427,0.01407494,,-0.05229900
83946,20010108,LTBG,-0.05429900,-0.00200000,-0.05229900,-0.08855330,-0.04302152,,-0.06141600
83946,20010109,LTBG,-0.05741600,0.00400000,-0.06141600,-0.07536080,-0.02531615,,0.04076100
83946,20010110,LTBG,0.05076100,0.01000000,0.04076100,0.02366639,-0.00907106,,0.04797100
83946,20010111,LTBG,0.05797100,0.01000000,0.04797100,0.08754341,-0.03409891,,-0.00313200
83946,20010112,LTBG,-0.00913200,-0.00600000,-0.00313200,0.00452955,-0.01935851,-0.00485157,-0.03825800
83946,20010116,LTBG,-0.03225800,0.00600000,-0.03825800,-0.01566251,0.07434290,0.02817315,0.02657100
83946,20010117,LTBG,0.02857100,0.00200000,0.02657100,0.14377371,0.19607058,0.16019879,0.15729600
83946,20010118,LTBG,0.17129600,0.01400000,0.15729600,0.24041657,0.18898584,0.17725253,0.04352600
83946,20010119,LTBG,0.03952600,-0.00400000,0.04352600,0.15672277,0.14325437,0.10594760,-0.04182500
83946,20010122,LTBG,-0.04182500,0.00000000,-0.04182500,0.03848292,0.23678458,0.21807282,0.03858700
83946,20010123,LTBG,0.05158700,0.01300000,0.03858700,-0.01984177,0.18681987,0.28112438,-0.01432100
83946,20010124,LTBG,-0.01132100,0.00300000,-0.01432100,-0.13000720,-0.12944504,0.03921583,-0.14767200
83946,20010125,LTBG,-0.15267199,-0.00500000,-0.14767200,-0.21485779,-0.22186565,-0.07576664,-0.06556800
83946,20010126,LTBG,-0.06756800,-0.00200000,-0.06556800,-0.13736666,-0.11917563,0.00714889,0.08478700
83946,20010129,LTBG,0.09178700,0.00700000,0.08478700,0.00149153,-0.16092646,0.03607434,-0.01142500
83946,20010130,LTBG,-0.00442500,0.00700000,-0.01142500,0.04517489,-0.16885901,-0.01782807,-0.02511100
83946,20010131,LTBG,-0.03111100,-0.00600000,-0.02511100,-0.08118374,-0.06953761,-0.19188332,-0.04628400
83946,20010201,LTBG,-0.04128400,0.00500000,-0.04628400,-0.08865415,-0.02476949,-0.24042549,-0.02127800
83946,20010202,LTBG,-0.03827800,-0.01700000,-0.02127800,-0.04691220,-0.08131220,-0.19124228,0.02087600
83946,20010205,LTBG,0.02487600,0.00400000,0.02087600,-0.00888192,-0.07727682,-0.22395484,-0.00770900
83946,20010206,LTBG,-0.00970900,-0.00200000,-0.00770900,0.03587496,-0.03242238,-0.19279080,0.02270600
83946,20010207,LTBG,0.01470600,-0.00800000,0.02270600,0.10330298,0.10055452,0.02713009,0.08812600
83946,20010208,LTBG,0.08212600,-0.00600000,0.08812600,0.12481042,0.13926054,0.11106950,0.01300000
83946,20010209,LTBG,0.00000000,-0.01300000,0.01300000,0.10376808,0.11900394,0.02854776,0.00139300
83946,20010212,LTBG,0.01339300,0.01200000,0.00139300,0.05478875,0.17101578,0.07962876,0.03983700
83946,20010213,LTBG,0.03083700,-0.00900000,0.03983700,-0.01427929,0.08568557,0.04952493,-0.05355600
83946,20010214,LTBG,-0.05555600,-0.00200000,-0.05355600,0.03610900,0.05109704,0.15489424,0.05308600
83946,20010215,LTBG,0.06108600,0.00800000,0.05308600,0.03876995,0.08170373,0.22888251,0.04245400
83946,20010216,LTBG,0.02345400,-0.01900000,0.04245400,0.07773628,0.06066342,0.18125353,-0.01633300
83946,20010220,LTBG,-0.03333300,-0.01700000,-0.01633300,-0.00783429,-0.01149105,0.14956827,-0.03272400
83946,20010221,LTBG,-0.05172400,-0.01900000,-0.03272400,-0.08739435,-0.00143573,0.08001085,-0.04345500
83946,20010222,LTBG,-0.04545500,-0.00200000,-0.04345500,0.00528384,0.02957234,0.07891025,0.08695200
83946,20010223,LTBG,0.08095200,-0.00600000,0.08695200,-0.02251348,-0.06871626,0.00586360,-0.06105300
83946,20010226,LTBG,-0.04405300,0.01700000,-0.06105300,-0.01233541,-0.08523920,-0.02755795,-0.03347500
83946,20010227,LTBG,-0.04147500,-0.00800000,-0.03347500,-0.15773547,-0.12315823,-0.12712906,-0.07253800
83946,20010228,LTBG,-0.08653800,-0.01400000,-0.07253800,-0.05743069,-0.03737926,-0.03693977,0.05163200
83946,20010301,LTBG,0.05263200,0.00100000,0.05163200,-0.01952486,-0.10870268,-0.07595647,0.00600000
83946,20010302,LTBG,0.00000000,-0.00600000,0.00600000,0.03061528,-0.07582867,-0.13583873,-0.02600000
83946,20010305,LTBG,-0.02000000,0.00600000,-0.02600000,0.02003596,-0.00643494,-0.09073740,0.04102000
83946,20010306,LTBG,0.05102000,0.01000000,0.04102000,-0.04215708,0.01453907,-0.11270034,-0.05454400
83946,20010307,LTBG,-0.04854400,0.00600000,-0.05454400,-0.00533778,-0.02555625,-0.06239345,0.01075500
83946,20010308,LTBG,0.01275500,0.00200000,0.01075500,-0.07989919,-0.06859612,-0.16898716,-0.03797200
83946,20010309,LTBG,-0.06297200,-0.02500000,-0.03797200,-0.07269621,-0.08771198,-0.15125769,-0.04839800
83946,20010312,LTBG,-0.09139800,-0.04300000,-0.04839800,-0.13095002,-0.16825142,-0.17277688,-0.05642000
83946,20010313,LTBG,-0.04142000,0.01500000,-0.05642000,-0.05900254,-0.08245480,-0.07162027,0.04451900
83946,20010314,LTBG,0.01851900,-0.02600000,0.04451900,-0.04187789,-0.11689787,-0.13973680,-0.03024200
83946,20010315,LTBG,-0.02424200,0.00600000,-0.03024200,-0.06518468,-0.15317036,-0.20643078,-0.07937901
83946,20010316,LTBG,-0.09937900,-0.02000000,-0.07937901,-0.10059552,-0.11053710,-0.18233734,0.00958600
83946,20010319,LTBG,0.02758600,0.01800000,0.00958600,-0.01717526,-0.00345299,-0.16323923,0.05755700
83946,20010320,LTBG,0.03355700,-0.02400000,0.05755700,0.14155725,0.01991100,-0.06255204,0.06994800
83946,20010321,LTBG,0.05194800,-0.01800000,0.06994800,0.09909313,0.02280961,-0.09282664,-0.02686400
83946,20010322,LTBG,-0.03086400,-0.00400000,-0.02686400,0.07379492,0.14671389,-0.03745119,0.03095500
83946,20010323,LTBG,0.05095500,0.02000000,0.03095500,0.00376867,0.13640400,0.01144879,0.00112100
83946,20010326,LTBG,0.01212100,0.01100000,0.00112100,0.03113948,0.07555776,0.06825330,-0.00204800
83946,20010327,LTBG,0.02395200,0.02600000,-0.00204800,-0.01239183,-0.00999071,0.01066958,-0.01108800
83946,20010328,LTBG,-0.03508800,-0.02400000,-0.01108800,0.02758287,0.06169544,0.08359894,0.04136400
83946,20010329,LTBG,0.03636400,-0.00500000,0.04136400,0.08837270,0.09068024,0.25260270,0.05917500
83946,20010330,LTBG,0.07017500,0.01100000,0.05917500,0.06673215,0.05266228,0.19477903,-0.03171600
83946,20010402,LTBG,-0.04371600,-0.01200000,-0.03171600,0.06433246,0.09219897,0.17317736,0.03971400
83946,20010403,LTBG,0.00571400,-0.03400000,0.03971400,-0.02258346,0.07310075,0.06489129,-0.03109100
83946,20010404,LTBG,-0.03409100,-0.00300000,-0.03109100,-0.01119346,0.01320231,0.07634279,-0.02047100
83946,20010405,LTBG,0.02352900,0.04400000,-0.02047100,-0.05982418,-0.05004837,0.03277310,-0.00873600
83946,20010406,LTBG,-0.02873600,-0.02000000,-0.00873600,-0.06565863,-0.05519573,-0.00553289,-0.03663900
83946,20010409,LTBG,-0.02863900,0.00800000,-0.03663900,-0.10508633,-0.15688218,-0.06410966,-0.06306200
83946,20010410,LTBG,-0.03606200,0.02700000,-0.06306200,-0.08166582,-0.11114982,-0.03724810,0.01817800
83946,20010411,LTBG,0.01617800,-0.00200000,0.01817800,-0.06078755,-0.10353187,-0.09178047,-0.01500000
83946,20010412,LTBG,0.00000000,0.01500000,-0.01500000,-0.01903151,-0.11768604,-0.16100801,-0.02187600
83946,20010416,LTBG,-0.02487600,-0.00300000,-0.02187600,-0.12257235,-0.16647947,-0.21398856,-0.08755100
83946,20010417,LTBG,-0.07755100,0.01000000,-0.08755100,-0.19649115,-0.19631365,-0.34276930,-0.09431000
83946,20010418,LTBG,-0.05531000,0.03900000,-0.09431000,-0.19568552,-0.22997015,-0.33709302,-0.01768400
83946,20010419,LTBG,-0.00468400,0.01300000,-0.01768400,0.06426588,-0.05428534,-0.15890713,0.18664700
83946,20010420,LTBG,0.17764699,-0.00900000,0.18664700,0.20555435,0.00315295,-0.11919310,0.03398100
83946,20010423,LTBG,0.01898100,-0.01500000,0.03398100,0.24146093,0.11878874,-0.06432293,0.01690200
83946,20010424,LTBG,0.00490200,-0.01200000,0.01690200,0.21005063,0.41256212,0.16138754,0.15473200
83946,20010425,LTBG,0.17073201,0.01600000,0.15473200,0.19607562,0.46113166,0.16354812,0.01916700
83946,20010426,LTBG,0.02416700,0.00500000,0.01916700,0.19775065,0.25513675,0.19936886,0.01429200
83946,20010427,LTBG,0.02929200,0.01500000,0.01429200,0.09715206,0.28989733,0.30494853,0.05991700
83946,20010430,LTBG,0.05691700,-0.00300000,0.05991700,0.06500872,0.26054044,0.41987479,-0.01100800
83946,20010501,LTBG,0.00299200,0.01400000,-0.01100800,0.08210273,0.12104987,0.59597491,0.03106600
83946,20010502,LTBG,0.03206600,0.00100000,0.03106600,0.00993547,0.08671372,0.59192387,-0.00956600
83946,20010503,LTBG,-0.02456600,-0.01500000,-0.00956600,-0.00351627,0.04538335,0.31523071,-0.02437000
83946,20010504,LTBG,-0.01037000,0.01400000,-0.02437000,-0.08638692,-0.06934850,0.20240512,-0.05488600
83946,20010507,LTBG,-0.05688600,-0.00200000,-0.05488600,-0.07661429,-0.05619515,0.18592481,0.00200000
83946,20010508,LTBG,0.00000000,-0.00200000,0.00200000,-0.07510389,-0.10570343,-0.00197277,-0.02377800
83946,20010509,LTBG,-0.02777800,-0.00400000,-0.02377800,-0.00511923,-0.08294497,-0.00388526,0.01714300
83946,20010510,LTBG,0.01714300,-0.00000000,0.01714300,0.00323808,-0.04920320,-0.00730386,0.01040800
83946,20010511,LTBG,0.00240800,-0.00800000,0.01040800,-0.02354718,-0.04456968,-0.11058955,-0.05023800
83946,20010514,LTBG,-0.04723800,0.00300000,-0.05023800,-0.03831430,-0.04496406,-0.09793735,0.00168100
83946,20010515,LTBG,0.00168100,0.00000000,0.00168100,-0.07111641,-0.04405973,-0.14711519,-0.02212800
83946,20010516,LTBG,0.00587200,0.02800000,-0.02212800,0.03614270,-0.00664227,-0.09122414,0.05621600
83946,20010517,LTBG,0.05921600,0.00300000,0.05621600,0.16968089,0.11163855,0.05333123,0.12692100
83946,20010518,LTBG,0.12992100,0.00300000,0.12692100,0.24144719,0.22238431,0.16319918,0.03974900
83946,20010521,LTBG,0.05574900,0.01600000,0.03974900,0.23204056,0.28212535,0.21979653,0.04920500
83946,20010522,LTBG,0.04620500,-0.00300000,0.04920500,0.07224463,0.27666475,0.22661251,-0.01617700
83946,20010523,LTBG,-0.03217700,-0.01600000,-0.01617700,0.03251023,0.20986330,0.20724516,0.00091100
83946,20010524,LTBG,0.00391100,0.00300000,0.00091100,0.01542745,0.10633843,0.23244384,0.03148100
83946,20010525,LTBG,0.01948100,-0.01200000,0.03148100,0.00848944,0.03955499,0.26482650,-0.02321000
83946,20010529,LTBG,-0.03121000,-0.00800000,-0.02321000,0.03298877,0.01725433,0.29147864,0.02586200
83946,20010530,LTBG,0.00986200,-0.01600000,0.02586200,0.00336527,0.03536284,0.31446886,0.00116100
83946,20010531,LTBG,0.00716100,0.00600000,0.00116100,0.05939066,0.06617850,0.28467190,0.03155300
83946,20010601,LTBG,0.03555300,0.00400000,0.03155300,0.06565522,0.06648295,0.17810205,0.03120500
83946,20010604,LTBG,0.03620500,0.00500000,0.03120500,0.07676413,0.10586772,0.14630948,0.01109600
83946,20010605,LTBG,0.02409600,0.01300000,0.01109600,0.16104843,0.20113926,0.21246802,0.11158800
83946,20010606,LTBG,0.10058800,-0.01100000,0.11158800,0.13650672,0.21094279,0.24865722,0.00943100
83946,20010607,LTBG,0.01443100,0.00500000,0.00943100,0.13323613,0.18384845,0.25761360,0.01058100
83946,20010608,LTBG,0.00158100,-0.00900000,0.01058100,-0.01257260,0.10957544,0.18166316,-0.03197900
83946,20010611,LTBG,-0.03997900,-0.00800000,-0.03197900,-0.03568845,0.08072677,0.19377601,-0.01469900
83946,20010612,LTBG,-0.01369900,0.00100000,-0.01469900,-0.00626693,0.01335231,0.21299807,0.04155600
83946,20010613,LTBG,0.03055600,-0.01100000,0.04155600,0.01687205,-0.00471080,0.19582099,-0.00895400
83946,20010614,LTBG,-0.02695400,-0.01800000,-0.00895400,-0.04411884,-0.08634474,0.07395515,-0.07533200
83946,20010615,LTBG,-0.08033200,-0.00500000,-0.07533200,-0.15279669,-0.12959428,-0.03701235,-0.07933700
83946,20010618,LTBG,-0.08433700,-0.00500000,-0.07933700,-0.11487815,-0.08383819,-0.01091736,0.03976300
83946,20010619,LTBG,0.04276300,0.00300000,0.03976300,-0.01058121,-0.09225236,-0.07832621,0.03453300
83946,20010620,LTBG,0.04353300,0.00900000,0.03453300,0.14855020,-0.02624972,-0.02973534,0.06578300
83946,20010621,LTBG,0.07678300,0.01100000,0.06578300,0.09633609,0.04834677,-0.04489397,-0.00559900
83946,20010622,LTBG,-0.01459900,-0.00900000,-0.00559900,0.01982881,0.09739454,-0.04949609,-0.03673500
83946,20010625,LTBG,-0.04273500,-0.00600000,-0.03673500,-0.01452711,0.08548418,-0.00880287,0.02878600
83946,20010626,LTBG,0.02678600,-0.00200000,0.02878600,0.01921597,0.07878525,-0.02098252,0.02876800
83946,20010627,LTBG,0.02376800,-0.00500000,0.02876800,0.08674050,0.03985157,0.01333692,0.02650500
83946,20010628,LTBG,0.03850500,0.01200000,0.02650500,0.11870408,0.10751521,0.16191321,0.05879700
83946,20010629,LTBG,0.05779700,-0.00100000,0.05879700,-0.19776804,-0.14848387,-0.06535933,-0.26051500
83946,20010702,LTBG,-0.25051501,0.01000000,-0.26051500,-0.21907653,-0.17627928,-0.10517194,-0.00419000
83946,20010703,LTBG,-0.00619000,-0.00200000,-0.00419000,-0.24072910,-0.17726839,-0.10994876,0.02584100
83946,20010705,LTBG,0.01384100,-0.01200000,0.02584100,0.03390344,-0.18138405,-0.14804573,0.01276100
83946,20010706,LTBG,-0.01023900,-0.02300000,0.01276100,0.03142743,-0.23236662,-0.15151876,-0.00700000
83946,20010709,LTBG,0.00000000,0.00700000,-0.00700000,0.03539535,0.05655964,-0.09307491,0.02986200
83946,20010710,LTBG,0.01586200,-0.01400000,0.02986200,0.00395260,0.04184167,-0.13373144,-0.01868800
83946,20010711,LTBG,-0.01968800,-0.00100000,-0.01868800,0.02789719,0.03358482,-0.14805233,0.01685900
83946,20010712,LTBG,0.04085900,0.02400000,0.01685900,-0.00467416,0.01888018,-0.17041282,-0.00200800
83946,20010713,LTBG,0.00399200,0.00600000,-0.00200800,0.01650588,0.02748932,-0.21264411,0.00172200
83946,20010716,LTBG,-0.00927800,-0.01100000,0.00172200,-0.01353267,-0.01643055,0.04149646,-0.01334400
83946,20010717,LTBG,-0.00334400,0.01000000,-0.01334400,-0.03199564,-0.01867156,0.02413815,-0.02084600
83946,20010718,LTBG,-0.02684600,-0.00600000,-0.02084600,-0.03404375,-0.03412223,-0.00125969,0.00020700
83946,20010719,LTBG,0.00620700,0.00600000,0.00020700,-0.03387752,-0.04489710,-0.02792197,-0.01345000
83946,20010720,LTBG,-0.01645000,-0.00300000,-0.01345000,-0.02831404,-0.06105725,-0.03571505,-0.01535900
83946,20010723,LTBG,-0.03135900,-0.01600000,-0.01535900,-0.02977980,-0.04921026,-0.06563888,-0.00198600
83946,20010724,LTBG,-0.01798600,-0.01600000,-0.00198600,-0.06946312,-0.08185505,-0.10061805,-0.05482800
83946,20010725,LTBG,-0.03882800,0.01600000,-0.05482800,-0.04930987,-0.07559509,-0.10718370,0.00753100
83946,20010726,LTBG,0.01753100,0.01000000,0.00753100,-0.22674648,-0.23320327,-0.26646541,-0.18252401
83946,20010727,LTBG,-0.18052401,0.00200000,-0.18252401,-0.19545854,-0.24096487,-0.28575442,-0.02093800
83946,20010730,LTBG,-0.02193800,-0.00100000,-0.02093800,-0.19801488,-0.24213783,-0.27267529,0.00334600
83946,20010731,LTBG,0.00934600,0.00600000,0.00334600,-0.01267053,-0.19034901,-0.25581852,0.00525900
83946,20010801,LTBG,0.00925900,0.00400000,0.00525900,0.01210367,-0.19260436,-0.25296965,0.00333900
