PERMNO,date,TICKER,C2C,indexC2C,C2CindexAdj,C2CindexAdjFwd3Days,C2CindexAdjFwd5Days,C2CindexAdjFwd10Days,C2CindexAdjFwd1Day
16431,20161110,LW,,0.00200000,,,,,-0.01350700
16431,20161111,LW,-0.01450700,-0.00100000,-0.01350700,,,,0.01003700
16431,20161114,LW,0.01003700,-0.00000000,0.01003700,-0.00269538,,,0.00095000
16431,20161115,LW,0.00795000,0.00700000,0.00095000,0.05556976,,,0.04373500
16431,20161116,LW,0.04173500,-0.00200000,0.04373500,0.06683594,0.06287558,,0.02055200
16431,20161117,LW,0.02555200,0.00500000,0.02055200,0.07295585,0.08535153,,0.00722900
16431,20161118,LW,0.00522900,-0.00200000,0.00722900,-0.00874952,0.03629446,,-0.03576400
16431,20161121,LW,-0.02876400,0.00700000,-0.03576400,-0.00115173,0.06459030,,0.02824600
16431,20161122,LW,0.03024600,0.00200000,0.02824600,0.00038101,0.02859730,,0.00878600
16431,20161123,LW,0.00978600,0.00100000,0.00878600,0.01976688,-0.00957382,0.05337033,-0.01702200
16431,20161125,LW,-0.01302200,0.00400000,-0.01702200,0.00124514,-0.00715585,0.07829527,0.00960300
16431,20161128,LW,0.00460300,-0.00500000,0.00960300,0.00517051,0.04270424,0.08129938,0.01274500
16431,20161129,LW,0.01374500,0.00100000,0.01274500,0.03430312,0.02587883,0.09226890,0.01173800
16431,20161130,LW,0.00873800,-0.00300000,0.01173800,-0.00102980,-0.00843522,0.01961039,-0.02497300
16431,20161201,LW,-0.02897300,-0.00400000,-0.02497300,0.00096244,0.02323971,0.01382806,0.01476500
16431,20161202,LW,0.01476500,0.00000000,0.01476500,0.00310136,0.02782615,0.02072163,0.01400600
16431,20161205,LW,0.02000600,0.00600000,0.01400600,0.03127742,0.01701477,0.06058034,0.00205200
16431,20161206,LW,0.00505200,0.00300000,0.00205200,0.03121448,0.01988647,0.04670672,0.01449900
16431,20161207,LW,0.02749900,0.01300000,0.01449900,0.04968582,0.08101970,0.07112924,0.03195700
16431,20161208,LW,0.03395700,0.00200000,0.03195700,0.05457894,0.07243385,0.09726739,0.00652400
16431,20161209,LW,0.01252400,0.00600000,0.00652400,0.04997458,0.06837569,0.09874669,0.01062100
