PERMNO,date,TICKER,C2C,indexC2C,C2CindexAdj,C2CindexAdjFwd3Days,C2CindexAdjFwd5Days,C2CindexAdjFwd10Days,C2CindexAdjFwd1Day
82643,20010102,LXK,-0.07193200,-0.02800000,-0.04393200,,,,0.08829801
82643,20010103,LXK,0.13829800,0.05000000,0.08829801,0.07666332,,,0.03903700
82643,20010104,LXK,0.02803700,-0.01100000,0.03903700,0.14356462,,,0.01301300
82643,20010105,LXK,-0.01298700,-0.02600000,0.01301300,-0.03479098,-0.00231984,,-0.08484200
82643,20010108,LXK,-0.08684200,-0.00200000,-0.08484200,-0.02918709,0.09443719,,0.04643200
82643,20010109,LXK,0.05043200,0.00400000,0.04643200,-0.00674894,0.04516918,,0.03801100
82643,20010110,LXK,0.04801100,0.01000000,0.03801100,0.17754829,0.08756003,,0.08162300
82643,20010111,LXK,0.09162300,0.01000000,0.08162300,0.05323617,0.00768500,,-0.06114600
82643,20010112,LXK,-0.06714600,-0.00600000,-0.06114600,-0.00341885,0.08392566,0.07977424,-0.01756800
82643,20010116,LXK,-0.01156800,0.00600000,-0.01756800,-0.06551247,0.04922781,0.15106417,0.01360500
82643,20010117,LXK,0.01560500,0.00200000,0.01360500,0.02671901,0.04191171,0.08910145,0.03081400
82643,20010118,LXK,0.04481400,0.01400000,0.03081400,0.04135196,-0.04070423,0.04451698,-0.00335300
82643,20010119,LXK,-0.00735300,-0.00400000,-0.00335300,0.03102890,0.02695167,0.03541360,0.00370400
82643,20010122,LXK,0.00370400,0.00000000,0.00370400,0.04497420,0.09321666,0.18932434,0.04481100
82643,20010123,LXK,0.05781100,0.01300000,0.04481100,0.08519598,0.11598291,0.17477086,0.03420900
82643,20010124,LXK,0.03720900,0.00300000,0.03420900,0.07514186,0.07519288,0.12251227,-0.00509000
82643,20010125,LXK,-0.01009000,-0.00500000,-0.00509000,0.00866106,0.05772934,0.01500008,-0.01951800
82643,20010126,LXK,-0.02151800,-0.00200000,-0.01951800,0.00721318,0.08904305,0.12043175,0.03281500
82643,20010129,LXK,0.03981500,0.00700000,0.03281500,-0.00635853,0.02257570,0.11939434,-0.01857600
82643,20010130,LXK,-0.01157600,0.00700000,-0.01857600,0.05685042,0.03047059,0.15089074,0.04203600
82643,20010131,LXK,0.03603600,-0.00600000,0.04203600,0.00917500,0.02186349,0.09967704,-0.01369600
82643,20010201,LXK,-0.00869600,0.00500000,-0.01369600,-0.02162725,-0.00874619,0.04815665,-0.04791200
82643,20010202,LXK,-0.06491200,-0.01700000,-0.04791200,-0.06108369,-0.03965520,0.04458275,0.00012800
82643,20010205,LXK,0.00412800,0.00400000,0.00012800,-0.01390460,0.01335419,0.03600218,0.03619300
82643,20010206,LXK,0.03419300,-0.00200000,0.03619300,0.03247840,-0.03048526,-0.00152117,-0.00356300
82643,20010207,LXK,-0.01156300,-0.00800000,-0.00356300,0.05759038,0.00685455,0.02831384,0.02500900
82643,20010208,LXK,0.01900900,-0.00600000,0.02500900,-0.02580422,0.00869716,0.00005541,-0.04637200
82643,20010209,LXK,-0.05937200,-0.01300000,-0.04637200,-0.04256747,-0.01152562,-0.04996440,-0.02058100
82643,20010212,LXK,-0.00858100,0.01200000,-0.02058100,-0.05604266,-0.03548431,-0.02235415,0.01034600
82643,20010213,LXK,0.00134600,-0.00900000,0.01034600,-0.00832334,-0.03056761,-0.05901935,0.00180800
82643,20010214,LXK,-0.00019200,-0.00200000,0.00180800,0.09462568,0.02215981,0.02849946,0.08229800
82643,20010215,LXK,0.09029800,0.00800000,0.08229800,0.04463252,0.03430370,0.04235801,-0.03474400
82643,20010216,LXK,-0.05374400,-0.01900000,-0.03474400,-0.00930893,0.00247671,-0.00867440,-0.04985300
82643,20010220,LXK,-0.06685300,-0.01700000,-0.04985300,-0.06353385,0.01030547,-0.02407616,0.01840100
82643,20010221,LXK,-0.00059900,-0.01900000,0.01840100,-0.02719877,0.01318042,-0.01655044,0.00479600
82643,20010222,LXK,0.00279600,-0.00200000,0.00479600,0.06754695,-0.01950085,0.00094510,0.04443100
82643,20010223,LXK,0.03843100,-0.00600000,0.04443100,0.03944675,0.00477093,0.03825904,-0.01028900
82643,20010226,LXK,0.00671100,0.01700000,-0.01028900,0.04398270,0.06730167,0.06729961,0.00933300
82643,20010227,LXK,0.00133300,-0.00800000,0.00933300,0.00238280,0.05154437,0.05975337,0.00315700
82643,20010228,LXK,-0.01084300,-0.01400000,0.00315700,-0.02671023,0.00585768,0.01869719,-0.03946200
82643,20010301,LXK,-0.03846200,0.00100000,-0.03946200,-0.03508808,-0.03616627,-0.05253593,0.00060000
82643,20010302,LXK,-0.00540000,-0.00600000,0.00060000,-0.10673397,-0.09334189,-0.08658502,-0.07095100
82643,20010305,LXK,-0.06495100,0.00600000,-0.07095100,0.00703571,-0.02953965,0.03609786,0.08354800
82643,20010306,LXK,0.09354800,0.01000000,0.08354800,0.02449508,-0.01607890,0.03572733,0.01759900
82643,20010307,LXK,0.02359900,0.00600000,0.01759900,0.08534872,0.00814415,0.01407191,-0.01621700
82643,20010308,LXK,-0.01421700,0.00200000,-0.01621700,-0.05360807,-0.04846545,-0.08233185,-0.05412700
82643,20010309,LXK,-0.07912700,-0.02500000,-0.05412700,-0.05751552,0.03219420,-0.06015590,0.00956100
82643,20010312,LXK,-0.03343900,-0.04300000,0.00956100,0.00595965,0.00699330,-0.02143582,0.05572500
82643,20010313,LXK,0.07072500,0.01500000,0.05572500,0.09517049,0.02095310,0.00611163,0.03213500
82643,20010314,LXK,0.00613500,-0.02600000,0.03213500,0.06151332,0.01199135,0.01986315,-0.02571500
82643,20010315,LXK,-0.01971500,0.00600000,-0.02571500,-0.00809973,0.05265650,0.00482483,-0.01462600
82643,20010316,LXK,-0.03462600,-0.02000000,-0.01462600,-0.04508877,0.04043159,0.07165282,-0.00511300
82643,20010319,LXK,0.01288700,0.01800000,-0.00511300,-0.02242174,-0.01582933,-0.00855021,-0.00314200
82643,20010320,LXK,-0.02714200,-0.02400000,-0.00314200,0.01336236,-0.02593164,-0.00435682,0.02170500
82643,20010321,LXK,0.00370500,-0.01800000,0.02170500,0.05791131,0.03770138,0.04685820,0.04091600
82643,20010322,LXK,0.03691600,-0.00400000,0.04091600,0.05293248,0.04400597,0.09555737,-0.01057600
82643,20010323,LXK,0.00942400,0.02000000,-0.01057600,-0.03361040,-0.01430028,0.02503405,-0.06183000
82643,20010326,LXK,-0.05083000,0.01100000,-0.06183000,-0.14975986,-0.08954014,-0.10039096,-0.07802200
82643,20010327,LXK,-0.05202200,0.02600000,-0.07802200,-0.11903066,-0.09343878,-0.11412733,0.01685200
82643,20010328,LXK,-0.00714800,-0.02400000,0.01685200,-0.00292688,-0.07564393,-0.03615377,0.06050400
82643,20010329,LXK,0.05550400,-0.00500000,0.06050400,0.06777062,-0.07401223,-0.03180301,-0.00946000
82643,20010330,LXK,0.00154000,0.01100000,-0.00946000,0.03074264,-0.03087051,-0.04417973,-0.01875600
82643,20010402,LXK,-0.03075600,-0.01200000,-0.01875600,0.02805217,0.10354015,0.01397288,0.05689200
82643,20010403,LXK,0.02289200,-0.03400000,0.05689200,0.06910465,0.12175675,0.02441128,0.03247000
82643,20010404,LXK,0.02947000,-0.00300000,0.03247000,0.17153837,0.13823303,0.05560236,0.07373600
82643,20010405,LXK,0.11773600,0.04400000,0.07373600,0.13572128,0.17232470,0.09068885,0.02442900
82643,20010406,LXK,0.00442900,-0.02000000,0.02442900,0.14303849,0.24337476,0.20404130,0.03801200
82643,20010409,LXK,0.04601200,0.00800000,0.03801200,0.08177101,0.20549302,0.32316754,0.01643800
82643,20010410,LXK,0.04343800,0.02700000,0.01643800,0.10699917,0.22299306,0.36930102,0.04661600
82643,20010411,LXK,0.04461600,-0.00200000,0.04661600,0.03647527,0.10365963,0.26049665,-0.02710700
82643,20010412,LXK,-0.01210700,0.01500000,-0.02710700,-0.03259060,0.02122019,0.20448049,-0.04993600
82643,20010416,LXK,-0.05293600,-0.00300000,-0.04993600,-0.03838506,0.02464244,0.28542587,0.04140200
82643,20010417,LXK,0.05140200,0.01000000,0.04140200,-0.03415673,-0.01537135,0.19839346,-0.02259000
82643,20010418,LXK,0.01641000,0.03900000,-0.02259000,0.06295675,-0.02226784,0.21137930,0.04065000
82643,20010419,LXK,0.05365000,0.01300000,0.04065000,-0.00064103,-0.01234639,0.09490633,-0.01765600
82643,20010420,LXK,-0.02665600,-0.00900000,-0.01765600,0.07996159,0.10450154,0.13349297,0.05714500
82643,20010423,LXK,0.04214500,-0.01500000,0.05714500,0.00844353,0.02682005,0.05377038,-0.02891300
82643,20010424,LXK,-0.04091300,-0.01200000,-0.02891300,-0.00154212,0.01985552,0.00548046,-0.02830500
82643,20010425,LXK,-0.01230500,0.01600000,-0.02830500,-0.06862259,-0.03104032,-0.05462842,-0.01247500
82643,20010426,LXK,-0.00747500,0.00500000,-0.01247500,-0.05198264,-0.02467106,-0.03806010,-0.01081600
82643,20010427,LXK,0.00418400,0.01500000,-0.01081600,0.00341684,-0.05424758,0.04472467,0.02683300
82643,20010430,LXK,0.02383300,-0.00300000,0.02683300,0.05755890,0.01459263,0.04330456,0.04004500
82643,20010501,LXK,0.05404500,0.01400000,0.04004500,0.14303008,0.11887758,0.14085364,0.06927000
82643,20010502,LXK,0.07027000,0.00100000,0.06927000,0.12832386,0.14809029,0.10983058,0.01500000
82643,20010503,LXK,0.00000000,-0.01500000,0.01500000,0.01024959,0.07925463,0.05304478,-0.07027700
82643,20010504,LXK,-0.05627700,0.01400000,-0.07027700,-0.01713918,0.09340097,0.03539966,0.04007300
82643,20010507,LXK,0.03807300,-0.00200000,0.04007300,-0.01009240,0.07432188,0.09348679,0.02262200
82643,20010508,LXK,0.02062200,-0.00200000,0.02262200,0.03550298,-0.02112263,0.09347069,-0.02616300
82643,20010509,LXK,-0.03016300,-0.00400000,-0.02616300,-0.02052114,-0.05222870,0.08838877,-0.01651800
82643,20010510,LXK,-0.01651800,-0.00000000,-0.01651800,-0.03002940,0.03090081,0.11167506,0.01238800
82643,20010511,LXK,0.00438800,-0.00800000,0.01238800,-0.02339915,-0.02731140,0.06219142,-0.01942100
82643,20010514,LXK,-0.01642100,0.00300000,-0.01942100,0.00668812,-0.03559157,0.03556560,0.01393800
82643,20010515,LXK,0.01393800,0.00000000,0.01393800,-0.03695934,-0.04084146,-0.06120882,-0.03117200
82643,20010516,LXK,-0.00317200,0.02800000,-0.03117200,-0.01132534,-0.01848946,-0.07121464,0.00594100
82643,20010517,LXK,0.00894100,0.00300000,0.00594100,-0.02435828,-0.03019940,0.00140085,0.00105500
82643,20010518,LXK,0.00405500,0.00300000,0.00105500,0.03350895,0.01620804,-0.01310943,0.02603400
82643,20010521,LXK,0.04203400,0.01600000,0.02603400,0.00909125,-0.01660513,-0.05314934,-0.01724100
82643,20010522,LXK,-0.02024100,-0.00300000,-0.01724100,-0.00003569,0.00696427,-0.03411426,-0.00773600
82643,20010523,LXK,-0.02373600,-0.01600000,-0.00773600,-0.02188928,0.00387395,-0.01463734,0.00285300
82643,20010524,LXK,0.00585300,0.00300000,0.00285300,-0.01100544,-0.00344462,-0.03329811,-0.00620300
82643,20010525,LXK,-0.01820300,-0.01200000,-0.00620300,-0.02490874,-0.04795351,-0.03553202,-0.02178700
82643,20010529,LXK,-0.02978700,-0.00800000,-0.02178700,-0.05692370,-0.06069474,-0.07837954,-0.03130600
82643,20010530,LXK,-0.04730600,-0.01600000,-0.03130600,-0.03988761,-0.04274964,-0.03638723,0.01323700
82643,20010531,LXK,0.01923700,0.00600000,0.01323700,-0.02252893,-0.04883473,-0.04538389,-0.00367700
82643,20010601,LXK,0.00032300,0.00400000,-0.00367700,-0.04236707,-0.09175349,-0.09372545,-0.05096000
82643,20010604,LXK,-0.04596000,0.00500000,-0.05096000,-0.06149792,-0.07901684,-0.12093538,-0.00640800
82643,20010605,LXK,0.00659200,0.01300000,-0.00640800,-0.06846925,-0.06020110,-0.11537144,-0.01183800
82643,20010606,LXK,-0.02283800,-0.01100000,-0.01183800,-0.01548743,-0.06982754,-0.10839630,0.00290500
82643,20010607,LXK,0.00790500,0.00500000,0.00290500,0.00895483,-0.04827030,-0.09363310,0.01820700
82643,20010608,LXK,0.00920700,-0.00900000,0.01820700,-0.02562268,-0.04323683,-0.12969338,-0.04589400
82643,20010611,LXK,-0.05389400,-0.00800000,-0.04589400,0.00162234,-0.00731629,-0.08411075,0.03132100
82643,20010612,LXK,0.03232100,0.00100000,0.03132100,-0.00622887,0.01451323,-0.04499685,0.01013500
82643,20010613,LXK,-0.00086500,-0.01100000,0.01013500,0.05461634,0.02467980,-0.04338497,0.01349900
82643,20010614,LXK,-0.00450100,-0.01800000,0.01349900,0.04144200,0.02471770,-0.02272512,0.01821700
82643,20010615,LXK,0.01321700,-0.00500000,0.01821700,0.01861993,0.05949227,0.01470028,-0.01267900
82643,20010618,LXK,-0.01767900,-0.00500000,-0.01267900,0.02039592,0.04356228,0.03523361,0.01517200
82643,20010619,LXK,0.01817200,0.00300000,0.01517200,0.01174208,0.04363014,0.05758724,0.00953400
82643,20010620,LXK,0.01853400,0.00900000,0.00953400,0.00392374,0.00930690,0.03412390,-0.02060400
82643,20010621,LXK,-0.00960400,0.01100000,-0.02060400,-0.00868772,-0.00647857,0.01856044,0.00253500
82643,20010622,LXK,-0.00646500,-0.00900000,0.00253500,0.00276198,0.02777728,0.08834769,0.02089700
82643,20010625,LXK,0.01489700,-0.00600000,0.02089700,0.03971227,0.02890476,0.07282088,0.01634100
82643,20010626,LXK,0.01434100,-0.00200000,0.01634100,0.07852932,0.05959624,0.10438386,0.04009600
82643,20010627,LXK,0.03509600,-0.00500000,0.04009600,0.07049110,0.09447502,0.10579102,0.01226500
82643,20010628,LXK,0.02426500,0.01200000,0.01226500,0.11266234,0.15364214,0.14754631,0.05606700
82643,20010629,LXK,0.05506700,-0.00100000,0.05606700,0.04928561,0.10987839,0.14196000,-0.01951700
82643,20010702,LXK,-0.00951700,0.01000000,-0.01951700,0.04574107,0.10213942,0.13469039,0.00935600
82643,20010703,LXK,0.00735600,-0.00200000,0.00935600,-0.02398836,0.04346998,0.10558245,-0.01393100
82643,20010705,LXK,-0.02593100,-0.01200000,-0.01393100,-0.02459763,0.00900981,0.10160036,-0.02029900
82643,20010706,LXK,-0.04329900,-0.02300000,-0.02029900,-0.03179412,-0.04164861,0.10257696,0.00195600
82643,20010709,LXK,0.00895600,0.00700000,0.00195600,-0.05360295,-0.05724338,0.04076718,-0.03656300
82643,20010710,LXK,-0.05056300,-0.01400000,-0.03656300,-0.04788205,-0.07773404,0.01103607,-0.01352400
82643,20010711,LXK,-0.01452400,-0.00100000,-0.01352400,-0.04320853,-0.06043839,-0.02034067,0.00784800
82643,20010712,LXK,0.03184800,0.02400000,0.00784800,-0.01959838,-0.05475379,-0.04450802,-0.01322400
82643,20010713,LXK,-0.00722400,0.00600000,-0.01322400,0.02370793,-0.02811305,-0.06817024,0.02869500
82643,20010716,LXK,0.01769500,-0.01100000,0.02869500,-0.00340605,-0.00960799,-0.06748470,-0.01877500
82643,20010717,LXK,-0.00877500,0.01000000,-0.01877500,-0.00149586,-0.00724174,-0.08587924,-0.01121300
82643,20010718,LXK,-0.01721300,-0.00600000,-0.01121300,-0.04717497,-0.03210034,-0.09064614,-0.01767600
82643,20010719,LXK,-0.01167600,0.00600000,-0.01767600,-0.03548865,-0.02595501,-0.07962690,-0.00712700
82643,20010720,LXK,-0.01012700,-0.00300000,-0.00712700,-0.16107974,-0.18630582,-0.20958363,-0.13983999
82643,20010723,LXK,-0.15583999,-0.01600000,-0.13983999,-0.15691329,-0.18007108,-0.19265260,-0.01651900
82643,20010724,LXK,-0.03251900,-0.01600000,-0.01651900,-0.18272591,-0.20302946,-0.21333895,-0.03520700
82643,20010725,LXK,-0.01920700,0.01600000,-0.03520700,-0.05841934,-0.19566943,-0.22213559,-0.00744600
82643,20010726,LXK,0.00255400,0.01000000,-0.00744600,-0.05639631,-0.20188212,-0.22164608,-0.01367700
82643,20010727,LXK,-0.01167700,0.00200000,-0.01367700,-0.03612525,-0.08568435,-0.25724298,-0.01511200
