PERMNO,date,TICKER,C2C,indexC2C,C2CindexAdj,C2CindexAdjFwd3Days,C2CindexAdjFwd5Days,C2CindexAdjFwd10Days,C2CindexAdjFwd1Day
13100,20010102,MAY,0.01145000,-0.02800000,0.03945000,,,,0.04434000
13100,20010103,MAY,0.09434000,0.05000000,0.04434000,0.12039794,,,0.03169000
13100,20010104,MAY,0.02069000,-0.01100000,0.03169000,0.02817273,,,-0.04325700
13100,20010105,MAY,-0.06925700,-0.02600000,-0.04325700,0.00243359,0.08563040,,0.01651900
13100,20010108,MAY,0.01451900,-0.00200000,0.01651900,-0.01479192,0.06012007,,0.01388900
13100,20010109,MAY,0.01788900,0.00400000,0.01388900,0.02428568,0.00962582,,-0.00648500
13100,20010110,MAY,0.00351500,0.01000000,-0.00648500,-0.00808018,-0.03609745,,-0.01525400
13100,20010111,MAY,-0.00525400,0.01000000,-0.01525400,-0.00343452,0.02755787,,0.01832400
13100,20010112,MAY,0.01232400,-0.00600000,0.01832400,0.01805773,0.02594635,0.11537722,0.01487000
13100,20010116,MAY,0.02087000,0.00600000,0.01487000,0.03852912,0.01656107,0.07922865,0.00481400
13100,20010117,MAY,0.00681400,0.00200000,0.00481400,-0.03603706,-0.03315644,-0.02276439,-0.05460900
13100,20010118,MAY,-0.04060900,0.01400000,-0.05460900,-0.08010682,-0.04889877,-0.08344437,-0.03127300
13100,20010119,MAY,-0.03527300,-0.00400000,-0.03127300,-0.05393657,-0.03542622,-0.00891439,0.03290700
13100,20010122,MAY,0.03290700,0.00000000,0.03290700,0.00868940,-0.04215470,-0.01766812,0.00823900
13100,20010123,MAY,0.02123900,0.01300000,0.00823900,0.06622878,-0.02444918,-0.00840048,0.02299700
13100,20010124,MAY,0.02599700,0.00300000,0.02299700,0.02621007,0.02659609,-0.00697594,-0.00513500
13100,20010125,MAY,-0.01013500,-0.00500000,-0.00513500,0.01441061,0.05687808,0.00543945,-0.00311900
13100,20010126,MAY,-0.00511900,-0.00200000,-0.00311900,-0.00023077,0.03150617,-0.00503476,0.00816300
13100,20010129,MAY,0.01516300,0.00700000,0.00816300,-0.00478452,0.01296612,-0.02983023,-0.00970300
13100,20010130,MAY,-0.00270300,0.00700000,-0.00970300,0.06098983,0.05178507,0.02740111,0.06184200
