PERMNO,date,TICKER,C2C,indexC2C,C2CindexAdj,C2CindexAdjFwd3Days,C2CindexAdjFwd5Days,C2CindexAdjFwd10Days,C2CindexAdjFwd1Day
43449,20010102,MCD,-0.01470600,-0.02800000,0.01329400,,,,-0.04440300
43449,20010103,MCD,0.00559700,0.05000000,-0.04440300,-0.03878511,,,-0.00940800
43449,20010104,MCD,-0.02040800,-0.01100000,-0.00940800,-0.02824118,,,0.02410600
43449,20010105,MCD,-0.00189400,-0.02600000,0.02410600,0.01823302,-0.01057470,,0.00389800
43449,20010108,MCD,0.00189800,-0.00200000,0.00389800,0.02595430,-0.02652406,,-0.00210600
43449,20010109,MCD,0.00189400,0.00400000,-0.00210600,-0.00442093,0.01030176,,-0.00621900
43449,20010110,MCD,0.00378100,0.01000000,-0.00621900,-0.03364984,-0.00502560,,-0.02506600
43449,20010111,MCD,-0.01506600,0.01000000,-0.02506600,0.00303431,0.00487471,,0.03468100
43449,20010112,MCD,0.02868100,-0.00600000,0.03468100,0.01828529,0.00994810,-0.00117450,0.00887000
43449,20010116,MCD,0.01487000,0.00600000,0.00887000,0.05922256,0.02704710,-0.00041644,0.01448400
43449,20010117,MCD,0.01648400,0.00200000,0.01448400,-0.02212398,-0.01296825,-0.00220462,-0.04463100
43449,20010118,MCD,-0.03063100,0.01400000,-0.04463100,-0.05042579,-0.00810330,-0.01311212,-0.02016400
43449,20010119,MCD,-0.02416400,-0.00400000,-0.02016400,-0.04417948,-0.02175379,-0.01724525,0.02095200
43449,20010122,MCD,0.02095200,0.00000000,0.02095200,-0.03125398,-0.06175051,-0.05365770,-0.03165700
43449,20010123,MCD,-0.01865700,0.01300000,-0.03165700,-0.07699243,-0.13785601,-0.11687752,-0.06573800
43449,20010124,MCD,-0.06273800,0.00300000,-0.06573800,-0.12849681,-0.12773425,-0.14247611,-0.03556800
43449,20010125,MCD,-0.04056800,-0.00500000,-0.03556800,-0.11385974,-0.12512799,-0.13378223,-0.01702700
43449,20010126,MCD,-0.01902700,-0.00200000,-0.01702700,-0.04190794,-0.13480571,-0.15640633,0.01093100
43449,20010129,MCD,0.01793100,0.00700000,0.01093100,-0.01582566,-0.11416393,-0.17234886,-0.00937100
43449,20010130,MCD,-0.00237100,0.00700000,-0.00937100,0.00410412,-0.04838326,-0.18096090,0.00260400
43449,20010131,MCD,-0.00339600,-0.00600000,0.00260400,-0.02256192,-0.02899097,-0.15462488,-0.01590300
43449,20010201,MCD,-0.01090300,0.00500000,-0.01590300,0.01733308,0.01904411,-0.10776902,0.03077900
43449,20010202,MCD,0.01377900,-0.01700000,0.03077900,0.00847374,0.00176265,-0.13228413,-0.00637900
43449,20010205,MCD,-0.00237900,0.00400000,-0.00637900,0.04948857,0.03574984,-0.08030553,0.02482000
43449,20010206,MCD,0.02282000,-0.00200000,0.02482000,0.00058672,0.01530994,-0.03292735,-0.01730800
43449,20010207,MCD,-0.02530800,-0.00800000,-0.01730800,0.01524324,0.03946274,0.01059543,0.00839200
43449,20010208,MCD,0.00239200,-0.00600000,0.00839200,0.01778024,0.03604501,0.05515067,0.02731500
43449,20010209,MCD,0.01431500,-0.01300000,0.02731500,0.02628177,0.03307019,0.03462350,-0.00964800
43449,20010212,MCD,0.00235200,0.01200000,-0.00964800,0.03264054,0.02295763,0.05830316,0.01469900
43449,20010213,MCD,0.00569900,-0.00900000,0.01469900,-0.01802335,0.01736982,0.03235602,-0.02300000
43449,20010214,MCD,-0.02500000,-0.00200000,-0.02300000,0.01145066,0.02944380,0.06905434,0.02037600
43449,20010215,MCD,0.02837600,0.00800000,0.02037600,0.02046272,0.02573230,0.06169547,0.02365400
43449,20010216,MCD,0.00465400,-0.01900000,0.02365400,0.06864592,0.05908638,0.09182471,0.02428000
43449,20010220,MCD,0.00728000,-0.01700000,0.02428000,0.04070125,0.03767149,0.05948178,-0.00596700
43449,20010221,MCD,-0.02496700,-0.01900000,-0.00596700,0.03231104,0.07603015,0.09250844,0.01480300
43449,20010222,MCD,0.01280300,-0.00200000,0.01480300,0.01632359,0.06288528,0.09210271,0.00799600
43449,20010223,MCD,0.00199600,-0.00600000,0.00799600,-0.00213778,0.01586672,0.04114647,-0.02496800
43449,20010226,MCD,-0.00796800,0.01700000,-0.02496800,-0.00314369,0.00539765,0.06351843,0.01368900
43449,20010227,MCD,0.00568900,-0.00800000,0.01368900,-0.01864489,0.00377122,0.04090499,-0.00763100
43449,20010228,MCD,-0.02163100,-0.01400000,-0.00763100,-0.00151434,-0.01803805,0.05671407,-0.00746300
43449,20010301,MCD,-0.00646300,0.00100000,-0.00746300,-0.02099880,-0.03192639,0.03027252,-0.00632500
43449,20010302,MCD,-0.01232500,-0.00600000,-0.00632500,-0.02953636,-0.02323327,-0.00743749,-0.01605200
43449,20010305,MCD,-0.01005200,0.00600000,-0.01605200,-0.02228876,-0.03675480,-0.03090340,0.00015400
43449,20010306,MCD,0.01015400,0.01000000,0.00015400,-0.03775452,-0.05105418,-0.04673701,-0.02159800
43449,20010307,MCD,-0.01559800,0.00600000,-0.02159800,0.00781796,-0.01497515,-0.03291542,0.02969000
43449,20010308,MCD,0.03169000,0.00200000,0.02969000,0.02065464,0.00487056,-0.02721636,0.01305500
43449,20010309,MCD,-0.01194500,-0.02500000,0.01305500,0.05308690,0.03253642,0.00902842,0.01225700
43449,20010312,MCD,-0.03074300,-0.04300000,0.01225700,0.00173419,0.00894542,-0.02650011,-0.02426600
43449,20010313,MCD,-0.00926600,0.01500000,-0.02426600,0.00554030,0.04577780,-0.00296829,0.01700700
43449,20010314,MCD,-0.00899300,-0.02600000,0.01700700,-0.02376486,0.00171077,-0.01218063,-0.01725200
43449,20010315,MCD,-0.01125200,0.00600000,-0.01725200,-0.00700976,-0.01737004,-0.01288727,-0.00716600
43449,20010316,MCD,-0.02716600,-0.02000000,-0.00716600,-0.04609365,-0.05206615,-0.01887216,-0.02252800
43449,20010319,MCD,-0.00452800,0.01800000,-0.02252800,-0.02766160,-0.02709255,-0.01757194,0.00087600
43449,20010320,MCD,-0.02312400,-0.02400000,0.00087600,-0.00775973,-0.03087297,0.01408505,0.01334300
43449,20010321,MCD,-0.00465700,-0.01800000,0.01334300,-0.00274194,-0.03054016,-0.02676372,-0.01705300
43449,20010322,MCD,-0.02105300,-0.00400000,-0.01705300,-0.02751414,-0.04782151,-0.06099189,-0.02438100
43449,20010323,MCD,-0.00438100,0.02000000,-0.02438100,-0.04074105,-0.02534240,-0.07507907,0.00100000
43449,20010326,MCD,0.01200000,0.01100000,0.00100000,-0.04927038,-0.05190619,-0.07615213,-0.02481400
43449,20010327,MCD,0.00118600,0.02600000,-0.02481400,-0.00119104,-0.04293390,-0.07172604,0.02202600
43449,20010328,MCD,-0.00197400,-0.02400000,0.02202600,0.05066666,0.02748228,-0.00604596,0.05286400
43449,20010329,MCD,0.04786400,-0.00500000,0.05286400,0.06636182,0.04359027,-0.00757906,-0.00873500
43449,20010330,MCD,0.00226500,0.01100000,-0.00873500,0.05992393,0.05772349,0.03013840,0.01539000
43449,20010402,MCD,0.00339000,-0.01200000,0.01539000,0.00866839,0.08112022,0.03109692,0.00209300
43449,20010403,MCD,-0.03190700,-0.03400000,0.00209300,0.03112901,0.07483896,0.03266298,0.01463200
43449,20010404,MCD,0.01163200,-0.00300000,0.01463200,-0.02950346,-0.02283871,0.00350768,-0.04745000
43449,20010405,MCD,-0.00345000,0.04400000,-0.04745000,-0.00221558,0.01515481,0.05853147,0.02961500
43449,20010406,MCD,0.00961500,-0.02000000,0.02961500,-0.00830843,0.00862367,0.06641439,0.00876200
43449,20010409,MCD,0.01676200,0.00800000,0.00876200,0.02394974,-0.00905632,0.07643995,-0.01538500
43449,20010410,MCD,0.01161500,0.02700000,-0.01538500,-0.01485952,-0.03250197,0.04556382,-0.00800000
43449,20010411,MCD,-0.01000000,-0.00200000,-0.00800000,-0.03282631,0.00656095,-0.01703107,-0.00901400
43449,20010412,MCD,0.00598600,0.01500000,-0.00901400,-0.00178295,-0.00854410,0.00739676,0.01527200
43449,20010416,MCD,0.01227200,-0.00300000,0.01527200,-0.00561376,-0.02958684,-0.02060842,-0.01183700
43449,20010417,MCD,-0.00183700,0.01000000,-0.01183700,-0.02392876,-0.04166330,-0.05321599,-0.02722200
43449,20010418,MCD,0.01177800,0.03900000,-0.02722200,-0.05384799,-0.04805671,-0.08419924,-0.01372800
43449,20010419,MCD,-0.00072800,0.01300000,-0.01372800,-0.04597879,-0.04286692,-0.03744330,-0.00483300
43449,20010420,MCD,-0.01383300,-0.00900000,-0.00483300,-0.00810488,-0.04721486,-0.05782547,0.01020100
43449,20010423,MCD,-0.00479900,-0.01500000,0.01020100,0.01264468,-0.02720605,-0.05772775,0.00754900
43449,20010424,MCD,-0.00445100,-0.01200000,0.00754900,0.00792640,-0.01041550,-0.05195911,-0.01003900
43449,20010425,MCD,0.00596100,0.01600000,-0.01003900,-0.00660151,-0.00113279,-0.04848806,-0.00425900
43449,20010426,MCD,0.00074100,0.00500000,-0.00425900,-0.02633657,-0.00786187,-0.05115593,-0.01166900
43449,20010427,MCD,0.00333100,0.01500000,-0.01166900,0.00150436,-0.00085754,-0.04905041,0.01738600
43449,20010430,MCD,0.01438600,-0.00300000,0.01738600,0.00200544,-0.01273025,-0.04108086,-0.00381800
43449,20010501,MCD,0.01018200,0.01400000,-0.00381800,0.00426188,-0.01191283,-0.02245224,-0.00927900
43449,20010502,MCD,-0.00827900,0.00100000,-0.00927900,-0.02160613,-0.01618122,-0.01706224,-0.00859300
43449,20010503,MCD,-0.02359300,-0.01500000,-0.00859300,-0.03434538,-0.02144060,-0.02940277,-0.01697400
43449,20010504,MCD,-0.00297400,0.01400000,-0.01697400,-0.02510396,-0.03830270,-0.03993752,0.00013600
43449,20010507,MCD,-0.00186400,-0.00200000,0.00013600,-0.02295889,-0.04006910,-0.05414914,-0.00621800
43449,20010508,MCD,-0.00821800,-0.00200000,-0.00621800,0.02214884,-0.00352313,-0.01539837,0.02848200
43449,20010509,MCD,0.02448200,-0.00400000,0.02848200,0.01122153,-0.00553654,-0.02178878,-0.01066200
43449,20010510,MCD,-0.01066200,-0.00000000,-0.01066200,0.05678917,0.05021941,0.02858292,0.03884400
43449,20010511,MCD,0.03084400,-0.00800000,0.03884400,0.02524425,0.04759375,0.00844850,-0.00264000
43449,20010514,MCD,0.00036000,0.00300000,-0.00264000,0.02694886,0.04478502,0.00309383,-0.00900900
43449,20010515,MCD,-0.00900900,0.00000000,-0.00900900,-0.03252622,-0.00445307,-0.00800008,-0.02072700
43449,20010516,MCD,0.00727300,0.02800000,-0.02072700,-0.00405666,0.03318225,0.02751463,0.02588100
43449,20010517,MCD,0.02888100,0.00300000,0.02588100,0.04945938,0.03698095,0.09034110,0.04261400
43449,20010518,MCD,0.04561400,0.00300000,0.04261400,0.05587269,0.02531170,0.07624621,-0.01398700
43449,20010521,MCD,0.00201300,0.01600000,-0.01398700,0.05418366,0.06151836,0.11063509,0.02443300
43449,20010522,MCD,0.02143300,-0.00300000,0.02443300,0.01801904,0.08896118,0.08613124,0.00747500
43449,20010523,MCD,-0.00852500,-0.01600000,0.00747500,0.04614886,0.07656278,0.11435955,0.01419600
43449,20010524,MCD,0.01719600,0.00300000,0.01419600,0.02521948,0.03608668,0.07529400,0.00387300
43449,20010525,MCD,-0.00812700,-0.01200000,0.00387300,0.03382921,0.06539959,0.09478305,0.01586600
43449,20010529,MCD,0.00786600,-0.00800000,0.01586600,0.03331033,0.05439890,0.11888836,0.01404900
