PERMNO,date,TICKER,C2C,indexC2C,C2CindexAdj,C2CindexAdjFwd3Days,C2CindexAdjFwd5Days,C2CindexAdjFwd10Days,C2CindexAdjFwd1Day
81061,20010102,MCK,-0.02089700,-0.02800000,0.00710300,,,,-0.06821300
81061,20010103,MCK,-0.01821300,0.05000000,-0.06821300,-0.12444682,,,-0.06842000
81061,20010104,MCK,-0.07942000,-0.01100000,-0.06842000,-0.14349369,,,-0.01367300
81061,20010105,MCK,-0.03967300,-0.02600000,-0.01367300,-0.06280925,-0.11741348,,0.01839300
81061,20010108,MCK,0.01639300,-0.00200000,0.01839300,0.01713160,-0.11591335,,0.01341900
81061,20010109,MCK,0.01741900,0.00400000,0.01341900,0.06175776,-0.02558236,,0.02836400
81061,20010110,MCK,0.03836400,0.01000000,0.02836400,-0.01450340,-0.01004156,,-0.05427500
81061,20010111,MCK,-0.04427500,0.01000000,-0.05427500,-0.01524755,0.01678686,,0.01239000
81061,20010112,MCK,0.00639000,-0.00600000,0.01239000,-0.04843650,-0.00833687,-0.12744922,-0.00631700
81061,20010116,MCK,-0.00031700,0.00600000,-0.00631700,-0.01506266,-0.04271194,-0.15681161,-0.02105400
81061,20010117,MCK,-0.01905400,0.00200000,-0.02105400,-0.08783789,-0.12752484,-0.14730746,-0.06126400
81061,20010118,MCK,-0.04726400,0.01400000,-0.06126400,-0.13231983,-0.12694316,-0.13526572,-0.05478400
81061,20010119,MCK,-0.05878400,-0.00400000,-0.05478400,-0.07112919,-0.09740097,-0.08350474,0.04693100
81061,20010122,MCK,0.04693100,0.00000000,0.04693100,0.07158144,-0.01527545,-0.02406318,0.08355200
81061,20010123,MCK,0.09655200,0.01300000,0.08355200,0.11572977,-0.01125111,-0.05484778,-0.01715100
81061,20010124,MCK,-0.01415100,0.00300000,-0.01715100,0.08628276,0.07429396,-0.06164415,0.01999200
81061,20010125,MCK,0.01499200,-0.00500000,0.01999200,0.00998611,0.14593698,0.00107430,0.00734300
81061,20010126,MCK,0.00534300,-0.00200000,0.00734300,0.02938562,0.09676005,-0.00987867,0.00175300
81061,20010129,MCK,0.00875300,0.00700000,0.00175300,0.01092152,0.01360402,-0.00168998,0.00167700
81061,20010130,MCK,0.00867700,0.00700000,0.00167700,0.01329280,0.04118748,0.03053937,0.00968700
81061,20010131,MCK,0.00368700,-0.00600000,0.00968700,0.01727903,0.02673467,0.10401536,0.00571300
81061,20010201,MCK,0.01071300,0.00500000,0.00571300,0.03951761,0.04360410,0.19567885,0.02396500
81061,20010202,MCK,0.00696500,-0.01700000,0.02396500,0.03506919,0.04684891,0.14819657,0.00502300
81061,20010205,MCK,0.00902300,0.00400000,0.00502300,0.03563545,0.05138681,0.06598439,0.00647100
81061,20010206,MCK,0.00447100,-0.00200000,0.00647100,0.01865615,0.04864527,0.09113816,0.00711000
81061,20010207,MCK,-0.00089000,-0.00800000,0.00711000,0.03172156,0.06088594,0.08914728,0.01817700
81061,20010208,MCK,0.01217700,-0.00600000,0.01817700,0.03567331,0.04738939,0.09177726,0.01065300
81061,20010209,MCK,-0.00234700,-0.01300000,0.01065300,0.01695051,0.03047513,0.07773354,-0.01200000
81061,20010212,MCK,0.00000000,0.01200000,-0.01200000,0.00339701,0.02840750,0.07956693,0.00458800
81061,20010213,MCK,-0.00441200,-0.00900000,0.00458800,-0.02176919,0.00676631,0.05474052,-0.01454400
81061,20010214,MCK,-0.01654400,-0.00200000,-0.01454400,-0.02634224,-0.02746770,0.03227939,-0.01671100
81061,20010215,MCK,-0.00871100,0.00800000,-0.01671100,-0.01079964,-0.01796005,0.02853726,0.02021200
81061,20010216,MCK,0.00121200,-0.01900000,0.02021200,0.01174177,0.00187241,0.03119518,0.00822300
81061,20010220,MCK,-0.00877700,-0.01700000,0.00822300,0.07460532,0.04331612,0.07054327,0.04739700
81061,20010221,MCK,0.02839700,-0.01900000,0.04739700,0.02216993,0.02550890,0.03166024,-0.03214500
81061,20010222,MCK,-0.03414500,-0.00200000,-0.03214500,-0.01255351,0.01488882,-0.01135992,-0.02689300
81061,20010223,MCK,-0.03289300,-0.00600000,-0.02689300,-0.04272481,0.01198390,-0.00582748,0.01732900
81061,20010226,MCK,0.03432900,0.01700000,0.01732900,-0.05691562,-0.04224892,-0.03885733,-0.04639500
81061,20010227,MCK,-0.05439500,-0.00800000,-0.04639500,-0.06858597,-0.12168734,-0.07833213,-0.03907700
81061,20010228,MCK,-0.05307700,-0.01400000,-0.03907700,-0.05996532,-0.07035337,-0.04349955,0.02547900
81061,20010301,MCK,0.02647900,0.00100000,0.02547900,0.00688777,-0.02347736,-0.00764539,0.02241500
81061,20010302,MCK,0.01641500,-0.00600000,0.02241500,0.03032875,-0.05561977,-0.04304514,-0.01753600
81061,20010305,MCK,-0.01153600,0.00600000,-0.01753600,-0.03341441,-0.04761749,-0.08685316,-0.03800900
81061,20010306,MCK,-0.02800900,0.01000000,-0.03800900,-0.07917674,-0.03320185,-0.15248398,-0.02452500
81061,20010307,MCK,-0.01852500,0.00600000,-0.02452500,-0.03909859,-0.03447088,-0.10331640,0.02421500
81061,20010308,MCK,0.02621500,0.00200000,0.02421500,0.00346591,-0.05100175,-0.07272651,0.00422300
81061,20010309,MCK,-0.02077700,-0.02500000,0.00422300,0.04024249,-0.01964590,-0.07097807,0.01343500
81061,20010312,MCK,-0.02956500,-0.04300000,0.01343500,-0.01791578,-0.01880980,-0.06331278,-0.03722200
81061,20010313,MCK,-0.02222200,0.01500000,-0.03722200,-0.02470802,0.00160823,-0.02910597,-0.00295900
81061,20010314,MCK,-0.02895900,-0.02600000,-0.00295900,-0.06300021,-0.04276395,-0.07405032,-0.02487500
81061,20010315,MCK,-0.01887500,0.00600000,-0.02487500,-0.04455788,-0.06387076,-0.10809497,-0.01886100
81061,20010316,MCK,-0.03886100,-0.02000000,-0.01886100,-0.02287828,-0.06101141,-0.07625211,0.02203200
81061,20010319,MCK,0.04003200,0.01800000,0.02203200,0.02861167,0.00084095,-0.01715888,0.02669400
81061,20010320,MCK,0.00269400,-0.02400000,0.02669400,0.04553319,0.00109789,0.00256350,-0.00272900
81061,20010321,MCK,-0.02072900,-0.01800000,-0.00272900,-0.03158107,-0.02968326,-0.06700221,-0.05597700
81061,20010322,MCK,-0.05997700,-0.00400000,-0.05597700,0.01349855,0.06322602,-0.00837457,0.07841501
81061,20010323,MCK,0.09841500,0.02000000,0.07841501,0.02229639,0.04600631,-0.01721939,0.00532500
81061,20010326,MCK,0.01632500,0.01100000,0.00532500,0.03621347,-0.02753772,-0.02542585,-0.04579800
81061,20010327,MCK,-0.01979800,0.02600000,-0.04579800,-0.01542830,0.00089103,0.00198726,0.02476200
81061,20010328,MCK,0.00076200,-0.02400000,0.02476200,0.00288422,0.08803733,0.05072988,0.02366000
81061,20010329,MCK,0.01866000,-0.00500000,0.02366000,0.03763378,-0.00284373,0.06139145,-0.01100000
81061,20010330,MCK,0.00000000,0.01100000,-0.01100000,0.03316374,0.01222997,0.05838922,0.02022400
81061,20010402,MCK,0.00822400,-0.01200000,0.02022400,0.02051348,0.06753274,0.04222135,0.01138200
81061,20010403,MCK,-0.02261800,-0.03400000,0.01138200,0.01032374,0.02261518,0.02413296,-0.02090000
81061,20010404,MCK,-0.02390000,-0.00300000,-0.02090000,-0.04478154,-0.03574257,0.04854813,-0.03700400
81061,20010405,MCK,0.00699600,0.04400000,-0.03700400,-0.05874526,-0.02625494,-0.02943213,-0.00199900
81061,20010406,MCK,-0.02199900,-0.02000000,-0.00199900,-0.04374180,-0.05109430,-0.03932860,-0.00523800
81061,20010409,MCK,0.00276200,0.00800000,-0.00523800,-0.01103855,-0.06963006,0.00136428,-0.00378100
81061,20010410,MCK,0.02321900,0.02700000,-0.00378100,0.01657757,-0.02321932,0.00115429,0.02507700
81061,20010411,MCK,0.02307700,-0.00200000,0.02507700,0.03209205,0.02404711,-0.01343958,0.00943600
81061,20010412,MCK,0.02443600,0.01500000,0.00943600,0.04276151,0.03461328,0.00533934,0.00740400
81061,20010416,MCK,0.00440400,-0.00300000,0.00740400,0.02115891,0.04451879,-0.01158119,0.00388400
81061,20010417,MCK,0.01388400,0.01000000,0.00388400,-0.01835186,0.01749615,-0.05653754,-0.02963100
81061,20010418,MCK,0.00936900,0.03900000,-0.02963100,-0.05609075,-0.03965077,-0.06596943,-0.02906600
81061,20010419,MCK,-0.01606600,0.01300000,-0.02906600,-0.05744980,-0.04663518,-0.02379023,0.00138000
81061,20010420,MCK,-0.00762000,-0.00900000,0.00138000,-0.00489124,-0.03072196,0.00273382,0.02267800
81061,20010423,MCK,0.00767800,-0.01500000,0.02267800,0.02287817,-0.03452131,0.00748888,-0.00070000
81061,20010424,MCK,-0.01270000,-0.01200000,-0.00070000,-0.00447386,-0.03150627,-0.01657544,-0.02665800
81061,20010425,MCK,-0.01065800,0.01600000,-0.02665800,-0.03676658,-0.01269137,-0.05219555,-0.00982900
81061,20010426,MCK,-0.00482900,0.00500000,-0.00982900,-0.03639677,-0.01372011,-0.06080670,0.00067700
81061,20010427,MCK,0.01567700,0.01500000,0.00067700,0.12860164,0.09812455,0.06744196,0.13640700
81061,20010430,MCK,0.13340700,-0.00300000,0.13640700,0.15230251,0.11248218,0.07412336,0.00967100
81061,20010501,MCK,0.02367100,0.01400000,0.00967100,0.17509503,0.16756716,0.12852268,0.02212300
81061,20010502,MCK,0.02312300,0.00100000,0.02212300,0.04560654,0.19169216,0.17349590,0.01314200
81061,20010503,MCK,-0.00185800,-0.01500000,0.01314200,0.03917177,0.19469486,0.17983048,0.00337000
81061,20010504,MCK,0.01737000,0.01400000,0.00337000,0.01930664,0.05244425,0.15796409,0.00261000
81061,20010507,MCK,0.00061000,-0.00200000,0.00261000,0.01734783,0.05330354,0.17385370,0.01114100
81061,20010508,MCK,0.00914100,-0.00200000,0.01114100,0.03450450,0.05159508,0.22793529,0.02060600
81061,20010509,MCK,0.01660600,-0.00400000,0.02060600,0.03889868,0.04558092,0.24767836,0.00683100
81061,20010510,MCK,0.00683100,-0.00000000,0.00683100,0.02344163,0.03725824,0.23650862,-0.00379900
81061,20010511,MCK,-0.01179900,-0.00800000,-0.00379900,-0.00299446,0.02865848,0.08236654,-0.00598500
81061,20010514,MCK,-0.00298500,0.00300000,-0.00598500,-0.01296917,0.01413745,0.06765516,-0.00329300
