PERMNO,date,TICKER,C2C,indexC2C,C2CindexAdj,C2CindexAdjFwd3Days,C2CindexAdjFwd5Days,C2CindexAdjFwd10Days,C2CindexAdjFwd1Day
89006,20121002,MDLZ,0.01476600,0.00100000,0.01376600,,,,-0.01035500
89006,20121003,MDLZ,-0.00635500,0.00400000,-0.01035500,0.00461084,,,0.00126400
89006,20121004,MDLZ,0.00826400,0.00700000,0.00126400,-0.01809700,,,-0.00890900
89006,20121005,MDLZ,-0.00890900,-0.00000000,-0.00890900,-0.01403988,-0.01083031,,-0.00634900
89006,20121008,MDLZ,-0.00934900,-0.00300000,-0.00634900,-0.01197630,-0.02105105,,0.00310300
89006,20121009,MDLZ,-0.00689700,-0.01000000,0.00310300,-0.00124423,-0.00881615,,0.00198000
89006,20121010,MDLZ,-0.00402000,-0.00600000,0.00198000,0.00468776,-0.01033022,,-0.00036700
89006,20121011,MDLZ,-0.00036700,0.00000000,-0.00036700,0.00386576,0.00062059,,0.00226600
89006,20121012,MDLZ,-0.00073400,-0.00300000,0.00226600,-0.00607668,-0.00093463,-0.01164363,-0.00800000
89006,20121015,MDLZ,0.00000000,0.00800000,-0.00800000,-0.01759538,-0.01587946,-0.03675123,-0.01183700
89006,20121016,MDLZ,-0.00183700,0.01000000,-0.01183700,-0.01370222,-0.01174573,-0.02048536,0.00630600
89006,20121017,MDLZ,0.01030600,0.00400000,0.00630600,-0.00471549,-0.01049058,-0.02069035,0.00085600
89006,20121018,MDLZ,-0.00114400,-0.00200000,0.00085600,0.00915378,-0.01048047,-0.00963583,0.00209800
89006,20121019,MDLZ,-0.01490200,-0.01700000,0.00209800,0.00257296,-0.00288917,-0.00378434,-0.00037000
89006,20121022,MDLZ,-0.00037000,0.00000000,-0.00037000,0.00382442,0.01079746,-0.00469915,0.00214800
89006,20121023,MDLZ,-0.01185200,-0.01400000,0.00214800,-0.00081299,0.00208729,-0.00922494,-0.00262200
89006,20121024,MDLZ,-0.00562200,-0.00300000,-0.00262200,-0.00562117,-0.00382613,-0.01401900,-0.00526200
89006,20121025,MDLZ,-0.00226200,0.00300000,-0.00526200,-0.00199004,-0.00018519,-0.01050708,0.00591100
89006,20121026,MDLZ,0.00491100,-0.00100000,0.00591100,-0.00124414,-0.00167279,-0.00450511,-0.00188000
89006,20121031,MDLZ,-0.00188000,0.00000000,-0.00188000,0.00247711,-0.00548323,0.00552087,-0.00158400
89006,20121101,MDLZ,0.00941600,0.01100000,-0.00158400,-0.01393160,-0.01332632,-0.01078426,-0.01040300
89006,20121102,MDLZ,-0.01940300,-0.00900000,-0.01040300,-0.00917787,-0.00516818,-0.00882661,0.00294700
89006,20121105,MDLZ,0.00494700,0.00200000,0.00294700,-0.01249295,-0.01607185,-0.01601528,-0.00497100
89006,20121106,MDLZ,0.00302900,0.00800000,-0.00497100,0.01308288,0.00105080,-0.00061884,0.01494000
89006,20121107,MDLZ,-0.00906000,-0.02400000,0.01494000,0.01661168,0.00904689,0.00379526,0.00664000
89006,20121108,MDLZ,-0.00536000,-0.01200000,0.00664000,0.01604115,0.01421267,0.00107365,-0.00542000
89006,20121109,MDLZ,-0.00342000,0.00200000,-0.00542000,-0.00102340,0.00901471,0.00396074,-0.00230600
89006,20121112,MDLZ,-0.00230600,0.00000000,-0.00230600,-0.01210976,0.00936197,-0.00614352,-0.00444800
89006,20121113,MDLZ,-0.00844800,-0.00400000,-0.00444800,-0.01568406,-0.01430692,-0.01312366,-0.00914200
89006,20121114,MDLZ,-0.02314200,-0.01400000,-0.00914200,-0.01283469,-0.02032572,-0.01091736,0.00060800
89006,20121115,MDLZ,-0.00139200,-0.00200000,0.00060800,0.00406322,-0.00264047,0.01138503,0.01295300
89006,20121116,MDLZ,0.01795300,0.00500000,0.01295300,0.00421169,-0.00968104,-0.00045908,-0.00944900
89006,20121119,MDLZ,0.01055100,0.02000000,-0.00944900,-0.00900040,-0.01753252,-0.00758347,-0.01224600
89006,20121120,MDLZ,-0.01124600,0.00100000,-0.01224600,-0.02896161,-0.01558210,-0.02960680,-0.00709000
