PERMNO,date,TICKER,C2C,indexC2C,C2CindexAdj,C2CindexAdjFwd3Days,C2CindexAdjFwd5Days,C2CindexAdjFwd10Days,C2CindexAdjFwd1Day
92890,20090211,MJN,,0.00800000,,,,,0.02562000
92890,20090212,MJN,0.02762000,0.00200000,0.02562000,,,,-0.00288700
92890,20090213,MJN,-0.01288700,-0.01000000,-0.00288700,0.08505446,,,0.06278500
92890,20090217,MJN,0.01678500,-0.04600000,0.06278500,0.08557130,,,0.02631200
92890,20090218,MJN,0.02531200,-0.00100000,0.02631200,0.12366539,0.14653259,,0.03382500
92890,20090219,MJN,0.02182500,-0.01200000,0.03382500,0.11078611,0.16900356,,0.04846500
92890,20090220,MJN,0.03746500,-0.01100000,0.04846500,0.03381157,0.11961895,,-0.04363700
92890,20090223,MJN,-0.07863700,-0.03500000,-0.04363700,-0.03002555,0.02876848,,-0.03304000
92890,20090224,MJN,0.00696000,0.04000000,-0.03304000,-0.05027233,0.02906421,,0.02664200
92890,20090225,MJN,0.01564200,-0.01100000,0.02664200,-0.00257891,-0.00095018,0.14051435,0.00310600
92890,20090226,MJN,-0.01289400,-0.01600000,0.00310600,0.05381830,-0.02208804,0.13700402,0.02508900
92890,20090227,MJN,0.00108900,-0.02400000,0.02508900,0.05180270,0.04762588,0.16110387,0.02561500
92890,20090302,MJN,-0.02138500,-0.04700000,0.02561500,0.03481386,0.06205678,0.08846474,-0.01474100
92890,20090303,MJN,-0.02074100,-0.00600000,-0.01474100,0.00859790,0.03545977,0.06249760,-0.00282000
92890,20090304,MJN,0.02118000,0.02400000,-0.00282000,0.02702251,0.07474209,0.07126417,0.04411100
92890,20090305,MJN,0.00111100,-0.04300000,0.04411100,0.01905144,0.02908260,0.00655533,-0.02282800
92890,20090306,MJN,-0.02182800,0.00100000,-0.02282800,0.02791804,0.01098350,0.05683664,0.00697400
92890,20090309,MJN,-0.00302600,-0.01000000,0.00697400,-0.07550147,-0.03253550,0.03282996,-0.06020600
92890,20090310,MJN,0.00379400,0.06400000,-0.06020600,-0.05017186,-0.02664797,0.01008320,0.00253500
92890,20090311,MJN,0.00453500,0.00200000,0.00253500,-0.04838257,-0.06469431,0.01875415,0.01167100
92890,20090312,MJN,0.05267100,0.04100000,0.01167100,-0.01514557,-0.07046580,-0.03531871,-0.02801400
92890,20090313,MJN,-0.02001400,0.00800000,-0.02801400,-0.05491273,-0.11576064,-0.10077827,-0.03611700
92890,20090316,MJN,-0.04011700,-0.00400000,-0.03611700,-0.05182009,-0.03991567,-0.07510800,0.01435300
92890,20090317,MJN,0.04635300,0.03200000,0.01435300,-0.04362254,-0.06360299,-0.09195898,-0.01954800
92890,20090318,MJN,0.00145200,0.02100000,-0.01954800,0.00181930,-0.06411497,-0.13391570,0.00719900
92890,20090319,MJN,-0.00580100,-0.01300000,0.00719900,0.01714731,-0.00598118,-0.07773257,0.02911700
92890,20090320,MJN,0.00911700,-0.02000000,0.02911700,-0.04354976,-0.05164271,-0.17792126,-0.08184201
92890,20090323,MJN,-0.01084200,0.07100000,-0.08184201,-0.04025928,-0.05251382,-0.09603128,0.01013500
92890,20090324,MJN,-0.00986500,-0.02000000,0.01013500,-0.07417069,-0.03624671,-0.10282691,-0.00335800
92890,20090325,MJN,0.00664200,0.01000000,-0.00335800,-0.00598949,-0.05802834,-0.12500632,-0.01310300
92890,20090326,MJN,0.00989700,0.02300000,-0.01310300,0.00330126,-0.06782864,-0.07480364,0.01927400
92890,20090327,MJN,-0.00072600,-0.02000000,0.01927400,0.03254851,0.03912797,-0.00876327,0.02591900
92890,20090330,MJN,-0.00908100,-0.03500000,0.02591900,0.08991834,0.07548449,0.02229877,0.04528400
92890,20090331,MJN,0.05828400,0.01300000,0.04528400,0.01854945,0.02530457,-0.01109736,-0.05129200
92890,20090401,MJN,-0.03429200,0.01700000,-0.05129200,-0.05753214,-0.00979438,-0.06801620,-0.04801000
92890,20090402,MJN,-0.01901000,0.02900000,-0.04801000,-0.10960802,-0.03976293,-0.10964390,-0.01000000
92890,20090403,MJN,0.00000000,0.01000000,-0.01000000,-0.02487825,-0.03390785,0.00776278,0.03359400
92890,20090406,MJN,0.02559400,-0.00800000,0.03359400,0.01481287,-0.08291649,-0.01108583,-0.00808600
92890,20090407,MJN,-0.03208600,-0.02400000,-0.00808600,0.00373582,-0.05345817,-0.02886605,-0.02120800
92890,20090408,MJN,-0.00920800,0.01200000,-0.02120800,-0.07693842,-0.05463591,-0.06430016,-0.04915200
92890,20090409,MJN,-0.01115200,0.03800000,-0.04915200,-0.07828432,-0.05190394,-0.09212647,-0.00751100
92890,20090413,MJN,-0.00451100,0.00300000,-0.00751100,-0.03516130,-0.06301289,-0.09896221,0.02075500
92890,20090414,MJN,0.00075500,-0.02000000,0.02075500,0.00465766,-0.06584723,-0.14865135,-0.00884900
92890,20090415,MJN,0.00415100,0.01300000,-0.00884900,0.01101306,-0.04637482,-0.10088071,-0.00134400
92890,20090416,MJN,0.01465600,0.01600000,-0.00134400,-0.03548670,-0.02159585,-0.07655241,-0.02463000
92890,20090417,MJN,-0.01963000,0.00500000,-0.02463000,0.00816932,0.02010069,-0.03088964,0.03355500
92890,20090420,MJN,-0.00944500,-0.04300000,0.03355500,-0.00568736,-0.01594864,-0.07875222,-0.01566100
92890,20090421,MJN,0.00533900,0.02100000,-0.01566100,0.03600797,0.01028593,-0.05508850,0.01748400
92890,20090422,MJN,0.00948400,-0.00800000,0.01748400,-0.01876512,-0.00868352,-0.05434249,-0.02052200
92890,20090423,MJN,-0.01052200,0.01000000,-0.02052200,-0.02198716,-0.00279394,-0.02428145,-0.01889900
92890,20090424,MJN,-0.00189900,0.01700000,-0.01889900,-0.03042715,-0.02880351,-0.00781802,0.00885800
92890,20090427,MJN,-0.00114200,-0.01000000,0.00885800,0.07746569,0.07430818,0.05787538,0.08757100
92890,20090428,MJN,0.08457100,-0.00300000,0.08757100,0.09323298,0.05215979,0.06281750,-0.00478900
92890,20090429,MJN,0.01721100,0.02200000,-0.00478900,0.05827443,0.04805171,0.03795982,-0.02351700
92890,20090430,MJN,-0.02451700,-0.00100000,-0.02351700,-0.02994697,0.06637172,0.06306565,-0.00110600
92890,20090501,MJN,0.00389400,0.00500000,-0.00110600,0.00226957,0.09002202,0.05965699,0.02841200
92890,20090504,MJN,0.06241200,0.03400000,0.02841200,0.05525247,0.02511442,0.10564807,0.02623700
92890,20090505,MJN,0.02223700,-0.00400000,0.02623700,0.00164106,-0.02427716,0.02842781,-0.05109100
92890,20090506,MJN,-0.03409100,0.01700000,-0.05109100,-0.00507419,0.02196065,0.07348410,0.02039500
92890,20090507,MJN,0.00739500,-0.01300000,0.02039500,-0.02916808,0.02606070,0.09838215,0.00236000
92890,20090508,MJN,0.02636000,0.02400000,0.00236000,0.01827013,-0.00720941,0.08185821,-0.00433300
92890,20090511,MJN,-0.02633300,-0.02200000,-0.00433300,-0.00547576,-0.03606968,-0.01380044,-0.00334100
92890,20090512,MJN,-0.00434100,-0.00100000,-0.00334100,0.00676910,0.02911272,0.00658131,0.01459200
92890,20090513,MJN,-0.01240800,-0.02700000,0.01459200,-0.01880959,-0.02089711,-0.00057789,-0.03071300
92890,20090514,MJN,-0.02071300,0.01000000,-0.03071300,-0.00545420,-0.01265630,0.01101955,0.01030700
92890,20090515,MJN,-0.00069300,-0.01100000,0.01030700,-0.03700576,-0.02478466,-0.03184657,-0.01646800
92890,20090518,MJN,0.01353200,0.03000000,-0.01646800,0.00347823,-0.01248941,-0.04812835,0.00918900
92890,20090519,MJN,0.00718900,-0.00200000,0.00918900,-0.03112834,-0.05120654,-0.02094670,-0.02355200
92890,20090520,MJN,-0.02855200,-0.00500000,-0.02355200,0.04167310,0.03650681,0.01435123,0.05723800
92890,20090521,MJN,0.04023800,-0.01700000,0.05723800,0.03241062,0.02612675,0.01176688,-0.00000900
92890,20090522,MJN,-0.00100900,-0.00100000,-0.00000900,0.06802825,0.05187270,0.02579380,0.00901700
92890,20090526,MJN,0.03501700,0.02600000,0.00901700,0.01737349,0.05018719,0.03723109,0.00826500
92890,20090527,MJN,-0.01073500,-0.01900000,0.00826500,0.00263941,0.06114940,0.00797091,-0.01467100
92890,20090528,MJN,0.00032900,0.01500000,-0.01467100,0.00400820,0.01322991,0.05141799,0.01032600
92890,20090529,MJN,0.02432600,0.01400000,0.01032600,-0.01026094,0.00786774,0.03587652,-0.00546100
92890,20090601,MJN,0.02053900,0.02600000,-0.00546100,0.00982340,0.00333671,0.05735420,0.00460400
92890,20090602,MJN,0.00660400,0.00200000,0.00460400,0.01329889,0.00901771,0.06167988,0.01368800
92890,20090603,MJN,-0.00031200,-0.01400000,0.01368800,-0.00198372,0.00292105,0.06665293,-0.02037500
92890,20090604,MJN,-0.00937500,0.01100000,-0.02037500,0.00458303,0.00393944,0.01764639,0.01120200
92890,20090605,MJN,0.00820200,-0.00300000,0.01120200,-0.02320920,-0.00490976,0.00257028,-0.01401900
92890,20090608,MJN,-0.01501900,-0.00100000,-0.01401900,0.00695287,0.00035556,0.00369639,0.00997700
92890,20090609,MJN,0.01397700,0.00400000,0.00997700,-0.03440526,-0.04357907,-0.03676820,-0.03020800
92890,20090610,MJN,-0.03320800,-0.00300000,-0.03020800,-0.01620665,-0.01905798,-0.01693018,0.00469300
92890,20090611,MJN,0.01069300,0.00600000,0.00469300,-0.02152983,-0.02576764,-0.02246222,0.00445000
92890,20090612,MJN,0.00545000,0.00100000,0.00445000,0.03303911,0.01206033,0.00710871,0.02368100
92890,20090615,MJN,-0.00031900,-0.02400000,0.02368100,0.05079268,0.02470243,0.02497687,0.02288800
92890,20090616,MJN,0.00988800,-0.01300000,0.02288800,0.06603145,0.07595019,0.03101236,0.01963600
92890,20090617,MJN,0.01863600,-0.00100000,0.01963600,0.05203190,0.08028030,0.06048303,0.00874400
92890,20090618,MJN,0.01674400,0.00800000,0.00874400,0.01020162,0.05701625,0.03087496,-0.01794400
92890,20090619,MJN,-0.01494400,0.00300000,-0.01794400,0.01225461,0.05443426,0.06585944,0.02140200
92890,20090622,MJN,-0.00959800,-0.03100000,0.02140200,-0.03149105,-0.00466550,0.01959720,-0.03607300
92890,20090623,MJN,-0.03407300,0.00200000,-0.03607300,-0.01457704,-0.02386294,0.05014000,-0.00020400
92890,20090624,MJN,0.00679600,0.00700000,-0.00020400,-0.04239410,-0.03755376,0.04090140,-0.00524900
92890,20090625,MJN,0.01575100,0.02100000,-0.00524900,0.00524421,-0.00965234,0.04691886,0.01049400
92890,20090626,MJN,0.00949400,-0.00100000,0.01049400,-0.02305097,-0.06000432,-0.00470276,-0.02780900
92890,20090629,MJN,-0.01880900,0.00900000,-0.02780900,0.00646072,0.00112008,-0.00369844,0.02401600
92890,20090630,MJN,0.01501600,-0.00900000,0.02401600,0.01426291,0.02006178,-0.00508248,0.01834800
92890,20090701,MJN,0.02234800,0.00400000,0.01834800,0.05482139,0.03740889,-0.00051974,0.01284100
92890,20090702,MJN,-0.01615900,-0.02900000,0.01284100,0.05565849,0.05152586,0.04145040,0.02447900
92890,20090706,MJN,0.02747900,0.00300000,0.02447900,0.07570745,0.11934997,0.05979395,0.03905900
92890,20090707,MJN,0.01905900,-0.02000000,0.03905900,0.07429966,0.10508789,0.10911789,0.00984300
92890,20090708,MJN,0.00784300,-0.00200000,0.00984300,0.03895138,0.07567090,0.09818907,-0.00998600
92890,20090709,MJN,-0.00598600,0.00400000,-0.00998600,-0.00401709,0.05978627,0.09715477,-0.00382900
92890,20090710,MJN,-0.00782900,-0.00400000,-0.00382900,-0.03875164,0.01043595,0.06239463,-0.02500000
92890,20090713,MJN,0.00000000,0.02500000,-0.02500000,-0.02811258,-0.02835008,0.09239192,0.00076600
92890,20090714,MJN,0.00576600,0.00500000,0.00076600,-0.05526266,-0.06909313,0.03816239,-0.03000000
92890,20090715,MJN,0.00000000,0.03000000,-0.03000000,-0.02868478,-0.05846665,0.02034956,0.00095800
92890,20090716,MJN,0.00995800,0.00900000,0.00095800,-0.02206944,-0.04751220,0.01455779,0.00717100
92890,20090717,MJN,0.00717100,-0.00000000,0.00717100,0.00675777,-0.02317778,-0.01245713,-0.00150700
92890,20090720,MJN,0.00949300,0.01100000,-0.00150700,0.01931626,-0.01024424,-0.04014778,0.01333800
92890,20090721,MJN,0.01733800,0.00400000,0.01333800,-0.00483220,0.00340026,-0.06732021,-0.01633100
92890,20090722,MJN,-0.01733100,-0.00100000,-0.01633100,0.04681220,0.05347694,-0.00675487,0.05019200
92890,20090723,MJN,0.07319200,0.02300000,0.05019200,0.04370329,0.05713402,0.00901714,0.01042100
92890,20090724,MJN,0.01342100,0.00300000,0.01042100,0.06109314,0.05768992,0.03565604,-0.00056800
92890,20090727,MJN,0.00243200,0.00300000,-0.00056800,0.01125096,0.04457822,0.03606841,0.00138200
92890,20090728,MJN,-0.00161800,-0.00300000,0.00138200,-0.00661311,0.05402578,0.05893188,-0.00742200
92890,20090729,MJN,-0.01242200,-0.00500000,-0.00742200,-0.02764508,-0.01816888,0.03418999,-0.02184400
92890,20090730,MJN,-0.00984400,0.01200000,-0.02184400,-0.02469004,-0.02388450,0.03137197,0.00452300
92890,20090731,MJN,0.00552300,0.00100000,0.00452300,-0.03148840,-0.03725210,0.01824171,-0.01390100
92890,20090803,MJN,0.00109900,0.01500000,-0.01390100,-0.01243507,-0.04179786,0.00103580,-0.00300000
92890,20090804,MJN,0.00000000,0.00300000,-0.00300000,0.00423510,-0.01343151,0.04111093,0.02110700
92890,20090805,MJN,0.01810700,-0.00300000,0.02110700,0.03097497,0.02184967,0.00332119,0.01273700
92890,20090806,MJN,0.00673700,-0.00600000,0.01273700,0.06331494,0.04637240,0.02122256,0.02822100
92890,20090807,MJN,0.04122100,0.01300000,0.02822100,0.05672983,0.07594377,0.03723625,0.01482500
92890,20090810,MJN,0.01182500,-0.00300000,0.01482500,0.07142396,0.10704761,0.06407980,0.02697400
92890,20090811,MJN,0.01397400,-0.01300000,0.02697400,0.00415268,0.04549512,0.03269861,-0.03730700
92890,20090812,MJN,-0.02530700,0.01200000,-0.03730700,-0.04851800,-0.00728862,0.01467600,-0.03836200
92890,20090813,MJN,-0.03136200,0.00700000,-0.03836200,-0.07255312,-0.03209614,0.01179340,0.00183400
92890,20090814,MJN,-0.00716600,-0.00900000,0.00183400,-0.01177526,-0.02189434,0.05024040,0.02453500
92890,20090817,MJN,0.00053500,-0.02400000,0.02453500,0.04487430,-0.03085987,0.07277996,0.01858700
92890,20090818,MJN,0.02858700,0.01000000,0.01858700,0.04770382,0.00990235,0.05544803,0.00390900
92890,20090819,MJN,0.01090900,0.00700000,0.00390900,0.02784698,0.05455028,0.04776870,0.00467300
92890,20090820,MJN,0.01567300,0.01100000,0.00467300,0.00050144,0.04551654,0.01095007,-0.00812200
92890,20090821,MJN,0.01087800,0.01900000,-0.00812200,-0.00631173,0.01683832,-0.00690517,-0.00275400
92890,20090824,MJN,-0.00375400,-0.00100000,-0.00275400,-0.02710052,-0.01897590,-0.05035212,-0.01606700
92890,20090825,MJN,-0.01406700,0.00200000,-0.01606700,-0.00750495,-0.01119657,-0.00099066,0.01146500
92890,20090826,MJN,0.01146500,0.00000000,0.01146500,-0.00475464,-0.01574083,0.03929548,0.00002300
92890,20090827,MJN,0.00302300,0.00300000,0.00002300,0.01964310,0.00050923,0.04615120,0.00802700
92890,20090828,MJN,0.00602700,-0.00200000,0.00802700,0.00600664,0.00126016,0.01809394,-0.00198500
92890,20090831,MJN,-0.00998500,-0.00800000,-0.00198500,0.03101104,0.04261801,0.02501994,0.02527800
92890,20090901,MJN,0.00327800,-0.02200000,0.02527800,0.02824165,0.03630763,0.02619444,0.00526200
92890,20090902,MJN,0.00226200,-0.00300000,0.00526200,0.03406111,0.03979367,0.02475374,0.00328700
92890,20090903,MJN,0.01228700,0.00900000,0.00328700,-0.01377236,0.00984458,0.01037267,-0.02216500
92890,20090904,MJN,-0.00916500,0.01300000,-0.02216500,-0.03457536,-0.00333115,-0.00205138,-0.01525000
92890,20090908,MJN,-0.00625000,0.00900000,-0.01525000,-0.03846772,-0.03016393,0.01359241,-0.00070400
92890,20090909,MJN,0.00729600,0.00800000,-0.00070400,-0.04099205,-0.06074349,-0.02289730,-0.02473500
92890,20090910,MJN,-0.01473500,0.01000000,-0.02473500,-0.03467094,-0.07225255,-0.03188278,-0.00913900
92890,20090911,MJN,-0.01013900,-0.00100000,-0.00913900,-0.03976856,-0.05612174,-0.04587445,-0.00600000
92890,20090914,MJN,0.00000000,0.00600000,-0.00600000,-0.00800884,-0.03378018,-0.03727539,0.00724300
92890,20090915,MJN,0.01024300,0.00300000,0.00724300,-0.00593139,-0.04031363,-0.07173717,-0.00710200
