PERMNO,date,TICKER,C2C,indexC2C,C2CindexAdj,C2CindexAdjFwd3Days,C2CindexAdjFwd5Days,C2CindexAdjFwd10Days,C2CindexAdjFwd1Day
52090,20010102,MKC,0.02253000,-0.02800000,0.05053000,,,,-0.08220300
52090,20010103,MKC,-0.03220300,0.05000000,-0.08220300,-0.05963310,,,-0.02928000
52090,20010104,MKC,-0.04028000,-0.01100000,-0.02928000,-0.07416158,,,0.03512400
52090,20010105,MKC,0.00912400,-0.02600000,0.03512400,0.04739704,0.01710343,,0.04359100
52090,20010108,MKC,0.04159100,-0.00200000,0.04359100,0.07515441,-0.03719355,,-0.00400000
52090,20010109,MKC,0.00000000,0.00400000,-0.00400000,0.04947040,0.05316381,,0.00909700
52090,20010110,MKC,0.01909700,0.01000000,0.00909700,-0.02591678,0.05371285,,-0.03044300
52090,20010111,MKC,-0.02044300,0.01000000,-0.03044300,-0.02439677,0.01474119,,-0.00269600
52090,20010112,MKC,-0.00869600,-0.00600000,-0.00269600,0.00366476,0.00884216,0.02634321,0.03786000
52090,20010116,MKC,0.04386000,0.00600000,0.03786000,0.03455801,0.01261868,-0.02569639,-0.00031900
52090,20010117,MKC,0.00168100,0.00200000,-0.00031900,-0.00984274,-0.04318688,0.01015711,-0.04587900
52090,20010118,MKC,-0.03187900,0.01400000,-0.04587900,-0.05734167,-0.02410112,0.02906495,-0.01159800
52090,20010119,MKC,-0.01559800,-0.00400000,-0.01159800,-0.06866881,-0.03382455,-0.01985727,-0.01232400
52090,20010122,MKC,-0.01232400,0.00000000,-0.01232400,-0.01934702,-0.06545551,-0.05855033,0.00482500
52090,20010123,MKC,0.01782500,0.01300000,0.00482500,-0.01779965,-0.07480024,-0.06444889,-0.01000500
52090,20010124,MKC,-0.00700500,0.00300000,-0.01000500,0.01756197,-0.00691481,-0.05028253,0.02263700
52090,20010125,MKC,0.01763700,-0.00500000,0.02263700,0.03728613,0.02979535,0.00511612,0.02453000
52090,20010126,MKC,0.02253000,-0.00200000,0.02453000,0.03425371,0.02927641,-0.00555156,-0.01310200
52090,20010129,MKC,-0.00610200,0.00700000,-0.01310200,-0.00016752,0.01250473,-0.05410853,-0.01136600
52090,20010130,MKC,-0.00436600,0.00700000,-0.01136600,-0.01949059,0.02765184,-0.04856261,0.00490400
