PERMNO,date,TICKER,C2C,indexC2C,C2CindexAdj,C2CindexAdjFwd3Days,C2CindexAdjFwd5Days,C2CindexAdjFwd10Days,C2CindexAdjFwd1Day
80204,20010102,MLM,-0.03640700,-0.02800000,-0.00840700,,,,0.01035300
80204,20010103,MLM,0.06035300,0.05000000,0.01035300,0.01403068,,,0.01262000
80204,20010104,MLM,0.00162000,-0.01100000,0.01262000,0.05086598,,,0.02623100
80204,20010105,MLM,0.00023100,-0.02600000,0.02623100,0.02128754,0.02285495,,-0.01716900
80204,20010108,MLM,-0.01916900,-0.00200000,-0.01716900,0.00303860,0.02627979,,-0.00611900
80204,20010109,MLM,-0.00211900,0.00400000,-0.00611900,-0.07090401,-0.03200659,,-0.04846200
80204,20010110,MLM,-0.03846200,0.01000000,-0.04846200,-0.07033128,-0.05977566,,-0.01589000
80204,20010111,MLM,-0.00589000,0.01000000,-0.01589000,-0.05244124,-0.07489121,,0.01192500
80204,20010112,MLM,0.00592500,-0.00600000,0.01192500,0.00647852,-0.04886669,-0.02565631,0.01044200
80204,20010116,MLM,0.01644200,0.00600000,0.01044200,0.02025418,-0.04499111,-0.01991862,-0.00224100
80204,20010117,MLM,-0.00024100,0.00200000,-0.00224100,-0.02923970,-0.03326673,-0.06420915,-0.03694100
80204,20010118,MLM,-0.02294100,0.01400000,-0.03694100,-0.05952483,-0.03809235,-0.09613473,-0.02096300
80204,20010119,MLM,-0.02496300,-0.00400000,-0.02096300,-0.08021659,-0.07324938,-0.14517750,-0.02408100
80204,20010122,MLM,-0.02408100,0.00000000,-0.02408100,-0.04503299,-0.08354457,-0.13157328,-0.00001300
80204,20010123,MLM,0.01298700,0.01300000,-0.00001300,-0.00209726,-0.06019203,-0.10498166,0.02264100
80204,20010124,MLM,0.02564100,0.00300000,0.02264100,0.05527487,0.00766728,-0.02588404,0.03125000
80204,20010125,MLM,0.02625000,-0.00500000,0.03125000,0.05580555,0.03086016,-0.00838007,0.00126900
80204,20010126,MLM,-0.00073100,-0.00200000,0.00126900,0.02828911,0.05231234,-0.02499734,-0.00431800
80204,20010129,MLM,0.00268200,0.00700000,-0.00431800,0.01112140,0.06694109,-0.02134843,0.01415200
80204,20010130,MLM,0.02115200,0.00700000,0.01415200,0.02494548,0.05833015,-0.00390330,0.01480900
80204,20010131,MLM,0.00880900,-0.00600000,0.01480900,0.01883604,0.01581767,0.02379978,-0.01019200
80204,20010201,MLM,-0.00519200,0.00500000,-0.01019200,0.01848873,0.02859495,0.06046298,0.01391600
80204,20010202,MLM,-0.00308400,-0.01700000,0.01391600,0.02371095,0.05337770,0.10896060,0.02003600
80204,20010205,MLM,0.02403600,0.00400000,0.02003600,0.04991706,0.05462735,0.12469570,0.01571100
80204,20010206,MLM,0.01371100,-0.00200000,0.01571100,0.04695630,0.05037045,0.11063296,0.01075100
80204,20010207,MLM,0.00275100,-0.00800000,0.01075100,0.02428974,0.05820229,0.07512426,-0.00200200
80204,20010208,MLM,-0.00800200,-0.00600000,-0.00200200,0.02310215,0.05910040,0.08842604,0.01461300
80204,20010209,MLM,0.00161300,-0.01300000,0.01461300,0.01034941,0.03681452,0.09098213,-0.00233600
80204,20010212,MLM,0.00966400,0.01200000,-0.00233600,0.03687978,0.04527626,0.10034130,0.02426900
80204,20010213,MLM,0.01526900,-0.00900000,0.02426900,0.01406971,0.02651086,0.07682920,-0.00787700
80204,20010214,MLM,-0.00987700,-0.00200000,-0.00787700,0.02745380,0.04017432,0.09931273,0.01104300
80204,20010215,MLM,0.01904300,0.00800000,0.01104300,0.02614745,0.04870062,0.10886261,0.02300400
80204,20010216,MLM,0.00400400,-0.01900000,0.02300400,0.06536844,0.08148059,0.11848216,0.03096000
80204,20010220,MLM,0.01396000,-0.01700000,0.03096000,0.05221958,0.05552055,0.09979194,-0.00044900
80204,20010221,MLM,-0.01944900,-0.01900000,-0.00044900,0.02807795,0.06171346,0.08746482,-0.00178900
80204,20010222,MLM,-0.00378900,-0.00200000,-0.00178900,0.00607582,0.05844120,0.09824364,0.00846100
80204,20010223,MLM,0.00246100,-0.00600000,0.00846100,0.03859400,0.06855374,0.11856789,0.03187300
80204,20010226,MLM,0.04887300,0.01700000,0.03187300,0.04327470,0.04006374,0.12177702,0.00289400
80204,20010227,MLM,-0.00510600,-0.00800000,0.00289400,0.03378122,0.04035164,0.09542879,-0.00037100
80204,20010228,MLM,-0.01437100,-0.01400000,-0.00037100,-0.00596292,0.03343844,0.09496722,-0.00861700
80204,20010301,MLM,-0.00761700,0.00100000,-0.00861700,0.02494263,0.06002536,0.11768118,0.03450900
80204,20010302,MLM,0.02850900,-0.00600000,0.03450900,0.01971080,0.02181518,0.08983700,-0.00600000
80204,20010305,MLM,0.00000000,0.00600000,-0.00600000,0.02775563,0.01819550,0.05852948,-0.00104500
80204,20010306,MLM,0.00895500,0.01000000,-0.00104500,-0.02023787,0.00559352,0.04678457,-0.01297400
80204,20010307,MLM,-0.00697400,0.00600000,-0.01297400,-0.01382804,0.01483914,0.04922558,0.00034100
80204,20010308,MLM,0.00234100,0.00200000,0.00034100,0.00408546,-0.00286086,0.05693778,0.01650700
80204,20010309,MLM,-0.00849300,-0.02500000,0.01650700,0.05675919,0.04364665,0.06440810,0.04085900
80204,20010312,MLM,-0.00214100,-0.04300000,0.04085900,0.02723875,0.01512096,0.03271851,-0.03023600
80204,20010313,MLM,-0.01523600,0.01500000,-0.03023600,0.01107361,0.02697367,0.03275422,0.00006800
80204,20010314,MLM,-0.02593200,-0.02600000,0.00006800,-0.02887722,0.02743112,0.04210392,0.00071100
80204,20010315,MLM,0.00671100,0.00600000,0.00071100,-0.01516165,-0.00404731,-0.00669849,-0.01622200
80204,20010316,MLM,-0.03622200,-0.02000000,-0.01622200,-0.00452095,-0.03382605,0.00969631,0.01174400
80204,20010319,MLM,0.02974400,0.01800000,0.01174400,0.02630341,0.02653418,0.04015879,0.03161300
80204,20010320,MLM,0.00761300,-0.02400000,0.03161300,0.02777454,0.01169417,0.03707044,-0.01488900
80204,20010321,MLM,-0.03288900,-0.01800000,-0.01488900,-0.02311653,-0.02790136,-0.00053342,-0.04011800
80204,20010322,MLM,-0.04411800,-0.00400000,-0.04011800,-0.06563393,-0.02418945,-0.02647635,-0.01182700
80204,20010323,MLM,0.00817300,0.02000000,-0.01182700,-0.04777535,-0.03007962,-0.06212575,0.00521400
80204,20010326,MLM,0.01621400,0.01100000,0.00521400,-0.04841592,-0.10149792,-0.07207097,-0.04054700
80204,20010327,MLM,-0.01454700,0.02600000,-0.04054700,-0.01382117,-0.06619207,-0.05241713,0.02114300
80204,20010328,MLM,-0.00285700,-0.02400000,0.02114300,-0.01912823,-0.02627342,-0.05295628,-0.00049200
80204,20010329,MLM,-0.00549200,-0.00500000,-0.00049200,0.03486426,-0.00028828,-0.02491355,0.01421000
80204,20010330,MLM,0.02521000,0.01100000,0.01421000,0.01734842,-0.00157649,-0.03144095,0.00380300
80204,20010402,MLM,-0.00819700,-0.01200000,0.00380300,0.03341229,0.05295948,-0.04567877,0.01581800
80204,20010403,MLM,-0.01818200,-0.03400000,0.01581800,0.04751803,0.06142231,-0.00425147,0.02897400
