PERMNO,date,TICKER,C2C,indexC2C,C2CindexAdj,C2CindexAdjFwd3Days,C2CindexAdjFwd5Days,C2CindexAdjFwd10Days,C2CindexAdjFwd1Day
66253,20010102,MNS,-0.01273900,-0.02800000,0.01526100,,,,0.00806400
66253,20010103,MNS,0.05806400,0.05000000,0.00806400,0.02247322,,,-0.00119500
66253,20010104,MNS,-0.01219500,-0.01100000,-0.00119500,0.03371065,,,0.02600000
66253,20010105,MNS,0.00000000,-0.02600000,0.02600000,0.03985991,0.06469562,,0.01558000
66253,20010108,MNS,0.01358000,-0.00200000,0.01558000,0.03023256,0.03814735,,-0.01130800
66253,20010109,MNS,-0.00730800,0.00400000,-0.01130800,0.00033369,0.02514315,,-0.00386500
66253,20010110,MNS,0.00613500,0.01000000,-0.00386500,0.12076456,0.16493666,,0.13634099
66253,20010111,MNS,0.14634100,0.01000000,0.13634099,0.19460860,0.20004905,,0.05387200
66253,20010112,MNS,0.04787200,-0.00600000,0.05387200,0.18149852,0.16586767,0.23973180,-0.01412200
66253,20010116,MNS,-0.00812200,0.00600000,-0.01412200,0.06186471,0.20488865,0.25445398,0.02154100
66253,20010117,MNS,0.02354100,0.00200000,0.02154100,-0.02720103,0.16896879,0.19476947,-0.03400000
66253,20010118,MNS,-0.02000000,0.01400000,-0.03400000,-0.01401138,0.02530550,0.19627081,-0.00110200
66253,20010119,MNS,-0.00510200,-0.00400000,-0.00110200,-0.01394440,-0.00686926,0.19530373,0.02153800
66253,20010122,MNS,0.02153800,0.00000000,0.02153800,0.01758211,0.00456229,0.17546334,-0.00296000
66253,20010123,MNS,0.01004000,0.01300000,-0.00296000,0.01985768,-0.01614320,0.19043739,0.00097600
66253,20010124,MNS,0.00397600,0.00300000,0.00097600,0.02217347,0.04308439,0.22162823,0.02381200
66253,20010125,MNS,0.01881200,-0.00500000,0.02381200,0.02786790,0.04747285,0.07477207,0.00297200
66253,20010126,MNS,0.00097200,-0.00200000,0.00297200,0.03370235,0.03219306,0.02557338,0.00659200
66253,20010129,MNS,0.01359200,0.00700000,0.00659200,-0.00133049,0.02381584,0.02913056,-0.01083100
66253,20010130,MNS,-0.00383100,0.00700000,-0.01083100,0.00562763,0.03274469,0.01691408,0.00984600
66253,20010131,MNS,0.00384600,-0.00600000,0.00984600,-0.00117349,0.00845785,0.05243813,-0.00021100
66253,20010201,MNS,0.00478900,0.00500000,-0.00021100,0.03243548,0.02848853,0.07736824,0.02272000
66253,20010202,MNS,0.00572000,-0.01700000,0.02272000,0.01388090,0.01293100,0.04551598,-0.00873900
66253,20010205,MNS,-0.00473900,0.00400000,-0.00873900,0.00169623,0.01124870,0.03506232,-0.01228600
66253,20010206,MNS,-0.01428600,-0.00200000,-0.01228600,-0.01293329,0.00941560,0.04188667,0.00800000
66253,20010207,MNS,0.00000000,-0.00800000,0.00800000,-0.02312401,-0.00934736,-0.00131464,-0.01912100
66253,20010208,MNS,-0.02512100,-0.00600000,-0.01912100,-0.01187679,-0.03204006,-0.00503663,-0.00087500
66253,20010209,MNS,-0.01387500,-0.01300000,-0.00087500,-0.07980727,-0.08293838,-0.07070472,-0.06225100
66253,20010212,MNS,-0.05025100,0.01200000,-0.06225100,-0.05229226,-0.06203429,-0.05075682,0.01005800
66253,20010213,MNS,0.00105800,-0.00900000,0.01005800,-0.07726788,-0.09402459,-0.08396842,-0.02654100
66253,20010214,MNS,-0.02854100,-0.00200000,-0.02654100,0.00095301,-0.06118901,-0.06816368,0.01811500
66253,20010215,MNS,0.02611500,0.00800000,0.01811500,-0.02492582,-0.07515192,-0.10258870,-0.01599500
66253,20010216,MNS,-0.03499500,-0.01900000,-0.01599500,-0.04711980,-0.06189240,-0.13543702,-0.04893400
66253,20010220,MNS,-0.06593400,-0.01700000,-0.04893400,-0.00856742,-0.01720134,-0.07475784,0.05900000
66253,20010221,MNS,0.04000000,-0.01900000,0.05900000,-0.00085589,0.00045943,-0.08907167,-0.00818100
66253,20010222,MNS,-0.01018100,-0.00200000,-0.00818100,0.05624789,-0.01055482,-0.06728689,0.00600000
66253,20010223,MNS,0.00000000,-0.00600000,0.00600000,-0.01905722,-0.01134404,-0.08348893,-0.01700000
66253,20010226,MNS,0.00000000,0.01700000,-0.01700000,0.02804619,0.07938635,0.01064033,0.03885700
66253,20010227,MNS,0.03085700,-0.00800000,0.03885700,0.09097420,0.08786647,0.06513357,0.06721500
66253,20010228,MNS,0.05321500,-0.01400000,0.06721500,0.17176669,0.16109658,0.15383820,0.05900000
66253,20010301,MNS,0.06000000,0.00100000,0.05900000,0.12758360,0.15309701,0.13161035,-0.00095100
66253,20010302,MNS,-0.00695100,-0.00600000,-0.00095100,0.04956260,0.16151661,0.14419800,-0.00800000
66253,20010305,MNS,-0.00200000,0.00600000,-0.00800000,-0.01194939,0.11737095,0.20368517,-0.00298600
66253,20010306,MNS,0.00701400,0.01000000,-0.00298600,0.00284306,0.06190759,0.15589332,0.01390000
66253,20010307,MNS,0.01990000,0.00600000,0.01390000,0.02399137,0.01471481,0.18093991,0.01263400
66253,20010308,MNS,0.01463400,0.00200000,0.01263400,0.01718747,0.00640351,0.16020032,-0.00865400
66253,20010309,MNS,-0.03365400,-0.02500000,-0.00865400,0.02603465,0.03701730,0.19565462,0.02310000
66253,20010312,MNS,-0.01990000,-0.04300000,0.02310000,-0.01918660,0.00553921,0.11822099,-0.03530500
66253,20010313,MNS,-0.02030500,0.01500000,-0.03530500,-0.02072615,-0.01697486,0.03890572,-0.01026900
66253,20010314,MNS,-0.03626900,-0.02600000,-0.01026900,-0.02905909,-0.01355829,-0.00034752,0.01658100
66253,20010315,MNS,0.02258100,0.00600000,0.01658100,0.01384663,0.00258307,0.00856880,0.00843300
66253,20010316,MNS,-0.01156700,-0.02000000,0.00843300,0.01787927,-0.02772774,0.00936182,-0.00736200
66253,20010319,MNS,0.01063800,0.01800000,-0.00736200,0.00422041,0.00965956,0.01455989,0.00294700
66253,20010320,MNS,-0.02105300,-0.02400000,0.00294700,0.01367723,0.03809222,0.01823349,0.01800000
66253,20010321,MNS,0.00000000,-0.01800000,0.01800000,0.01908591,0.02031438,0.00566378,-0.00137600
66253,20010322,MNS,-0.00537600,-0.00400000,-0.00137600,0.05075404,0.04601703,0.04560121,0.03405400
66253,20010323,MNS,0.05405400,0.02000000,0.03405400,0.04924966,0.06928365,0.03952657,0.01566700
66253,20010326,MNS,0.02666700,0.01100000,0.01566700,0.06088739,0.07807264,0.08523699,0.00796600
66253,20010327,MNS,0.03396600,0.02600000,0.00796600,-0.00726264,0.02525572,0.06443388,-0.02914000
66253,20010328,MNS,-0.05314000,-0.02400000,-0.02914000,-0.04232299,0.00495715,0.02569415,-0.02051000
66253,20010329,MNS,-0.02551000,-0.00500000,-0.02051000,0.00853569,0.03287227,0.08096043,0.06229800
66253,20010330,MNS,0.07329800,0.01100000,0.06229800,0.00102454,-0.02121502,0.04660001,-0.03678000
66253,20010402,MNS,-0.04878000,-0.01200000,-0.03678000,0.08221391,0.02914385,0.10559149,0.05964100
66253,20010403,MNS,0.02564100,-0.03400000,0.05964100,-0.00715411,0.03055357,0.05637108,-0.02900000
66253,20010404,MNS,-0.03200000,-0.00300000,-0.02900000,0.00272669,0.02497920,0.03076801,-0.02850400
66253,20010405,MNS,0.01549600,0.04400000,-0.02850400,-0.04505019,-0.02232412,0.00853367,0.01186200
66253,20010406,MNS,-0.00813800,-0.02000000,0.01186200,-0.01580872,0.01495356,-0.00650670,0.00020500
66253,20010409,MNS,0.00820500,0.00800000,0.00020500,0.02414558,-0.03497252,-0.00301478,0.01165700
66253,20010410,MNS,0.03865700,0.02700000,0.01165700,0.08685449,0.07106785,0.10249375,0.07154000
66253,20010411,MNS,0.06954000,-0.00200000,0.07154000,0.08887688,0.10152746,0.13017456,0.00148400
66253,20010412,MNS,0.01648400,0.01500000,0.00148400,0.09290969,0.10937512,0.08070004,0.01741400
66253,20010416,MNS,0.01441400,-0.00300000,0.01741400,0.07682628,0.17318144,0.19026740,0.05571900
66253,20010417,MNS,0.06571900,0.01000000,0.05571900,0.11591947,0.20365570,0.17086823,0.03600000
66253,20010418,MNS,0.07500000,0.03900000,0.03600000,0.08350373,0.10649327,0.19658562,-0.01222500
66253,20010419,MNS,0.00077500,0.01300000,-0.01222500,0.11613161,0.20284714,0.33568919,0.08645900
66253,20010420,MNS,0.07745900,-0.00900000,0.08645900,0.01970146,0.11775319,0.24948435,-0.04970200
66253,20010423,MNS,-0.06470200,-0.01500000,-0.04970200,0.04719660,0.07327186,0.26523642,0.01584300
66253,20010424,MNS,0.00384300,-0.01200000,0.01584300,0.05725873,0.13531566,0.37311357,0.09808899
66253,20010425,MNS,0.11408900,0.01600000,0.09808899,0.05804465,0.09038349,0.21172383,-0.05104800
66253,20010426,MNS,-0.04604800,0.00500000,-0.05104800,0.13358931,0.08989037,0.31723790,0.08586500
66253,20010427,MNS,0.10086500,0.01500000,0.08586500,0.02422276,0.14360166,0.28613243,-0.00550800
66253,20010430,MNS,-0.00850800,-0.00300000,-0.00550800,0.07618341,0.12376370,0.21146683,-0.00409900
66253,20010501,MNS,0.00990100,0.01400000,-0.00409900,-0.02309448,0.00620446,0.14668228,-0.01341800
66253,20010502,MNS,-0.01241800,0.00100000,-0.01341800,0.14146530,0.23393627,0.34295776,0.15927500
66253,20010503,MNS,0.14427499,-0.01500000,0.15927500,0.13811913,0.12865268,0.23217995,-0.00706000
66253,20010504,MNS,0.00694000,0.01400000,-0.00706000,0.12895151,0.11101374,0.27456449,-0.02097500
66253,20010507,MNS,-0.02297500,-0.00200000,-0.02097500,-0.06431529,0.07283317,0.20856840,-0.03680100
66253,20010508,MNS,-0.03880100,-0.00200000,-0.03680100,-0.05290461,0.09124426,0.10090364,0.00400000
66253,20010509,MNS,0.00000000,-0.00400000,0.00400000,-0.05456094,-0.08167513,0.13357756,-0.02263000
66253,20010510,MNS,-0.02263000,-0.00000000,-0.02263000,0.02175448,-0.03577782,0.08583987,0.04116700
66253,20010511,MNS,0.03316700,-0.00800000,0.04116700,0.00074314,-0.03192989,0.07394416,-0.01693100
66253,20010514,MNS,-0.01393100,0.00300000,-0.01693100,0.02504900,0.00594577,0.07853120,0.00122800
66253,20010515,MNS,0.00122800,0.00000000,0.00122800,-0.00443431,0.01386164,0.10832704,0.01187700
66253,20010516,MNS,0.03987700,0.02800000,0.01187700,0.03832581,0.06358305,-0.02502527,0.02413900
66253,20010517,MNS,0.02713900,0.00300000,0.02413900,0.04250954,0.02571141,-0.01272933,0.00504100
66253,20010518,MNS,0.00804100,0.00300000,0.00504100,0.07111062,0.08748188,0.05017802,0.03984100
66253,20010521,MNS,0.05584100,0.01600000,0.03984100,0.05236115,0.09353295,0.09947554,0.00677800
66253,20010522,MNS,0.00377800,-0.00300000,0.00677800,0.02946732,0.05980390,0.07589807,-0.01572000
66253,20010523,MNS,-0.03172000,-0.01600000,-0.01572000,0.00899428,0.05413092,0.12273182,0.01865500
66253,20010524,MNS,0.02165500,0.00300000,0.01865500,0.06306468,0.11254889,0.14503463,0.06145700
66253,20010525,MNS,0.04945700,-0.01200000,0.06145700,0.09303334,0.08146734,0.17709465,0.01162500
66253,20010529,MNS,0.00362500,-0.00800000,0.01162500,0.12634714,0.12720299,0.23417950,0.05160400
66253,20010530,MNS,0.03560400,-0.01600000,0.05160400,0.05115896,0.13460750,0.20122148,-0.01197900
66253,20010531,MNS,-0.00597900,0.00600000,-0.01197900,0.02110070,0.09494090,0.15306767,-0.01803500
66253,20010601,MNS,-0.01403500,0.00400000,-0.01803500,-0.03699765,0.02572942,0.13982794,-0.00703400
66253,20010604,MNS,-0.00203400,0.00500000,-0.00703400,-0.05171105,-0.01284933,0.06899134,-0.02675400
66253,20010605,MNS,-0.01375400,0.01300000,-0.02675400,-0.04804532,-0.07724751,0.04600758,-0.01482600
66253,20010606,MNS,-0.02582600,-0.01100000,-0.01482600,-0.09703334,-0.12070935,0.00304219,-0.05802200
66253,20010607,MNS,-0.05302200,0.00500000,-0.05802200,-0.06299477,-0.09531962,-0.00669272,0.00844000
66253,20010608,MNS,-0.00056000,-0.00900000,0.00844000,-0.03093565,-0.07031052,-0.04600813,0.01920400
66253,20010611,MNS,0.01120400,-0.00800000,0.01920400,0.10217029,0.02396944,0.01137683,0.07379200
66253,20010612,MNS,0.07479200,0.00100000,0.07379200,0.08291626,0.02985630,-0.04749922,-0.00910300
66253,20010613,MNS,-0.02010300,-0.01100000,-0.00910300,0.04722165,0.07452257,-0.04864791,-0.01408800
66253,20010614,MNS,-0.03208800,-0.01800000,-0.01408800,-0.01788793,0.07124224,-0.02681537,0.00500000
66253,20010615,MNS,0.00000000,-0.00500000,0.00500000,-0.02533398,0.03475849,-0.03571107,-0.01673900
66253,20010618,MNS,-0.02173900,-0.00500000,-0.01673900,-0.01310333,-0.03501250,-0.01196883,-0.00133300
66253,20010619,MNS,0.00166700,0.00300000,-0.00133300,-0.05044451,-0.05806777,-0.02915405,-0.03284900
66253,20010620,MNS,-0.02384900,0.00900000,-0.03284900,-0.06149188,-0.07219157,0.00111360,-0.02747700
66253,20010621,MNS,-0.01647700,0.01100000,-0.02747700,-0.05417873,-0.07138008,-0.00170451,0.00553400
66253,20010622,MNS,-0.00346600,-0.00900000,0.00553400,-0.01861688,-0.05231111,-0.01713429,0.00310100
66253,20010625,MNS,-0.00289900,-0.00600000,0.00310100,-0.02410117,-0.08215526,-0.11146568,-0.03288400
66253,20010626,MNS,-0.03488400,-0.00200000,-0.03288400,0.02744016,0.00538966,-0.05243496,0.05921700
66253,20010627,MNS,0.05421700,-0.00500000,0.05921700,0.07356203,0.08172790,0.00542357,0.04800000
66253,20010628,MNS,0.06000000,0.01200000,0.04800000,0.12358546,0.08905848,0.01226240,0.01178200
66253,20010629,MNS,0.01078200,-0.00100000,0.01178200,0.05890247,0.08487695,0.02806329,-0.00200000
66253,20010702,MNS,0.00800000,0.01000000,-0.00200000,-0.00158136,0.10953347,0.01754393,-0.01122800
66253,20010703,MNS,-0.01322800,-0.00200000,-0.01122800,-0.05455107,0.00174453,0.00716108,-0.04161900
66253,20010705,MNS,-0.05361900,-0.01200000,-0.04161900,-0.05487956,-0.04639886,0.02971739,-0.00419500
66253,20010706,MNS,-0.02719500,-0.02300000,-0.00419500,-0.07390856,-0.08645582,-0.00671511,-0.03146100
66253,20010709,MNS,-0.02446100,0.00700000,-0.03146100,-0.01425725,-0.06391461,0.01095368,0.02116400
66253,20010710,MNS,0.00716400,-0.01400000,0.02116400,0.00401446,-0.04057481,0.05928902,0.01463400
66253,20010711,MNS,0.01363400,-0.00100000,0.01463400,0.08268913,0.04334162,0.04544432,0.04500600
66253,20010712,MNS,0.06900600,0.02400000,0.04500600,0.07106396,0.05914611,0.00733527,0.00931700
66253,20010713,MNS,0.01531700,0.00600000,0.00931700,0.05194730,0.08958942,-0.00672901,-0.00247000
66253,20010716,MNS,-0.01347000,-0.01100000,-0.00247000,-0.03606553,0.02182074,-0.04622538,-0.04276900
66253,20010717,MNS,-0.03276900,0.01000000,-0.04276900,-0.06994445,-0.02107286,-0.06082251,-0.02675000
66253,20010718,MNS,-0.03275000,-0.00600000,-0.02675000,-0.05693241,-0.05025240,-0.00849446,0.01268100
66253,20010719,MNS,0.01868100,0.00600000,0.01268100,-0.00035215,-0.04488799,0.01037918,0.01446100
66253,20010720,MNS,0.01146100,-0.00300000,0.01446100,0.07552982,0.00316989,0.09223236,0.04716200
66253,20010723,MNS,0.03116200,-0.01600000,0.04716200,0.10055157,0.08493799,0.11023118,0.03797800
66253,20010724,MNS,0.02197800,-0.01600000,0.03797800,0.03324975,0.06118836,0.04050347,-0.05094600
66253,20010725,MNS,-0.03494600,0.01600000,-0.05094600,0.04795064,0.11254706,0.05765657,0.06242301
66253,20010726,MNS,0.07242300,0.01000000,0.06242301,0.08737880,0.18006492,0.12654699,0.07592200
66253,20010727,MNS,0.07792200,0.00200000,0.07592200,0.20904748,0.19254750,0.19459477,0.05642200
66253,20010730,MNS,0.05542200,-0.00100000,0.05642200,0.05845106,0.06934127,0.16059643,-0.06947000
66253,20010731,MNS,-0.06347000,0.00600000,-0.06947000,0.02472123,0.17384353,0.24464745,0.04183100
66253,20010801,MNS,0.04583100,0.00400000,0.04183100,-0.01178099,0.12518380,0.25234058,0.01931000
66253,20010802,MNS,0.02331000,0.00400000,0.01931000,-0.00346354,-0.02003250,0.15795173,-0.06105900
66253,20010803,MNS,-0.06605900,-0.00500000,-0.06105900,-0.03228008,-0.06182158,0.11775245,0.01100000
66253,20010806,MNS,0.00000000,-0.01100000,0.01100000,-0.00249699,0.05871297,0.13373106,0.05114600
66253,20010807,MNS,0.05414600,0.00300000,0.05114600,0.04440853,0.00025013,0.16964143,-0.01585500
66253,20010808,MNS,-0.03285500,-0.01700000,-0.01585500,0.07258798,0.01838302,0.14241825,0.03827800
66253,20010809,MNS,0.03827800,-0.00000000,0.03827800,-0.01249781,0.04831419,0.02808114,-0.03365000
66253,20010810,MNS,-0.02765000,0.00600000,-0.03365000,0.03605597,0.07055776,0.00466726,0.03217500
66253,20010813,MNS,0.03317500,0.00100000,0.03217500,0.04540847,0.06682605,0.12829679,0.04757800
66253,20010814,MNS,0.04357800,-0.00400000,0.04757800,0.01709173,0.02078921,0.02050527,-0.05893400
66253,20010815,MNS,-0.06593400,-0.00700000,-0.05893400,-0.06951782,-0.07221733,-0.05303122,-0.05664700
66253,20010816,MNS,-0.05364700,0.00300000,-0.05664700,-0.07882724,-0.00549016,0.04150893,0.03539900
66253,20010817,MNS,0.01839900,-0.01700000,0.03539900,-0.01830693,-0.03201440,0.03530892,0.00420700
66253,20010820,MNS,0.01220700,0.00800000,0.00420700,-0.01427903,-0.12228942,-0.06358272,-0.05215800
66253,20010821,MNS,-0.06415800,-0.01200000,-0.05215800,-0.02728908,-0.04854808,-0.02880504,0.02289700
66253,20010822,MNS,0.02989700,0.00700000,0.02289700,-0.05126520,-0.01320159,-0.08321444,-0.02102400
66253,20010823,MNS,-0.02402400,-0.00300000,-0.02102400,-0.00859487,-0.05794995,-0.06184638,-0.00974400
66253,20010824,MNS,0.01025600,0.02000000,-0.00974400,-0.02086470,-0.05157360,-0.08127150,0.01007600
66253,20010827,MNS,0.00507600,-0.00500000,0.01007600,0.00442571,0.00562391,-0.11794050,0.00388900
