PERMNO,date,TICKER,C2C,indexC2C,C2CindexAdj,C2CindexAdjFwd3Days,C2CindexAdjFwd5Days,C2CindexAdjFwd10Days,C2CindexAdjFwd1Day
54827,20010102,MOLX,0.01408500,-0.02800000,0.04208500,,,,0.06111100
54827,20010103,MOLX,0.11111100,0.05000000,0.06111100,0.11914880,,,0.01256300
54827,20010104,MOLX,0.00156300,-0.01100000,0.01256300,0.03368955,,,-0.03484200
54827,20010105,MOLX,-0.06084200,-0.02600000,-0.03484200,0.01051687,0.11390903,,0.03522300
54827,20010108,MOLX,0.03322300,-0.00200000,0.03522300,0.01158041,0.08549491,,0.01368500
54827,20010109,MOLX,0.01768500,0.00400000,0.01368500,0.04612820,0.02045708,,-0.00368100
54827,20010110,MOLX,0.00631900,0.01000000,-0.00368100,0.04173579,0.03876550,,0.03081600
54827,20010111,MOLX,0.04081600,0.01000000,0.03081600,0.03183405,0.08366906,,0.00449200
54827,20010112,MOLX,-0.00150800,-0.00600000,0.00449200,0.04655082,0.05784974,0.18000885,0.01061600
54827,20010116,MOLX,0.01661600,0.00600000,0.01061600,0.04630099,0.07584187,0.17073182,0.03068900
54827,20010117,MOLX,0.03268900,0.00200000,0.03068900,0.11382609,0.15438087,0.17464949,0.06801400
54827,20010118,MOLX,0.08201400,0.01400000,0.06801400,0.07421589,0.09063503,0.13297369,-0.02392600
54827,20010119,MOLX,-0.02792600,-0.00400000,-0.02392600,0.01307636,0.05598031,0.14673787,-0.02736000
54827,20010122,MOLX,-0.02736000,0.00000000,-0.02736000,-0.05815077,0.03728606,0.09964615,-0.00737400
54827,20010123,MOLX,0.00562600,0.01300000,-0.00737400,-0.04750274,-0.00743841,0.06965760,-0.01279000
54827,20010124,MOLX,-0.00979000,0.00300000,-0.01279000,-0.04330780,-0.09202222,0.04681321,-0.02324900
54827,20010125,MOLX,-0.02824900,-0.00500000,-0.02324900,-0.02535988,-0.05955287,0.02578427,0.01072100
54827,20010126,MOLX,0.00872100,-0.00200000,0.01072100,-0.00702395,-0.02725168,0.02760723,0.00596800
54827,20010129,MOLX,0.01296800,0.00700000,0.00596800,0.03013034,-0.00718467,0.03002520,0.01291500
54827,20010130,MOLX,0.01991500,0.00700000,0.01291500,-0.00652333,-0.01928058,-0.02708645,-0.02468300
54827,20010131,MOLX,-0.03068300,-0.00600000,-0.02468300,-0.02587660,-0.00952446,-0.10174634,-0.01363300
54827,20010201,MOLX,-0.00863300,0.00500000,-0.01363300,-0.05451136,-0.03756958,-0.09496973,-0.01783300
54827,20010202,MOLX,-0.03483300,-0.01700000,-0.01783300,-0.03071562,-0.04260280,-0.06917935,0.00051100
54827,20010205,MOLX,0.00451100,0.00400000,0.00051100,-0.01979133,-0.05646767,-0.06369492,-0.00249100
54827,20010206,MOLX,-0.00449100,-0.00200000,-0.00249100,-0.02405126,-0.05390615,-0.07184918,-0.02207500
54827,20010207,MOLX,-0.03007500,-0.00800000,-0.02207500,0.00095415,-0.01620875,-0.02548263,0.02615500
54827,20010208,MOLX,0.02015500,-0.00600000,0.02615500,-0.02435669,-0.02629556,-0.06183343,-0.02803300
54827,20010209,MOLX,-0.04103300,-0.01300000,-0.02803300,0.02420408,-0.00090144,-0.04273249,0.02762000
54827,20010212,MOLX,0.03962000,0.01200000,0.02762000,-0.00809076,-0.00461457,-0.05939483,-0.00624400
54827,20010213,MOLX,-0.01524400,-0.00900000,-0.00624400,0.03397946,0.03045637,-0.02466774,0.01283600
54827,20010214,MOLX,0.01083600,-0.00200000,0.01283600,0.04117952,0.03917750,0.02127448,0.03487900
54827,20010215,MOLX,0.04287900,0.00800000,0.03487900,0.02706177,0.04831104,0.01981566,-0.01917900
54827,20010216,MOLX,-0.03817900,-0.01900000,-0.01917900,0.00652353,0.01272328,0.01162812,-0.00742700
54827,20010220,MOLX,-0.02442700,-0.01700000,-0.00742700,-0.00180028,0.04369525,0.03805534,0.02526000
54827,20010221,MOLX,0.00626000,-0.01900000,0.02526000,0.02691933,0.04068213,0.07017090,0.00977600
54827,20010222,MOLX,0.00777600,-0.00200000,0.00977600,0.02527156,-0.00158574,0.03512472,-0.00943200
