PERMNO,date,TICKER,C2C,indexC2C,C2CindexAdj,C2CindexAdjFwd3Days,C2CindexAdjFwd5Days,C2CindexAdjFwd10Days,C2CindexAdjFwd1Day
88668,20010102,MON,0.04388000,-0.02800000,0.07188000,,,,0.06061900
88668,20010103,MON,0.11061900,0.05000000,0.06061900,0.12097250,,,-0.01402000
88668,20010104,MON,-0.02502000,-0.01100000,-0.01402000,0.04253548,,,-0.00063900
88668,20010105,MON,-0.02663900,-0.02600000,-0.00063900,-0.01235193,0.11907120,,0.00200000
88668,20010108,MON,0.00000000,-0.00200000,0.00200000,-0.01282474,0.02942644,,-0.01452600
88668,20010109,MON,-0.01052600,0.00400000,-0.01452600,-0.01411653,-0.02784668,,-0.00148900
88668,20010110,MON,0.00851100,0.01000000,-0.00148900,-0.03891633,-0.03653897,,-0.02265800
88668,20010111,MON,-0.01265800,0.01000000,-0.02265800,0.00729768,-0.00547210,,0.03164100
88668,20010112,MON,0.02564100,-0.00600000,0.03164100,0.00902385,-0.00730058,0.11391364,0.00025000
88668,20010116,MON,0.00625000,0.00600000,0.00025000,0.04077109,0.01619502,0.04696652,0.00835200
88668,20010117,MON,0.01035200,0.00200000,0.00835200,0.00495930,0.01393336,-0.01537988,-0.00375400
88668,20010118,MON,0.01024600,0.01400000,-0.00375400,-0.04716071,-0.01620119,-0.05251202,-0.05076700
88668,20010119,MON,-0.05476700,-0.00400000,-0.05076700,-0.06527246,-0.05761956,-0.06379692,-0.01073000
88668,20010122,MON,-0.01073000,0.00000000,-0.01073000,-0.08399940,-0.08102061,-0.08986920,-0.02384600
88668,20010123,MON,-0.01084600,0.01300000,-0.02384600,-0.02247707,-0.07737249,-0.06371734,0.01235100
88668,20010124,MON,0.01535100,0.00300000,0.01235100,0.00639492,-0.05559704,-0.04379593,0.01795900
88668,20010125,MON,0.01295900,-0.00500000,0.01795900,0.06322189,0.02754371,0.01108001,0.03185100
88668,20010126,MON,0.02985100,-0.00200000,0.03185100,0.06612968,0.05471655,-0.00599078,0.01494600
88668,20010129,MON,0.02194600,0.00700000,0.01494600,0.04657227,0.07879089,-0.00744294,-0.00116500
88668,20010130,MON,0.00583500,0.00700000,-0.00116500,0.03584508,0.08797997,0.00602916,0.02146900
88668,20010131,MON,0.01546900,-0.00600000,0.02146900,-0.00077599,0.04693236,-0.01155982,-0.02086800
88668,20010201,MON,-0.01586800,0.00500000,-0.02086800,-0.01518103,-0.00199425,0.02536057,-0.01557000
88668,20010202,MON,-0.03257000,-0.01700000,-0.01557000,-0.03978778,-0.02036894,0.03251416,-0.00400000
88668,20010205,MON,0.00000000,0.00400000,-0.00400000,0.00536805,0.00574426,0.08377999,0.02566700
88668,20010206,MON,0.02366700,-0.00200000,0.02566700,0.05002406,0.01200656,0.09946707,0.02786300
88668,20010207,MON,0.01986300,-0.00800000,0.02786300,0.08259043,0.06070908,0.10980625,0.02771100
88668,20010208,MON,0.02171100,-0.00600000,0.02771100,0.11338620,0.13716446,0.13436782,0.05581200
88668,20010209,MON,0.04281200,-0.01300000,0.05581200,0.10548785,0.16372746,0.13919501,0.01886600
88668,20010212,MON,0.03086600,0.01200000,0.01886600,0.11952042,0.17993043,0.18368161,0.04097700
88668,20010213,MON,0.03197700,-0.00900000,0.04097700,0.01739388,0.10298159,0.11415046,-0.04081700
88668,20010214,MON,-0.04281700,-0.00200000,-0.04081700,-0.01640646,0.05828478,0.12059827,-0.01535700
88668,20010215,MON,-0.00735700,0.00800000,-0.01535700,-0.09165887,-0.03737144,0.09418554,-0.03881200
88668,20010216,MON,-0.05781200,-0.01900000,-0.03881200,-0.12595138,-0.12560644,0.01337287,-0.07834300
88668,20010220,MON,-0.09534300,-0.01700000,-0.07834300,-0.05954961,-0.10940809,0.04475997,0.05900000
