PERMNO,date,TICKER,C2C,indexC2C,C2CindexAdj,C2CindexAdjFwd3Days,C2CindexAdjFwd5Days,C2CindexAdjFwd10Days,C2CindexAdjFwd1Day
22779,20010102,MOT,0.00000000,-0.02800000,0.02800000,,,,0.14135800
22779,20010103,MOT,0.19135800,0.05000000,0.14135800,0.12951602,,,-0.03304100
22779,20010104,MOT,-0.04404100,-0.01100000,-0.03304100,0.03484633,,,-0.05530100
22779,20010105,MOT,-0.08130100,-0.02600000,-0.05530100,-0.05980449,0.09291128,,0.02854900
22779,20010108,MOT,0.02654900,-0.00200000,0.02854900,-0.07892149,0.00814002,,-0.05285100
22779,20010109,MOT,-0.04885100,0.00400000,-0.05285100,-0.01201226,-0.09661858,,0.01416900
22779,20010110,MOT,0.02416900,0.01000000,0.01416900,-0.00693944,-0.03620729,,0.03424800
22779,20010111,MOT,0.04424800,0.01000000,0.03424800,0.05550698,0.02824838,,0.00600000
22779,20010112,MOT,0.00000000,-0.00600000,0.00600000,-0.00701360,-0.04713245,0.04453071,-0.04554800
22779,20010116,MOT,-0.03954800,0.00600000,-0.04554800,0.01216002,0.06248837,0.07215837,0.05388200
22779,20010117,MOT,0.05588200,0.00200000,0.05388200,0.05979592,0.10364153,-0.00812333,0.05285200
22779,20010118,MOT,0.06685200,0.01400000,0.05285200,0.14980043,0.10389137,0.06302895,0.03533200
22779,20010119,MOT,0.03133200,-0.00400000,0.03533200,0.03741004,0.04411116,0.07482083,-0.04810100
22779,20010122,MOT,-0.04810100,0.00000000,-0.04810100,-0.02722410,0.08076285,0.03058980,-0.01300000
22779,20010123,MOT,0.00000000,0.01300000,-0.01300000,-0.06667207,0.01842557,0.08410620,-0.00566000
22779,20010124,MOT,-0.00266000,0.00300000,-0.00566000,-0.05351244,-0.06696698,0.02869940,-0.03500000
22779,20010125,MOT,-0.04000000,-0.00500000,-0.03500000,-0.03588284,-0.09501279,-0.00119723,0.00477800
22779,20010126,MOT,0.00277800,-0.00200000,0.00477800,-0.01436052,-0.03302061,0.00974418,0.01682300
22779,20010129,MOT,0.02382300,0.00700000,0.01682300,0.01064650,-0.03083248,0.04747190,-0.01089600
22779,20010130,MOT,-0.00389600,0.00700000,-0.01089600,0.00300512,-0.02769186,-0.01048353,-0.00269200
22779,20010131,MOT,-0.00869200,-0.00600000,-0.00269200,-0.05098416,-0.03053322,-0.09640182,-0.03788000
22779,20010201,MOT,-0.03288000,0.00500000,-0.03788000,-0.05499952,-0.05040933,-0.14068246,-0.01609200
22779,20010202,MOT,-0.03309200,-0.01700000,-0.01609200,-0.09708398,-0.10926742,-0.14019098,-0.04713200
22779,20010205,MOT,-0.04313200,0.00400000,-0.04713200,-0.03980922,-0.07781637,-0.10653126,0.02355800
22779,20010206,MOT,0.02155800,-0.00200000,0.02355800,-0.05867342,-0.10734733,-0.13166575,-0.03516500
22779,20010207,MOT,-0.04316500,-0.00800000,-0.03516500,-0.01298253,-0.07275714,-0.10098875,-0.00051600
22779,20010208,MOT,-0.00651600,-0.00600000,-0.00051600,-0.06675403,-0.08909182,-0.13338266,-0.03341800
22779,20010209,MOT,-0.04641800,-0.01300000,-0.03341800,-0.02192327,-0.03389291,-0.13734919,0.01286800
22779,20010212,MOT,0.02486800,0.01200000,0.01286800,0.00661394,-0.02880083,-0.10204941,0.02861800
22779,20010213,MOT,0.01961800,-0.00900000,0.02861800,0.00969656,-0.02455319,-0.12688407,-0.03091100
22779,20010214,MOT,-0.03291100,-0.00200000,-0.03091100,-0.00931964,-0.03059017,-0.09993395,-0.00642900
22779,20010215,MOT,0.00157100,0.00800000,-0.00642900,-0.04459070,-0.00506669,-0.09266581,-0.00818200
22779,20010216,MOT,-0.02718200,-0.01900000,-0.00818200,-0.01392188,-0.01660180,-0.04833924,0.00034200
22779,20010220,MOT,-0.01665800,-0.01700000,0.00034200,-0.04009329,-0.07419213,-0.09768664,-0.03400500
22779,20010221,MOT,-0.05300500,-0.01900000,-0.03400500,-0.03332366,-0.04642510,-0.06781345,-0.00030800
22779,20010222,MOT,-0.00230800,-0.00200000,-0.00030800,-0.08518478,-0.08899212,-0.11460126,-0.05415000
22779,20010223,MOT,-0.06015000,-0.00600000,-0.05415000,-0.09196878,-0.11904001,-0.12214295,-0.03915400
22779,20010226,MOT,-0.02215400,0.01700000,-0.03915400,-0.11848475,-0.14627040,-0.15449003,-0.02976000
22779,20010227,MOT,-0.03776000,-0.00800000,-0.02976000,-0.06120169,-0.11143311,-0.17099152,0.00615200
22779,20010228,MOT,-0.00784800,-0.01400000,0.00615200,0.02342710,-0.06841827,-0.10788444,0.04909900
22779,20010301,MOT,0.05009900,0.00100000,0.04909900,0.11703935,0.04347009,-0.05115511,0.05998600
22779,20010302,MOT,0.05398600,-0.00600000,0.05998600,0.10318919,0.07506724,-0.05245111,-0.00838200
22779,20010305,MOT,-0.00238200,0.00600000,-0.00838200,0.10114713,0.16079942,-0.01145422,0.04671600
22779,20010306,MOT,0.05671600,0.01000000,0.04671600,0.02072666,0.13721259,0.00677863,-0.01673400
22779,20010307,MOT,-0.01073400,0.00600000,-0.01673400,-0.04794300,0.00203239,-0.06778107,-0.07395899
22779,20010308,MOT,-0.07195900,0.00200000,-0.07395899,-0.10428047,-0.07244904,-0.03144750,-0.01807700
22779,20010309,MOT,-0.04307700,-0.02500000,-0.01807700,-0.07828821,-0.05443435,0.01393015,0.00763000
22779,20010312,MOT,-0.03537000,-0.04300000,0.00763000,-0.00922525,-0.09364212,0.04510668,0.00100000
22779,20010313,MOT,0.01600000,0.01500000,0.00100000,-0.01181543,-0.09458810,0.01764600,-0.02071100
22779,20010314,MOT,-0.04671100,-0.02600000,-0.02071100,-0.03134736,-0.03887983,-0.03777483,-0.01152100
22779,20010315,MOT,-0.00552100,0.00600000,-0.01152100,-0.03919450,-0.03005022,-0.09540709,-0.00845200
22779,20010316,MOT,-0.02845200,-0.02000000,-0.00845200,0.03157177,0.01043748,-0.04466247,0.05342900
22779,20010319,MOT,0.07142900,0.01800000,0.05342900,0.00617895,-0.02512342,-0.11097292,-0.03466700
22779,20010320,MOT,-0.05866700,-0.02400000,-0.03466700,0.03574499,0.01531922,-0.07827456,0.02083300
22779,20010321,MOT,0.00283300,-0.01800000,0.02083300,0.09073518,0.13578891,0.08370319,0.11134500
22779,20010322,MOT,0.10734500,-0.00400000,0.11134500,0.13480296,0.15092638,0.10645355,-0.00023000
22779,20010323,MOT,0.01977000,0.02000000,-0.00023000,0.12332883,0.10159915,0.11214122,0.00776200
22779,20010326,MOT,0.01876200,0.01100000,0.00776200,-0.04017492,0.09548058,0.06269793,-0.04625800
22779,20010327,MOT,-0.02025800,0.02600000,-0.04625800,-0.07555609,0.02940063,0.04448702,-0.03740400
22779,20010328,MOT,-0.06140400,-0.02400000,-0.03740400,-0.10502577,-0.10145655,0.02912146,-0.02570800
22779,20010329,MOT,-0.03070800,-0.00500000,-0.02570800,-0.08831920,-0.12660300,0.00910618,-0.02890600
22779,20010330,MOT,-0.01790600,0.01100000,-0.02890600,-0.01256490,-0.09284747,0.00028332,0.04285600
22779,20010402,MOT,0.03085600,-0.01200000,0.04285600,-0.02137941,-0.07864399,0.00057689,-0.03402700
22779,20010403,MOT,-0.06802700,-0.03400000,-0.03402700,0.03372899,-0.01928434,0.00774126,0.02854700
22779,20010404,MOT,0.02554700,-0.00300000,0.02854700,0.01152813,0.02527466,-0.07849209,0.02005700
22779,20010405,MOT,0.06405700,0.04400000,0.02005700,-0.18063463,-0.16709239,-0.27226781,-0.21076900
22779,20010406,MOT,-0.23076899,-0.02000000,-0.21076900,-0.21279938,-0.21093887,-0.28257086,-0.00800000
