PERMNO,date,TICKER,C2C,indexC2C,C2CindexAdj,C2CindexAdjFwd3Days,C2CindexAdjFwd5Days,C2CindexAdjFwd10Days,C2CindexAdjFwd1Day
66253,20060905,MSCS,,0.00200000,,,,,-0.02496100
66253,20060906,MSCS,-0.03496100,-0.01000000,-0.02496100,,,,-0.00312000
66253,20060907,MSCS,-0.00812000,-0.00500000,-0.00312000,-0.01129265,,,0.01741100
66253,20060908,MSCS,0.02141100,0.00400000,0.01741100,0.01476225,,,0.00061700
66253,20060911,MSCS,0.00061700,0.00000000,0.00061700,0.03696892,0.00714867,,0.01834300
66253,20060912,MSCS,0.02834300,0.01000000,0.01834300,0.01863671,0.03321678,,-0.00040500
66253,20060913,MSCS,0.00359500,0.00400000,-0.00040500,0.00361074,0.02196656,,-0.01392500
66253,20060914,MSCS,-0.01492500,-0.00100000,-0.01392500,-0.01439318,0.00428119,,0.00003000
66253,20060915,MSCS,0.00303000,0.00300000,0.00003000,-0.03284994,-0.01584856,,-0.01912700
66253,20060918,MSCS,-0.01812700,0.00100000,-0.01912700,-0.03169233,-0.04573987,-0.03883123,-0.01276900
66253,20060919,MSCS,-0.01476900,-0.00200000,-0.01276900,-0.03662138,-0.05017708,-0.01908036,-0.00500000
66253,20060920,MSCS,0.00000000,0.00500000,-0.00500000,-0.03674432,-0.05530386,-0.03545333,-0.01936000
66253,20060921,MSCS,-0.02436000,-0.00500000,-0.01936000,-0.01921205,-0.05014754,-0.04689962,0.00520100
66253,20060922,MSCS,0.00320100,-0.00200000,0.00520100,-0.01756297,-0.03509720,-0.05106735,-0.00325700
66253,20060925,MSCS,0.00574300,0.00900000,-0.00325700,-0.00991655,-0.03437593,-0.07940190,-0.01180700
66253,20060926,MSCS,-0.00380700,0.00800000,-0.01180700,-0.04387469,-0.05743315,-0.10557279,-0.02866200
66253,20060927,MSCS,-0.02866200,0.00000000,-0.02866200,-0.02714718,-0.02539020,-0.08028382,0.01373800
66253,20060928,MSCS,0.01573800,0.00200000,0.01373800,-0.01910341,-0.03429772,-0.08347749,-0.00381000
66253,20060929,MSCS,-0.00581000,-0.00200000,-0.00381000,-0.01011001,-0.05002154,-0.08378488,-0.01972700
66253,20061002,MSCS,-0.02272700,-0.00300000,-0.01972700,-0.04347750,-0.05822487,-0.09143865,-0.02060500
66253,20061003,MSCS,-0.01860500,0.00200000,-0.02060500,-0.03370951,-0.02409248,-0.08101244,0.00695700
66253,20061004,MSCS,0.01895700,0.01200000,0.00695700,0.00055834,-0.02324431,-0.04871979,0.01461100
66253,20061005,MSCS,0.01661100,0.00200000,0.01461100,0.03844212,-0.00347185,-0.03805152,0.01607200
66253,20061006,MSCS,0.01307200,-0.00300000,0.01607200,0.03788067,0.02385614,-0.02794126,0.00674200
66253,20061009,MSCS,0.00774200,0.00100000,0.00674200,0.03268726,0.05571898,-0.00662253,0.00952400
66253,20061010,MSCS,0.01152400,0.00200000,0.00952400,0.02258850,0.05416986,0.02939137,0.00616500
66253,20061011,MSCS,0.00316500,-0.00300000,0.00616500,-0.00386183,0.01918153,-0.00445991,-0.01946400
66253,20061012,MSCS,-0.00946400,0.01000000,-0.01946400,-0.14569240,-0.13201219,-0.13638288,-0.13321000
66253,20061013,MSCS,-0.13121000,0.00200000,-0.13321000,-0.16332112,-0.14975775,-0.13123856,-0.01326400
66253,20061016,MSCS,-0.01026400,0.00300000,-0.01326400,-0.13092194,-0.14340539,-0.09724323,0.01585200
66253,20061017,MSCS,0.01185200,-0.00400000,0.01585200,-0.01025085,-0.16027178,-0.11397104,-0.01271300
66253,20061018,MSCS,-0.01171300,0.00100000,-0.01271300,0.00571105,-0.13993116,-0.12435072,0.00270400
66253,20061019,MSCS,0.00370400,0.00100000,0.00270400,-0.01325179,-0.01078539,-0.14176580,-0.00321400
66253,20061020,MSCS,-0.00221400,0.00100000,-0.00321400,0.02902423,0.03205244,-0.12280211,0.02950300
66253,20061023,MSCS,0.03550300,0.00600000,0.02950300,-0.00626844,-0.01634195,-0.15882764,-0.03142900
66253,20061024,MSCS,-0.03142900,0.00000000,-0.03142900,-0.00558644,-0.00611928,-0.16741428,-0.00252500
66253,20061025,MSCS,0.00147500,0.00400000,-0.00252500,-0.03759156,-0.01239930,-0.15288386,-0.00352700
66253,20061026,MSCS,0.00147300,0.00500000,-0.00352700,-0.00537237,-0.00843297,-0.01921918,0.00064700
66253,20061027,MSCS,-0.00735300,-0.00800000,0.00064700,0.00009463,-0.03380517,-0.00297441,0.00296300
66253,20061030,MSCS,0.00296300,0.00000000,0.00296300,-0.00302950,-0.00905972,-0.02535084,-0.00664700
66253,20061031,MSCS,-0.00664700,0.00000000,-0.00664700,0.01218523,0.00928253,0.00327957,0.01592200
66253,20061101,MSCS,0.00892200,-0.00700000,0.01592200,-0.00924813,-0.00564427,-0.01787911,-0.01842300
66253,20061102,MSCS,-0.01842300,-0.00000000,-0.01842300,0.02608638,0.02231930,0.01392909,0.02902700
66253,20061103,MSCS,0.02702700,-0.00200000,0.02902700,-0.01413668,-0.00486954,-0.03857946,-0.02415800
66253,20061106,MSCS,-0.01315800,0.01100000,-0.02415800,0.03630076,0.03325521,0.02389022,0.03133300
66253,20061107,MSCS,0.03333300,0.00200000,0.03133300,0.00249483,0.01277317,0.02216714,-0.00415100
66253,20061108,MSCS,-0.00215100,0.00200000,-0.00415100,0.01582960,0.02057420,0.01446145,-0.01080500
66253,20061109,MSCS,-0.01580500,-0.00500000,-0.01080500,-0.00256863,0.00408816,0.02672964,0.01259900
66253,20061110,MSCS,0.01459900,0.00200000,0.01259900,-0.06679170,-0.04176383,-0.04652940,-0.06846800
66253,20061113,MSCS,-0.06546800,0.00300000,-0.06846800,-0.05775119,-0.07179275,-0.04094058,-0.00061100
66253,20061114,MSCS,0.00538900,0.00600000,-0.00061100,-0.08154010,-0.07983234,-0.06901604,-0.01272000
66253,20061115,MSCS,-0.01072000,0.00200000,-0.01272000,-0.00309950,-0.06033958,-0.04117634,0.01038400
66253,20061116,MSCS,0.01238400,0.00200000,0.01038400,-0.01036825,-0.07953939,-0.07667276,-0.00788100
66253,20061117,MSCS,-0.00688100,0.00100000,-0.00788100,0.00109728,-0.01233625,-0.05405280,-0.00130900
66253,20061120,MSCS,-0.00230900,-0.00100000,-0.00130900,0.03546303,0.03303972,-0.04129250,0.04506800
66253,20061121,MSCS,0.04706800,0.00200000,0.04506800,0.05147317,0.05417512,-0.03002901,0.00740300
66253,20061122,MSCS,0.00940300,0.00200000,0.00740300,0.05942524,0.04970698,-0.01288132,0.00636500
66253,20061124,MSCS,0.00236500,-0.00400000,0.00636500,0.01082063,0.05425852,-0.02764015,-0.00275200
66253,20061127,MSCS,-0.01675200,-0.01400000,-0.00275200,0.02247264,0.07586773,0.06349265,0.01922200
66253,20061128,MSCS,0.02222200,0.00300000,0.01922200,0.08662789,0.10141796,0.13828117,0.06998600
66253,20061129,MSCS,0.07898600,0.00900000,0.06998600,0.10103556,0.10314119,0.16324558,0.00907400
66253,20061130,MSCS,0.01007400,0.00100000,0.00907400,0.10244189,0.11921650,0.17464203,0.02095200
66253,20061201,MSCS,0.01795200,-0.00300000,0.02095200,0.04876328,0.14535511,0.20635614,0.01778000
66253,20061204,MSCS,0.02678000,0.00900000,0.01778000,0.03721017,0.12119872,0.20644718,-0.00209200
66253,20061205,MSCS,0.00190800,0.00400000,-0.00209200,0.01932917,0.05044740,0.15778627,0.00354000
66253,20061206,MSCS,0.00254000,-0.00100000,0.00354000,-0.01743172,0.02098008,0.12668800,-0.01879900
66253,20061207,MSCS,-0.02279900,-0.00400000,-0.01879900,-0.00651673,0.00895193,0.13038965,0.00901800
66253,20061208,MSCS,0.01101800,0.00200000,0.00901800,-0.01835298,-0.01697790,0.12601900,-0.00841000
66253,20061211,MSCS,-0.00641000,0.00200000,-0.00841000,0.00024158,-0.01513023,0.10368678,-0.00029000
66253,20061212,MSCS,-0.00129000,-0.00100000,-0.00029000,0.01018114,0.00001446,0.05046208,0.01902600
66253,20061213,MSCS,0.02002600,0.00100000,0.01902600,0.01616260,0.01677420,0.03846281,-0.00266700
66253,20061214,MSCS,0.00633300,0.00900000,-0.00266700,0.01869710,0.00976779,0.01901242,0.00214700
66253,20061215,MSCS,0.00314700,0.00100000,0.00214700,-0.02217844,-0.00375177,-0.02079563,-0.02146700
66253,20061218,MSCS,-0.02446700,-0.00300000,-0.02146700,-0.02516639,-0.00935626,-0.02447745,-0.00585900
66253,20061219,MSCS,-0.00385900,0.00200000,-0.00585900,-0.04441998,-0.04535000,-0.04533549,-0.01772200
66253,20061220,MSCS,-0.01872200,-0.00100000,-0.01772200,-0.02143228,-0.04030940,-0.02482087,0.00202600
66253,20061221,MSCS,-0.00197400,-0.00400000,0.00202600,-0.02230885,-0.04863308,-0.04003242,-0.00686600
