PERMNO,date,TICKER,C2C,indexC2C,C2CindexAdj,C2CindexAdjFwd3Days,C2CindexAdjFwd5Days,C2CindexAdjFwd10Days,C2CindexAdjFwd1Day
10107,20010102,MSFT,0.00000000,-0.02800000,0.02800000,,,,0.05518700
10107,20010103,MSFT,0.10518700,0.05000000,0.05518700,0.10734064,,,0.02143000
10107,20010104,MSFT,0.01043000,-0.01100000,0.02143000,0.12111441,,,0.04019400
10107,20010105,MSFT,0.01419400,-0.02600000,0.04019400,0.05950100,0.14707823,,-0.00181700
10107,20010108,MSFT,-0.00381700,-0.00200000,-0.00181700,0.09373710,0.18105855,,0.05474800
10107,20010109,MSFT,0.05874800,0.00400000,0.05474800,0.06432371,0.12814173,,0.01050700
10107,20010110,MSFT,0.02050700,0.01000000,0.01050700,0.09970203,0.13992744,,0.03018900
10107,20010111,MSFT,0.04018900,0.01000000,0.03018900,0.01858992,0.07305861,,-0.02127300
10107,20010112,MSFT,-0.02727300,-0.00600000,-0.02127300,-0.01587385,0.04993052,0.20696291,-0.02352300
10107,20010116,MSFT,-0.01752300,0.00600000,-0.02352300,-0.03946425,-0.00039057,0.18459402,0.00513400
10107,20010117,MSFT,0.00713400,0.00200000,0.00513400,0.01525878,0.02349342,0.15740603,0.03440600
10107,20010118,MSFT,0.04840600,0.01400000,0.03440600,0.14855860,0.09716283,0.25192327,0.10309900
10107,20010119,MSFT,0.09909900,-0.00400000,0.10309900,0.12582939,0.10579614,0.18959438,-0.01434400
10107,20010122,MSFT,-0.01434400,0.00000000,-0.01434400,0.08226902,0.12708055,0.18767867,-0.00572300
10107,20010123,MSFT,0.00727700,0.01300000,-0.00572300,0.01572443,0.16276056,0.16589378,0.03621600
10107,20010124,MSFT,0.03921600,0.00300000,0.03621600,0.01710841,0.10682478,0.13578396,-0.01287500
10107,20010125,MSFT,-0.01787500,-0.00500000,-0.01287500,0.06077033,0.04024408,0.14266549,0.03738900
10107,20010126,MSFT,0.03538900,-0.00200000,0.03738900,0.02486515,0.05676651,0.17128483,0.00081300
10107,20010129,MSFT,0.00781300,0.00700000,0.00081300,0.01325721,0.03645819,0.17035615,-0.02444200
10107,20010130,MSFT,-0.01744200,0.00700000,-0.02444200,-0.05386263,-0.03071046,0.12639838,-0.03048900
10107,20010131,MSFT,-0.03648900,-0.00600000,-0.03048900,-0.03890881,-0.00187856,0.10590533,0.01649400
10107,20010201,MSFT,0.02149400,0.00500000,0.01649400,-0.02242149,-0.04558781,-0.00775548,-0.00805000
