PERMNO,date,TICKER,C2C,indexC2C,C2CindexAdj,C2CindexAdjFwd3Days,C2CindexAdjFwd5Days,C2CindexAdjFwd10Days,C2CindexAdjFwd1Day
85621,20010102,MTD,-0.04367800,-0.02800000,-0.01567800,,,,-0.03197100
85621,20010103,MTD,0.01802900,0.05000000,-0.03197100,-0.05305164,,,-0.00671000
85621,20010104,MTD,-0.01771000,-0.01100000,-0.00671000,-0.00544049,,,0.03201000
85621,20010105,MTD,0.00601000,-0.02600000,0.03201000,-0.00268218,-0.04783020,,-0.02786900
85621,20010108,MTD,-0.02986900,-0.00200000,-0.02786900,-0.00238242,-0.03990757,,-0.00646300
85621,20010109,MTD,-0.00246300,0.00400000,-0.00646300,-0.04665968,-0.02090196,,-0.01246900
85621,20010110,MTD,-0.00246900,0.01000000,-0.01246900,0.02138680,0.02487674,,0.04074300
85621,20010111,MTD,0.05074300,0.01000000,0.04074300,0.00453919,-0.03033645,,-0.02226900
85621,20010112,MTD,-0.02826900,-0.00600000,-0.02226900,-0.02481575,-0.04384833,-0.08991009,-0.04115200
85621,20010116,MTD,-0.03515200,0.00600000,-0.04115200,-0.11621651,-0.09370838,-0.13202016,-0.05727600
85621,20010117,MTD,-0.05527600,0.00200000,-0.05727600,-0.07545754,-0.05956729,-0.07827308,0.02456400
85621,20010118,MTD,0.03856400,0.01400000,0.02456400,-0.03332030,-0.09437800,-0.07113300,0.00143900
85621,20010119,MTD,-0.00256100,-0.00400000,0.00143900,0.03260861,-0.06773328,-0.09764577,0.00641800
85621,20010122,MTD,0.00641800,0.00000000,0.00641800,0.02050050,-0.01506954,-0.05972237,0.01251000
85621,20010123,MTD,0.02551000,0.01300000,0.01251000,0.04557769,0.07359068,-0.02783693,0.02560700
85621,20010124,MTD,0.02860700,0.00300000,0.02560700,0.03623495,0.04430063,-0.01715891,-0.00225500
85621,20010125,MTD,-0.00725500,-0.00500000,-0.00225500,0.02515537,0.04497772,-0.05395217,0.00200000
85621,20010126,MTD,0.00000000,-0.00200000,0.00200000,-0.00165378,0.03706170,-0.03359716,-0.00139700
85621,20010129,MTD,0.00560300,0.00700000,-0.00139700,0.01579893,0.03957081,0.02474854,0.01509300
85621,20010130,MTD,0.02209300,0.00700000,0.01509300,0.00153632,0.00125802,0.07504180,-0.01182300
85621,20010131,MTD,-0.01782300,-0.00600000,-0.01182300,0.02213814,0.02288282,0.06884176,0.01913100
85621,20010201,MTD,0.02413100,0.00500000,0.01913100,0.00682580,0.02053850,0.06643390,0.00003500
85621,20010202,MTD,-0.01696500,-0.01700000,0.00003500,0.00079757,0.00369525,0.04068680,-0.01799800
85621,20010205,MTD,-0.01399800,0.00400000,-0.01799800,-0.03000942,-0.02338175,0.01439507,-0.01278000
