PERMNO,date,TICKER,C2C,indexC2C,C2CindexAdj,C2CindexAdjFwd3Days,C2CindexAdjFwd5Days,C2CindexAdjFwd10Days,C2CindexAdjFwd1Day
53613,20010102,MU,-0.00352100,-0.02800000,0.02447900,,,,0.13727900
53613,20010103,MU,0.18727900,0.05000000,0.13727900,0.09978151,,,-0.05150000
53613,20010104,MU,-0.06250000,-0.01100000,-0.05150000,0.02035159,,,-0.04701600
53613,20010105,MU,-0.07301600,-0.02600000,-0.04701600,-0.08189552,0.05932908,,0.01398600
53613,20010108,MU,0.01198600,-0.00200000,0.01398600,-0.04260706,0.02540381,,-0.00907600
53613,20010109,MU,-0.00507600,0.00400000,-0.00907600,0.02908426,-0.07009487,,0.02401400
53613,20010110,MU,0.03401400,0.01000000,0.02401400,0.08580290,0.04571302,,0.06894700
53613,20010111,MU,0.07894700,0.01000000,0.06894700,0.11357192,0.11927491,,0.01667100
53613,20010112,MU,0.01067100,-0.00600000,0.01667100,0.01470706,0.03000224,0.09197860,-0.06633200
53613,20010116,MU,-0.06033200,0.00600000,-0.06633200,-0.04464649,0.04592422,0.07367456,0.00602600
53613,20010117,MU,0.00802600,0.00200000,0.00602600,0.05027449,0.14325694,0.05768549,0.11816600
53613,20010118,MU,0.13216600,0.01400000,0.11816600,0.18065324,0.12069526,0.17193456,0.04900700
53613,20010119,MU,0.04500700,-0.00400000,0.04900700,0.12381397,0.05587095,0.18485496,-0.04172300
53613,20010122,MU,-0.04172300,0.00000000,-0.04172300,-0.03567135,0.08563525,0.12102791,-0.04109000
53613,20010123,MU,-0.02809000,0.01300000,-0.04109000,-0.04968700,0.11716921,0.17226474,0.03457200
53613,20010124,MU,0.03757200,0.00300000,0.03457200,-0.02781348,-0.02238719,0.11806780,-0.02007000
53613,20010125,MU,-0.02507000,-0.00500000,-0.02007000,0.01990660,-0.06277338,0.05067535,0.00628600
53613,20010126,MU,0.00428600,-0.00200000,0.00628600,0.00950971,0.00197773,0.05888875,0.02401000
53613,20010129,MU,0.03101000,0.00700000,0.02401000,0.05883641,0.07325481,0.16785815,0.02721600
53613,20010130,MU,0.03421600,0.00700000,0.02721600,0.03374243,0.01902534,0.13902878,-0.01705200
53613,20010131,MU,-0.02305200,-0.00600000,-0.01705200,-0.07483727,-0.04686415,-0.06877203,-0.08343600
53613,20010201,MU,-0.07843600,0.00500000,-0.08343600,-0.10258544,-0.05808829,-0.11746971,-0.00623400
53613,20010202,MU,-0.02323400,-0.01700000,-0.00623400,-0.15551160,-0.14778435,-0.14847757,-0.07487400
53613,20010205,MU,-0.07087400,0.00400000,-0.07487400,-0.04327956,-0.13613148,-0.07538398,0.03961800
53613,20010206,MU,0.03761800,-0.00200000,0.03961800,-0.05174314,-0.13381065,-0.11779722,-0.01465900
53613,20010207,MU,-0.02265900,-0.00800000,-0.01465900,0.06007260,-0.02361076,-0.06827868,0.03562400
53613,20010208,MU,0.02962400,-0.00600000,0.03562400,0.00260081,-0.03439168,-0.08889475,-0.01727300
53613,20010209,MU,-0.03027300,-0.01300000,-0.01727300,0.02260490,0.04684220,-0.10567972,0.00502800
53613,20010212,MU,0.01702800,0.01200000,0.00502800,0.04842405,0.06876914,-0.07456699,0.06176500
53613,20010213,MU,0.05276500,-0.00900000,0.06176500,0.19880428,0.21588851,0.05171149,0.12248199
53613,20010214,MU,0.12048200,-0.00200000,0.12248199,0.13447540,0.12005916,0.09025762,-0.04886000
53613,20010215,MU,-0.04086000,0.00800000,-0.04886000,0.03843125,0.10805734,0.06761951,-0.02696400
53613,20010216,MU,-0.04596400,-0.01900000,-0.02696400,-0.14192977,0.01783599,0.06339949,-0.07583199
53613,20010220,MU,-0.09283200,-0.01700000,-0.07583199,-0.08501392,-0.02635990,0.03790380,0.01381900
53613,20010221,MU,-0.00518100,-0.01900000,0.01381900,-0.06932738,-0.13445717,0.04439521,-0.00841700
53613,20010222,MU,-0.01041700,-0.00200000,-0.00841700,-0.00813806,-0.10324248,-0.00253293,-0.01373700
53613,20010223,MU,-0.01973700,-0.00600000,-0.01373700,-0.09741862,-0.15032123,-0.05989279,-0.07740300
53613,20010226,MU,-0.06040300,0.01700000,-0.07740300,-0.08044245,-0.07375888,-0.05471341,0.00942900
53613,20010227,MU,0.00142900,-0.00800000,0.00942900,-0.07608162,-0.09564801,-0.11451507,-0.00968000
53613,20010228,MU,-0.02368000,-0.01400000,-0.00968000,0.04662492,-0.04502315,-0.16987349,0.04809400
53613,20010301,MU,0.04909400,0.00100000,0.04809400,0.04860770,-0.02090117,-0.11964199,0.01129200
53613,20010302,MU,0.00529200,-0.00600000,0.01129200,0.13871993,0.13523136,-0.03593666,0.07463200
53613,20010305,MU,0.08063200,0.00600000,0.07463200,0.21176260,0.25453484,0.15760120,0.11461500
53613,20010306,MU,0.12461500,0.01000000,0.11461500,0.11389270,0.18108990,0.06409970,-0.07120699
53613,20010307,MU,-0.06520700,0.00600000,-0.07120699,0.08062604,0.17553775,0.12000096,0.04312200
53613,20010308,MU,0.04512200,0.00200000,0.04312200,-0.05371848,0.13052655,0.10559001,-0.02400800
53613,20010309,MU,-0.04900800,-0.02500000,-0.02400800,0.05920499,0.09517179,0.23451251,0.04324500
53613,20010312,MU,0.00024500,-0.04300000,0.04324500,0.08093289,0.04967284,0.30515236,0.06571600
53613,20010313,MU,0.08071600,0.01500000,0.06571600,0.12187468,0.13717049,0.33172798,0.01396800
53613,20010314,MU,-0.01203200,-0.02600000,0.01396800,0.01870608,0.03584454,0.20567967,-0.05701100
