PERMNO,date,TICKER,C2C,indexC2C,C2CindexAdj,C2CindexAdjFwd3Days,C2CindexAdjFwd5Days,C2CindexAdjFwd10Days,C2CindexAdjFwd1Day
21186,20020130,MWV,0.00988900,0.01200000,-0.00211100,,,,-0.00308800
21186,20020131,MWV,0.01191200,0.01500000,-0.00308800,-0.00440270,,,0.00080400
21186,20020201,MWV,-0.00619600,-0.00700000,0.00080400,0.01886971,,,0.02094800
21186,20020204,MWV,-0.00405200,-0.02500000,0.02094800,0.01308279,0.00829620,,-0.00852000
21186,20020205,MWV,-0.01252000,-0.00400000,-0.00852000,0.02818077,0.02616520,,0.01614300
21186,20020206,MWV,0.01014300,-0.00600000,0.01614300,0.01638920,0.03754410,,0.00896200
21186,20020207,MWV,0.00596200,-0.00300000,0.00896200,0.04635717,0.05804284,,0.02050100
21186,20020208,MWV,0.03550100,0.01500000,0.02050100,0.08571320,0.09316579,,0.05335400
21186,20020211,MWV,0.06735400,0.01400000,0.05335400,0.04747962,0.07402572,0.08236549,-0.02556200
21186,20020212,MWV,-0.02956200,-0.00400000,-0.02556200,0.01120607,0.04198847,0.06895769,-0.01439400
21186,20020213,MWV,-0.00439400,0.01000000,-0.01439400,-0.04033261,0.03175879,0.07033568,-0.00064800
21186,20020214,MWV,-0.00264800,-0.00200000,-0.00064800,0.00252175,0.02838848,0.08781583,0.01749000
21186,20020215,MWV,0.00649000,-0.01100000,0.01749000,0.02202264,-0.01724592,0.07162055,0.00551800
21186,20020219,MWV,-0.01348200,-0.01900000,0.00551800,0.03685678,0.02183058,0.09720046,0.01392600
21186,20020220,MWV,0.02792600,0.01400000,0.01392600,0.04345600,0.06006906,0.10509349,0.02409300
21186,20020221,MWV,0.00809300,-0.01600000,0.02409300,0.05960096,0.08202129,0.11834542,0.02009600
21186,20020222,MWV,0.02809600,0.00800000,0.02009600,0.00761533,0.02724392,0.05671637,-0.03640500
21186,20020225,MWV,-0.01840500,0.01800000,-0.03640500,0.00023120,0.03971420,0.02034085,0.01704500
21186,20020226,MWV,0.01704500,-0.00000000,0.01704500,-0.02552989,0.01888650,0.04118385,-0.00586600
21186,20020227,MWV,-0.00586600,0.00000000,-0.00586600,-0.01006852,-0.02708017,0.03366535,-0.02088300
21186,20020228,MWV,-0.02388300,-0.00300000,-0.02088300,-0.06183082,-0.08179317,-0.00136035,-0.03566600
21186,20020301,MWV,-0.01266600,0.02300000,-0.03566600,-0.02778963,-0.01658295,0.01120703,0.03056300
21186,20020304,MWV,0.04956300,0.01900000,0.03056300,-0.01038468,-0.03762109,0.00097353,-0.00411100
21186,20020305,MWV,-0.01111100,-0.00700000,-0.00411100,0.03418006,-0.02475562,-0.00568004,0.00747200
21186,20020306,MWV,0.02247200,0.01500000,0.00747200,-0.00191877,-0.00817995,-0.03648554,-0.00506600
21186,20020307,MWV,-0.00906600,-0.00400000,-0.00506600,-0.02121931,0.00445349,-0.07991152,-0.02318900
21186,20020308,MWV,-0.01718900,0.00600000,-0.02318900,-0.02970795,-0.02680566,-0.04421201,-0.00159000
21186,20020311,MWV,0.00141000,0.00300000,-0.00159000,-0.01892160,-0.01689324,-0.05509776,0.00594400
21186,20020312,MWV,0.00394400,-0.00200000,0.00594400,0.00422033,-0.02371190,-0.04883247,-0.00010100
21186,20020313,MWV,-0.01010100,-0.01000000,-0.00010100,0.02029184,-0.00452827,-0.01284832,0.01460500
21186,20020314,MWV,0.01360500,-0.00100000,0.01460500,-0.01083265,-0.00652563,-0.00228700,-0.02526200
21186,20020315,MWV,-0.01426200,0.01100000,-0.02526200,-0.02712042,-0.02111729,-0.04754632,-0.01630500
21186,20020318,MWV,-0.01730500,-0.00100000,-0.01630500,-0.03528168,-0.02084251,-0.03780790,0.00639300
21186,20020319,MWV,0.01039300,0.00400000,0.00639300,-0.00737365,-0.01806599,-0.04114629,0.00257100
21186,20020320,MWV,-0.01342900,-0.01600000,0.00257100,-0.03003866,-0.06999039,-0.07391618,-0.03906900
21186,20020321,MWV,-0.03706900,0.00200000,-0.03906900,-0.04716734,-0.05673930,-0.06284668,-0.01194000
21186,20020322,MWV,-0.01594000,-0.00400000,-0.01194000,-0.05397494,-0.04506595,-0.06448252,-0.00456000
21186,20020325,MWV,-0.01956000,-0.01500000,-0.00456000,-0.01581893,-0.05052668,-0.06990114,0.00054600
21186,20020326,MWV,0.00654600,0.00600000,0.00054600,0.01360926,-0.03730577,-0.05446783,0.01791700
21186,20020327,MWV,0.02291700,0.00500000,0.01791700,0.02030160,0.00312694,-0.06665353,0.00163300
21186,20020328,MWV,0.00363300,0.00200000,0.00163300,-0.00197715,-0.00602754,-0.06215598,-0.02102100
21186,20020401,MWV,-0.02202100,-0.00100000,-0.02102100,-0.01287939,0.00517337,-0.04040698,0.00653200
21186,20020402,MWV,-0.00246800,-0.00900000,0.00653200,-0.00182863,0.01735569,-0.03385695,0.01278300
21186,20020403,MWV,0.00278300,-0.01000000,0.01278300,0.01515199,-0.00424480,-0.04073388,-0.00408400
21186,20020404,MWV,-0.00308400,0.00100000,-0.00408400,0.02218608,0.00737340,0.01040983,0.01351600
21186,20020405,MWV,0.01051600,-0.00300000,0.01351600,-0.00400218,0.01521452,0.00916150,-0.01332500
21186,20020408,MWV,-0.01132500,0.00200000,-0.01332500,0.01387569,0.02250209,0.02777021,0.01381100
21186,20020409,MWV,0.00681100,-0.00700000,0.01381100,0.00753782,0.01705195,0.03454952,0.00714300
21186,20020410,MWV,0.01814300,0.01100000,0.00714300,0.04339137,0.04342752,0.03835214,0.02218800
21186,20020411,MWV,-0.00181200,-0.02400000,0.02218800,0.00574279,0.00613668,0.01333761,-0.02364100
21186,20020412,MWV,-0.01664100,0.00700000,-0.02364100,-0.00366140,0.01687191,0.03170133,-0.00246200
