PERMNO,date,TICKER,C2C,indexC2C,C2CindexAdj,C2CindexAdjFwd3Days,C2CindexAdjFwd5Days,C2CindexAdjFwd10Days,C2CindexAdjFwd1Day
84032,20010102,NOI,-0.01130900,-0.02800000,0.01669100,,,,-0.09248400
84032,20010103,NOI,-0.04248400,0.05000000,-0.09248400,-0.09661141,,,-0.02483600
84032,20010104,NOI,-0.03583600,-0.01100000,-0.02483600,-0.08334551,,,0.03131000
84032,20010105,NOI,0.00531000,-0.02600000,0.03131000,0.02328269,-0.04901506,,0.01784500
84032,20010108,NOI,0.01584500,-0.00200000,0.01784500,0.05945857,-0.05758235,,0.00986500
84032,20010109,NOI,0.01386500,0.00400000,0.00986500,0.06017176,0.06439334,,0.03102600
84032,20010110,NOI,0.04102600,0.01000000,0.03102600,0.01221578,0.06285185,,-0.02806200
84032,20010111,NOI,-0.01806200,0.01000000,-0.02806200,-0.00372255,0.02449436,,-0.00570600
84032,20010112,NOI,-0.01170600,-0.00600000,-0.00570600,-0.08057097,-0.04320685,-0.09047366,-0.04830100
84032,20010116,NOI,-0.04230100,0.00600000,-0.04830100,-0.05882069,-0.05800068,-0.11429696,-0.00553400
84032,20010117,NOI,-0.00353400,0.00200000,-0.00553400,-0.10672672,-0.13780990,-0.07714165,-0.05478000
84032,20010118,NOI,-0.04078000,0.01400000,-0.05478000,-0.02433142,-0.07714506,-0.01804946,0.03727200
84032,20010119,NOI,0.03327200,-0.00400000,0.03727200,-0.03476613,-0.08740933,-0.06601271,-0.01610000
84032,20010122,NOI,-0.01610000,0.00000000,-0.01610000,0.00953654,-0.05162128,-0.09492939,-0.01118200
84032,20010123,NOI,0.00181800,0.01300000,-0.01118200,-0.04287255,-0.06160303,-0.11890862,-0.01570400
84032,20010124,NOI,-0.01270400,0.00300000,-0.01570400,0.04540498,0.06702287,-0.07922365,0.07301500
84032,20010125,NOI,0.06801500,-0.00500000,0.07301500,0.07842172,0.05009762,-0.03100412,0.02093300
84032,20010126,NOI,0.01893300,-0.00200000,0.02093300,0.08209790,0.05425513,-0.03831658,-0.01267600
84032,20010129,NOI,-0.00567600,0.00700000,-0.01267600,-0.00961163,0.04700565,-0.00637664,-0.01760100
84032,20010130,NOI,-0.01060100,0.00700000,-0.01760100,-0.02174855,0.07231662,0.00809259,0.00847300
84032,20010131,NOI,0.00247300,-0.00600000,0.00847300,-0.05189933,-0.04436948,0.02010862,-0.04309300
84032,20010201,NOI,-0.03809300,0.00500000,-0.04309300,-0.01385516,-0.04335104,0.00397613,0.02098900
84032,20010202,NOI,0.00398900,-0.01700000,0.02098900,0.00703723,-0.00205823,0.05166258,0.03033600
84032,20010205,NOI,0.03433600,0.00400000,0.03033600,0.11760600,0.07924333,0.13001010,0.06372800
84032,20010206,NOI,0.06172800,-0.00200000,0.06372800,0.11300392,0.08709551,0.16448631,0.01601000
84032,20010207,NOI,0.00801000,-0.00800000,0.01601000,0.08862563,0.14274376,0.09488506,0.00830700
84032,20010208,NOI,0.00230700,-0.00600000,0.00830700,0.04537474,0.14344617,0.09434823,0.02118400
84032,20010209,NOI,0.00818400,-0.01300000,0.02118400,0.01330169,0.09387889,0.09098820,-0.01631200
84032,20010212,NOI,-0.00431200,0.01200000,-0.01631200,0.03162982,0.05599788,0.13688118,0.02658000
84032,20010213,NOI,0.01758000,-0.00900000,0.02658000,0.02651205,0.05624866,0.14565637,0.01602100
84032,20010214,NOI,0.01402100,-0.00200000,0.01602100,0.01886598,0.02391577,0.16878226,-0.02355600
84032,20010215,NOI,-0.01555600,0.00800000,-0.02355600,0.01588374,0.02625833,0.17134510,0.02351500
84032,20010216,NOI,0.00451500,-0.01900000,0.02351500,0.01561712,0.05774641,0.15243398,0.01575200
84032,20010220,NOI,-0.00124800,-0.01700000,0.01575200,0.04973611,0.04232962,0.09697698,0.01150000
84032,20010221,NOI,-0.00750000,-0.01900000,0.01150000,0.03635800,0.03599330,0.09089780,0.00955700
84032,20010222,NOI,0.00755700,-0.00200000,0.00955700,-0.03716349,0.00060877,0.02306438,-0.05800000
84032,20010223,NOI,-0.06400000,-0.00600000,-0.05800000,-0.03280564,-0.00534148,0.02011942,0.01798900
84032,20010226,NOI,0.03498900,0.01700000,0.01798900,-0.06531099,-0.04428976,0.01155874,-0.02425800
84032,20010227,NOI,-0.03225800,-0.00800000,-0.02425800,-0.02786006,-0.07495533,-0.03273434,-0.02066700
84032,20010228,NOI,-0.03466700,-0.01400000,-0.02066700,-0.02812245,-0.06851059,-0.03204009,0.01695600
84032,20010301,NOI,0.01795600,0.00100000,0.01695600,0.04320254,0.03614768,0.03454712,0.04833400
84032,20010302,NOI,0.04233400,-0.00600000,0.04833400,0.06726824,0.01888052,0.01303808,0.00076900
84032,20010305,NOI,0.00676900,0.00600000,0.00076900,0.04159695,0.03651337,-0.00991763,-0.00793100
84032,20010306,NOI,0.00206900,0.01000000,-0.00793100,0.01142851,0.07964585,-0.00360838,0.01851600
84032,20010307,NOI,0.02451600,0.00600000,0.01851600,0.01578446,0.06688365,-0.00813104,0.00505300
84032,20010308,NOI,0.00705300,0.00200000,0.00505300,0.04789740,0.04123719,0.07840248,0.02399900
84032,20010309,NOI,-0.00100100,-0.02500000,0.02399900,0.05649399,0.06788638,0.08568189,0.02847800
84032,20010312,NOI,-0.01452200,-0.04300000,0.02847800,0.02591463,0.04921112,0.08570931,-0.02668700
84032,20010313,NOI,-0.01168700,0.01500000,-0.02668700,0.01409014,0.04170205,0.11935007,0.01186100
84032,20010314,NOI,-0.01413900,-0.02600000,0.01186100,-0.05450112,-0.00252005,0.05933272,-0.04120200
84032,20010315,NOI,-0.03520200,0.00600000,-0.04120200,0.00813310,0.01042345,0.04930226,0.03810800
84032,20010316,NOI,0.01810800,-0.02000000,0.03810800,0.01332364,-0.00134069,0.06599188,0.01730700
84032,20010319,NOI,0.03530700,0.01800000,0.01730700,0.10738470,0.07420692,0.12144502,0.04964100
84032,20010320,NOI,0.02564100,-0.02400000,0.04964100,0.05564125,0.05113095,0.08950570,-0.01075000
84032,20010321,NOI,-0.02875000,-0.01800000,-0.01075000,0.00591413,0.06008688,0.05320816,-0.03177900
84032,20010322,NOI,-0.03577900,-0.00400000,-0.03177900,-0.04138396,0.02418000,0.03313762,0.00108900
84032,20010323,NOI,0.02108900,0.02000000,0.00108900,-0.01757140,0.02124004,0.01972599,0.01436000
84032,20010326,NOI,0.02536000,0.01100000,0.01436000,-0.06844259,-0.10808132,-0.03434598,-0.08081900
84032,20010327,NOI,-0.05481900,0.02600000,-0.08081900,-0.06938422,-0.10006581,-0.04878186,-0.00297600
84032,20010328,NOI,-0.02697600,-0.02400000,-0.00297600,-0.13838877,-0.12918428,-0.06905253,-0.06209200
