PERMNO,date,TICKER,C2C,indexC2C,C2CindexAdj,C2CindexAdjFwd3Days,C2CindexAdjFwd5Days,C2CindexAdjFwd10Days,C2CindexAdjFwd1Day
84032,20050314,NOV,0.02784000,0.00600000,0.02184000,,,,-0.00992500
84032,20050315,NOV,-0.01792500,-0.00800000,-0.00992500,0.00696008,,,-0.00437100
84032,20050316,NOV,-0.01237100,-0.00800000,-0.00437100,0.00480625,,,0.01956100
84032,20050317,NOV,0.02156100,0.00200000,0.01956100,0.00621924,0.01767277,,-0.00864300
84032,20050318,NOV,-0.00864300,-0.00000000,-0.00864300,0.00670712,-0.00759028,,-0.00392100
84032,20050321,NOV,-0.00892100,-0.00500000,-0.00392100,-0.01238663,0.00221883,,-0.00002500
84032,20050322,NOV,-0.01002500,-0.01000000,-0.00002500,-0.03429167,-0.02414640,,-0.03096500
84032,20050323,NOV,-0.02996500,0.00100000,-0.03096500,-0.02682411,-0.03871705,,0.00398300
84032,20050324,NOV,0.00298300,-0.00100000,0.00398300,-0.02989744,-0.03324811,-0.01612464,-0.00285000
84032,20050328,NOV,-0.00085000,0.00200000,-0.00285000,-0.01727672,-0.04705561,-0.05327835,-0.01836100
84032,20050329,NOV,-0.02636100,-0.00800000,-0.01836100,-0.03296479,-0.05935669,-0.05601289,-0.01181700
84032,20050330,NOV,0.00218300,0.01400000,-0.01181700,-0.01211115,-0.01099899,-0.03489000,0.01842900
84032,20050331,NOV,0.01742900,-0.00100000,0.01842900,0.02038415,-0.00148889,-0.04015897,0.01349500
84032,20050401,NOV,0.00749500,-0.00600000,0.01349500,0.02580171,-0.00482628,-0.03791277,-0.00618800
84032,20050404,NOV,-0.00318800,0.00300000,-0.00618800,0.00481259,0.01157755,-0.03686489,-0.00250700
84032,20050405,NOV,0.00149300,0.00400000,-0.00250700,0.00117597,0.03354335,-0.02765627,0.00992200
84032,20050406,NOV,0.01192200,0.00200000,0.00992200,-0.02163846,-0.01434211,-0.02536663,-0.02872200
84032,20050407,NOV,-0.02272200,0.00600000,-0.02872200,-0.03529007,-0.04394140,-0.04541260,-0.01654300
84032,20050408,NOV,-0.02454300,-0.00800000,-0.01654300,-0.03329806,-0.02633570,-0.03110263,0.01191800
84032,20050411,NOV,0.01191800,0.00000000,0.01191800,-0.03907151,-0.05768278,-0.04750994,-0.03457100
84032,20050412,NOV,-0.02857100,0.00600000,-0.03457100,-0.03541909,-0.07815294,-0.04765693,-0.01292100
84032,20050413,NOV,-0.02492100,-0.01200000,-0.01292100,-0.05138149,-0.05555656,-0.06925877,-0.00542700
84032,20050414,NOV,-0.01542700,-0.01000000,-0.00542700,-0.03603115,-0.05752703,-0.09790237,-0.01901500
84032,20050415,NOV,-0.03601500,-0.01700000,-0.01901500,-0.01730531,-0.06198314,-0.08614536,0.00718900
84032,20050418,NOV,0.01018900,0.00300000,0.00718900,0.01374786,-0.00473796,-0.06045452,0.02666100
84032,20050419,NOV,0.03266100,0.00600000,0.02666100,0.00240114,-0.02167879,-0.09555309,-0.03002300
84032,20050420,NOV,-0.04302300,-0.01300000,-0.03002300,0.01339653,0.00074858,-0.05478688,0.01839600
84032,20050421,NOV,0.03839600,0.02000000,0.01839600,-0.00387893,0.03010781,-0.03063788,0.00910600
84032,20050422,NOV,0.00210600,-0.00700000,0.00910600,0.03974977,0.03448975,-0.03157401,0.01131800
84032,20050425,NOV,0.02031800,0.00900000,0.01131800,0.00988933,-0.00309945,-0.00772841,-0.01022600
84032,20050426,NOV,-0.01922600,-0.00900000,-0.01022600,-0.03941554,-0.01318364,-0.03453514,-0.04017300
84032,20050427,NOV,-0.03617300,0.00400000,-0.04017300,-0.06756199,-0.04887811,-0.04810577,-0.01950800
84032,20050428,NOV,-0.03050800,-0.01100000,-0.01950800,-0.07744951,-0.07671758,-0.04944342,-0.01949200
84032,20050429,NOV,-0.00749200,0.01200000,-0.01949200,-0.02209370,-0.07084425,-0.03981447,0.01739600
84032,20050502,NOV,0.02239600,0.00500000,0.01739600,-0.01204568,-0.07072817,-0.07360849,-0.00958300
84032,20050503,NOV,-0.01058300,-0.00100000,-0.00958300,0.03554288,-0.00505892,-0.01848413,0.02755200
84032,20050504,NOV,0.03955200,0.01200000,0.02755200,0.04053176,0.03878677,-0.01376239,0.02238300
84032,20050505,NOV,0.01938300,-0.00300000,0.02238300,0.07363676,0.08213045,-0.00141379,0.02165700
84032,20050506,NOV,0.02065700,-0.00100000,0.02165700,0.07339817,0.09309091,0.01480663,0.02757900
84032,20050509,NOV,0.03357900,0.00600000,0.02757900,0.03540314,0.08794687,0.01157837,-0.01325500
84032,20050510,NOV,-0.02425500,-0.01100000,-0.01325500,0.01442555,0.05939796,0.05506954,0.00078900
84032,20050511,NOV,0.00478900,0.00400000,0.00078900,-0.05668057,-0.01070607,0.02692825,-0.04515200
84032,20050512,NOV,-0.05515200,-0.01000000,-0.04515200,-0.05147590,-0.03848790,0.03870463,-0.00749100
84032,20050513,NOV,-0.01249100,-0.00500000,-0.00749100,-0.06820959,-0.07934807,0.00419852,-0.01681100
84032,20050516,NOV,-0.00681100,0.01000000,-0.01681100,-0.00862191,-0.05330685,0.03031643,0.01602200
84032,20050517,NOV,0.02302200,0.00700000,0.01602200,-0.01459222,-0.06703594,-0.01057346,-0.01335200
84032,20050518,NOV,-0.00335200,0.01000000,-0.01335200,0.00894875,-0.01592557,-0.02656038,0.00629000
84032,20050519,NOV,0.01129000,0.00500000,0.00629000,-0.00272602,-0.00379874,-0.04324623,0.00437500
84032,20050520,NOV,0.00237500,-0.00200000,0.00437500,0.02206354,0.02503643,-0.05852090,0.01116600
84032,20050523,NOV,0.01516600,0.00400000,0.01116600,0.01059693,0.00351654,-0.05086716,-0.00490200
84032,20050524,NOV,-0.00490200,0.00000000,-0.00490200,0.02342023,0.03445322,-0.03474976,0.01707500
84032,20050525,NOV,0.01407500,-0.00300000,0.01707500,0.01802637,0.03397479,0.01835347,0.00579700
84032,20050526,NOV,0.01179700,0.00600000,0.00579700,0.03729995,0.04389443,0.04122909,0.01386000
84032,20050527,NOV,0.01486000,0.00100000,0.01386000,0.03997892,0.05245862,0.08002643,0.01974200
84032,20050531,NOV,0.01374200,-0.00600000,0.01974200,0.01479756,0.03832993,0.04266004,-0.01877800
84032,20050601,NOV,-0.00977800,0.00900000,-0.01877800,0.00248244,0.02247343,0.05820358,0.00159100
84032,20050602,NOV,0.00359100,0.00200000,0.00159100,-0.00105197,0.03286312,0.06808122,0.01616800
84032,20050603,NOV,0.00916800,-0.00700000,0.01616800,0.02040131,0.02135950,0.06631477,0.00254500
84032,20050606,NOV,0.00354500,0.00100000,0.00254500,0.01226792,-0.00494496,0.04752372,-0.00640300
84032,20050607,NOV,-0.00640300,-0.00000000,-0.00640300,-0.00232147,0.01543694,0.05423534,0.00155600
84032,20050608,NOV,-0.00044400,-0.00200000,0.00155600,0.02041531,0.03948415,0.06325023,0.02545800
84032,20050609,NOV,0.03045800,0.00500000,0.02545800,0.02457192,0.02061659,0.05420010,-0.00231500
84032,20050610,NOV,-0.00431500,-0.00200000,-0.00231500,0.03724500,0.03212168,0.05419622,0.01381800
84032,20050613,NOV,0.01581800,0.00200000,0.01381800,0.00412391,0.03133899,0.02636437,-0.00726600
84032,20050614,NOV,-0.00426600,0.00300000,-0.00726600,0.01313593,0.03666064,0.05259793,0.00656900
84032,20050615,NOV,0.00856900,0.00200000,0.00656900,0.01486485,0.02657680,0.06738587,0.01554100
84032,20050616,NOV,0.01954100,0.00400000,0.01554100,0.02837887,0.03525480,0.05700011,0.00583300
84032,20050617,NOV,0.01083300,0.00500000,0.00583300,0.02129999,0.02064537,0.05391128,-0.00023700
84032,20050620,NOV,-0.00123700,-0.00100000,-0.00023700,-0.02823753,-0.00672221,0.02461674,-0.03349300
84032,20050621,NOV,-0.03549300,-0.00200000,-0.03349300,-0.03430658,-0.01385473,0.02237885,-0.00064200
84032,20050622,NOV,-0.00064200,0.00000000,-0.00064200,-0.00580072,-0.00034119,0.02598335,0.02898300
84032,20050623,NOV,0.01798300,-0.01100000,0.02898300,0.02126532,-0.01256583,0.02127323,-0.00672100
84032,20050624,NOV,-0.01472100,-0.00800000,-0.00672100,0.03680596,0.00204316,0.02230622,0.01487400
84032,20050627,NOV,0.01387400,-0.00100000,0.01487400,-0.01128335,0.01684844,0.01022231,-0.01931600
84032,20050628,NOV,-0.01031600,0.00900000,-0.01931600,-0.00015242,0.02190937,0.00804954,0.00440400
84032,20050629,NOV,0.00340400,-0.00100000,0.00440400,-0.00009262,0.00785574,0.00744365,0.01484400
84032,20050630,NOV,0.00784400,-0.00700000,0.01484400,0.02182229,0.01734373,0.00414408,0.00246900
84032,20050701,NOV,0.00546900,0.00300000,0.00246900,0.02749259,0.01228969,0.01411590,0.00982800
84032,20050705,NOV,0.01882800,0.00900000,0.00982800,0.00826861,0.02770528,0.04464479,-0.00391000
84032,20050706,NOV,-0.01191000,-0.00800000,-0.00391000,0.00271803,0.02018208,0.04226604,-0.00303900
84032,20050707,NOV,-0.00103900,0.00200000,-0.00303900,-0.03178485,-0.02011425,-0.01211281,-0.02510600
84032,20050708,NOV,-0.01310600,0.01200000,-0.02510600,-0.02634269,-0.02063724,-0.00334681,0.00201000
84032,20050711,NOV,0.00801000,0.00600000,0.00201000,0.00880753,0.00163380,0.01413647,0.03229500
84032,20050712,NOV,0.03429500,0.00200000,0.03229500,0.00868574,-0.01984630,0.00803233,-0.02485800
84032,20050713,NOV,-0.02385800,0.00100000,-0.02485800,-0.01040276,-0.03376149,-0.01373531,-0.01687700
84032,20050714,NOV,-0.01387700,0.00300000,-0.01687700,-0.05696838,-0.02465331,-0.04497835,-0.01612300
84032,20050715,NOV,-0.01512300,0.00100000,-0.01612300,-0.03070452,-0.02439651,-0.04506405,0.00194800
84032,20050718,NOV,-0.00405200,-0.00600000,0.00194800,0.01211365,-0.02982754,-0.02864945,0.02683300
84032,20050719,NOV,0.03383300,0.00700000,0.02683300,0.03029249,-0.00356836,-0.02362478,0.00142100
84032,20050720,NOV,0.00642100,0.00500000,0.00142100,0.03402123,0.01919333,-0.01474914,0.00555900
84032,20050721,NOV,-0.00144100,-0.00700000,0.00555900,0.06311810,0.09375990,0.06792300,0.05580000
84032,20050722,NOV,0.06080000,0.00500000,0.05580000,0.07147271,0.10263019,0.07568513,0.00982900
84032,20050725,NOV,0.00582900,-0.00400000,0.00982900,0.05967375,0.06699701,0.03554302,-0.00605600
84032,20050726,NOV,-0.00405600,0.00200000,-0.00605600,0.00731632,0.06923915,0.06611205,0.00353400
84032,20050727,NOV,0.00853400,0.00500000,0.00353400,-0.00416603,0.06241974,0.08307569,-0.00157700
84032,20050728,NOV,0.00442300,0.00600000,-0.00157700,0.01238080,0.01617090,0.11159730,0.01029800
84032,20050729,NOV,0.00229800,-0.00800000,0.01029800,0.03835762,0.03596415,0.14310973,0.02937200
84032,20050801,NOV,0.03037200,0.00100000,0.02937200,0.07223820,0.07514149,0.14797857,0.03119100
84032,20050802,NOV,0.03819100,0.00700000,0.03119100,0.07789933,0.08728198,0.16312770,0.01507100
84032,20050803,NOV,0.01607100,0.00100000,0.01507100,0.07135132,0.11347293,0.18419084,0.02352000
84032,20050804,NOV,0.01652000,-0.00700000,0.02352000,0.03181522,0.09488788,0.11258319,-0.00652300
84032,20050805,NOV,-0.01452300,-0.00800000,-0.00652300,0.05515759,0.10421416,0.14418571,0.03843900
84032,20050808,NOV,0.03543900,-0.00300000,0.03843900,0.01321655,0.05235675,0.13125279,-0.01801300
84032,20050809,NOV,-0.01101300,0.00700000,-0.01801300,0.04820530,0.06502404,0.15729839,0.02752700
84032,20050810,NOV,0.02552700,-0.00200000,0.02752700,0.01474998,0.04680543,0.16540928,0.00536200
84032,20050811,NOV,0.01236200,0.00700000,0.00536200,0.03016831,0.05092929,0.15061903,-0.00274600
84032,20050812,NOV,-0.00874600,-0.00600000,-0.00274600,-0.02066666,-0.01167727,0.09237159,-0.02314300
84032,20050815,NOV,-0.02014300,0.00300000,-0.02314300,-0.03023225,0.00133364,0.05321958,-0.00498900
84032,20050816,NOV,-0.01698900,-0.01200000,-0.00498900,-0.05138499,-0.04903589,0.01297590,-0.02450500
84032,20050817,NOV,-0.02350500,0.00100000,-0.02450500,-0.02554511,-0.05019814,-0.00648936,0.00365500
84032,20050818,NOV,0.00265500,-0.00100000,0.00365500,0.00695110,-0.02108611,0.02829770,0.02847900
84032,20050819,NOV,0.02947900,0.00100000,0.02847900,0.01959389,-0.01033252,-0.02187628,-0.01228800
84032,20050822,NOV,-0.01028800,0.00200000,-0.01228800,0.03089825,0.00934083,0.01059285,0.01478100
84032,20050823,NOV,0.01178100,-0.00300000,0.01478100,0.02428823,0.05702620,0.00518168,0.02189700
