PERMNO,date,TICKER,C2C,indexC2C,C2CindexAdj,C2CindexAdjFwd3Days,C2CindexAdjFwd5Days,C2CindexAdjFwd10Days,C2CindexAdjFwd1Day
90609,20010102,NOVL,-0.05988000,-0.02800000,-0.03188000,,,,0.13471301
90609,20010103,NOVL,0.18471301,0.05000000,0.13471301,0.05649452,,,-0.03201100
90609,20010104,NOVL,-0.04301100,-0.01100000,-0.03201100,0.07135148,,,-0.01894400
90609,20010105,NOVL,-0.04494400,-0.02600000,-0.01894400,0.03864043,0.13260882,,0.09611800
90609,20010108,NOVL,0.09411800,-0.00200000,0.09611800,0.16450960,0.27952821,,0.08739800
90609,20010109,NOVL,0.09139800,0.00400000,0.08739800,0.38798908,0.30471333,,0.16241400
90609,20010110,NOVL,0.17241400,0.01000000,0.16241400,0.29302480,0.38084902,,0.01941200
90609,20010111,NOVL,0.02941200,0.01000000,0.01941200,0.17813929,0.40753140,,-0.00624500
90609,20010112,NOVL,-0.01224500,-0.00600000,-0.00624500,0.01524603,0.28768446,0.45622542,0.00226400
90609,20010116,NOVL,0.00826400,0.00600000,0.00226400,0.05109655,0.24883230,0.60744522,0.05537700
90609,20010117,NOVL,0.05737700,0.00200000,0.05537700,0.04399084,0.05788174,0.38674576,-0.01400000
90609,20010118,NOVL,0.00000000,0.01400000,-0.01400000,0.01262592,0.00847966,0.39706307,-0.02700800
90609,20010119,NOVL,-0.03100800,-0.00400000,-0.02700800,-0.03707614,0.01915342,0.44214701,0.00400000
90609,20010122,NOVL,0.00400000,0.00000000,0.00400000,-0.00119600,0.04045431,0.34798003,0.02285700
90609,20010123,NOVL,0.03585700,0.01300000,0.02285700,0.04796140,0.00486533,0.26152094,0.02007700
90609,20010124,NOVL,0.02307700,0.00300000,0.02007700,0.04880260,0.02409291,0.08439950,0.00500000
90609,20010125,NOVL,0.00000000,-0.00500000,0.00500000,0.04247298,0.07106394,0.08106960,0.01703800
90609,20010126,NOVL,0.01503800,-0.00200000,0.01703800,0.07522714,0.12344353,0.14749416,0.05225900
90609,20010129,NOVL,0.05925900,0.00700000,0.05225900,0.07068619,0.09771103,0.14497643,-0.00000700
90609,20010130,NOVL,0.00699300,0.00700000,-0.00000700,0.01425707,0.03667490,0.04268191,-0.03566700
90609,20010131,NOVL,-0.04166700,-0.00600000,-0.03566700,-0.03043817,0.03789405,0.06342647,0.00587000
90609,20010201,NOVL,0.01087000,0.00500000,0.00587000,-0.05837632,-0.01059826,0.05931816,-0.02959500
90609,20010202,NOVL,-0.04659500,-0.01700000,-0.02959500,-0.00273549,-0.03827096,0.07894923,0.02231600
90609,20010205,NOVL,0.02631600,0.00400000,0.02231600,-0.05664238,-0.08463768,0.00238960,-0.04928200
90609,20010206,NOVL,-0.05128200,-0.00200000,-0.04928200,0.00226481,-0.02181824,0.01337495,0.03116600
90609,20010207,NOVL,0.02316600,-0.00800000,0.03116600,-0.04268429,-0.05006906,-0.01571276,-0.02418900
90609,20010208,NOVL,-0.03018900,-0.00600000,-0.02418900,-0.01570031,-0.04283679,-0.05253726,-0.02201900
90609,20010209,NOVL,-0.03501900,-0.01300000,-0.02201900,-0.02681302,-0.04520922,-0.08077227,0.02025800
90609,20010212,NOVL,0.03225800,0.01200000,0.02025800,-0.02487336,-0.01851488,-0.09926063,-0.02225000
90609,20010213,NOVL,-0.03125000,-0.00900000,-0.02225000,0.03943678,-0.00836197,-0.02945308,0.04232300
