PERMNO,date,TICKER,C2C,indexC2C,C2CindexAdj,C2CindexAdjFwd3Days,C2CindexAdjFwd5Days,C2CindexAdjFwd10Days,C2CindexAdjFwd1Day
90441,20081229,NWSA,0.02820200,-0.00400000,0.03220200,,,,-0.01371400
90441,20081230,NWSA,0.01028600,0.02400000,-0.01371400,0.03397302,,,0.01428100
90441,20081231,NWSA,0.02828100,0.01400000,0.01428100,0.03586694,,,0.03400700
90441,20090102,NWSA,0.06600700,0.03200000,0.03400700,0.03344554,0.05439448,,-0.01460800
90441,20090105,NWSA,-0.01960800,-0.00500000,-0.01460800,0.04855378,0.05098050,,0.02884200
90441,20090106,NWSA,0.03684200,0.00800000,0.02884200,-0.03891872,0.00569731,,-0.05121800
90441,20090107,NWSA,-0.08121800,-0.03000000,-0.05121800,-0.04174617,-0.02571697,,-0.01736500
90441,20090108,NWSA,-0.01436500,0.00300000,-0.01736500,-0.06618505,-0.05437030,,-0.00030100
90441,20090109,NWSA,-0.02130100,-0.02100000,-0.00030100,-0.02565136,-0.04854319,-0.00316752,-0.00907300
90441,20090112,NWSA,-0.03207300,-0.02300000,-0.00907300,0.01581873,-0.05020014,-0.00897515,0.02640200
90441,20090113,NWSA,0.02840200,0.00200000,0.02640200,-0.01766769,-0.03341713,-0.02891508,-0.03374300
90441,20090114,NWSA,-0.06674300,-0.03300000,-0.03374300,-0.01960672,-0.02747130,-0.05081505,-0.01086400
90441,20090115,NWSA,-0.00986400,0.00100000,-0.01086400,-0.05280991,-0.03650379,-0.08482049,-0.00924500
90441,20090116,NWSA,-0.00124500,0.00800000,-0.00924500,-0.07390264,-0.07969189,-0.11582733,-0.05547900
90441,20090120,NWSA,-0.10847900,-0.05300000,-0.05547900,-0.03796440,-0.07880452,-0.11790332,0.03252400
90441,20090121,NWSA,0.07552400,0.04300000,0.03252400,-0.07639762,-0.09510990,-0.11803560,-0.05002000
90441,20090122,NWSA,-0.06502000,-0.01500000,-0.05002000,-0.06046513,-0.12008868,-0.13518225,-0.03838000
90441,20090123,NWSA,-0.03338000,0.00500000,-0.03838000,-0.09599585,-0.12079528,-0.14687772,-0.01031700
90441,20090126,NWSA,-0.00431700,0.00600000,-0.01031700,-0.08613023,-0.10885566,-0.17579412,-0.03845700
90441,20090127,NWSA,-0.02745700,0.01100000,-0.03845700,0.03324526,-0.06055819,-0.13562902,0.08635700
90441,20090128,NWSA,0.12035700,0.03400000,0.08635700,-0.02821749,-0.07626922,-0.16482205,-0.06514300
90441,20090129,NWSA,-0.09814300,-0.03300000,-0.06514300,-0.02740013,-0.07412790,-0.18347233,-0.03729400
90441,20090130,NWSA,-0.06029400,-0.02300000,-0.03729400,-0.06052437,-0.02421036,-0.14007102,0.04325400
90441,20090202,NWSA,0.04225400,-0.00100000,0.04325400,0.00689110,0.01739861,-0.09155584,0.00352000
90441,20090203,NWSA,0.01952000,0.01600000,0.00352000,0.02655019,-0.07554423,-0.13173426,-0.01951000
90441,20090204,NWSA,-0.02651000,-0.00700000,-0.01951000,0.01701154,0.02013548,-0.05726050,0.03392400
90441,20090205,NWSA,0.04992400,0.01600000,0.03392400,-0.00814606,0.04067900,-0.04055559,-0.02123600
90441,20090206,NWSA,0.00576400,0.02700000,-0.02123600,-0.01875658,-0.03574039,-0.05990946,-0.02965300
90441,20090209,NWSA,-0.02865300,0.00100000,-0.02965300,-0.06122668,-0.04967171,-0.03295364,-0.01294700
90441,20090210,NWSA,-0.06194700,-0.04900000,-0.01294700,-0.03263205,-0.02242204,-0.09529457,0.00929600
90441,20090211,NWSA,0.01729600,0.00800000,0.00929600,0.00407664,-0.04508209,-0.02612758,0.00881900
90441,20090212,NWSA,0.01081900,0.00200000,0.00881900,0.02209713,-0.02063828,0.01617729,0.00388400
90441,20090213,NWSA,-0.00611600,-0.01000000,0.00388400,-0.00044519,-0.00452295,-0.03702733,-0.01246200
90441,20090217,NWSA,-0.05846200,-0.04600000,-0.01246200,-0.00773600,0.00929822,-0.03862606,0.00100000
90441,20090218,NWSA,0.00000000,-0.00100000,0.00100000,-0.01545620,-0.00361008,-0.02447709,-0.00434000
90441,20090219,NWSA,-0.01634000,-0.01200000,-0.00434000,0.01077283,0.00160753,-0.04004807,0.01432200
90441,20090220,NWSA,0.00332200,-0.01100000,0.01432200,0.00151207,-0.00942763,-0.02732607,-0.00804600
90441,20090223,NWSA,-0.04304600,-0.03500000,-0.00804600,0.02405054,0.02033049,0.01392042,0.01882300
90441,20090224,NWSA,0.05882300,0.04000000,0.01882300,0.01075067,0.02033297,0.02858369,0.00119600
90441,20090225,NWSA,-0.00980400,-0.01100000,0.00119600,-0.01383400,-0.00746490,-0.01043280,-0.03185500
90441,20090226,NWSA,-0.04785500,-0.01600000,-0.03185500,-0.04132328,-0.03270963,-0.02867651,-0.01239500
90441,20090227,NWSA,-0.03639500,-0.02400000,-0.01239500,-0.04395925,-0.02789154,-0.03367704,-0.00336000
90441,20090302,NWSA,-0.05036000,-0.04700000,-0.00336000,0.00092948,-0.02719840,-0.00890608,0.01736400
90441,20090303,NWSA,0.01136400,-0.00600000,0.01736400,0.04796866,0.00240451,0.02132290,0.03592500
90441,20090304,NWSA,0.05992500,0.02400000,0.03592500,0.03916987,0.02118325,0.01354014,-0.01177000
90441,20090305,NWSA,-0.05477000,-0.04300000,-0.01177000,0.01343381,0.02580137,-0.00664399,-0.00847700
90441,20090306,NWSA,-0.00747700,0.00100000,-0.00847700,-0.05615118,-0.00887200,-0.03502856,-0.03896400
90441,20090309,NWSA,-0.04896400,-0.01000000,-0.03896400,-0.01212290,0.01095113,-0.01854848,0.04020900
90441,20090310,NWSA,0.10420900,0.06400000,0.04020900,0.03279383,0.00987348,0.01165294,0.03429800
90441,20090311,NWSA,0.03629800,0.00200000,0.03429800,0.06250603,0.00676647,0.02957212,-0.01648200
90441,20090312,NWSA,0.02451800,0.04100000,-0.01648200,0.03750252,0.03599993,0.06295704,0.01764100
90441,20090313,NWSA,0.02564100,0.00800000,0.01764100,0.00740862,0.09016668,0.07635343,0.00566700
90441,20090316,NWSA,0.00166700,-0.00400000,0.00566700,0.05108460,0.07353308,0.08862162,0.02623600
90441,20090317,NWSA,0.05823600,0.03200000,0.02623600,0.03887657,0.04238283,0.05414431,0.00573000
90441,20090318,NWSA,0.02673000,0.02100000,0.00573000,-0.00503214,0.01914766,0.02825379,-0.03447300
90441,20090319,NWSA,-0.04747300,-0.01300000,-0.03447300,-0.03159710,-0.00176403,0.03452624,-0.00250800
90441,20090320,NWSA,-0.02250800,-0.02000000,-0.00250800,-0.00224496,0.03159191,0.13646980,0.03919700
90441,20090323,NWSA,0.11019700,0.07100000,0.03919700,0.04375827,0.01220583,0.09030847,0.00814800
90441,20090324,NWSA,-0.01185200,-0.02000000,0.00814800,0.05505545,0.01291582,0.05822867,0.00649200
90441,20090325,NWSA,0.01649200,0.01000000,0.00649200,0.02891597,0.06745616,0.09207219,0.01387300
90441,20090326,NWSA,0.03687300,0.02300000,0.01387300,0.02791472,0.07867874,0.07785309,0.00719800
90441,20090327,NWSA,-0.01280200,-0.02000000,0.00719800,-0.01169832,0.00241753,0.03296708,-0.03128200
90441,20090330,NWSA,-0.06628200,-0.03500000,-0.03128200,-0.01631480,0.00267641,0.01488854,0.00860500
90441,20090331,NWSA,0.02160500,0.01300000,0.00860500,0.00871966,0.02986143,0.04387772,0.03436000
90441,20090401,NWSA,0.05136000,0.01700000,0.03436000,0.10194075,0.06859148,0.14515088,0.05289700
90441,20090402,NWSA,0.08189700,0.02900000,0.05289700,0.12129132,0.09069745,0.18481910,0.02585700
90441,20090403,NWSA,0.03585700,0.01000000,0.02585700,0.05523235,0.10453575,0.10292213,-0.02276900
90441,20090406,NWSA,-0.03076900,-0.00800000,-0.02276900,-0.01904239,0.06729742,0.06953188,-0.02097400
90441,20090407,NWSA,-0.04497400,-0.02400000,-0.02097400,-0.04904136,0.02479688,0.05586334,-0.00646000
90441,20090408,NWSA,0.00554000,0.01200000,-0.00646000,0.00914588,0.01129916,0.08256092,0.03913500
90441,20090409,NWSA,0.07713500,0.03800000,0.03913500,0.01702954,-0.02906897,0.05984871,-0.01450900
90441,20090413,NWSA,-0.01150900,0.00300000,-0.01450900,-0.00100826,-0.02891923,0.07160720,-0.02269100
90441,20090414,NWSA,-0.04269100,-0.02000000,-0.02269100,-0.03280250,-0.00302188,0.06709451,0.00456800
90441,20090415,NWSA,0.01756800,0.01300000,0.00456800,0.02113057,0.04632647,0.07436234,0.04110500
90441,20090416,NWSA,0.05710500,0.01600000,0.04110500,0.08997058,0.04723065,0.06053757,0.04022600
90441,20090417,NWSA,0.04522600,0.00500000,0.04022600,0.03079483,0.01180991,-0.01649528,-0.04474000
90441,20090420,NWSA,-0.08774000,-0.04300000,-0.04474000,-0.00710779,0.03798519,0.00795361,0.00139800
90441,20090421,NWSA,0.02239800,0.02100000,0.00139800,-0.03418396,0.04348786,0.04236427,0.01057700
90441,20090422,NWSA,0.00257700,-0.00800000,0.01057700,-0.01242059,-0.02030024,0.02332156,-0.02413900
90441,20090423,NWSA,-0.01413900,0.01000000,-0.02413900,0.00424268,-0.04128871,0.00309491,0.01820200
90441,20090424,NWSA,0.03520200,0.01700000,0.01820200,-0.04260538,-0.03126509,-0.01853527,-0.03534000
90441,20090427,NWSA,-0.04534000,-0.01000000,-0.03534000,-0.02206212,-0.03537619,0.00110588,-0.00359600
90441,20090428,NWSA,-0.00659600,-0.00300000,-0.00359600,0.01770382,0.01140551,0.05684421,0.06033700
90441,20090429,NWSA,0.08233700,0.02200000,0.06033700,0.07179482,0.05205580,0.02935423,0.01449700
90441,20090430,NWSA,0.01349700,-0.00100000,0.01449700,0.08679893,0.04264139,-0.00112233,0.00952800
90441,20090501,NWSA,0.01452800,0.00500000,0.00952800,0.06493656,0.12822901,0.09498821,0.03879200
90441,20090504,NWSA,0.07279200,0.03400000,0.03879200,0.05820647,0.14247654,0.10087067,0.00844900
90441,20090505,NWSA,0.00444900,-0.00400000,0.00844900,0.08031295,0.10795321,0.12508073,0.02951200
90441,20090506,NWSA,0.04651200,0.01700000,0.02951200,0.05140413,0.10514306,0.16731304,0.01300000
90441,20090507,NWSA,0.00000000,-0.01300000,0.01300000,0.04189795,0.09417805,0.14453575,-0.00177800
90441,20090508,NWSA,0.02222200,0.02400000,-0.00177800,-0.01490802,0.02212365,0.15462644,-0.02561900
90441,20090511,NWSA,-0.04761900,-0.02200000,-0.02561900,-0.05232256,-0.01200302,0.12868820,-0.02508700
90441,20090512,NWSA,-0.02608700,-0.00100000,-0.02508700,-0.08728792,-0.07826292,0.01297519,-0.04219600
90441,20090513,NWSA,-0.06919600,-0.02700000,-0.04219600,-0.02196421,-0.04880057,0.04754471,0.04875300
90441,20090514,NWSA,0.05875300,0.01000000,0.04875300,-0.01209851,-0.05931798,0.02105183,-0.01504800
90441,20090515,NWSA,-0.02604800,-0.01100000,-0.01504800,0.07186234,-0.00225031,0.01982247,0.03744200
90441,20090518,NWSA,0.06744200,0.03000000,0.03744200,0.02526992,0.02771080,0.01550408,0.00417900
90441,20090519,NWSA,0.00217900,-0.00200000,0.00417900,0.03068896,0.06466637,-0.02288783,-0.01021700
90441,20090520,NWSA,-0.01521700,-0.00500000,-0.01021700,-0.03930934,-0.02040075,-0.06758729,-0.03377300
90441,20090521,NWSA,-0.05077300,-0.01700000,-0.03377300,-0.01732450,0.02233716,-0.03969332,0.02774400
90441,20090522,NWSA,0.02674400,-0.00100000,0.02774400,0.02335533,0.01692297,0.01463474,0.03175800
90441,20090526,NWSA,0.05775800,0.02600000,0.03175800,0.07124513,0.02305816,0.05092838,0.01043500
90441,20090527,NWSA,-0.00856500,-0.01900000,0.01043500,0.05653997,0.04754076,0.11652040,0.01307800
90441,20090528,NWSA,0.02807800,0.01500000,0.01307800,0.03745472,0.10233986,0.07856202,0.01331100
90441,20090529,NWSA,0.02731100,0.01400000,0.01331100,0.06714125,0.11496463,0.14178013,0.03739500
90441,20090601,NWSA,0.06339500,0.02600000,0.03739500,0.07205111,0.09799708,0.11727081,0.01819200
90441,20090602,NWSA,0.02019200,0.00200000,0.01819200,0.04360013,0.07336231,0.09789663,-0.01144800
90441,20090603,NWSA,-0.02544800,-0.01400000,-0.01144800,-0.01230189,0.03857382,0.08993464,-0.01873700
90441,20090604,NWSA,-0.00773700,0.01100000,-0.01873700,-0.02872831,0.02529963,0.13333522,0.00105100
90441,20090605,NWSA,-0.00194900,-0.00300000,0.00105100,0.00077803,0.00707528,0.12270555,0.01857800
90441,20090608,NWSA,0.01757800,-0.00100000,0.01857800,0.01950667,-0.01097059,0.08522441,-0.00016100
