PERMNO,date,TICKER,C2C,indexC2C,C2CindexAdj,C2CindexAdjFwd3Days,C2CindexAdjFwd5Days,C2CindexAdjFwd10Days,C2CindexAdjFwd1Day
42307,20010102,NX,-0.04658400,-0.02800000,-0.01858400,,,,-0.05325700
42307,20010103,NX,-0.00325700,0.05000000,-0.05325700,-0.06527388,,,0.00446400
42307,20010104,NX,-0.00653600,-0.01100000,0.00446400,-0.02122195,,,0.02600000
42307,20010105,NX,0.00000000,-0.02600000,0.02600000,0.02883705,-0.04016904,,-0.00128900
42307,20010108,NX,-0.00328900,-0.00200000,-0.00128900,0.01419159,-0.03300855,,-0.01060100
42307,20010109,NX,-0.00660100,0.00400000,-0.01060100,-0.03832719,-0.00753620,,-0.02661100
42307,20010110,NX,-0.01661100,0.01000000,-0.02661100,-0.04728264,-0.02187185,,-0.01000000
42307,20010111,NX,0.00000000,0.01000000,-0.01000000,-0.05716844,-0.06863032,,-0.02102700
42307,20010112,NX,-0.02702700,-0.00600000,-0.02102700,-0.03699070,-0.07364845,-0.11044164,-0.00600000
42307,20010116,NX,0.00000000,0.00600000,-0.00600000,-0.01885553,-0.05532538,-0.08798228,0.00841700
42307,20010117,NX,0.01041700,0.00200000,0.00841700,0.00565372,-0.02615123,-0.03302990,0.00318200
42307,20010118,NX,0.01718200,0.01400000,0.00318200,0.00192468,-0.02544133,-0.04690456,-0.00951400
42307,20010119,NX,-0.01351400,-0.00400000,-0.00951400,-0.00650824,-0.00414715,-0.07379699,0.00000000
42307,20010122,NX,0.00000000,0.00000000,0.00000000,-0.00557040,0.00612993,-0.06967199,0.00412300
42307,20010123,NX,0.01712300,0.01300000,0.00412300,-0.00234071,-0.00896137,-0.06543539,-0.00636700
42307,20010124,NX,-0.00336700,0.00300000,-0.00636700,-0.00411010,-0.01367279,-0.04000486,-0.00175700
42307,20010125,NX,-0.00675700,-0.00500000,-0.00175700,0.00737721,0.01160997,-0.01421563,0.01560500
42307,20010126,NX,0.01360500,-0.00200000,0.01560500,0.00003863,-0.00230146,-0.00654692,-0.01371100
42307,20010129,NX,-0.00671100,0.00700000,-0.01371100,-0.00249684,-0.01065512,-0.00479697,-0.00429700
42307,20010130,NX,0.00270300,0.00700000,-0.00429700,0.00411703,0.01800035,0.00934001,0.02217300
42307,20010131,NX,0.01617300,-0.00600000,0.02217300,0.01944336,0.02140315,0.00743561,0.00136600
42307,20010201,NX,0.00636600,0.00500000,0.00136600,0.03849773,0.02059318,0.03257732,0.01489100
42307,20010202,NX,-0.00210900,-0.01700000,0.01489100,0.01343853,0.03150837,0.02965505,-0.00294300
42307,20010205,NX,0.00105700,0.00400000,-0.00294300,-0.00182659,0.02144795,0.01094946,-0.01383100
42307,20010206,NX,-0.01583100,-0.00200000,-0.01383100,0.00127058,0.01750623,0.03551312,0.01818800
42307,20010207,NX,0.01018800,-0.00800000,0.01818800,0.00325981,0.01507894,0.03635430,-0.00090000
42307,20010208,NX,-0.00690000,-0.00600000,-0.00090000,0.01872822,0.00211783,0.02223432,0.00177600
42307,20010209,NX,-0.01122400,-0.01300000,0.00177600,-0.01355168,-0.00932321,0.02142079,-0.01470300
42307,20010212,NX,-0.00270300,0.01200000,-0.01470300,-0.00375100,0.01323241,0.03423789,0.00900000
42307,20010213,NX,0.00000000,-0.00900000,0.00900000,-0.01602153,-0.01485617,0.00234190,-0.01046600
42307,20010214,NX,-0.01246600,-0.00200000,-0.01046600,-0.00018247,-0.01288142,0.00231040,0.00133000
42307,20010215,NX,0.00933000,0.00800000,0.00133000,0.02125928,0.01568030,0.01742020,0.03041900
42307,20010216,NX,0.01141900,-0.01900000,0.03041900,0.02247384,0.02075114,0.01124064,-0.00880600
42307,20010220,NX,-0.02580600,-0.01700000,-0.00880600,0.03931751,0.03045206,0.04271828,0.01900000
