PERMNO,date,TICKER,C2C,indexC2C,C2CindexAdj,C2CindexAdjFwd3Days,C2CindexAdjFwd5Days,C2CindexAdjFwd10Days,C2CindexAdjFwd1Day
47466,20010102,NYT,-0.03900200,-0.02800000,-0.01100200,,,,0.02142900
47466,20010103,NYT,0.07142900,0.05000000,0.02142900,0.08891080,,,0.07766700
47466,20010104,NYT,0.06666700,-0.01100000,0.07766700,0.08919966,,,-0.01093200
47466,20010105,NYT,-0.03693200,-0.02600000,-0.01093200,0.03864033,0.04847749,,-0.02454900
47466,20010108,NYT,-0.02654900,-0.00200000,-0.02454900,-0.02707723,0.07095049,,0.00812100
47466,20010109,NYT,0.01212100,0.00400000,0.00812100,-0.04888547,0.01453671,,-0.03245500
47466,20010110,NYT,-0.02245500,0.01000000,-0.03245500,-0.01054435,-0.04527329,,0.01450200
47466,20010111,NYT,0.02450200,0.01000000,0.01450200,-0.00948805,-0.02632393,,0.00899000
47466,20010112,NYT,0.00299000,-0.00600000,0.00899000,-0.00077538,-0.02565885,0.02322851,-0.02388400
47466,20010116,NYT,-0.01788400,0.00600000,-0.02388400,0.00252068,-0.01611520,0.05504317,0.01772700
47466,20010117,NYT,0.01972700,0.00200000,0.01772700,-0.01914388,0.00447641,0.01934579,-0.01251200
47466,20010118,NYT,0.00148800,0.01400000,-0.01251200,0.00321011,-0.01192781,-0.05714808,-0.00194400
47466,20010119,NYT,-0.00594400,-0.00400000,-0.00194400,-0.04119482,-0.04784290,-0.07414764,-0.02690600
47466,20010122,NYT,-0.02690600,0.00000000,-0.02690600,-0.03272238,-0.02815459,-0.05441531,-0.00378300
47466,20010123,NYT,0.00921700,0.01300000,-0.00378300,-0.02500779,-0.03953618,-0.05630941,0.00613200
47466,20010124,NYT,0.00913200,0.00300000,0.00613200,0.01361853,-0.01583116,-0.01180867,0.01103300
47466,20010125,NYT,0.00603300,-0.00500000,0.01103300,0.01770917,-0.01342139,-0.02545579,0.00050100
47466,20010126,NYT,-0.00149900,-0.00200000,0.00050100,0.02230173,0.02510692,-0.02424981,0.01065800
47466,20010129,NYT,0.01765800,0.00700000,0.01065800,0.02426156,0.04207304,0.01350972,0.01283000
47466,20010130,NYT,0.01983000,0.00700000,0.01283000,0.03924304,0.05102719,0.01077125,0.01502800
47466,20010131,NYT,0.00902800,-0.00600000,0.01502800,-0.00076858,0.01043202,-0.00566596,-0.02817000
47466,20010201,NYT,-0.02317000,0.00500000,-0.02817000,0.01106839,0.03484789,0.02132683,0.02451500
47466,20010202,NYT,0.00751500,-0.01700000,0.02451500,-0.00563099,0.02205611,0.04788932,-0.00190200
