PERMNO,date,TICKER,C2C,indexC2C,C2CindexAdj,C2CindexAdjFwd3Days,C2CindexAdjFwd5Days,C2CindexAdjFwd10Days,C2CindexAdjFwd1Day
81045,20010102,O,-0.01758800,-0.02800000,0.01041200,,,,-0.01675200
81045,20010103,O,0.03324800,0.05000000,-0.01675200,0.01323975,,,0.01842600
81045,20010104,O,0.00742600,-0.01100000,0.01842600,0.01668291,,,0.01371500
81045,20010105,O,-0.01228500,-0.02600000,0.01371500,0.04111638,0.03642491,,0.00946300
81045,20010108,O,0.00746300,-0.00200000,0.00946300,0.02405988,0.02745588,,0.00093800
81045,20010109,O,0.00493800,0.00400000,0.00093800,0.00291354,0.03504446,,-0.00754300
81045,20010110,O,0.00245700,0.01000000,-0.00754300,-0.00442744,0.01918559,,0.00225500
81045,20010111,O,0.01225500,0.01000000,0.00225500,-0.00660842,0.00390128,,-0.00126400
81045,20010112,O,-0.00726400,-0.00600000,-0.00126400,0.00964397,0.00301654,0.04037393,0.00863400
81045,20010116,O,0.01463400,0.00600000,0.00863400,-0.00680655,-0.01227531,0.01528512,-0.01401900
81045,20010117,O,-0.01201900,0.00200000,-0.01401900,-0.00505052,-0.00409209,0.03182831,0.00059900
81045,20010118,O,0.01459900,0.01400000,0.00059900,-0.01436695,-0.00708434,0.01222565,-0.00079600
81045,20010119,O,-0.00479600,-0.00400000,-0.00079600,0.00708820,0.00147721,0.00547824,0.00722900
81045,20010122,O,0.00722900,0.00000000,0.00722900,-0.00654973,-0.02031089,-0.01777022,-0.01300000
81045,20010123,O,0.00000000,0.01300000,-0.01300000,-0.01121935,-0.01154306,-0.02425272,-0.00539200
81045,20010124,O,-0.00239200,0.00300000,-0.00539200,-0.00617400,0.00027959,-0.00383463,0.01219400
81045,20010125,O,0.00719400,-0.00500000,0.01219400,0.00161856,-0.00411763,-0.01128523,-0.00514300
81045,20010126,O,-0.00714300,-0.00200000,-0.00514300,0.00838357,-0.01006679,-0.00876239,0.00134500
81045,20010129,O,0.00834500,0.00700000,0.00134500,-0.01145015,-0.00462339,-0.02515925,-0.00757100
81045,20010130,O,-0.00057100,0.00700000,-0.00757100,-0.00290028,0.00414499,-0.00734816,0.00331600
81045,20010131,O,-0.00268400,-0.00600000,0.00331600,-0.00385075,-0.00772168,-0.00749458,0.00038300
81045,20010201,O,0.00538300,0.00500000,0.00038300,0.01302854,0.00696317,0.00289646,0.00935200
81045,20010202,O,-0.00764800,-0.01700000,0.00935200,0.01005646,0.00584653,-0.00411327,0.00023900
81045,20010205,O,0.00423900,0.00400000,0.00023900,0.01351289,0.01720785,0.01275090,0.00391900
81045,20010206,O,0.00191900,-0.00200000,0.00391900,0.03454114,0.04418145,0.04847542,0.03021400
