PERMNO,date,TICKER,C2C,indexC2C,C2CindexAdj,C2CindexAdjFwd3Days,C2CindexAdjFwd5Days,C2CindexAdjFwd10Days,C2CindexAdjFwd1Day
34841,20010102,OG,0.00406500,-0.02800000,0.03206500,,,,0.03502000
34841,20010103,OG,0.08502000,0.05000000,0.03502000,0.08005721,,,0.01100000
34841,20010104,OG,0.00000000,-0.01100000,0.01100000,0.02498682,,,-0.01877600
34841,20010105,OG,-0.04477600,-0.02600000,-0.01877600,0.07968566,0.15298298,,0.09184400
34841,20010108,OG,0.08984400,-0.00200000,0.09184400,0.05391062,0.10394360,,-0.01475300
34841,20010109,OG,-0.01075300,0.00400000,-0.01475300,0.06220698,0.05126274,,-0.01362300
34841,20010110,OG,-0.00362300,0.01000000,-0.01362300,-0.00984343,0.06041393,,0.01909100
34841,20010111,OG,0.02909100,0.01000000,0.01909100,0.01862940,0.09728206,,0.01306700
34841,20010112,OG,0.00706700,-0.00600000,0.01306700,0.03730856,0.00811396,0.16587895,0.00452600
34841,20010116,OG,0.01052600,0.00600000,0.00452600,0.00156894,0.00688168,0.11393075,-0.01588900
34841,20010117,OG,-0.01388900,0.00200000,-0.01588900,-0.01510756,0.01748396,0.07054397,-0.00343700
34841,20010118,OG,0.01056300,0.01400000,-0.00343700,-0.02932522,-0.01192828,0.04853860,-0.00993700
34841,20010119,OG,-0.01393700,-0.00400000,-0.00993700,-0.03811312,-0.04961523,0.04380091,-0.02473500
34841,20010122,OG,-0.02473500,0.00000000,-0.02473500,-0.03333773,-0.05289719,-0.04628574,0.00149300
34841,20010123,OG,0.01449300,0.01300000,0.00149300,-0.03017262,-0.04374759,-0.03795404,-0.00657100
34841,20010124,OG,-0.00357100,0.00300000,-0.00657100,-0.03269721,-0.06614743,-0.05142894,-0.02725800
34841,20010125,OG,-0.03225800,-0.00500000,-0.02725800,-0.04598871,-0.06900703,-0.08104186,-0.01281500
34841,20010126,OG,-0.01481500,-0.00200000,-0.01281500,-0.03365278,-0.03918717,-0.08835870,0.00653400
34841,20010129,OG,0.01353400,0.00700000,0.00653400,-0.00461363,-0.03855273,-0.09090702,0.00190200
34841,20010130,OG,0.00890200,0.00700000,0.00190200,0.00196008,-0.03805177,-0.08116967,-0.00635300
34841,20010131,OG,-0.01235300,-0.00600000,-0.00635300,-0.02436078,-0.03083078,-0.09587823,-0.01989000
34841,20010201,OG,-0.01489000,0.00500000,-0.01989000,0.00036560,0.00872805,-0.06051230,0.02667400
34841,20010202,OG,0.00967400,-0.01700000,0.02667400,-0.02938836,-0.03376595,-0.07188867,-0.03633500
34841,20010205,OG,-0.03233500,0.00400000,-0.03633500,0.02411158,-0.00217843,-0.04004990,0.03479700
34841,20010206,OG,0.03279700,-0.00200000,0.03479700,0.01380851,0.02041890,-0.01770477,0.01638800
34841,20010207,OG,0.00838800,-0.00800000,0.01638800,0.03820151,0.02757585,-0.00291494,-0.01241900
34841,20010208,OG,-0.01841900,-0.00600000,-0.01241900,0.00939512,0.00686838,0.01541068,0.00573600
34841,20010209,OG,-0.00726400,-0.01300000,0.00573600,-0.01424115,0.03624474,0.00157070,-0.00773200
34841,20010212,OG,0.00426800,0.01200000,-0.00773200,0.02104141,0.02455540,0.02198139,0.02296500
34841,20010213,OG,0.01396500,-0.00900000,0.02296500,0.01618655,0.00913987,0.02921193,0.00080200
34841,20010214,OG,-0.00119800,-0.00200000,0.00080200,0.01217722,0.01027518,0.03772218,-0.01159700
34841,20010215,OG,-0.00359700,0.00800000,-0.01159700,0.00115350,0.01637310,0.02287678,0.01178000
34841,20010216,OG,-0.00722000,-0.01900000,0.01178000,0.01956918,0.04288734,0.07855440,0.01942400
34841,20010220,OG,0.00242400,-0.01700000,0.01942400,0.05881300,0.04833833,0.07173573,0.02867400
34841,20010221,OG,0.00967400,-0.01900000,0.02867400,-0.01087881,-0.01041409,-0.00162321,-0.05788000
34841,20010222,OG,-0.05988000,-0.00200000,-0.05788000,-0.02092588,0.00921007,0.01890850,0.00918500
34841,20010223,OG,0.00318500,-0.00600000,0.00918500,-0.02983398,0.01802708,0.03406610,0.02109500
34841,20010226,OG,0.03809500,0.01700000,0.02109500,0.02457750,-0.00657787,0.03550053,-0.00545600
34841,20010227,OG,-0.01345600,-0.00800000,-0.00545600,0.03573609,-0.01493732,0.03276265,0.02020000
34841,20010228,OG,0.00620000,-0.01400000,0.02020000,-0.00967076,0.01979442,0.00832400,-0.02441300
34841,20010301,OG,-0.02341300,0.00100000,-0.02441300,0.02203627,0.03754138,0.04469201,0.02682000
34841,20010302,OG,0.02082000,-0.00600000,0.02682000,-0.00281236,0.01177087,0.02931337,-0.00476400
34841,20010305,OG,0.00123600,0.00600000,-0.00476400,0.01527214,0.01061950,0.00379931,-0.00691400
34841,20010306,OG,0.00308600,0.01000000,-0.00691400,0.00441912,0.00637366,-0.00899756,0.01615400
34841,20010307,OG,0.02215400,0.00600000,0.01615400,0.01277125,0.03557107,0.05606276,0.00341800
34841,20010308,OG,0.00541800,0.00200000,0.00341800,0.07318796,0.06197195,0.10115255,0.05254500
34841,20010309,OG,0.02754500,-0.02500000,0.05254500,0.13850784,0.15065984,0.16045947,0.08204401
34841,20010312,OG,0.03904400,-0.04300000,0.08204401,0.08286847,0.10380155,0.11471179,-0.05033400
34841,20010313,OG,-0.03533400,0.01500000,-0.05033400,,,,
