PERMNO,date,TICKER,C2C,indexC2C,C2CindexAdj,C2CindexAdjFwd3Days,C2CindexAdjFwd5Days,C2CindexAdjFwd10Days,C2CindexAdjFwd1Day
86432,20111228,PB,-0.02262800,-0.01200000,-0.01062800,,,,0.00816900
86432,20111229,PB,0.01916900,0.01100000,0.00816900,-0.01312020,,,-0.01041100
86432,20111230,PB,-0.01441100,-0.00400000,-0.01041100,-0.00562927,,,-0.00310400
86432,20120103,PB,0.01189600,0.01500000,-0.00310400,-0.01264898,-0.01539075,,0.00098000
86432,20120104,PB,0.00098000,0.00000000,0.00098000,0.00649089,0.00400106,,0.00850000
86432,20120105,PB,0.01150000,0.00300000,0.00850000,0.01568456,0.00201617,,0.00614500
86432,20120106,PB,0.00314500,-0.00300000,0.00614500,0.03299807,0.03130684,,0.01801400
86432,20120109,PB,0.02001400,0.00200000,0.01801400,0.01838147,0.02817813,,-0.00592700
86432,20120110,PB,0.00307300,0.00900000,-0.00592700,0.01285401,0.02789472,0.01217846,0.00070700
86432,20120111,PB,0.00070700,0.00000000,0.00070700,-0.00794538,0.01636507,0.02088282,-0.00270700
86432,20120112,PB,-0.00070700,0.00200000,-0.00270700,-0.01372340,-0.00194698,0.00006006,-0.01173300
86432,20120113,PB,-0.01673300,-0.00500000,-0.01173300,-0.00992744,-0.01518786,0.01569764,0.00462900
86432,20120117,PB,0.00862900,0.00400000,0.00462900,-0.02080964,-0.02282999,0.00479132,-0.01361400
86432,20120118,PB,-0.00261400,0.01100000,-0.01361400,-0.01460669,-0.02906031,-0.00182057,-0.00547700
86432,20120119,PB,-0.00047700,0.00500000,-0.00547700,-0.01493311,-0.02216170,-0.00611855,0.00424400
86432,20120120,PB,0.00524400,0.00100000,0.00424400,0.00423939,-0.00484116,-0.00685849,0.00545400
86432,20120123,PB,0.00545400,0.00000000,0.00545400,0.01048900,-0.00868822,-0.02407471,0.00076400
86432,20120124,PB,-0.00023600,-0.00100000,0.00076400,-0.00727963,-0.00856477,-0.03162253,-0.01348200
86432,20120125,PB,-0.00448200,0.00900000,-0.01348200,-0.03684887,-0.02749872,-0.05631431,-0.02433200
86432,20120126,PB,-0.03033200,-0.00600000,-0.02433200,-0.02618209,-0.02009616,-0.04213336,0.01177500
86432,20120127,PB,0.00977500,-0.00200000,0.01177500,-0.01296986,-0.02547720,-0.03071877,-0.00014600
86432,20120130,PB,-0.00314600,-0.00300000,-0.00014600,0.01941254,-0.01869677,-0.02750478,0.00776900
86432,20120131,PB,0.00776900,-0.00000000,0.00776900,0.01048390,-0.00267710,-0.01123887,0.00280400
86432,20120201,PB,0.01180400,0.00900000,0.00280400,0.00188684,0.01360761,-0.01436176,-0.00861900
86432,20120202,PB,-0.00761900,0.00100000,-0.00861900,-0.01022285,-0.00248011,-0.02297007,-0.00420300
86432,20120203,PB,0.01079700,0.01500000,-0.00420300,-0.03434743,-0.02418733,-0.04961526,-0.02136200
86432,20120206,PB,-0.02136200,-0.00000000,-0.02136200,-0.02398651,-0.03009941,-0.04868006,0.00188100
86432,20120207,PB,0.00388100,0.00200000,0.00188100,-0.02322917,-0.03627210,-0.03883104,-0.00369100
86432,20120208,PB,-0.00169100,0.00200000,-0.00369100,-0.01470946,-0.04047546,-0.02734631,-0.01285900
86432,20120209,PB,-0.01185900,0.00100000,-0.01285900,-0.02690630,-0.04591900,-0.04929425,-0.01063400
86432,20120210,PB,-0.01763400,-0.00700000,-0.01063400,-0.02345821,-0.02533167,-0.04966356,-0.00001900
86432,20120213,PB,0.00698100,0.00700000,-0.00001900,-0.01291138,-0.02925130,-0.05932487,-0.00221900
86432,20120214,PB,-0.00321900,-0.00100000,-0.00221900,0.00103098,-0.02229849,-0.05802644,0.00326100
86432,20120215,PB,-0.00173900,-0.00500000,0.00326100,0.02080869,0.00980447,-0.03106885,0.01985300
86432,20120216,PB,0.03085300,0.01100000,0.01985300,0.02780989,0.02564251,-0.02214870,0.00451700
86432,20120217,PB,0.00651700,0.00200000,0.00451700,0.03025432,0.03116167,0.00499360,0.00547500
86432,20120221,PB,0.00647500,0.00100000,0.00547500,-0.01688888,0.00573548,-0.02384611,-0.02654500
86432,20120222,PB,-0.02954500,-0.00300000,-0.02654500,-0.00294844,0.02153876,-0.00168408,0.01883300
86432,20120223,PB,0.02283300,0.00400000,0.01883300,-0.02276629,-0.01300083,-0.00332856,-0.01448200
86432,20120224,PB,-0.01248200,0.00200000,-0.01448200,0.06197622,0.03912710,0.06644874,0.05733700
86432,20120227,PB,0.05833700,0.00100000,0.05733700,0.01943292,0.01086449,0.04266943,-0.02183300
86432,20120228,PB,-0.01883300,0.00300000,-0.02183300,0.06421519,0.06891553,0.07548408,0.02887600
86432,20120229,PB,0.02387600,-0.00500000,0.02887600,0.00865914,0.05134206,0.07490917,0.00200200
86432,20120301,PB,0.00800200,0.00600000,0.00200200,0.00624640,0.04081862,0.02750655,-0.02399000
86432,20120302,PB,-0.02699000,-0.00300000,-0.02399000,-0.00194189,0.00465067,0.04386392,0.02055000
86432,20120305,PB,0.01655000,-0.00400000,0.02055000,-0.00510730,0.02514737,0.03623379,-0.00128100
86432,20120306,PB,-0.01628100,-0.01500000,-0.00128100,0.02372706,0.00135330,0.06973988,0.00465500
86432,20120307,PB,0.01165500,0.00700000,0.00465500,-0.00204387,-0.00592740,0.04480262,-0.00539200
86432,20120308,PB,0.00460800,0.01000000,-0.00539200,0.01452616,0.03386598,0.07620679,0.01503700
86432,20120309,PB,0.01903700,0.00400000,0.01503700,0.01383994,0.01710869,0.02181395,0.00405100
86432,20120312,PB,0.00405100,0.00000000,0.00405100,0.04650628,0.04649524,0.07283229,0.02638500
86432,20120313,PB,0.04438500,0.01800000,0.02638500,0.02060542,0.03095187,0.03210688,-0.00951700
86432,20120314,PB,-0.01051700,-0.00100000,-0.00951700,0.02410376,0.04426968,0.03768918,0.00734100
86432,20120315,PB,0.01334100,0.00600000,0.00734100,-0.00396217,0.02664460,0.06227723,-0.00164500
86432,20120316,PB,-0.00064500,0.00100000,-0.00164500,0.01951505,0.03676718,0.05520147,0.01363800
86432,20120319,PB,0.01763800,0.00400000,0.01363800,0.00789921,0.00560540,0.05290792,-0.00397500
86432,20120320,PB,-0.00697500,-0.00300000,-0.00397500,0.00359498,0.00931610,0.04103280,-0.00587600
86432,20120321,PB,-0.00787600,-0.00200000,-0.00587600,-0.02249476,-0.01104238,0.03212781,-0.01295300
86432,20120322,PB,-0.01995300,-0.00700000,-0.01295300,-0.01293223,-0.00357395,0.02275522,0.00597500
86432,20120323,PB,0.00897500,0.00300000,0.00597500,-0.00219980,-0.01206656,0.02409604,0.00509300
86432,20120326,PB,0.01909300,0.01400000,0.00509300,0.00089473,-0.01807730,-0.01267230,-0.00998700
86432,20120327,PB,-0.01298700,-0.00300000,-0.00998700,0.01123751,0.00393396,0.01332757,0.01621700
