PERMNO,date,TICKER,C2C,indexC2C,C2CindexAdj,C2CindexAdjFwd3Days,C2CindexAdjFwd5Days,C2CindexAdjFwd10Days,C2CindexAdjFwd1Day
17806,20010102,PD,-0.05151200,-0.02800000,-0.02351200,,,,-0.03937400
17806,20010103,PD,0.01062600,0.05000000,-0.03937400,-0.02953039,,,0.03319600
17806,20010104,PD,0.02219600,-0.01100000,0.03319600,0.00980078,,,0.01457100
17806,20010105,PD,-0.01142900,-0.02600000,0.01457100,0.03513508,-0.02595705,,-0.01187300
17806,20010108,PD,-0.01387300,-0.00200000,-0.01187300,-0.03422678,-0.04062062,,-0.03799800
17806,20010109,PD,-0.03399800,0.00400000,-0.03799800,-0.06287965,-0.01574607,,-0.01364100
17806,20010110,PD,-0.00364100,0.01000000,-0.01364100,-0.10741647,-0.10184328,,-0.05750300
17806,20010111,PD,-0.04750300,0.01000000,-0.05750300,-0.08072708,-0.12698244,,-0.01062400
17806,20010112,PD,-0.01662400,-0.00600000,-0.01062400,-0.04894024,-0.09917309,-0.12131451,0.02000800
17806,20010116,PD,0.02600800,0.00600000,0.02000800,-0.01219348,-0.08278258,-0.12205305,-0.02101100
17806,20010117,PD,-0.01901100,0.00200000,-0.02101100,0.00518469,-0.06390944,-0.07745409,0.00667200
17806,20010118,PD,0.02067200,0.01400000,0.00667200,-0.01703299,-0.00809032,-0.11028844,-0.00232900
17806,20010119,PD,-0.00632900,-0.00400000,-0.00232900,-0.01769567,-0.01933522,-0.14646200,-0.02165600
17806,20010122,PD,-0.02165600,0.00000000,-0.02165600,-0.01780881,-0.03272354,-0.13193257,0.00653100
17806,20010123,PD,0.01953100,0.01300000,0.00653100,-0.04915984,-0.04552197,-0.12770646,-0.03365100
17806,20010124,PD,-0.03065100,0.00300000,-0.03365100,-0.03309394,-0.05628160,-0.11850789,-0.00554000
17806,20010125,PD,-0.01054000,-0.00500000,-0.00554000,-0.06112307,-0.07645291,-0.08490889,-0.02330000
17806,20010126,PD,-0.02530000,-0.00200000,-0.02330000,-0.03722120,-0.06454158,-0.08410228,-0.00874900
17806,20010129,PD,-0.00174900,0.00700000,-0.00874900,-0.02517699,-0.06346805,-0.09603561,0.00723300
