PERMNO,date,TICKER,C2C,indexC2C,C2CindexAdj,C2CindexAdjFwd3Days,C2CindexAdjFwd5Days,C2CindexAdjFwd10Days,C2CindexAdjFwd1Day
21936,20010102,PFE,0.00271700,-0.02800000,0.03071700,,,,-0.10555600
21936,20010103,PFE,-0.05555600,0.05000000,-0.10555600,-0.10040658,,,-0.02917200
21936,20010104,PFE,-0.04017200,-0.01100000,-0.02917200,-0.09275124,,,0.03945300
21936,20010105,PFE,0.01345300,-0.02600000,0.03945300,-0.00009620,-0.07083744,,-0.00979900
21936,20010108,PFE,-0.01179900,-0.00200000,-0.00979900,0.05844020,-0.07579530,,0.02883600
21936,20010109,PFE,0.03283600,0.00400000,0.02883600,-0.01348594,-0.00355016,,-0.03167600
21936,20010110,PFE,-0.02167600,0.01000000,-0.03167600,-0.04507519,-0.01498735,,-0.04101900
21936,20010111,PFE,-0.03101900,0.01000000,-0.04101900,-0.05588612,-0.03812175,,0.01667100
21936,20010112,PFE,0.01067100,-0.00600000,0.01667100,-0.02473446,-0.02862041,-0.09860161,0.00003300
21936,20010116,PFE,0.00603300,0.00600000,0.00003300,-0.00806174,-0.07990658,-0.15239661,-0.02448900
21936,20010117,PFE,-0.02248900,0.00200000,-0.02448900,-0.02966666,-0.05421682,-0.05630417,-0.00479800
21936,20010118,PFE,0.00920200,0.01400000,-0.00479800,-0.01946093,-0.00278194,-0.01789399,0.01007900
21936,20010119,PFE,0.00607900,-0.00400000,0.01007900,0.02379783,-0.00144544,-0.04022276,0.01812700
21936,20010122,PFE,0.01812700,0.00000000,0.01812700,0.03360506,0.00336545,-0.02598895,0.00480400
21936,20010123,PFE,0.01780400,0.01300000,0.00480400,0.02172560,0.02753815,-0.05604918,-0.00154200
21936,20010124,PFE,0.00145800,0.00300000,-0.00154200,0.04393705,0.07363186,0.01697362,0.03993400
21936,20010125,PFE,0.03493400,-0.00500000,0.03993400,0.03753845,0.06205980,0.05982058,-0.00081300
21936,20010126,PFE,-0.00281300,-0.00200000,-0.00081300,0.00848101,0.01189347,0.01062222,-0.02984900
21936,20010129,PFE,-0.02284900,0.00700000,-0.02984900,-0.01556499,0.02278807,0.02683623,0.01563300
21936,20010130,PFE,0.02263300,0.00700000,0.01563300,0.01093568,0.05060936,0.08088956,0.02564800
21936,20010131,PFE,0.01964800,-0.00600000,0.02564800,0.03814856,0.00640595,0.08136216,-0.00367100
21936,20010201,PFE,0.00132900,0.00500000,-0.00367100,0.03201451,0.01747516,0.08051396,0.01014300
21936,20010202,PFE,-0.00685700,-0.01700000,0.01014300,0.02142248,0.06376567,0.07735232,0.01493100
21936,20010205,PFE,0.01893100,0.00400000,0.01493100,0.02919820,0.05151303,0.07562328,0.00418600
21936,20010206,PFE,0.00218600,-0.00200000,0.00418600,-0.00288463,0.00363977,0.05352388,-0.02144400
21936,20010207,PFE,-0.02944400,-0.00800000,-0.02144400,-0.00593385,0.01860929,0.02515436,0.01161800
21936,20010208,PFE,0.00561800,-0.00600000,0.01161800,0.00910373,0.02794963,0.04536142,0.01948000
21936,20010209,PFE,0.00648000,-0.01300000,0.01948000,0.04355337,0.02514893,0.08924964,0.01197900
21936,20010212,PFE,0.02397900,0.01200000,0.01197900,0.01640240,0.00607132,0.05656557,-0.01463400
21936,20010213,PFE,-0.02363400,-0.00900000,-0.01463400,0.00510859,0.03625445,0.03930658,0.00821800
21936,20010214,PFE,0.00621800,-0.00200000,0.00821800,-0.03514209,-0.00454511,0.01403185,-0.02901800
21936,20010215,PFE,-0.02101800,0.00800000,-0.02901800,0.02068310,0.01760564,0.04532296,0.04182500
21936,20010216,PFE,0.02282500,-0.01900000,0.04182500,0.02066123,0.01390134,0.03819101,0.00838300
21936,20010220,PFE,-0.00861700,-0.01700000,0.00838300,0.06665476,0.04587413,0.05083152,0.01766300
21936,20010221,PFE,-0.00133700,-0.01900000,0.01766300,0.03385000,0.04590485,0.08124239,0.00824900
21936,20010222,PFE,0.00624900,-0.00200000,0.00824900,0.02572242,0.07443773,0.06951977,0.00001200
21936,20010223,PFE,-0.00598800,-0.00600000,0.00001200,0.00094343,0.02689703,0.04422241,-0.00740600
21936,20010226,PFE,0.00959400,0.01700000,-0.00740600,-0.00014940,0.02578814,0.03879845,0.00711600
21936,20010227,PFE,-0.00088400,-0.00800000,0.00711600,0.00927623,0.01744659,0.06267191,0.00935500
21936,20010228,PFE,-0.00464500,-0.01400000,0.00935500,-0.00450451,-0.01171628,0.03374703,-0.02100000
21936,20010301,PFE,-0.02000000,0.00100000,-0.02100000,-0.01645444,-0.01675700,0.05670264,-0.00511100
21936,20010302,PFE,-0.01111100,-0.00600000,-0.00511100,-0.02696363,-0.01043575,0.01590022,-0.00095500
21936,20010305,PFE,0.00504500,0.00600000,-0.00095500,-0.03263878,-0.04349051,-0.01811394,-0.02665500
21936,20010306,PFE,-0.01665500,0.01000000,-0.02665500,-0.06022043,-0.08481661,-0.06743240,-0.03268200
21936,20010307,PFE,-0.02668200,0.00600000,-0.03268200,-0.05984394,-0.06567376,-0.07615965,-0.00080800
21936,20010308,PFE,0.00119200,0.00200000,-0.00080800,0.00210702,-0.02519460,-0.04124790,0.03571400
21936,20010309,PFE,0.01071400,-0.02500000,0.03571400,0.02691800,-0.02935388,-0.03834624,-0.00647000
21936,20010312,PFE,-0.04947000,-0.04300000,-0.00647000,0.00292896,-0.02890475,-0.06907436,-0.02615200
21936,20010313,PFE,-0.01115200,0.01500000,-0.02615200,-0.02737116,0.00538658,-0.07337383,0.00344400
21936,20010314,PFE,-0.02255600,-0.02600000,0.00344400,-0.03915016,-0.01012399,-0.07058597,-0.01753800
21936,20010315,PFE,-0.01153800,0.00600000,-0.01753800,-0.02365531,-0.05241043,-0.07451641,-0.01061000
21936,20010316,PFE,-0.03061000,-0.02000000,-0.01061000,-0.03952302,-0.06034718,-0.08468052,-0.01184500
21936,20010319,PFE,0.00615500,0.01800000,-0.01184500,-0.00819707,-0.02123776,-0.04723813,0.01389400
21936,20010320,PFE,-0.01010600,-0.02400000,0.01389400,-0.01287831,-0.03934204,-0.03139407,-0.01531500
21936,20010321,PFE,-0.03331500,-0.01800000,-0.01531500,-0.00592737,-0.02705304,-0.03447238,-0.00461600
21936,20010322,PFE,-0.00861600,-0.00400000,-0.00461600,0.01069614,0.01306626,-0.04044747,0.03214500
21936,20010323,PFE,0.05214500,0.02000000,0.03214500,0.04961454,0.04591950,-0.01661585,0.02124100
21936,20010326,PFE,0.03224100,0.01100000,0.02124100,0.06279833,0.03932309,0.01470438,0.00600800
21936,20010327,PFE,0.03200800,0.02600000,0.00600800,0.05155715,0.08127455,0.03451744,0.02274900
21936,20010328,PFE,-0.00125100,-0.02400000,0.02274900,0.03589703,0.09363462,0.05884306,0.00650300
21936,20010329,PFE,0.00150300,-0.00500000,0.00650300,0.04245977,0.07271709,0.08633534,0.01300600
21936,20010330,PFE,0.02400600,0.01100000,0.01300600,-0.01841620,0.01017935,0.05618897,-0.03684000
21936,20010402,PFE,-0.04884000,-0.01200000,-0.03684000,0.01083728,0.03894782,0.07868329,0.03579700
21936,20010403,PFE,0.00179700,-0.03400000,0.03579700,0.01915073,0.03829025,0.12029000,0.02170800
21936,20010404,PFE,0.01870800,-0.00300000,0.02170800,0.04201757,0.01591412,0.11188252,-0.01758500
21936,20010405,PFE,0.02641500,0.04400000,-0.01758500,0.03274255,0.02962973,0.10312313,0.02686300
21936,20010406,PFE,0.00686300,-0.02000000,0.02686300,0.02454412,0.08428284,0.09485037,0.01366500
21936,20010409,PFE,0.02166500,0.00800000,0.01366500,-0.00960978,-0.00523009,0.03602334,-0.05011200
21936,20010410,PFE,-0.02311200,0.02700000,-0.05011200,-0.05943578,-0.05074253,-0.01003977,-0.02239000
21936,20010411,PFE,-0.02439000,-0.00200000,-0.02239000,-0.07057981,-0.03012064,-0.01437625,0.00250000
21936,20010412,PFE,0.01750000,0.01500000,0.00250000,-0.01236976,-0.04987845,-0.01905898,0.00791400
21936,20010416,PFE,0.00491400,-0.00300000,0.00791400,0.03817526,-0.03708769,0.04832900,0.02691900
