PERMNO,date,TICKER,C2C,indexC2C,C2CindexAdj,C2CindexAdjFwd3Days,C2CindexAdjFwd5Days,C2CindexAdjFwd10Days,C2CindexAdjFwd1Day
18163,20010102,PG,0.00079700,-0.02800000,0.02879700,,,,-0.09936300
18163,20010103,PG,-0.04936300,0.05000000,-0.09936300,-0.08746050,,,-0.01998800
18163,20010104,PG,-0.03098800,-0.01100000,-0.01998800,-0.05683187,,,0.06230100
18163,20010105,PG,0.03630100,-0.02600000,0.06230100,0.06460452,-0.00506676,,0.02368500
18163,20010108,PG,0.02168500,-0.00200000,0.02368500,0.05603975,-0.06282716,,-0.02930600
18163,20010109,PG,-0.02530600,0.00400000,-0.02930600,-0.02702421,0.01425607,,-0.02088800
18163,20010110,PG,-0.01088800,0.01000000,-0.02088800,-0.07397672,0.01049359,,-0.02439500
18163,20010111,PG,-0.01439500,0.01000000,-0.02439500,-0.07176881,-0.07771741,,-0.02750500
18163,20010112,PG,-0.03350500,-0.00600000,-0.02750500,-0.03536629,-0.08455213,-0.08772015,0.01711100
18163,20010116,PG,0.02311100,0.00600000,0.01711100,-0.03237596,-0.07687752,-0.13729854,-0.02146100
18163,20010117,PG,-0.01946100,0.00200000,-0.02146100,-0.00999044,-0.06201070,-0.04670670,-0.00509500
18163,20010118,PG,0.00890500,0.01400000,-0.00509500,-0.03491755,-0.04579320,-0.03545150,-0.00835700
18163,20010119,PG,-0.01235700,-0.00400000,-0.00835700,-0.02508267,-0.03002256,-0.10728872,-0.01161800
18163,20010122,PG,-0.01161800,0.00000000,-0.01161800,-0.02836618,-0.05505852,-0.13840855,-0.00847900
18163,20010123,PG,0.00452100,0.01300000,-0.00847900,-0.01603909,-0.02970462,-0.10696487,0.00420100
18163,20010124,PG,0.00720100,0.00300000,0.00420100,0.00079568,-0.01927205,-0.08102047,0.00500000
18163,20010125,PG,0.00000000,-0.00500000,0.00500000,0.00131109,-0.01876701,-0.06433390,-0.00783000
18163,20010126,PG,-0.00983000,-0.00200000,-0.00783000,-0.04410739,-0.04891019,-0.07882682,-0.04165700
18163,20010129,PG,-0.03465700,0.00700000,-0.04165700,0.00460124,0.01396109,-0.04206499,0.05657500
18163,20010130,PG,0.06357500,0.00700000,0.05657500,0.02943614,0.02628413,-0.00354141,0.01640800
18163,20010131,PG,0.01040800,-0.00600000,0.01640800,0.10024541,0.04639466,0.02633773,0.02437100
18163,20010201,PG,0.02937100,0.00500000,0.02437100,0.05542526,0.06934356,0.04997403,0.01443100
18163,20010202,PG,-0.00256900,-0.01700000,0.01443100,0.04307269,0.11937529,0.06688771,0.00399900
18163,20010205,PG,0.00799900,0.00400000,0.00399900,0.01734155,0.05853298,0.07367135,-0.00109300
18163,20010206,PG,-0.00309300,-0.00200000,-0.00109300,0.02541165,0.06466859,0.09223784,0.02243600
18163,20010207,PG,0.01443600,-0.00800000,0.02243600,0.02332183,0.04163119,0.08907894,0.00214300
18163,20010208,PG,-0.00385700,-0.00600000,0.00214300,0.03850858,0.04150843,0.11183336,0.01420200
18163,20010209,PG,0.00120200,-0.01300000,0.01420200,0.00595251,0.02714996,0.14753452,-0.01053300
18163,20010212,PG,0.00146700,0.01200000,-0.01053300,0.00547284,0.02975743,0.08815218,0.00167600
18163,20010213,PG,-0.00732400,-0.00900000,0.00167600,-0.01822225,-0.00189705,0.06151564,-0.00953600
18163,20010214,PG,-0.01153600,-0.00200000,-0.00953600,-0.01344193,-0.00966280,0.03166848,-0.00569300
18163,20010215,PG,0.00230700,0.00800000,-0.00569300,0.01701928,0.00827473,0.04949462,0.03226800
18163,20010216,PG,0.01326800,-0.01900000,0.03226800,0.05537454,0.04675927,0.07333195,0.02862500
18163,20010220,PG,0.01162500,-0.01700000,0.02862500,0.09380406,0.07851918,0.10729370,0.03339700
18163,20010221,PG,0.01439700,-0.01900000,0.03339700,0.05444138,0.08104237,0.07762027,-0.00711500
18163,20010222,PG,-0.00911500,-0.00200000,-0.00711500,0.01785455,0.07739645,0.06725380,-0.00806000
18163,20010223,PG,-0.01406000,-0.00600000,-0.00806000,-0.08296492,-0.02272213,-0.01462633,-0.06924600
18163,20010226,PG,-0.05224600,0.01700000,-0.06924600,-0.07377008,-0.04796388,-0.00244566,0.00223400
18163,20010227,PG,-0.00576600,-0.00800000,0.00223400,-0.05511630,-0.06882572,0.00657930,0.01117100
18163,20010228,PG,-0.00282900,-0.01400000,0.01117100,-0.01368471,-0.08765782,-0.01031207,-0.02724100
18163,20010301,PG,-0.02624100,0.00100000,-0.02724100,0.00408470,-0.06146502,0.01416526,0.02056700
18163,20010302,PG,0.01456700,-0.00600000,0.02056700,-0.00578663,0.00758518,-0.01503908,0.00132200
18163,20010305,PG,0.00732200,0.00600000,0.00132200,-0.00413703,-0.02015815,-0.06663556,-0.02582100
18163,20010306,PG,-0.01582100,0.01000000,-0.02582100,-0.03838118,-0.04512496,-0.11142176,-0.01367600
18163,20010307,PG,-0.00767600,0.00600000,-0.01367600,-0.00611976,0.01617580,-0.07464829,0.03419400
18163,20010308,PG,0.03619400,0.00200000,0.03419400,0.01849157,-0.00591851,-0.06687284,-0.00119700
18163,20010309,PG,-0.02619700,-0.02500000,-0.00119700,0.06111915,0.02282052,0.02972123,0.03012800
18163,20010312,PG,-0.01287200,-0.04300000,0.03012800,0.01264749,0.03216212,0.01216736,-0.01661200
18163,20010313,PG,-0.00161200,0.01500000,-0.01661200,0.01716289,0.04768683,0.00463888,0.00339900
18163,20010314,PG,-0.02260100,-0.02600000,0.00339900,-0.04304064,-0.01333432,0.00122009,-0.03092500
18163,20010315,PG,-0.02492500,0.00600000,-0.03092500,-0.01073228,0.00304094,-0.00250177,0.01630400
18163,20010316,PG,-0.00369600,-0.02000000,0.01630400,-0.01413687,-0.02662800,-0.00326071,0.00054700
18163,20010319,PG,0.01854700,0.01800000,0.00054700,0.04108581,0.01305472,0.04356762,0.02400000
18163,20010320,PG,0.00000000,-0.02400000,0.02400000,0.00113240,-0.01295849,0.03327493,-0.02297100
18163,20010321,PG,-0.04097100,-0.01800000,-0.02297100,-0.00239755,0.01393117,0.00004324,-0.00312000
18163,20010322,PG,-0.00712000,-0.00400000,-0.00312000,-0.08412728,-0.06076767,-0.05385105,-0.06063700
18163,20010323,PG,-0.04063700,0.02000000,-0.06063700,-0.07108227,-0.06755677,-0.09144318,-0.00734600
18163,20010326,PG,0.00365400,0.01100000,-0.00734600,-0.06711584,-0.09128037,-0.07477015,0.00312900
18163,20010327,PG,0.02912900,0.02600000,0.00312900,0.01867107,-0.04638831,-0.05734805,0.02223100
18163,20010328,PG,-0.00176900,-0.02400000,0.02223100,0.01736755,-0.05138068,-0.03533401,-0.00821100
18163,20010329,PG,-0.01321100,-0.00500000,-0.00821100,0.02495228,0.02145637,-0.04192234,0.01104100
18163,20010330,PG,0.02204100,0.01100000,0.01104100,-0.00144529,0.02428883,-0.04496622,-0.00397400
18163,20010402,PG,-0.01597400,-0.01200000,-0.00397400,0.03264497,0.04559143,-0.04251553,0.02588300
18163,20010403,PG,-0.00811700,-0.03400000,0.02588300,0.02082012,0.02346594,-0.02135660,-0.00076400
18163,20010404,PG,-0.00376400,-0.00300000,-0.00076400,-0.00629036,0.00055809,-0.05105894,-0.03282900
18163,20010405,PG,0.01117100,0.04400000,-0.03282900,-0.01055812,0.01175924,0.03311676,0.02211200
18163,20010406,PG,0.00211200,-0.02000000,0.02211200,-0.04001250,-0.01370666,0.01015057,-0.02972500
18163,20010409,PG,-0.02172500,0.00800000,-0.02972500,-0.06081521,-0.09525235,-0.04545465,-0.05417900
18163,20010410,PG,-0.02717900,0.02700000,-0.05417900,-0.07691952,-0.08808177,-0.06157469,0.00677000
18163,20010411,PG,0.00477000,-0.00200000,0.00677000,-0.06584197,-0.07234883,-0.07212970,-0.01805200
18163,20010412,PG,-0.00305200,0.01500000,-0.01805200,-0.00226545,-0.08651505,-0.07294936,0.00895200
