PERMNO,date,TICKER,C2C,indexC2C,C2CindexAdj,C2CindexAdjFwd3Days,C2CindexAdjFwd5Days,C2CindexAdjFwd10Days,C2CindexAdjFwd1Day
87541,20010102,PKG,-0.03100800,-0.02800000,-0.00300800,,,,-0.04200000
87541,20010103,PKG,0.00800000,0.05000000,-0.04200000,0.00225403,,,0.04671400
87541,20010104,PKG,0.03571400,-0.01100000,0.04671400,-0.00745028,,,-0.01231400
87541,20010105,PKG,-0.03831400,-0.02600000,-0.01231400,0.05451319,0.01108404,,0.02192000
87541,20010108,PKG,0.01992000,-0.00200000,0.02192000,-0.01425422,-0.00946515,,-0.02353100
87541,20010109,PKG,-0.01953100,0.00400000,-0.02353100,-0.05583699,-0.02247637,,-0.05382500
87541,20010110,PKG,-0.04382500,0.01000000,-0.05382500,-0.12964885,-0.11816178,,-0.05583300
87541,20010111,PKG,-0.04583300,0.01000000,-0.05583300,-0.11358061,-0.11560050,,-0.00710000
87541,20010112,PKG,-0.01310000,-0.00600000,-0.00710000,-0.04329599,-0.11789264,-0.10562702,0.02054900
87541,20010116,PKG,0.02654900,0.00600000,0.02054900,-0.01069718,-0.11772057,-0.12786580,-0.02355200
87541,20010117,PKG,-0.02155200,0.00200000,-0.02355200,-0.03097397,-0.09281753,-0.11146176,-0.02721600
87541,20010118,PKG,-0.01321600,0.01400000,-0.02721600,-0.08092962,-0.06869562,-0.17984434,-0.03171400
87541,20010119,PKG,-0.03571400,-0.00400000,-0.03171400,-0.06721241,-0.07113273,-0.18173326,-0.00925900
87541,20010122,PKG,-0.00925900,0.00000000,-0.00925900,0.00891010,-0.04236037,-0.15924316,0.05242100
87541,20010123,PKG,0.06542100,0.01300000,0.05242100,0.03025788,-0.03054717,-0.14842443,-0.01177200
87541,20010124,PKG,-0.00877200,0.00300000,-0.01177200,0.05913455,0.01540692,-0.07907956,0.01827400
87541,20010125,PKG,0.01327400,-0.00500000,0.01827400,-0.00037587,0.04198881,-0.02970436,-0.00673400
87541,20010126,PKG,-0.00873400,-0.00200000,-0.00673400,-0.02297087,0.01577555,-0.05733291,-0.03431300
87541,20010129,PKG,-0.02731300,0.00700000,-0.03431300,-0.03385528,-0.02752634,-0.06983496,0.00749300
87541,20010130,PKG,0.01449300,0.00700000,0.00749300,-0.01413190,-0.00268951,-0.03325291,0.01314300
87541,20010131,PKG,0.00714300,-0.00600000,0.01314300,0.01142926,-0.03001768,-0.01511167,-0.00925500
87541,20010201,PKG,-0.00425500,0.00500000,-0.00925500,0.02158420,-0.00547474,0.03605822,0.01771200
87541,20010202,PKG,0.00071200,-0.01700000,0.01771200,0.01522560,0.03616911,0.05298061,0.00667600
87541,20010205,PKG,0.01067600,0.00400000,0.00667600,0.03712096,0.04105618,0.01325150,0.01256300
87541,20010206,PKG,0.01056300,-0.00200000,0.01256300,0.01669961,0.02512799,0.02244251,-0.00245300
87541,20010207,PKG,-0.01045300,-0.00800000,-0.00245300,0.01521969,0.03946731,0.00956224,0.00529600
87541,20010208,PKG,-0.00070400,-0.00600000,0.00529600,0.01771150,0.03693124,0.03123454,0.01511400
87541,20010209,PKG,0.00211400,-0.01300000,0.01511400,0.00574073,0.01565296,0.05165868,-0.01481300
87541,20010212,PKG,-0.00281300,0.01200000,-0.01481300,0.01225975,0.01489701,0.05534207,0.01182100
87541,20010213,PKG,0.00282100,-0.00900000,0.01182100,-0.00721515,0.01312327,0.03789071,-0.00432900
87541,20010214,PKG,-0.00632900,-0.00200000,-0.00432900,0.00730145,0.00774609,0.04712951,-0.00021500
87541,20010215,PKG,0.00778500,0.00800000,-0.00021500,0.00469150,0.00183756,0.03841154,0.00916900
87541,20010216,PKG,-0.00983100,-0.01900000,0.00916900,0.02017787,0.02735433,0.04236396,0.01132600
87541,20010220,PKG,-0.00567400,-0.01700000,0.01132600,0.03363403,0.02935116,0.04326218,0.01400700
87541,20010221,PKG,-0.00499300,-0.01900000,0.01400700,0.00214388,0.01082917,0.02326471,-0.02309000
87541,20010222,PKG,-0.02509000,-0.00200000,-0.02309000,0.01684972,0.03627435,0.04367145,0.02658800
87541,20010223,PKG,0.02058800,-0.00600000,0.02658800,0.03055016,0.05548571,0.05680525,0.02766900
87541,20010226,PKG,0.04466900,0.01700000,0.02766900,0.04939582,0.03889499,0.06531234,-0.00510300
87541,20010227,PKG,-0.01310300,-0.00800000,-0.00510300,0.04992926,0.05263254,0.08059675,0.02727700
87541,20010228,PKG,0.01327700,-0.01400000,0.02727700,0.01263395,0.06759289,0.07577583,-0.00927600
87541,20010301,PKG,-0.00827600,0.00100000,-0.00927600,0.03221286,0.05490882,0.08942356,0.01434500
87541,20010302,PKG,0.00834500,-0.00600000,0.01434500,0.03213888,0.05404807,0.10990488,0.02710300
87541,20010305,PKG,0.03310300,0.00600000,0.02710300,0.01924319,0.03742086,0.07696621,-0.02201600
87541,20010306,PKG,-0.01201600,0.01000000,-0.02201600,0.00611854,0.01123534,0.06520769,0.00143200
87541,20010307,PKG,0.00743200,0.00600000,0.00143200,-0.03678461,0.00419629,0.07325028,-0.01608500
87541,20010308,PKG,-0.01408500,0.00200000,-0.01608500,0.01313313,0.01795447,0.07358820,0.02772100
87541,20010309,PKG,0.00272100,-0.02500000,0.02772100,0.02347555,0.00398138,0.05545648,0.01247100
87541,20010312,PKG,-0.03052900,-0.04300000,0.01247100,-0.01986008,-0.03371384,0.00085593,-0.06118600
87541,20010313,PKG,-0.04618600,0.01500000,-0.06118600,-0.01462027,-0.00343374,0.00685391,0.03333700
87541,20010314,PKG,0.00733700,-0.02600000,0.03333700,-0.07081879,-0.03002281,-0.02679679,-0.04460200
87541,20010315,PKG,-0.03860200,0.00600000,-0.04460200,0.03021462,-0.01686581,-0.00039807,0.04272700
