PERMNO,date,TICKER,C2C,indexC2C,C2CindexAdj,C2CindexAdjFwd3Days,C2CindexAdjFwd5Days,C2CindexAdjFwd10Days,C2CindexAdjFwd1Day
23501,20010102,POM,-0.01780700,-0.02800000,0.01019300,,,,-0.08337500
23501,20010103,POM,-0.03337500,0.05000000,-0.08337500,-0.13118699,,,-0.06402100
23501,20010104,POM,-0.07502100,-0.01100000,-0.06402100,-0.11239806,,,0.03153000
23501,20010105,POM,0.00553000,-0.02600000,0.03153000,-0.01336289,-0.08112384,,0.02124800
23501,20010108,POM,0.01924800,-0.00200000,0.02124800,0.03327586,-0.11111714,,-0.01928800
23501,20010109,POM,-0.01528800,0.00400000,-0.01928800,-0.00697116,-0.04007443,,-0.00863000
23501,20010110,POM,0.00137000,0.01000000,-0.00863000,-0.07588937,-0.02366788,,-0.04830400
23501,20010111,POM,-0.03830400,0.01000000,-0.04830400,-0.02585141,-0.02424900,,0.03207900
23501,20010112,POM,0.02607900,-0.00600000,0.03207900,-0.05237143,-0.07989912,-0.15499483,-0.03557500
23501,20010116,POM,-0.02957500,0.00600000,-0.03557500,-0.00717912,-0.06411218,-0.17142471,-0.00295200
23501,20010117,POM,-0.00095200,0.00200000,-0.00295200,-0.05169919,-0.06855912,-0.10521029,-0.01304700
23501,20010118,POM,0.00095300,0.01400000,-0.01304700,-0.02243986,-0.02662600,-0.04982769,-0.00647600
23501,20010119,POM,-0.01047600,-0.00400000,-0.00647600,0.01722470,-0.02219444,-0.04669769,0.03705500
23501,20010122,POM,0.03705500,0.00000000,0.03705500,0.03724329,0.02107189,-0.06200913,0.00649000
23501,20010123,POM,0.01949000,0.01300000,0.00649000,0.03641550,0.01627889,-0.05019321,-0.00755200
23501,20010124,POM,-0.00455200,0.00300000,-0.00755200,-0.00307042,0.02737086,-0.04282308,-0.00185900
23501,20010125,POM,-0.00685900,-0.00500000,-0.00185900,-0.01783737,0.02523079,-0.00200403,-0.00858900
23501,20010126,POM,-0.01058900,-0.00200000,-0.00858900,-0.01687949,-0.01831985,-0.04079320,-0.00653500
23501,20010129,POM,0.00046500,0.00700000,-0.00653500,-0.00741652,-0.01680951,0.00369626,0.00788400
23501,20010130,POM,0.01488400,0.00700000,0.00788400,-0.01261835,-0.02286723,-0.00754344,-0.01370700
23501,20010131,POM,-0.01970700,-0.00600000,-0.01370700,-0.02270732,-0.03768233,-0.01130295,-0.01668800
23501,20010201,POM,-0.01168800,0.00500000,-0.01668800,-0.01223562,-0.01114004,0.01360373,0.01794600
23501,20010202,POM,0.00094600,-0.01700000,0.01794600,-0.01103513,-0.01700360,-0.03515240,-0.01250700
23501,20010205,POM,-0.00850700,0.00400000,-0.01250700,0.01173041,-0.01831658,-0.03473113,0.00629000
23501,20010206,POM,0.00429000,-0.00200000,0.00629000,0.01642092,0.01756834,-0.00527205,0.02271300
23501,20010207,POM,0.01471300,-0.00800000,0.02271300,-0.00266426,0.00276739,-0.03390419,-0.03095000
23501,20010208,POM,-0.03695000,-0.00600000,-0.03095000,0.04006020,0.03381150,0.02242886,0.04991100
23501,20010209,POM,0.03691100,-0.01300000,0.04991100,0.02913242,0.05853032,0.04040117,0.01141900
23501,20010212,POM,0.02341900,0.01200000,0.01141900,0.06745509,0.05717940,0.03733619,0.00533900
23501,20010213,POM,-0.00366100,-0.00900000,0.00533900,0.00145573,0.01898836,0.03623067,-0.01499600
23501,20010214,POM,-0.01699600,-0.00200000,-0.01499600,-0.03079688,0.02947762,0.03146641,-0.02155100
23501,20010215,POM,-0.01355100,0.00800000,-0.02155100,-0.00845997,0.00793363,0.04146894,0.02800000
23501,20010216,POM,0.00900000,-0.01900000,0.02800000,0.02515865,0.01529651,0.07219970,0.01887800
23501,20010220,POM,0.00187800,-0.01700000,0.01887800,0.06299957,0.02674908,0.08205323,0.01712600
23501,20010221,POM,-0.00187400,-0.01900000,0.01712600,0.06014109,0.06609537,0.08422772,0.02453500
23501,20010222,POM,0.02253500,-0.00200000,0.02453500,0.03199049,0.07766110,0.10728555,-0.00915200
23501,20010223,POM,-0.01515200,-0.00600000,-0.00915200,0.02586501,0.06185919,0.06943281,0.01050600
23501,20010226,POM,0.02750600,0.01700000,0.01050600,0.02290099,0.06507073,0.07856988,0.02161200
23501,20010227,POM,0.01361200,-0.00800000,0.02161200,0.04955006,0.06484941,0.08984520,0.01668600
23501,20010228,POM,0.00268600,-0.01400000,0.01668600,0.03089236,0.03227867,0.09827041,-0.00725000
23501,20010301,POM,-0.00625000,0.00100000,-0.00725000,0.02967963,0.06292176,0.14080100,0.02037600
23501,20010302,POM,0.01437600,-0.00600000,0.02037600,0.01466162,0.05316060,0.11557103,0.00152900
23501,20010305,POM,0.00752900,0.00600000,0.00152900,0.01833902,0.02780051,0.09396706,-0.00384600
23501,20010306,POM,0.00615400,0.01000000,-0.00384600,0.00042978,0.01376431,0.08042956,0.00273700
23501,20010307,POM,0.00873700,0.00600000,0.00273700,-0.00776240,0.01451488,0.04769625,-0.00654700
23501,20010308,POM,-0.00454700,0.00200000,-0.00654700,0.01866946,0.01663510,0.08034487,0.02234200
23501,20010309,POM,-0.00265800,-0.02500000,0.02234200,0.06889204,0.06887882,0.12159803,0.05410600
23501,20010312,POM,0.01110600,-0.04300000,0.05410600,0.03786532,0.03436509,0.06175119,-0.03828600
23501,20010313,POM,-0.02328600,0.01500000,-0.03828600,0.03613083,0.05087332,0.06516266,0.02060200
23501,20010314,POM,-0.00539800,-0.02600000,0.02060200,-0.00596463,0.06891736,0.08463157,0.01163900
23501,20010315,POM,0.01763900,0.00600000,0.01163900,0.04740071,0.06237328,0.07883951,0.01555600
23501,20010316,POM,-0.00444400,-0.02000000,0.01555600,0.00270693,-0.01460085,0.05346532,-0.02469600
23501,20010319,POM,-0.00669600,0.01800000,-0.02469600,0.01341509,0.04503022,0.07732271,0.02220200
23501,20010320,POM,-0.00179800,-0.02400000,0.02220200,0.01806623,0.04487750,0.09269840,0.02025100
23501,20010321,POM,0.00225100,-0.01800000,0.02025100,0.00495236,-0.00345564,0.06218820,-0.03688000
23501,20010322,POM,-0.04088000,-0.00400000,-0.03688000,-0.03410312,-0.03585895,0.02614168,-0.01765800
23501,20010323,POM,0.00234200,0.02000000,-0.01765800,-0.03607942,0.00705984,-0.00747144,0.01984100
23501,20010326,POM,0.03084100,0.01100000,0.01984100,-0.01025623,-0.02762663,0.01899688,-0.01194700
23501,20010327,POM,0.01405300,0.02600000,-0.01194700,0.05209489,-0.00514747,0.04097449,0.04232800
23501,20010328,POM,0.01832800,-0.02400000,0.04232800,0.05621476,0.06011199,0.05348907,0.02431500
23501,20010329,POM,0.01931500,-0.00500000,0.02431500,0.06334744,0.07411381,0.03428609,-0.00410900
23501,20010330,POM,0.00689100,0.01100000,-0.00410900,0.02895328,0.06096922,0.06747483,0.00857800
23501,20010402,POM,-0.00342200,-0.01200000,0.00857800,0.01915937,0.08441737,0.05913830,0.01468700
23501,20010403,POM,-0.01931300,-0.03400000,0.01468700,0.02022628,0.04016489,0.03617602,-0.00268900
23501,20010404,POM,-0.00568900,-0.00300000,-0.00268900,-0.04453409,-0.04008505,0.01677689,-0.05852500
23501,20010405,POM,-0.01452500,0.04400000,-0.05852500,-0.07387971,-0.04882222,0.01881365,-0.01439000
23501,20010406,POM,-0.03439000,-0.02000000,-0.01439000,-0.04582983,-0.03230731,0.02643447,0.02761500
23501,20010409,POM,0.03561500,0.00800000,0.02761500,-0.00289941,-0.06472564,0.02302796,-0.01538800
23501,20010410,POM,0.01161200,0.02700000,-0.01538800,0.01680821,-0.05791215,-0.01530407,0.00420800
23501,20010411,POM,0.00220800,-0.00200000,0.00420800,-0.03853313,-0.02588267,-0.06615170,-0.02689400
23501,20010412,POM,-0.01189400,0.01500000,-0.02689400,-0.02847371,-0.01728220,-0.06702471,-0.00591700
23501,20010416,POM,-0.00891700,-0.00300000,-0.00591700,-0.04233871,-0.05427024,-0.08599490,-0.00955000
23501,20010417,POM,0.00045000,0.01000000,-0.00955000,-0.08324604,-0.10616867,-0.17383637,-0.06777700
23501,20010418,POM,-0.02877700,0.03900000,-0.06777700,-0.09272171,-0.12552040,-0.18770837,-0.01438900
23501,20010419,POM,-0.00138900,0.01300000,-0.01438900,-0.06551692,-0.08106736,-0.10839693,0.01688100
23501,20010420,POM,0.00788100,-0.00900000,0.01688100,0.01580437,-0.06150483,-0.08117326,0.01316000
23501,20010423,POM,-0.00184000,-0.01500000,0.01316000,0.03465051,-0.04608650,-0.10086533,0.00508700
