PERMNO,date,TICKER,C2C,indexC2C,C2CindexAdj,C2CindexAdjFwd3Days,C2CindexAdjFwd5Days,C2CindexAdjFwd10Days,C2CindexAdjFwd1Day
22517,20010102,PPL,-0.04149400,-0.02800000,-0.01349400,,,,-0.10339100
22517,20010103,PPL,-0.05339100,0.05000000,-0.10339100,-0.21269280,,,-0.11095100
22517,20010104,PPL,-0.12195100,-0.01100000,-0.11095100,-0.15286415,,,0.05898600
22517,20010105,PPL,0.03298600,-0.02600000,0.05898600,-0.02538349,-0.13192396,,0.03393300
22517,20010108,PPL,0.03193300,-0.00200000,0.03393300,0.08308734,-0.13323408,,-0.01051500
22517,20010109,PPL,-0.00651500,0.00400000,-0.01051500,0.00311401,-0.05412512,,-0.01983600
22517,20010110,PPL,-0.00983600,0.01000000,-0.01983600,-0.10561368,-0.01638990,,-0.07622500
22517,20010111,PPL,-0.06622500,0.01000000,-0.07622500,-0.07135585,-0.04961225,,0.02550400
22517,20010112,PPL,0.01950400,-0.00600000,0.02550400,-0.08777739,-0.11697683,-0.23445041,-0.03730400
22517,20010116,PPL,-0.03130400,0.00600000,-0.03730400,-0.00196349,-0.09751260,-0.22201262,0.01056700
22517,20010117,PPL,0.01256700,0.00200000,0.01056700,-0.02038469,-0.07250807,-0.12230106,0.00727700
22517,20010118,PPL,0.02127700,0.01400000,0.00727700,0.02394273,0.01112288,-0.00569424,0.00573600
22517,20010119,PPL,0.00173600,-0.00400000,0.00573600,0.03970216,0.01153036,-0.03936425,0.02599700
22517,20010122,PPL,0.02599700,0.00000000,0.02599700,0.06049743,0.08080624,-0.04661050,0.02754100
22517,20010123,PPL,0.04054100,0.01300000,0.02754100,0.14167489,0.15825658,0.04626075,0.08141600
22517,20010124,PPL,0.08441600,0.00300000,0.08141600,0.15289346,0.18926705,0.10748380,0.03643700
22517,20010125,PPL,0.03143700,-0.00500000,0.03643700,0.12414075,0.18690475,0.20243526,0.00345100
22517,20010126,PPL,0.00145100,-0.00200000,0.00345100,0.01560689,0.12994649,0.14550334,-0.02381200
22517,20010129,PPL,-0.01681200,0.00700000,-0.02381200,-0.04342987,0.07339401,0.16278114,-0.02327400
