PERMNO,date,TICKER,C2C,indexC2C,C2CindexAdj,C2CindexAdjFwd3Days,C2CindexAdjFwd5Days,C2CindexAdjFwd10Days,C2CindexAdjFwd1Day
89258,20011213,PRU,,-0.01600000,,,,,0.00996900
89258,20011214,PRU,0.01296900,0.00300000,0.00996900,,,,-0.01774900
89258,20011217,PRU,-0.00774900,0.01000000,-0.01774900,0.00105018,,,0.00897800
89258,20011218,PRU,0.01697800,0.00800000,0.00897800,-0.00835235,,,0.00067800
89258,20011219,PRU,0.00667800,0.00600000,0.00067800,0.01851253,0.01064984,,0.00866300
89258,20011220,PRU,0.00066300,-0.00800000,0.00866300,0.03278032,0.02407851,,0.02317900
89258,20011221,PRU,0.02717900,0.00400000,0.02317900,0.04714963,0.05795248,,0.01484400
89258,20011224,PRU,0.01484400,-0.00000000,0.01484400,0.05926922,0.06917330,,0.01984700
89258,20011226,PRU,0.02384700,0.00400000,0.01984700,0.04899110,0.08259983,,0.01318600
89258,20011227,PRU,0.02018600,0.00700000,0.01318600,0.03331528,0.07369548,0.08672650,-0.00026000
89258,20011228,PRU,0.00274000,0.00300000,-0.00026000,0.03183499,0.06808477,0.09523835,0.01859000
89258,20011231,PRU,0.00759000,-0.01100000,0.01859000,-0.04510247,-0.01369347,0.04384622,-0.06294500
89258,20020102,PRU,-0.05694500,0.00600000,-0.06294500,-0.05519308,-0.04345080,0.02342312,-0.01059700
89258,20020103,PRU,-0.00159700,0.00900000,-0.01059700,-0.05850471,-0.04033773,0.03971877,0.01640000
89258,20020104,PRU,0.02240000,0.00600000,0.01640000,0.01180358,-0.03390620,0.03696016,0.00600000
89258,20020107,PRU,0.00000000,-0.00600000,0.00600000,0.02099561,-0.05344001,0.01159702,-0.00132100
89258,20020108,PRU,-0.00532100,-0.00400000,-0.00132100,-0.00541855,0.00009692,-0.01359569,-0.01010400
89258,20020109,PRU,-0.01510400,-0.00500000,-0.01010400,-0.02143223,0.00034441,-0.04276787,-0.01026500
89258,20020110,PRU,-0.00926500,0.00100000,-0.01026500,-0.01472123,-0.01004830,-0.04919042,0.00545300
89258,20020111,PRU,-0.00354700,-0.00900000,0.00545300,-0.02597476,-0.03665230,-0.06868337,-0.02150800
89258,20020114,PRU,-0.02750800,-0.00600000,-0.02150800,0.00063407,-0.01944259,-0.07141410,0.01729300
89258,20020115,PRU,0.02429300,0.00700000,0.01729300,0.00793762,0.00313781,0.00323251,0.01275100
89258,20020116,PRU,-0.00324900,-0.01600000,0.01275100,0.01484384,-0.00163992,-0.00128779,-0.01521500
89258,20020117,PRU,-0.00521500,0.01000000,-0.01521500,-0.00112093,-0.00587995,-0.01558273,0.00115300
89258,20020118,PRU,-0.00884700,-0.01000000,0.00115300,0.02567819,0.05608004,0.01668459,0.04005800
89258,20020122,PRU,0.03305800,-0.00700000,0.04005800,0.00906528,0.00672238,-0.01263680,-0.03136000
89258,20020123,PRU,-0.02336000,0.00800000,-0.03136000,-0.00494788,-0.01886323,-0.01533658,-0.01284700
89258,20020124,PRU,-0.00884700,0.00400000,-0.01284700,-0.03928482,0.00115698,-0.00049449,0.00495000
89258,20020125,PRU,0.00595000,0.00100000,0.00495000,0.00842885,0.01652583,0.01026325,0.01643100
89258,20020128,PRU,0.01643100,-0.00000000,0.01643100,0.03265622,-0.01118692,0.04353036,0.01154100
89258,20020129,PRU,-0.01745900,-0.02900000,0.01154100,0.00814651,0.00030681,0.00694303,-0.01989700
89258,20020130,PRU,-0.00789700,0.01200000,-0.01989700,0.00648831,0.02805680,0.00883071,0.01485100
89258,20020131,PRU,0.02985100,0.01500000,0.01485100,-0.01307920,0.01517652,0.01627764,-0.00749300
89258,20020201,PRU,-0.01449300,-0.00700000,-0.00749300,0.04151433,0.03273349,0.04942746,0.03415000
89258,20020204,PRU,0.00915000,-0.02500000,0.03415000,0.03569696,0.03120547,0.01926588,0.00950500
89258,20020205,PRU,0.00550500,-0.00400000,0.00950500,0.05270033,0.06027315,0.05984088,0.00922100
89258,20020206,PRU,0.00322100,-0.00600000,0.00922100,0.00452702,0.03051055,0.05812965,-0.01401400
89258,20020207,PRU,-0.01701400,-0.00300000,-0.01401400,-0.00652652,0.03723939,0.05227206,-0.00161000
89258,20020208,PRU,0.01339000,0.01500000,-0.00161000,-0.00653896,0.01261259,0.04584569,0.00952600
89258,20020211,PRU,0.02352600,0.01400000,0.00952600,0.00364696,-0.00139143,0.03027954,-0.00418600
89258,20020212,PRU,-0.00818600,-0.00400000,-0.00418600,0.01411766,-0.00206040,0.06008749,0.00873000
89258,20020213,PRU,0.01873000,0.01000000,0.00873000,0.00455324,0.01277530,0.04412411,0.00013000
89258,20020214,PRU,-0.00187000,-0.00200000,0.00013000,0.00310736,0.00834159,0.04595163,-0.00554700
89258,20020215,PRU,-0.01654700,-0.01100000,-0.00554700,-0.02529592,-0.02126860,-0.00958956,-0.02036500
89258,20020219,PRU,-0.03936500,-0.01900000,-0.02036500,-0.02687690,-0.01862744,-0.02027723,-0.00111200
89258,20020220,PRU,0.01288800,0.01400000,-0.00111200,0.00022901,-0.00506876,-0.00721231,0.02219900
89258,20020221,PRU,0.00619900,-0.01600000,0.02219900,-0.00641937,-0.03168096,-0.02067375,-0.02745500
89258,20020222,PRU,-0.01945500,0.00800000,-0.02745500,-0.02179707,-0.04313856,-0.03541361,-0.01667700
89258,20020225,PRU,0.00132300,0.01800000,-0.01667700,-0.03716874,-0.01593114,-0.03695484,0.00726500
89258,20020226,PRU,0.00726500,-0.00000000,0.00726500,-0.01436270,-0.01951371,-0.03779574,-0.00491800
89258,20020227,PRU,-0.00491800,0.00000000,-0.00491800,0.01257704,-0.03182022,-0.03576638,0.01024900
89258,20020228,PRU,0.00724900,-0.00300000,0.01024900,-0.00845562,-0.01811816,-0.04999964,-0.01384100
89258,20020301,PRU,0.00915900,0.02300000,-0.01384100,-0.02777747,-0.02543955,-0.06928861,-0.02386200
89258,20020304,PRU,-0.00486200,0.01900000,-0.02386200,-0.00668104,-0.00121491,-0.01766603,0.03110400
89258,20020305,PRU,0.02410400,-0.00700000,0.03110400,-0.00921657,-0.01291851,-0.03323297,-0.01627200
89258,20020306,PRU,-0.00127200,0.01500000,-0.01627200,0.02447540,-0.01375267,-0.04693100,0.00941400
89258,20020307,PRU,0.00541400,-0.00400000,0.00941400,-0.00714496,0.00009959,-0.01854334,-0.00029800
89258,20020308,PRU,0.00570200,0.00600000,-0.00029800,-0.00657349,0.00825725,-0.01739636,-0.01559800
89258,20020311,PRU,-0.01259800,0.00300000,-0.01559800,-0.02822182,-0.03519103,-0.03751240,-0.01235400
89258,20020312,PRU,-0.01435400,-0.00200000,-0.01235400,-0.02625931,-0.01746384,-0.03089536,0.00126200
89258,20020313,PRU,-0.00873800,-0.01000000,0.00126200,0.00084655,-0.01493790,-0.02912328,0.01210000
89258,20020314,PRU,0.01110000,-0.00100000,0.01210000,0.00658337,-0.02135498,-0.02187831,-0.00680200
89258,20020315,PRU,0.00419800,0.01100000,-0.00680200,0.01583365,0.00438477,0.01270919,0.01032500
89258,20020318,PRU,0.00932500,-0.00100000,0.01032500,-0.00014350,0.01329719,-0.02222373,-0.00368100
89258,20020319,PRU,0.00031900,0.00400000,-0.00368100,0.02109161,0.02670091,0.00863810,0.01440800
89258,20020320,PRU,-0.00159200,-0.01600000,0.01440800,0.00562877,0.00924214,-0.00586842,-0.00519000
89258,20020321,PRU,-0.00319000,0.00200000,-0.00519000,0.01319900,0.01985781,-0.00158264,0.00400000
89258,20020322,PRU,0.00000000,-0.00400000,0.00400000,0.01251199,0.02310340,0.02739121,0.01372000
89258,20020325,PRU,-0.00128000,-0.01500000,0.01372000,0.01881352,0.02785796,0.04124822,0.00104900
89258,20020326,PRU,0.00704900,0.00600000,0.00104900,0.00797532,0.00677282,0.03346913,-0.00690900
89258,20020327,PRU,-0.00190900,0.00500000,-0.00690900,-0.01817885,-0.00026510,0.00891794,-0.01220100
89258,20020328,PRU,-0.01020100,0.00200000,-0.01220100,-0.01809349,-0.00325869,0.01652102,0.00100000
89258,20020401,PRU,0.00000000,-0.00100000,0.00100000,0.00737349,0.00155504,0.02471723,0.01866200
89258,20020402,PRU,0.00966200,-0.00900000,0.01866200,0.02955310,0.01047523,0.03798047,0.01000000
89258,20020403,PRU,0.00000000,-0.01000000,0.01000000,0.04337191,0.03193130,0.03860969,0.01463000
89258,20020404,PRU,0.01563000,0.00100000,0.01463000,0.04260463,0.06243380,0.06177490,0.01776100
89258,20020405,PRU,0.01476100,-0.00300000,0.01776100,0.04370723,0.07270136,0.06903901,0.01069000
89258,20020408,PRU,0.01269000,0.00200000,0.01069000,0.04443073,0.06956804,0.07140880,0.01555700
89258,20020409,PRU,0.00855700,-0.00700000,0.01555700,0.00892478,0.04201623,0.05242553,-0.01736400
89258,20020410,PRU,-0.00636400,0.01100000,-0.01736400,0.01650226,0.04502484,0.07695516,0.01820500
89258,20020411,PRU,-0.00579500,-0.02400000,0.01820500,-0.00849282,0.01752774,0.07996487,-0.00976100
89258,20020412,PRU,-0.00276100,0.00700000,-0.00976100,0.00307225,0.00133900,0.07257068,-0.00553400
89258,20020415,PRU,-0.01353400,-0.00800000,-0.00553400,-0.02192000,-0.02048742,0.04858428,-0.00647400
89258,20020416,PRU,0.01652600,0.02300000,-0.00647400,-0.02170632,-0.01278262,0.02845315,-0.00965600
89258,20020417,PRU,-0.01165600,-0.00200000,-0.00965600,-0.02679346,-0.04186248,0.00301218,-0.01048400
89258,20020418,PRU,-0.01148400,-0.00100000,-0.01048400,-0.01947138,-0.03154885,-0.01399225,0.00057000
89258,20020419,PRU,0.00157000,0.00100000,0.00057000,0.03145021,0.01556482,0.01660215,0.04164600
89258,20020422,PRU,0.02664600,-0.01500000,0.04164600,0.04347923,0.02286952,0.00257340,0.00142000
89258,20020423,PRU,-0.00458000,-0.00600000,0.00142000,0.05911249,0.04886998,0.03559272,0.01620300
89258,20020424,PRU,0.00920300,-0.00700000,0.01620300,0.00668837,0.04851893,0.00674324,-0.01076600
89258,20020425,PRU,-0.01276600,-0.00200000,-0.01076600,-0.00259988,0.03921734,0.00829847,-0.00786000
89258,20020426,PRU,-0.02186000,-0.01400000,-0.00786000,-0.00154331,0.01553570,0.03083169,0.01724000
89258,20020429,PRU,0.00724000,-0.01000000,0.01724000,0.00142297,0.00665358,0.02902020,-0.00787500
89258,20020430,PRU,0.00312500,0.01100000,-0.00787500,0.00048963,-0.01808403,0.03009972,-0.00900000
89258,20020501,PRU,0.00000000,0.00900000,-0.00900000,-0.01462091,-0.00515906,0.04295545,0.00231200
89258,20020502,PRU,0.00031200,-0.00200000,0.00231200,0.00308870,0.01258904,0.05166879,0.00968900
89258,20020503,PRU,-0.00031100,-0.01000000,0.00968900,0.01735716,0.00095936,0.01629798,0.00560400
89258,20020506,PRU,-0.01339600,-0.01900000,0.00560400,0.00213739,-0.00432035,0.00223340,-0.01310400
89258,20020507,PRU,-0.01610400,-0.00300000,-0.01310400,0.02122465,0.03338787,0.01443663,0.02971500
89258,20020508,PRU,0.06771500,0.03800000,0.02971500,0.01631717,0.03149320,0.02602702,0.00087300
89258,20020509,PRU,-0.01412700,-0.01500000,0.00087300,0.05368062,0.04473029,0.05756994,0.02279300
89258,20020510,PRU,0.00579300,-0.01700000,0.02279300,0.01004180,0.02597505,0.02668677,-0.01384700
89258,20020513,PRU,0.00515300,0.01900000,-0.01384700,0.01082440,0.04228147,0.03652574,0.00131600
89258,20020514,PRU,0.02231600,0.02100000,0.00131600,-0.01415123,0.01009384,0.04389394,-0.00137500
89258,20020515,PRU,-0.00737500,-0.00600000,-0.00137500,-0.01112179,-0.00174076,0.03046117,-0.01086300
89258,20020516,PRU,-0.00386300,0.00700000,-0.01086300,-0.00218113,-0.01517136,0.03136260,0.01019800
89258,20020517,PRU,0.01819800,0.00800000,0.01019800,0.00705526,0.00706168,0.03380436,0.00772600
89258,20020520,PRU,-0.00527400,-0.01300000,0.00772600,0.02141743,0.00920513,0.05165737,0.00363600
89258,20020521,PRU,-0.00736400,-0.01100000,0.00363600,-0.00661179,-0.00748311,0.00249281,-0.01816600
89258,20020522,PRU,-0.01216600,0.00600000,-0.01816600,-0.00193762,0.01605713,0.01466927,0.01283000
89258,20020523,PRU,0.02283000,0.01000000,0.01283000,-0.00089929,0.01041343,-0.00409342,0.00465800
89258,20020524,PRU,-0.00734200,-0.01200000,0.00465800,0.02522027,0.01051508,0.01771350,0.00781700
89258,20020528,PRU,-0.00118300,-0.00900000,0.00781700,0.00474045,-0.00073224,0.00837470,-0.00762600
89258,20020529,PRU,-0.01362600,-0.00600000,-0.00762600,0.01642247,0.03380231,0.02610711,0.01651400
89258,20020530,PRU,0.01351400,-0.00300000,0.01651400,0.02862347,0.04066883,0.05692348,0.01992600
89258,20020531,PRU,0.02192600,0.00200000,0.01992600,0.05901502,0.05829119,0.06771889,0.02239100
89258,20020603,PRU,-0.00260900,-0.02500000,0.02239100,0.03964346,0.04811743,0.05802862,-0.00261600
89258,20020604,PRU,-0.00261600,0.00000000,-0.00261600,0.04840867,0.08628492,0.08454119,0.02859800
89258,20020605,PRU,0.03759800,0.00900000,0.02859800,0.05042476,0.09323273,0.12717508,0.02421400
89258,20020606,PRU,0.00421400,-0.02000000,0.02421400,0.04230358,0.06160435,0.10153084,-0.01030800
89258,20020607,PRU,-0.01230800,-0.00200000,-0.01030800,0.01762158,0.04362756,0.10209885,0.00379700
89258,20020610,PRU,0.00679700,0.00300000,0.00379700,-0.02453708,0.02673200,0.07398464,-0.01816200
89258,20020611,PRU,-0.03516200,-0.01700000,-0.01816200,0.00403387,0.01771639,0.10272683,0.01923900
89258,20020612,PRU,0.02623900,0.00700000,0.01923900,-0.03342817,-0.03969800,0.04940671,-0.03403400
89258,20020613,PRU,-0.04403400,-0.01000000,-0.03403400,-0.00543184,-0.01975578,0.04020568,0.01061800
89258,20020614,PRU,0.00861800,-0.00200000,0.01061800,-0.05076344,-0.04998559,-0.00775052,-0.02723200
89258,20020617,PRU,0.00176800,0.02900000,-0.02723200,-0.02053944,-0.03647472,-0.00906877,-0.00394100
89258,20020618,PRU,-0.00294100,0.00100000,-0.00394100,-0.01222356,-0.03589967,-0.01777303,0.01847500
89258,20020619,PRU,0.00147500,-0.01700000,0.01847500,0.02527940,0.00947801,-0.03067183,0.01093800
89258,20020620,PRU,-0.00206200,-0.01300000,0.01093800,0.02414841,-0.00564330,-0.02483177,-0.00454700
89258,20020621,PRU,-0.02154700,-0.01700000,-0.00454700,-0.01681238,-0.00261779,-0.05041482,-0.02360800
89258,20020624,PRU,-0.01960800,0.00400000,-0.02360800,-0.00409790,0.02422229,-0.01039251,0.02407700
89258,20020625,PRU,0.00707700,-0.01700000,0.02407700,-0.01112013,-0.00474328,-0.03884716,-0.01166500
89258,20020626,PRU,-0.01466500,-0.00300000,-0.01166500,0.00230862,-0.02538604,-0.01622699,-0.01024800
89258,20020627,PRU,0.00775200,0.01800000,-0.01024800,0.00531822,0.00565465,-0.00012412,0.02746200
89258,20020628,PRU,0.02646200,-0.00100000,0.02746200,0.01832874,0.03039137,0.02649621,0.00121600
89258,20020701,PRU,-0.01978400,-0.02100000,0.00121600,0.02190218,0.00070977,0.02422432,-0.00560600
89258,20020702,PRU,-0.02660600,-0.02100000,-0.00560600,-0.05292077,-0.03792964,-0.04068144,-0.05092600
89258,20020703,PRU,-0.04492600,0.00600000,-0.05092600,-0.06290490,-0.03455892,-0.05850854,-0.00607900
89258,20020705,PRU,0.03092100,0.03700000,-0.00607900,-0.05992132,-0.06160984,-0.05641413,-0.00204000
89258,20020708,PRU,-0.01404000,-0.01200000,-0.00204000,-0.00190321,-0.05692166,-0.02737200,0.00590600
89258,20020709,PRU,-0.01909400,-0.02500000,0.00590600,0.04552067,-0.00972521,-0.00876878,0.04323800
89258,20020710,PRU,0.00923800,-0.03400000,0.04323800,0.05317564,0.04635924,0.00684241,0.00476900
89258,20020711,PRU,0.01176900,0.00700000,0.00476900,0.08223430,0.08323888,0.04807837,0.03346400
89258,20020712,PRU,0.02746400,-0.00600000,0.03346400,0.04260217,0.09014579,0.02564780,0.00400000
89258,20020715,PRU,0.00000000,-0.00400000,0.00400000,0.04718257,0.09518859,0.03439920,0.01013800
89258,20020716,PRU,-0.00786200,-0.01800000,0.01013800,0.00410997,0.04225100,0.03102682,-0.01012000
89258,20020717,PRU,-0.00412000,0.00600000,-0.01012000,0.02588791,0.06258696,0.10783612,0.02604500
89258,20020718,PRU,-0.00095500,-0.02700000,0.02604500,0.08688453,0.09944662,0.17756882,0.07176900
89258,20020719,PRU,0.03376900,-0.03800000,0.07176900,0.10218344,0.10110576,0.18465703,0.00834700
89258,20020722,PRU,-0.02465300,-0.03300000,0.00834700,0.03783881,0.05221142,0.13868290,-0.03777099
89258,20020723,PRU,-0.06477100,-0.02700000,-0.03777099,-0.06355103,0.03059139,0.07075284,-0.03639200
89258,20020724,PRU,0.02060800,0.05700000,-0.03639200,-0.10601881,-0.02712825,0.03200562,-0.03405300
89258,20020725,PRU,-0.04005300,-0.00600000,-0.03405300,-0.04656041,-0.07315710,0.02532720,0.02610300
89258,20020726,PRU,0.04310300,0.01700000,0.02610300,0.00038542,-0.07843430,0.03272847,0.01046300
89258,20020729,PRU,0.06446300,0.05400000,0.01046300,0.03241459,-0.04457615,0.01721563,-0.00555300
89258,20020730,PRU,-0.00155300,0.00400000,-0.00555300,0.02178095,0.01157666,0.04418318,0.01612800
89258,20020731,PRU,0.02612800,0.01000000,0.01612800,0.03812079,0.08012431,0.04542085,0.02727200
89258,20020801,PRU,-0.00272800,-0.03000000,0.02727200,0.01608425,0.02149167,-0.05406545,-0.02593600
89258,20020802,PRU,-0.04893600,-0.02300000,-0.02593600,-0.01064858,-0.00130242,-0.07413732,-0.01202100
89258,20020805,PRU,-0.04602100,-0.03400000,-0.01202100,-0.04869131,-0.00741589,-0.05050738,-0.01224500
89258,20020806,PRU,0.01775500,0.03000000,-0.01224500,-0.03693129,-0.03423712,-0.02625338,-0.01275800
