PERMNO,date,TICKER,C2C,indexC2C,C2CindexAdj,C2CindexAdjFwd3Days,C2CindexAdjFwd5Days,C2CindexAdjFwd10Days,C2CindexAdjFwd1Day
85516,20010102,PWER,-0.12400600,-0.02800000,-0.09600601,,,,0.15326700
85516,20010103,PWER,0.20326699,0.05000000,0.15326700,0.03673261,,,0.00345900
85516,20010104,PWER,-0.00754100,-0.01100000,0.00345900,0.02847821,,,-0.10317900
85516,20010105,PWER,-0.12917900,-0.02600000,-0.10317900,-0.09559720,-0.06860272,,0.00374500
85516,20010108,PWER,0.00174500,-0.00200000,0.00374500,-0.07624390,0.06094607,,0.02735900
85516,20010109,PWER,0.03135900,0.00400000,0.02735900,0.07001209,-0.03971319,,0.03729700
85516,20010110,PWER,0.04729700,0.01000000,0.03729700,0.13609861,0.01660185,,0.06419400
85516,20010111,PWER,0.07419400,0.01000000,0.06419400,0.21912876,0.25799716,,0.10209600
85516,20010112,PWER,0.09609600,-0.00600000,0.10209600,0.07390772,0.14658842,0.06351179,-0.08545200
85516,20010116,PWER,-0.07945200,0.00600000,-0.08545200,0.04608361,0.15695021,0.23092223,0.03669000
85516,20010117,PWER,0.03869000,0.00200000,0.03669000,-0.08650819,0.07546139,0.02981550,-0.03549000
85516,20010118,PWER,-0.02149000,0.01400000,-0.03549000,0.06541625,0.07515878,0.09287246,0.06402900
85516,20010119,PWER,0.06002900,-0.00400000,0.06402900,0.07888113,0.02305970,0.29202831,0.04972400
85516,20010122,PWER,0.04972400,0.00000000,0.04972400,0.15759631,0.16051950,0.33819594,0.03535500
85516,20010123,PWER,0.04835500,0.01300000,0.03535500,0.06268998,0.09276805,0.27043180,-0.02276800
85516,20010124,PWER,-0.01976800,0.00300000,-0.02276800,-0.04780128,0.06482692,0.14739737,-0.05774000
85516,20010125,PWER,-0.06274000,-0.00500000,-0.05774000,-0.09231759,-0.01446150,0.06010957,-0.01439300
85516,20010126,PWER,-0.01639300,-0.00200000,-0.01439300,-0.08478798,-0.07553915,-0.05521482,-0.01429200
85516,20010129,PWER,-0.00729200,0.00700000,-0.01429200,-0.03114646,-0.10882069,0.03309970,-0.00245300
85516,20010130,PWER,0.00454700,0.00700000,-0.00245300,0.03786873,-0.03676990,0.05171107,0.05474700
85516,20010131,PWER,0.04874700,-0.00600000,0.05474700,-0.03499327,-0.06289032,-0.00186358,-0.08335301
85516,20010201,PWER,-0.07835300,0.00500000,-0.08335301,-0.07669479,-0.09300569,-0.10689240,-0.04640100
85516,20010202,PWER,-0.06340100,-0.01700000,-0.04640100,-0.18044572,-0.13797225,-0.20475396,-0.06400000
85516,20010205,PWER,-0.06000000,0.00400000,-0.06400000,-0.04980008,-0.08004372,-0.17920570,0.06419300
85516,20010206,PWER,0.06219300,-0.00200000,0.06419300,-0.12012955,-0.22764756,-0.25559291,-0.11680700
85516,20010207,PWER,-0.12480700,-0.00800000,-0.11680700,-0.14119523,-0.22914120,-0.27832614,-0.08731000
85516,20010208,PWER,-0.09331000,-0.00600000,-0.08731000,-0.26444634,-0.26747549,-0.33216708,-0.09379600
85516,20010209,PWER,-0.10679600,-0.01300000,-0.09379600,-0.26397773,-0.30536036,-0.39665384,-0.11200000
85516,20010212,PWER,-0.10000000,0.01200000,-0.11200000,-0.16072802,-0.31810833,-0.36566427,0.04040100
85516,20010213,PWER,0.03140100,-0.00900000,0.04040100,-0.12262514,-0.27067972,-0.42771605,-0.05186400
85516,20010214,PWER,-0.05386400,-0.00200000,-0.05186400,0.01997805,-0.17830188,-0.36048701,0.03407900
85516,20010215,PWER,0.04207900,0.00800000,0.03407900,-0.11509078,-0.18048544,-0.39245520,-0.09679600
85516,20010216,PWER,-0.11579600,-0.01900000,-0.09679600,-0.12302788,-0.13286026,-0.38358523,-0.06157600
85516,20010220,PWER,-0.07857600,-0.01700000,-0.06157600,-0.17640499,-0.19287993,-0.42963410,-0.03639400
85516,20010221,PWER,-0.05539400,-0.01900000,-0.03639400,-0.11887518,-0.17443439,-0.38166509,-0.02886400
85516,20010222,PWER,-0.03086400,-0.00200000,-0.02886400,-0.01106524,-0.15459671,-0.29370544,0.05695500
85516,20010223,PWER,0.05095500,-0.00600000,0.05695500,-0.04282679,-0.13204984,-0.28245100,-0.06851500
85516,20010226,PWER,-0.05151500,0.01700000,-0.06851500,-0.07287498,-0.13047860,-0.23854270,-0.05909300
85516,20010227,PWER,-0.06709300,-0.00800000,-0.05909300,-0.13413372,-0.11025075,-0.27398901,-0.01339700
85516,20010228,PWER,-0.02739700,-0.01400000,-0.01339700,-0.04298812,-0.05663960,-0.21667007,0.03069000
85516,20010301,PWER,0.03169000,0.00100000,0.03069000,0.06688160,-0.06248723,-0.20199414,0.05036900
85516,20010302,PWER,0.04436900,-0.00600000,0.05036900,0.14340287,0.05928428,-0.07943589,0.05609200
85516,20010305,PWER,0.06209200,0.00600000,0.05609200,0.20505470,0.22235953,0.05923349,0.08538500
85516,20010306,PWER,0.09538500,0.01000000,0.08538500,0.09875921,0.19070784,0.05503427,-0.04251700
85516,20010307,PWER,-0.03651700,0.00600000,-0.04251700,0.00652287,0.11846370,0.05287867,-0.03115500
85516,20010308,PWER,-0.02915500,0.00200000,-0.03115500,-0.09517187,0.03408408,-0.03079423,-0.02605100
85516,20010309,PWER,-0.05105100,-0.02500000,-0.02605100,-0.10112256,-0.06995691,-0.01632153,-0.05193700
85516,20010312,PWER,-0.09493700,-0.04300000,-0.05193700,-0.03115507,-0.09791797,0.09289797,0.05143400
85516,20010313,PWER,0.06643400,0.01500000,0.05143400,-0.01888419,-0.07006481,0.09164916,-0.01334400
85516,20010314,PWER,-0.03934400,-0.02600000,-0.01334400,0.01245189,-0.06311688,0.03819862,-0.02306500
85516,20010315,PWER,-0.01706500,0.00600000,-0.02306500,-0.14385392,-0.14476628,-0.11770560,-0.11541700
85516,20010316,PWER,-0.13541700,-0.02000000,-0.11541700,-0.13331950,-0.10058635,-0.15792679,0.00609600
85516,20010319,PWER,0.02409600,0.01800000,0.00609600,-0.03272525,-0.06554692,-0.14957742,0.08674499
85516,20010320,PWER,0.06274500,-0.02400000,0.08674499,0.03736815,-0.10098636,-0.15366116,-0.05118800
85516,20010321,PWER,-0.06918800,-0.01800000,-0.05118800,0.09638217,-0.02179052,-0.07895494,0.06643800
85516,20010322,PWER,0.06243800,-0.00400000,0.06643800,0.10199750,0.20556983,0.01848906,0.09194000
85516,20010323,PWER,0.11194000,0.02000000,0.09194000,0.17678910,0.20650043,0.08510020,0.00806000
85516,20010326,PWER,0.01906000,0.01100000,0.00806000,0.04584777,0.05682842,-0.01733659,-0.05181700
85516,20010327,PWER,-0.02581700,0.02600000,-0.05181700,-0.14635202,-0.00539803,-0.10851261,-0.10363699
85516,20010328,PWER,-0.12763700,-0.02400000,-0.10363699,-0.21080571,-0.13732747,-0.15017999,-0.07063500
85516,20010329,PWER,-0.07563500,-0.00500000,-0.07063500,-0.19813554,-0.24042391,-0.07838173,-0.03916900
85516,20010330,PWER,-0.02816900,0.01100000,-0.03916900,-0.18792202,-0.31031036,-0.16403125,-0.09083000
85516,20010402,PWER,-0.10283000,-0.01200000,-0.09083000,-0.14331039,-0.27451988,-0.24643177,-0.02369200
85516,20010403,PWER,-0.05769200,-0.03400000,-0.02369200,-0.08543017,-0.17914798,-0.18845517,0.02749000
85516,20010404,PWER,0.02449000,-0.00300000,0.02749000,0.25067581,0.09089768,-0.05701110,0.25719500
