PERMNO,date,TICKER,C2C,indexC2C,C2CindexAdj,C2CindexAdjFwd3Days,C2CindexAdjFwd5Days,C2CindexAdjFwd10Days,C2CindexAdjFwd1Day
77178,20010102,QCOM,-0.13764299,-0.02800000,-0.10964300,,,,0.13606700
77178,20010103,QCOM,0.18606700,0.05000000,0.13606700,-0.04891801,,,-0.04996700
77178,20010104,QCOM,-0.06096700,-0.01100000,-0.04996700,0.01941342,,,-0.04842600
77178,20010105,QCOM,-0.07442600,-0.02600000,-0.04842600,-0.03496606,-0.03363603,,0.06786799
77178,20010108,QCOM,0.06586800,-0.00200000,0.06786799,-0.04799103,0.02004394,,-0.06339000
77178,20010109,QCOM,-0.05939000,0.00400000,-0.06339000,-0.02056625,-0.11314729,,-0.02109200
77178,20010110,QCOM,-0.01109200,0.01000000,-0.02109200,-0.11808026,-0.10165282,,-0.03588400
77178,20010111,QCOM,-0.02588400,0.01000000,-0.03588400,-0.03360324,-0.03310731,,0.02371500
77178,20010112,QCOM,0.01771500,-0.00600000,0.02371500,-0.03067107,-0.11322830,-0.14173504,-0.01818500
77178,20010116,QCOM,-0.01218500,0.00600000,-0.01818500,0.03257972,-0.02551598,-0.00588401,0.02707500
77178,20010117,QCOM,0.02907500,0.00200000,0.02707500,-0.00471828,-0.01752315,-0.13120612,-0.01314400
77178,20010118,QCOM,0.00085600,0.01400000,-0.01314400,-0.01989385,-0.01458547,-0.11590330,-0.03278400
77178,20010119,QCOM,-0.03678400,-0.00400000,-0.03278400,0.02344574,0.03244195,-0.00181749,0.07193600
77178,20010122,QCOM,0.07193600,0.00000000,0.07193600,0.05349855,0.06915370,-0.05307938,0.01599800
77178,20010123,QCOM,0.02899800,0.01300000,0.01599800,0.03902388,-0.00901913,-0.03517139,-0.04647800
77178,20010124,QCOM,-0.04347800,0.00300000,-0.04647800,-0.03084234,0.00506109,-0.01253956,0.00079100
77178,20010125,QCOM,-0.00420900,-0.00500000,0.00079100,0.04748936,0.14204067,0.12694731,0.09751999
77178,20010126,QCOM,0.09552000,-0.00200000,0.09751999,0.16923045,0.13478806,0.17455286,0.06475900
77178,20010129,QCOM,0.07175900,0.00700000,0.06475900,0.14689696,0.09388293,0.17257754,-0.01995900
77178,20010130,QCOM,-0.01295900,0.00700000,-0.01995900,0.02984395,0.13123574,0.12445552,-0.01296400
77178,20010131,QCOM,-0.01896400,-0.00600000,-0.01296400,-0.02396154,0.14202197,0.14883949,0.00912600
