PERMNO,date,TICKER,C2C,indexC2C,C2CindexAdj,C2CindexAdjFwd3Days,C2CindexAdjFwd5Days,C2CindexAdjFwd10Days,C2CindexAdjFwd1Day
82303,20010102,RE,-0.03839400,-0.02800000,-0.01039400,,,,-0.05453700
82303,20010103,RE,-0.00453700,0.05000000,-0.05453700,-0.14026260,,,-0.08106900
82303,20010104,RE,-0.09206900,-0.01100000,-0.08106900,-0.13849198,,,-0.00813700
82303,20010105,RE,-0.03413700,-0.02600000,-0.00813700,-0.05251691,-0.11118004,,0.03838300
82303,20010108,RE,0.03638300,-0.00200000,0.03838300,-0.00304832,-0.13415401,,-0.03208400
82303,20010109,RE,-0.02808400,0.00400000,-0.03208400,-0.00993214,-0.09609615,,-0.01516000
82303,20010110,RE,-0.00516000,0.01000000,-0.01516000,-0.09037834,-0.06081700,,-0.04423200
82303,20010111,RE,-0.03423200,0.01000000,-0.04423200,-0.09963430,-0.09500018,,-0.04233500
82303,20010112,RE,-0.04833500,-0.00600000,-0.04233500,-0.04627008,-0.09234724,-0.19420488,0.04253300
82303,20010116,RE,0.04853300,0.00600000,0.04253300,-0.01914951,-0.07783039,-0.20555639,-0.01707000
82303,20010117,RE,-0.01507000,0.00200000,-0.01707000,0.01173611,-0.07594322,-0.16534512,-0.01290700
82303,20010118,RE,0.00109300,0.01400000,-0.01290700,-0.00012301,-0.00225997,-0.06365488,0.03020100
82303,20010119,RE,0.02620100,-0.00400000,0.03020100,0.06218737,0.08918821,-0.01457133,0.04361700
82303,20010122,RE,0.04361700,0.00000000,0.04361700,0.04782043,0.01686113,-0.07895581,-0.02625200
82303,20010123,RE,-0.01325200,0.01300000,-0.02625200,0.02332287,0.04161748,-0.04056681,0.00629800
82303,20010124,RE,0.00929800,0.00300000,0.00629800,0.01452586,0.09133894,0.01032265,0.03468300
82303,20010125,RE,0.02968300,-0.00500000,0.03468300,0.02880450,0.04638214,0.04455038,-0.01191700
82303,20010126,RE,-0.01391700,-0.00200000,-0.01191700,-0.00475178,-0.02484792,0.06310295,-0.02683900
82303,20010129,RE,-0.01983900,0.00700000,-0.02683900,-0.08558046,-0.04717204,-0.03212292,-0.04846800
82303,20010130,RE,-0.04146800,0.00700000,-0.04846800,-0.08215840,-0.06089898,-0.02336977,-0.00859200
82303,20010131,RE,-0.01459200,-0.00600000,-0.00859200,-0.04578552,-0.08294790,0.00124385,0.01155000
82303,20010201,RE,0.01655000,0.00500000,0.01155000,0.03947177,-0.03610639,0.00808280,0.03670900
82303,20010202,RE,0.01970900,-0.01700000,0.03670900,0.08966585,0.02873936,0.00381563,0.03936100
82303,20010205,RE,0.04336100,0.00400000,0.03936100,0.07759504,0.08043336,0.03102739,0.00071100
82303,20010206,RE,-0.00128900,-0.00200000,0.00071100,0.08215774,0.13354044,0.06573010,0.04074200
82303,20010207,RE,0.03274200,-0.00800000,0.04074200,0.03251557,0.11036069,0.02185777,-0.00836800
82303,20010208,RE,-0.01436800,-0.00600000,-0.00836800,0.03854540,0.07911753,0.04071748,0.00697900
82303,20010209,RE,-0.00602100,-0.01300000,0.00697900,0.00121479,0.04235181,0.07151377,0.00266600
82303,20010212,RE,0.01466600,0.01200000,0.00266600,-0.02328799,0.00782746,0.08683786,-0.03263400
82303,20010213,RE,-0.04163400,-0.00900000,-0.03263400,-0.00487203,-0.00615485,0.12426393,0.02626200
82303,20010214,RE,0.02426200,-0.00200000,0.02626200,-0.04123496,-0.03190492,0.07538709,-0.03440800
82303,20010215,RE,-0.02640800,0.00800000,-0.03440800,0.01952327,-0.01108571,0.06661704,0.02820600
82303,20010216,RE,0.00920600,-0.01900000,0.02820600,-0.01172968,-0.01870736,0.02153498,-0.00564200
82303,20010220,RE,-0.02264200,-0.01700000,-0.00564200,0.01092878,0.00260112,0.01000826,-0.01083300
82303,20010221,RE,-0.02983300,-0.01900000,-0.01083300,0.01740776,0.01104764,0.00492286,0.03532800
82303,20010222,RE,0.03332800,-0.00200000,0.03532800,0.02317054,0.04429573,0.01275445,-0.00015100
82303,20010223,RE,-0.00615100,-0.00600000,-0.00015100,0.04764386,0.02891028,0.01750763,0.01177200
82303,20010226,RE,0.02877200,0.01700000,0.01177200,0.02561862,0.04921136,0.02802266,0.01385400
82303,20010227,RE,0.00585400,-0.00800000,0.01385400,0.06330642,0.09979002,0.09779268,0.03647000
82303,20010228,RE,0.02247000,-0.01400000,0.03647000,0.08156018,0.09469531,0.10209858,0.03030400
82303,20010301,RE,0.03130400,0.00100000,0.03030400,0.09507536,0.12382293,0.16552789,0.02654300
82303,20010302,RE,0.02054300,-0.00600000,0.02654300,0.03474929,0.08613019,0.11458936,-0.02194000
82303,20010305,RE,-0.01594000,0.00600000,-0.02194000,-0.00568818,0.06216576,0.11314785,-0.01000000
82303,20010306,RE,0.00000000,0.01000000,-0.01000000,-0.04922421,0.00696191,0.10905509,-0.01730800
82303,20010307,RE,-0.01130800,0.00600000,-0.01730800,-0.03092868,-0.02667146,0.06748107,-0.00354600
82303,20010308,RE,-0.00154600,0.00200000,-0.00354600,0.00435170,-0.02716768,0.09339558,0.02500000
82303,20010309,RE,0.00000000,-0.02500000,0.02500000,0.05872122,0.03246969,0.11640615,0.03820100
82303,20010312,RE,-0.00479900,-0.04300000,0.03820100,0.04317674,0.02287741,0.08357397,-0.01997700
82303,20010313,RE,-0.00497700,0.01500000,-0.01997700,0.03671733,0.05700547,0.06480852,0.01849600
82303,20010314,RE,-0.00750400,-0.02600000,0.01849600,0.00016950,0.06195553,0.03667109,0.00124500
82303,20010315,RE,0.00724500,0.00600000,0.00124500,0.03521878,0.05301716,0.02616195,0.01577800
82303,20010316,RE,-0.00422200,-0.02000000,0.01577800,-0.00047606,-0.00152754,0.03071555,-0.01784300
82303,20010319,RE,0.00015700,0.01800000,-0.01784300,0.01926684,0.03858145,0.05954145,0.02101700
82303,20010320,RE,-0.00298300,-0.02400000,0.02101700,-0.00819010,0.00848160,0.06315695,-0.01176400
82303,20010321,RE,-0.02976400,-0.01800000,-0.01176400,-0.01222159,-0.01380013,0.04534181,-0.02180800
