PERMNO,date,TICKER,C2C,indexC2C,C2CindexAdj,C2CindexAdjFwd3Days,C2CindexAdjFwd5Days,C2CindexAdjFwd10Days,C2CindexAdjFwd1Day
35044,20020503,RF,0.00056300,-0.01000000,0.01056300,,,,0.01506100
35044,20020506,RF,-0.00393900,-0.01900000,0.01506100,0.03313118,,,0.00780200
35044,20020507,RF,0.00480200,-0.00300000,0.00780200,-0.01269056,,,-0.03631300
35044,20020508,RF,0.00168700,0.03800000,-0.03631300,-0.02247056,0.00352960,,0.00545700
35044,20020509,RF,-0.00954300,-0.01500000,0.00545700,-0.02247890,0.00040428,,0.00736600
35044,20020510,RF,-0.00963400,-0.01700000,0.00736600,0.00605069,-0.02191988,,-0.00698300
35044,20020513,RF,0.01201700,0.01900000,-0.00698300,-0.00542612,-0.03637368,,-0.00601500
35044,20020514,RF,0.01498500,0.02100000,-0.00601500,-0.01040851,0.00288248,,0.00265700
35044,20020515,RF,-0.00334300,-0.00600000,0.00265700,-0.00501464,-0.00442285,-0.00078098,-0.00169000
35044,20020516,RF,0.00531000,0.00700000,-0.00169000,-0.00339535,-0.01682318,-0.01611951,-0.00438600
35044,20020517,RF,0.00361400,0.00800000,-0.00438600,-0.00800885,-0.01138995,-0.03366760,-0.00195800
35044,20020520,RF,-0.01495800,-0.01300000,-0.00195800,0.00548408,0.00647019,-0.02929403,0.01184400
35044,20020521,RF,0.00084400,-0.01100000,0.01184400,0.00054906,-0.00544878,-0.00259851,-0.00937200
35044,20020522,RF,-0.00337200,0.00600000,-0.00937200,0.00495939,-0.00142201,-0.00587117,0.00240500
35044,20020523,RF,0.01240500,0.01000000,0.00240500,0.00147133,0.01121852,-0.00489769,0.00838000
35044,20020524,RF,-0.00362000,-0.01200000,0.00838000,0.01138277,0.01386090,0.00272891,0.00061500
35044,20020528,RF,-0.00838500,-0.00900000,0.00061500,0.01952563,0.01282156,0.01910898,0.01079100
35044,20020529,RF,0.00479100,-0.00600000,0.01079100,0.01454602,0.02533888,0.01977945,0.00328000
35044,20020530,RF,0.00028000,-0.00300000,0.00328000,0.02306483,0.03164357,0.03020824,0.00893700
35044,20020531,RF,0.01093700,0.00200000,0.00893700,0.02261507,0.03355082,0.04401718,0.01057600
35044,20020603,RF,-0.01442400,-0.02500000,0.01057600,0.01407666,0.02787850,0.04123556,-0.00534800
35044,20020604,RF,-0.00534800,0.00000000,-0.00534800,0.00429708,0.01637303,0.02900146,-0.00107700
35044,20020605,RF,0.00792300,0.00900000,-0.00107700,-0.00092336,0.01826825,0.04284415,0.00540100
35044,20020606,RF,-0.01459900,-0.02000000,0.00540100,0.01853378,0.02340402,0.05394177,0.01425100
35044,20020607,RF,0.01225100,-0.00200000,0.01425100,0.01874525,0.01244843,0.04557015,-0.00074800
35044,20020610,RF,0.00225200,0.00300000,-0.00074800,0.01545422,0.01966730,0.04671480,0.00211700
35044,20020611,RF,-0.01488300,-0.01700000,0.00211700,-0.00579655,0.01351226,0.02939988,-0.00728500
35044,20020612,RF,-0.00028500,0.00700000,-0.00728500,-0.01241899,0.00066613,0.01857603,-0.00753900
35044,20020613,RF,-0.01753900,-0.01000000,-0.00753900,0.00046687,0.00184042,0.02477219,0.01546200
35044,20020614,RF,0.01346200,-0.00200000,0.01546200,0.00259104,-0.00257708,0.00994504,-0.00532100
35044,20020617,RF,0.02367900,0.02900000,-0.00532100,0.01095350,-0.00440323,0.01578446,0.00041000
35044,20020618,RF,0.00141000,0.00100000,0.00041000,0.01029320,0.01801156,0.03125097,0.01474600
35044,20020619,RF,-0.00225400,-0.01700000,0.01474600,0.02316664,0.03424912,0.03428407,0.00820100
35044,20020620,RF,-0.00479900,-0.01300000,0.00820100,0.03218855,0.02831757,0.02963838,0.00990800
35044,20020621,RF,-0.00709200,-0.01700000,0.00990800,0.00980605,0.02457467,0.02219812,-0.00828600
35044,20020624,RF,-0.00428600,0.00400000,-0.00828600,0.01424319,0.03620111,0.03279537,0.01269600
35044,20020625,RF,-0.00430400,-0.01700000,0.01269600,0.00031410,0.01794516,0.03547044,-0.00420500
35044,20020626,RF,-0.00720500,-0.00300000,-0.00420500,-0.00486585,-0.00309413,0.03053161,-0.01364600
35044,20020627,RF,0.00435400,0.01800000,-0.01364600,-0.00096329,0.00360414,0.03197951,0.01689600
35044,20020628,RF,0.01589600,-0.00100000,0.01689600,0.01685672,0.02509723,0.04865151,0.01331900
35044,20020701,RF,-0.00768100,-0.02100000,0.01331900,0.06130414,0.04405709,0.07824425,0.03160800
35044,20020702,RF,0.01060800,-0.02100000,0.03160800,0.02869658,0.03249733,0.04920378,-0.01592900
35044,20020703,RF,-0.00992900,0.00600000,-0.01592900,0.00076164,0.03148063,0.02780950,-0.01551000
35044,20020705,RF,0.02149000,0.03700000,-0.01551000,-0.01538414,0.03033997,0.03403040,0.01592700
