PERMNO,date,TICKER,C2C,indexC2C,C2CindexAdj,C2CindexAdjFwd3Days,C2CindexAdjFwd5Days,C2CindexAdjFwd10Days,C2CindexAdjFwd1Day
59248,20010102,RKY,-0.02568100,-0.02800000,0.00231900,,,,-0.11869000
59248,20010103,RKY,-0.06869000,0.05000000,-0.11869000,-0.17201932,,,-0.06618700
59248,20010104,RKY,-0.07718700,-0.01100000,-0.06618700,-0.16480492,,,0.01113000
59248,20010105,RKY,-0.01487000,-0.02600000,0.01113000,-0.08657412,-0.18738932,,-0.03573600
59248,20010108,RKY,-0.03773600,-0.00200000,-0.03573600,-0.01869125,-0.19078142,,0.00580400
59248,20010109,RKY,0.00980400,0.00400000,0.00580400,-0.05446470,-0.10435956,,-0.02456300
59248,20010110,RKY,-0.01456300,0.01000000,-0.02456300,-0.02712172,-0.05038970,,-0.00803000
59248,20010111,RKY,0.00197000,0.01000000,-0.00803000,-0.02660106,-0.05656562,,0.00600000
59248,20010112,RKY,0.00000000,-0.00600000,0.00600000,0.02156353,0.00232737,-0.19006615,0.02349900
59248,20010116,RKY,0.02949900,0.00600000,0.02349900,-0.00491368,-0.03763757,-0.22596215,-0.03351900
59248,20010117,RKY,-0.03151900,0.00200000,-0.03351900,-0.02802425,-0.03009300,-0.13328459,-0.01695900
59248,20010118,RKY,-0.00295900,0.01400000,-0.01695900,-0.06354050,-0.03552653,-0.08456922,-0.01380400
59248,20010119,RKY,-0.01780400,-0.00400000,-0.01380400,-0.02079299,-0.03180240,-0.08809811,0.01007000
59248,20010122,RKY,0.01007000,0.00000000,0.01007000,-0.01587229,-0.06619040,-0.06555668,-0.01200300
59248,20010123,RKY,0.00099700,0.01300000,-0.01200300,-0.02711678,-0.05770125,-0.09542643,-0.02491200
59248,20010124,RKY,-0.02191200,0.00300000,-0.02491200,0.01296985,0.00891099,-0.02142522,0.05082500
59248,20010125,RKY,0.04582500,-0.00500000,0.05082500,0.03588353,0.03436567,-0.00228936,0.01076300
59248,20010126,RKY,0.00876300,-0.00200000,0.01076300,0.09152583,0.05263509,0.01959926,0.02759500
59248,20010129,RKY,0.03459500,0.00700000,0.02759500,0.04348062,0.06970021,-0.00001353,0.00434500
59248,20010130,RKY,0.01134500,0.00700000,0.00434500,0.06616688,0.13227850,0.07034969,0.03256800
59248,20010131,RKY,0.02656800,-0.00600000,0.03256800,0.03299815,0.07334463,0.08351420,-0.00428100
59248,20010201,RKY,0.00071900,0.00500000,-0.00428100,0.03410043,0.06738247,0.10452107,0.00608000
59248,20010202,RKY,-0.01092000,-0.01700000,0.00608000,0.00554494,0.04271033,0.09789874,0.00369900
59248,20010205,RKY,0.00769900,0.00400000,0.00369900,-0.00191288,0.02594475,0.09659315,-0.01169500
59248,20010206,RKY,-0.01369500,-0.00200000,-0.01169500,0.02403647,0.02565592,0.15896593,0.03226200
59248,20010207,RKY,0.02426200,-0.00800000,0.03226200,-0.00872668,0.00090971,0.07221990,-0.02853200
59248,20010208,RKY,-0.03453200,-0.00600000,-0.02853200,0.03334812,0.02526792,0.09257321,0.03088400
59248,20010209,RKY,0.01788400,-0.01300000,0.03088400,-0.01297033,0.00697105,0.04920033,-0.01490400
59248,20010212,RKY,-0.00290400,0.01200000,-0.01490400,0.03054218,0.03301819,0.05866791,0.01438800
59248,20010213,RKY,0.00538800,-0.00900000,0.01438800,0.01058438,0.01205953,0.03734418,0.01098000
59248,20010214,RKY,0.00898000,-0.00200000,0.01098000,0.00117648,0.01722879,0.01765442,-0.02407800
59248,20010215,RKY,-0.01607800,0.00800000,-0.02407800,0.01588139,0.01550256,0.04051759,0.02906700
59248,20010216,RKY,0.01006700,-0.01900000,0.02906700,0.05753452,0.08305218,0.08891584,0.05296700
59248,20010220,RKY,0.03596700,-0.01700000,0.05296700,0.10360551,0.09034300,0.12258385,0.02206800
59248,20010221,RKY,0.00306800,-0.01900000,0.02206800,0.03543973,0.04001284,0.05124963,-0.03775500
59248,20010222,RKY,-0.03975500,-0.00200000,-0.03775500,-0.02823875,0.05032162,0.06714439,-0.01296400
59248,20010223,RKY,-0.01896400,-0.00600000,-0.01296400,-0.06343580,0.00956745,0.02469963,-0.01338500
59248,20010226,RKY,0.00361500,0.01700000,-0.01338500,-0.01271267,-0.02813629,0.05215384,0.01360200
59248,20010227,RKY,0.00560200,-0.00800000,0.01360200,-0.00414522,-0.05361917,0.03327849,-0.00447200
59248,20010228,RKY,-0.01847200,-0.01400000,-0.00447200,0.00675685,-0.01911257,0.02064967,-0.00219500
59248,20010301,RKY,-0.00119500,0.00100000,-0.00219500,-0.00202865,-0.00168113,0.04814410,0.00465400
59248,20010302,RKY,-0.00134600,-0.00600000,0.00465400,-0.00843292,0.00059960,0.00995614,-0.01094200
59248,20010305,RKY,-0.00494200,0.00600000,-0.01094200,-0.03374141,-0.03977563,-0.06597899,-0.02760700
59248,20010306,RKY,-0.01760700,0.01000000,-0.02760700,-0.08025749,-0.07753250,-0.12688418,-0.04245800
59248,20010307,RKY,-0.03645800,0.00600000,-0.04245800,-0.02757230,-0.03375750,-0.05222430,0.04442300
59248,20010308,RKY,0.04642300,0.00200000,0.04442300,0.02484766,-0.01357034,-0.01508734,0.02439200
59248,20010309,RKY,-0.00060800,-0.02500000,0.02439200,0.10623465,0.03559665,0.03544202,0.03859100
59248,20010312,RKY,-0.00440900,-0.04300000,0.03859100,0.03849495,0.03906005,-0.00058996,-0.02446700
59248,20010313,RKY,-0.00946700,0.01500000,-0.02446700,0.03307308,0.09971378,0.02201912,0.01890900
59248,20010314,RKY,-0.00709100,-0.02600000,0.01890900,-0.01194913,0.04968345,0.01757697,-0.00693200
59248,20010315,RKY,-0.00093200,0.00600000,-0.00693200,0.02819113,0.04202307,0.02873618,0.01642600
59248,20010316,RKY,-0.00357400,-0.02000000,0.01642600,-0.00548953,-0.01051832,0.02495244,-0.01534900
59248,20010319,RKY,0.00265100,0.01800000,-0.01534900,0.02552671,0.03714239,0.07417517,0.02415600
59248,20010320,RKY,0.00015600,-0.02400000,0.02415600,0.02431682,0.03359075,0.13031253,0.01520100
59248,20010321,RKY,-0.00279900,-0.01800000,0.01520100,0.01367144,0.01502134,0.06200166,-0.02516400
59248,20010322,RKY,-0.02916400,-0.00400000,-0.02516400,-0.00587525,0.00332581,0.04489584,0.00441800
59248,20010323,RKY,0.02441800,0.02000000,0.00441800,-0.02647063,0.01357864,0.00297559,-0.00488400
59248,20010326,RKY,0.00611600,0.01100000,-0.00488400,-0.04453712,-0.05364817,-0.01474067,-0.04267700
59248,20010327,RKY,-0.01667700,0.02600000,-0.04267700,0.01285574,-0.00885745,0.02573079,0.06029700
59248,20010328,RKY,0.03629700,-0.02400000,0.06029700,-0.00260369,-0.00321828,0.01232081,-0.01977800
59248,20010329,RKY,-0.02477800,-0.00500000,-0.01977800,0.05544598,0.00777827,0.01112286,0.01534900
59248,20010330,RKY,0.02634900,0.01100000,0.01534900,0.03258778,0.05073795,0.06414946,0.03752000
59248,20010402,RKY,0.02552000,-0.01200000,0.03752000,0.06003089,0.09878179,0.04665253,0.00777400
59248,20010403,RKY,-0.02622600,-0.03400000,0.00777400,0.04860789,0.04386912,0.03625283,0.00453000
59248,20010404,RKY,0.00153000,-0.00300000,0.00453000,-0.06061258,-0.00982986,-0.01330057,-0.07516900
59248,20010405,RKY,-0.03116900,0.04400000,-0.07516900,-0.08615704,-0.04093528,-0.03443480,-0.01753400
59248,20010406,RKY,-0.03753400,-0.02000000,-0.01753400,-0.10265748,-0.08757547,-0.04120655,-0.01209600
59248,20010409,RKY,-0.00409600,0.00800000,-0.01209600,-0.03091292,-0.10157372,-0.00090141,-0.00084000
59248,20010410,RKY,0.02616000,0.02700000,-0.00084000,-0.06919290,-0.15817798,-0.11197630,-0.05475800
59248,20010411,RKY,-0.05675800,-0.00200000,-0.05475800,-0.06467019,-0.09248622,-0.10208036,-0.00701100
59248,20010412,RKY,0.00798900,0.01500000,-0.00701100,-0.02981251,-0.04385787,-0.08369995,0.03386000
59248,20010416,RKY,0.03086000,-0.00300000,0.03386000,0.01481089,-0.04395192,-0.13154776,-0.01212700
59248,20010417,RKY,-0.00212700,0.01000000,-0.01212700,-0.04286946,-0.10582761,-0.20865077,-0.06359001
59248,20010418,RKY,-0.02459000,0.03900000,-0.06359001,-0.08560685,-0.06010239,-0.22418176,-0.00879800
59248,20010419,RKY,0.00420200,0.01300000,-0.00879800,-0.07549345,-0.05502656,-0.14859862,-0.00321800
59248,20010420,RKY,-0.01221800,-0.00900000,-0.00321800,0.01924266,-0.05647524,-0.10207748,0.03126600
59248,20010423,RKY,0.01626600,-0.01500000,0.03126600,0.03541146,-0.03571536,-0.08045848,0.00799900
59248,20010424,RKY,-0.00400100,-0.01200000,0.00799900,0.02887137,0.01682254,-0.08899501,-0.01064300
59248,20010425,RKY,0.00535700,0.01600000,-0.01064300,-0.10602582,-0.07847506,-0.13888819,-0.10340200
59248,20010426,RKY,-0.09840200,0.00500000,-0.10340200,-0.16143769,-0.12296714,-0.17788627,-0.04971800
59248,20010427,RKY,-0.03471800,0.01500000,-0.04971800,-0.15121348,-0.15393080,-0.20868987,-0.00216500
59248,20010430,RKY,-0.00516500,-0.00300000,-0.00216500,-0.04274247,-0.15639012,-0.19058075,0.01003800
59248,20010501,RKY,0.02403800,0.01400000,0.01003800,-0.01139473,-0.16148816,-0.14564256,-0.01884000
59248,20010502,RKY,-0.01784000,0.00100000,-0.01884000,0.01424960,-0.03796386,-0.11380221,0.02322200
59248,20010503,RKY,0.00822200,-0.01500000,0.02322200,-0.01180741,-0.00423965,-0.12804315,-0.01627600
59248,20010504,RKY,-0.00227600,0.01400000,-0.01627600,-0.00042560,-0.00964342,-0.16410122,-0.00750400
59248,20010507,RKY,-0.00950400,-0.00200000,-0.00750400,-0.03327491,-0.02865749,-0.18127654,-0.00970600
59248,20010508,RKY,-0.01170600,-0.00200000,-0.00970600,-0.00437525,0.00267906,-0.15767274,0.01293200
59248,20010509,RKY,0.00893200,-0.00400000,0.01293200,-0.00168372,-0.02525220,-0.06277819,-0.00481100
59248,20010510,RKY,-0.00481100,-0.00000000,-0.00481100,0.00983285,-0.00727274,-0.01149222,0.00181200
59248,20010511,RKY,-0.00618800,-0.00800000,0.00181200,0.01214610,0.01520892,0.00570361,0.01529200
59248,20010514,RKY,0.01829200,0.00300000,0.01529200,0.02533029,0.03347104,0.00397160,0.00821700
59248,20010515,RKY,0.00821700,0.00000000,0.00821700,0.03235321,0.02893685,0.03148897,0.00782300
59248,20010516,RKY,0.03582300,0.02800000,0.00782300,0.01840935,0.03617376,0.00956769,0.00194000
59248,20010517,RKY,0.00494000,0.00300000,0.00194000,-0.00442015,0.01992983,0.01192382,-0.01374300
59248,20010518,RKY,-0.01074300,0.00300000,-0.01374300,-0.03345095,-0.01823858,-0.00233522,-0.02152200
59248,20010521,RKY,-0.00552200,0.01600000,-0.02152200,-0.07152675,-0.06444149,-0.03095486,-0.03697800
59248,20010522,RKY,-0.03997800,-0.00300000,-0.03697800,-0.03889552,-0.05049423,-0.02409245,0.01927700
59248,20010523,RKY,0.00327700,-0.01600000,0.01927700,-0.05099161,-0.08485465,-0.05384955,-0.03432200
59248,20010524,RKY,-0.03132200,0.00300000,-0.03432200,0.00021422,-0.05657731,-0.04012862,0.01557100
59248,20010525,RKY,0.00357100,-0.01200000,0.01557100,0.00187962,-0.01576639,-0.03386796,0.02114500
59248,20010529,RKY,0.01314500,-0.00800000,0.02114500,0.06788367,0.05141049,-0.01079417,0.03127900
59248,20010530,RKY,0.01527900,-0.01600000,0.03127900,0.04802972,0.02820383,-0.02227970,-0.00464900
59248,20010531,RKY,0.00135100,0.00600000,-0.00464900,0.01749845,0.05423376,-0.03287530,-0.00920200
59248,20010601,RKY,-0.00520200,0.00400000,-0.00920200,-0.02742123,0.02508204,-0.03270377,-0.01352200
59248,20010604,RKY,-0.00852200,0.00500000,-0.01352200,-0.03292689,-0.00613642,-0.02177396,-0.01007000
59248,20010605,RKY,0.00293000,0.01300000,-0.01007000,-0.01616340,-0.03007837,0.02210650,0.00729900
59248,20010606,RKY,-0.00370100,-0.01100000,0.00729900,0.01501220,-0.00804860,0.02059444,0.01767800
59248,20010607,RKY,0.02267800,0.00500000,0.01767800,0.03233574,0.00882745,0.06346266,0.00747100
59248,20010608,RKY,-0.00152900,-0.00900000,0.00747100,0.01299064,0.01037337,0.03536532,-0.01172000
59248,20010611,RKY,-0.01972000,-0.00800000,-0.01172000,-0.00011285,0.02443533,0.01857214,0.00427300
59248,20010612,RKY,0.00527300,0.00100000,0.00427300,-0.00542712,0.01916654,-0.01050447,0.00206300
