PERMNO,date,TICKER,C2C,indexC2C,C2CindexAdj,C2CindexAdjFwd3Days,C2CindexAdjFwd5Days,C2CindexAdjFwd10Days,C2CindexAdjFwd1Day
50017,20010102,RRC,-0.02727300,-0.02800000,0.00072700,,,,-0.12476601
50017,20010103,RRC,-0.07476600,0.05000000,-0.12476601,-0.13664597,,,-0.01930300
50017,20010104,RRC,-0.03030300,-0.01100000,-0.01930300,-0.02079533,,,0.13016701
50017,20010105,RRC,0.10416700,-0.02600000,0.13016701,0.09924692,-0.02661756,,-0.00743400
50017,20010108,RRC,-0.00943400,-0.00200000,-0.00743400,0.12822699,-0.02280996,,0.00552400
50017,20010109,RRC,0.00952400,0.00400000,0.00552400,0.02572421,0.13625485,,0.02773600
50017,20010110,RRC,0.03773600,0.01000000,0.02773600,0.01391507,0.13986060,,-0.01909100
50017,20010111,RRC,-0.00909100,0.01000000,-0.01909100,-0.03284777,-0.03486744,,-0.03987200
50017,20010112,RRC,-0.04587200,-0.00600000,-0.03987200,-0.01905508,0.01395149,-0.01394286,0.04207700
50017,20010116,RRC,0.04807700,0.00600000,0.04207700,-0.05701034,-0.05040585,-0.07324895,-0.05704600
50017,20010117,RRC,-0.05504600,0.00200000,-0.05704600,-0.04135537,-0.09887954,0.02995190,-0.02370900
50017,20010118,RRC,-0.00970900,0.01400000,-0.02370900,-0.10370761,-0.10367158,0.02381831,-0.02541200
50017,20010119,RRC,-0.02941200,-0.00400000,-0.02541200,-0.01965329,-0.03726710,-0.07206024,0.03030300
50017,20010122,RRC,0.03030300,0.00000000,0.03030300,-0.03836021,-0.11686337,-0.10701334,-0.04241200
50017,20010123,RRC,-0.02941200,0.01300000,-0.04241200,-0.00593832,-0.05526954,-0.10542886,0.00710100
50017,20010124,RRC,0.01010100,0.00300000,0.00710100,0.01845261,0.02249620,-0.07870319,0.05500000
50017,20010125,RRC,0.05000000,-0.00500000,0.05500000,0.05451568,0.04156756,-0.06684410,-0.00752400
50017,20010126,RRC,-0.00952400,-0.00200000,-0.00752400,0.02403833,-0.01207876,-0.04970983,-0.02238500
50017,20010129,RRC,-0.01538500,0.00700000,-0.02238500,-0.08249756,-0.02412371,-0.13994037,-0.05387500
50017,20010130,RRC,-0.04687500,0.00700000,-0.05387500,-0.09719557,-0.05371938,-0.10747503,-0.02350800
50017,20010131,RRC,-0.02950800,-0.00600000,-0.02350800,-0.06846209,-0.09669261,-0.07679328,0.00851400
50017,20010201,RRC,0.01351400,0.00500000,0.00851400,0.03276766,-0.04347504,-0.00427844,0.04866700
50017,20010202,RRC,0.03166700,-0.01700000,0.04866700,0.02502582,-0.05219111,-0.06438773,-0.03146400
50017,20010205,RRC,-0.02746400,0.00400000,-0.03146400,0.01837523,0.00294236,-0.02083563,0.00200000
50017,20010206,RRC,0.00000000,-0.00200000,0.00200000,0.01410137,0.07209098,0.01553407,0.04454500
50017,20010207,RRC,0.03654500,-0.00800000,0.04454500,0.09565881,0.11211789,0.00859839,0.04766700
50017,20010208,RRC,0.04166700,-0.00600000,0.04766700,0.14969473,0.11691612,0.06894473,0.05300000
50017,20010209,RRC,0.04000000,-0.01300000,0.05300000,0.07605920,0.12503518,0.06631066,-0.02531400
50017,20010212,RRC,-0.01331400,0.01200000,-0.02531400,0.04860673,0.14521860,0.14618607,0.02099400
50017,20010213,RRC,0.01199400,-0.00900000,0.02099400,-0.00976195,0.09177079,0.16752100,-0.00540700
50017,20010214,RRC,-0.00740700,-0.00200000,-0.00540700,0.01506452,0.04268411,0.15788564,-0.00053700
50017,20010215,RRC,0.00746300,0.00800000,-0.00053700,0.02350036,0.01915133,0.13662960,0.02937000
50017,20010216,RRC,0.01037000,-0.01900000,0.02937000,0.02796267,0.04313572,0.16799739,-0.00059500
50017,20010220,RRC,-0.01759500,-0.01700000,-0.00059500,-0.00526034,-0.01092060,0.12595414,-0.03323900
50017,20010221,RRC,-0.05223900,-0.01900000,-0.03323900,-0.06063466,-0.03375120,0.05109548,-0.02949600
50017,20010222,RRC,-0.03149600,-0.00200000,-0.02949600,-0.07764131,-0.04955526,-0.01140458,-0.01839000
50017,20010223,RRC,-0.02439000,-0.00600000,-0.01839000,-0.06399399,-0.09311672,-0.07531119,-0.01700000
50017,20010226,RRC,0.00000000,0.01700000,-0.01700000,-0.01907103,-0.07880502,-0.03680930,0.01633300
