PERMNO,date,TICKER,C2C,indexC2C,C2CindexAdj,C2CindexAdjFwd3Days,C2CindexAdjFwd5Days,C2CindexAdjFwd10Days,C2CindexAdjFwd1Day
14322,20010102,S,-0.01381300,-0.02800000,0.01418700,,,,0.00135700
14322,20010103,S,0.05135700,0.05000000,0.00135700,0.03897213,,,0.02210200
14322,20010104,S,0.01110200,-0.01100000,0.02210200,0.03144516,,,0.00706000
14322,20010105,S,-0.01894000,-0.02600000,0.00706000,0.05279616,0.07034823,,0.02438400
14322,20010108,S,0.02238400,-0.00200000,0.02438400,0.02241389,0.04781443,,-0.00865200
14322,20010109,S,-0.00465200,0.00400000,-0.00865200,-0.02656038,0.00266343,,-0.04161900
14322,20010110,S,-0.03161900,0.01000000,-0.04161900,-0.06824085,-0.03673001,,-0.01823400
14322,20010111,S,-0.00823400,0.01000000,-0.01823400,-0.04009953,-0.02495191,,0.02002800
14322,20010112,S,0.01402800,-0.00600000,0.02002800,-0.00258168,-0.05315212,0.01615661,-0.00430600
14322,20010116,S,0.00169400,0.00600000,-0.00430600,-0.00711724,-0.06664534,-0.02185805,-0.02257500
14322,20010117,S,-0.02057500,0.00200000,-0.02257500,-0.04838058,-0.04687843,-0.04309153,-0.02148200
14322,20010118,S,-0.00748200,0.01400000,-0.02148200,-0.06269665,-0.04771342,-0.08291700,-0.01948500
14322,20010119,S,-0.02348500,-0.00400000,-0.01948500,0.04329318,0.01527859,-0.01026013,0.08669800
14322,20010122,S,0.08669800,0.00000000,0.08669800,0.06498643,0.01884895,-0.03618511,-0.00097800
14322,20010123,S,0.01202200,0.01300000,-0.00097800,0.07926927,0.03543978,-0.03452640,-0.00705000
14322,20010124,S,-0.00405000,0.00300000,-0.00705000,0.00789342,0.07426754,0.02552559,0.01584300
14322,20010125,S,0.01084300,-0.00500000,0.01584300,-0.00246868,0.08369939,0.03256430,-0.01114000
14322,20010126,S,-0.01314000,-0.00200000,-0.01114000,0.02768894,0.01979292,0.03597534,0.02316300
14322,20010129,S,0.03016300,0.00700000,0.02316300,0.01989180,0.02889549,0.04920307,0.00803600
14322,20010130,S,0.01503600,0.00700000,0.00803600,0.04502527,0.04950218,0.08802299,0.01301700
14322,20010131,S,0.00701700,-0.00600000,0.01301700,0.01645942,0.02844319,0.10583516,-0.00474200
14322,20010201,S,0.00025800,0.00500000,-0.00474200,0.00553859,0.03682581,0.12358368,-0.00260800
14322,20010202,S,-0.01960800,-0.01700000,-0.00260800,-0.01431855,0.00639227,0.02627181,-0.00715800
14322,20010205,S,-0.00315800,0.00400000,-0.00715800,-0.00534015,0.00280283,0.03134332,0.00437600
14322,20010206,S,0.00237600,-0.00200000,0.00437600,0.02839212,0.02061629,0.07026514,0.03117600
14322,20010207,S,0.02317600,-0.00800000,0.03117600,0.00853214,-0.00114413,0.02643524,-0.02617500
14322,20010208,S,-0.03217500,-0.00600000,-0.02617500,0.00912468,0.00641044,0.04253083,0.00502100
14322,20010209,S,-0.00797900,-0.01300000,0.00502100,-0.00263267,0.03263644,0.03889383,0.01936700
14322,20010212,S,0.03136700,0.01200000,0.01936700,0.03115519,0.03501617,0.03728776,0.00692000
14322,20010213,S,-0.00208000,-0.00900000,0.00692000,0.03852266,0.01599186,0.03627723,0.01189800
14322,20010214,S,0.00989800,-0.00200000,0.01189800,0.01762544,0.04225242,0.03984858,-0.00129400
14322,20010215,S,0.00670600,0.00800000,-0.00129400,0.03240473,0.05933566,0.06458718,0.02156200
14322,20010216,S,0.00256200,-0.01900000,0.02156200,0.06613640,0.08490628,0.11760413,0.04562300
14322,20010220,S,0.02862300,-0.01700000,0.04562300,0.06347941,0.07464686,0.10879601,-0.00211800
14322,20010221,S,-0.02111800,-0.01900000,-0.00211800,0.03198337,0.05194899,0.06706078,-0.01043700
14322,20010222,S,-0.01243700,-0.00200000,-0.01043700,-0.00198412,0.06309294,0.10514391,0.01062600
14322,20010223,S,0.00462600,-0.00600000,0.01062600,0.01396575,0.05701760,0.11754151,0.01395400
14322,20010226,S,0.03095400,0.01700000,0.01395400,0.04370675,0.02988664,0.11462959,0.01842200
14322,20010227,S,0.01042200,-0.00800000,0.01842200,0.06128417,0.06092080,0.13618461,0.02775200
14322,20010228,S,0.01375200,-0.01400000,0.02775200,0.01278803,0.03755102,0.08910365,-0.03266900
14322,20010301,S,-0.03166900,0.00100000,-0.03266900,-0.01127010,0.02047286,0.08295121,-0.00607500
14322,20010302,S,-0.01207500,-0.00600000,-0.00607500,-0.03385053,0.01157617,0.06774566,0.00495000
14322,20010305,S,0.01095000,0.00600000,0.00495000,-0.00694434,-0.01220868,0.01744037,-0.00571800
14322,20010306,S,0.00428200,0.01000000,-0.00571800,0.01578650,-0.02410354,0.03670523,0.01632300
14322,20010307,S,0.02232300,0.00600000,0.01632300,0.00760130,0.00634833,0.04475074,-0.00298100
14322,20010308,S,-0.00098100,0.00200000,-0.00298100,0.03549860,0.03527323,0.05607829,0.02205300
14322,20010309,S,-0.00294700,-0.02500000,0.02205300,0.03659943,0.04752496,0.05807656,0.01836900
14322,20010312,S,-0.02463100,-0.04300000,0.01836900,0.00700535,0.01975844,0.00779926,-0.03393900
14322,20010313,S,-0.01893900,0.01500000,-0.03393900,-0.02491755,-0.00672564,-0.02895684,-0.01132300
14322,20010314,S,-0.03732300,-0.02600000,-0.01132300,-0.05893492,-0.01810951,-0.01266031,-0.01535800
14322,20010315,S,-0.00935800,0.00600000,-0.01535800,-0.01816213,-0.03126306,0.00057887,0.00785400
14322,20010316,S,-0.01214600,-0.02000000,0.00785400,-0.00228900,-0.04648709,0.00078400,0.00522400
14322,20010319,S,0.02322400,0.01800000,0.00522400,0.00039217,-0.02511323,-0.00561982,-0.01231500
14322,20010320,S,-0.03631500,-0.02400000,-0.01231500,-0.00765138,-0.01458131,-0.01984876,-0.00028800
14322,20010321,S,-0.01828800,-0.01800000,-0.00028800,-0.03070056,-0.01847341,-0.03405495,-0.01942700
14322,20010322,S,-0.02342700,-0.00400000,-0.01942700,-0.03420987,-0.04121784,-0.06814544,-0.01508700
14322,20010323,S,0.00491300,0.02000000,-0.01508700,-0.04741808,-0.05756651,-0.10020301,-0.01272600
14322,20010326,S,-0.00172600,0.01100000,-0.01272600,-0.01728114,-0.03704965,-0.06040551,0.01145300
14322,20010327,S,0.03745300,0.02600000,0.01145300,-0.00577700,-0.04064660,-0.05350257,-0.00404800
14322,20010328,S,-0.02804800,-0.02400000,-0.00404800,0.00305443,-0.02487555,-0.04221156,-0.00385700
14322,20010329,S,-0.00885700,-0.00500000,-0.00385700,-0.00235178,-0.00402973,-0.04580490,0.00572000
14322,20010330,S,0.01672000,0.01100000,0.00572000,0.00184141,0.00879261,-0.04914328,0.00009200
14322,20010402,S,-0.01190800,-0.01200000,0.00009200,-0.01160517,-0.01868344,-0.05335900,-0.01707600
14322,20010403,S,-0.05107600,-0.03400000,-0.01707600,0.00138998,0.00308486,-0.03585958,0.01932900
14322,20010404,S,0.01632900,-0.00300000,0.01932900,-0.01265257,-0.00693452,-0.03193606,-0.01454500
14322,20010405,S,0.02945500,0.04400000,-0.01454500,0.01865506,0.00037114,-0.00354665,0.01277500
14322,20010406,S,-0.00722500,-0.02000000,0.01277500,-0.00125487,0.00014804,0.00888191,-0.00014000
14322,20010409,S,0.00786000,0.00800000,-0.00014000,-0.00381762,0.00148104,-0.01836908,-0.01689000
14322,20010410,S,0.01011000,0.02700000,-0.01689000,-0.02441228,-0.02608922,-0.02179233,-0.00715100
14322,20010411,S,-0.00915100,-0.00200000,-0.00715100,-0.03656507,-0.02333446,-0.03040033,-0.01211400
14322,20010412,S,0.00288600,0.01500000,-0.01211400,0.00236492,-0.01492942,-0.01415197,0.02170500
14322,20010416,S,0.01870500,-0.00300000,0.02170500,0.00534289,-0.01926348,-0.01898126,-0.00435000
14322,20010417,S,0.00565000,0.01000000,-0.00435000,0.04181636,0.02140125,0.02420045,0.02307900
14322,20010418,S,0.06207900,0.03900000,0.02307900,-0.02941606,-0.01975190,-0.04842831,-0.04526700
14322,20010419,S,-0.03226700,0.01300000,-0.04526700,-0.04163003,-0.02440486,-0.04901895,-0.01669000
14322,20010420,S,-0.02569000,-0.00900000,-0.01669000,-0.04595283,-0.03060043,-0.04702751,0.01500000
14322,20010423,S,0.00000000,-0.01500000,0.01500000,-0.01470785,-0.03893630,-0.05959209,-0.01324500
14322,20010424,S,-0.02524500,-0.01200000,-0.01324500,-0.00473966,-0.06479364,-0.04881305,-0.00650400
14322,20010425,S,0.00949600,0.01600000,-0.00650400,-0.00798525,-0.00962125,-0.02961064,0.01210400
14322,20010426,S,0.01710400,0.00500000,0.01210400,0.04561838,0.04609906,0.02267827,0.03881200
14322,20010427,S,0.05381200,0.01500000,0.03881200,0.03344181,0.01277351,-0.01837588,-0.01694700
14322,20010430,S,-0.01994700,-0.00300000,-0.01694700,0.01143356,0.01757039,-0.02364475,-0.00938700
14322,20010501,S,0.00461300,0.01400000,-0.00938700,-0.03590565,0.01389603,-0.05399277,-0.00964400
14322,20010502,S,-0.00864400,0.00100000,-0.00964400,-0.00955842,0.01096043,0.00095363,0.00927800
14322,20010503,S,-0.00572200,-0.01500000,0.00927800,-0.01437550,-0.04053218,0.00384513,-0.01427400
14322,20010504,S,-0.00027400,0.01400000,-0.01427400,-0.00714665,-0.02614127,-0.01409751,-0.00238600
14322,20010507,S,-0.00438600,-0.00200000,-0.00238600,-0.01241425,-0.01254109,0.00413616,0.00420300
14322,20010508,S,0.00220300,-0.00200000,0.00420300,0.00852833,0.00373089,0.01767164,0.00674700
14322,20010509,S,0.00274700,-0.00400000,0.00674700,0.05445061,0.03766570,0.04954596,0.04328800
14322,20010510,S,0.04328800,-0.00000000,0.04328800,0.05592402,0.05758308,0.01598076,0.00589900
14322,20010511,S,-0.00210100,-0.00800000,0.00589900,0.06255793,0.07376106,0.04684608,0.01278900
14322,20010514,S,0.01578900,0.00300000,0.01278900,0.02156782,0.07246526,0.05882349,0.00285000
14322,20010515,S,0.00285000,0.00000000,0.00285000,0.01154725,0.06264395,0.06611867,-0.00449200
14322,20010516,S,0.02350800,0.02800000,-0.00449200,0.00751746,0.02687958,0.06669221,0.00886300
14322,20010517,S,0.01186300,0.00300000,0.00886300,-0.00472790,0.01140387,0.07160880,-0.00898700
14322,20010518,S,-0.00598700,0.00300000,-0.00898700,0.02155932,0.02051922,0.09930984,0.02164100
14322,20010521,S,0.03764100,0.01600000,0.02164100,0.01294384,0.01804410,0.09510178,0.00058200
14322,20010522,S,-0.00241800,-0.00300000,0.00058200,0.02885159,0.02881568,0.09409406,0.00678800
14322,20010523,S,-0.00921200,-0.01600000,0.00678800,-0.00551444,0.00649469,0.03379058,-0.01303200
14322,20010524,S,-0.01003200,0.00300000,-0.01303200,-0.01244217,0.00874866,0.02043862,-0.00653700
14322,20010525,S,-0.01853700,-0.01200000,-0.00653700,0.01231445,0.01939119,0.04056154,0.03242700
14322,20010529,S,0.02442700,-0.00800000,0.03242700,0.02940599,0.02295637,0.04163761,0.00444600
14322,20010530,S,-0.01155400,-0.01600000,0.00444600,0.02807350,0.00827822,0.03658026,-0.00850100
14322,20010531,S,-0.00250100,0.00600000,-0.00850100,-0.01332937,0.01178395,0.01821907,-0.00951700
14322,20010601,S,-0.00551700,0.00400000,-0.00951700,-0.01882658,0.01794883,0.02655432,-0.00071400
14322,20010604,S,0.00428600,0.00500000,-0.00071400,-0.00985080,-0.01372982,0.00611300,0.00055800
14322,20010605,S,0.01355800,0.01300000,0.00055800,0.01481839,-0.00345221,0.01998052,0.01471600
14322,20010606,S,0.00371600,-0.01100000,0.01471600,-0.00284851,-0.01319003,-0.00453433,-0.01808000
14322,20010607,S,-0.01308000,0.00500000,-0.01808000,0.00707377,0.00704003,0.01875740,0.01050000
14322,20010608,S,0.00150000,-0.00900000,0.01050000,0.00386855,0.01921714,0.03715223,0.01149600
14322,20010611,S,0.00349600,-0.00800000,0.01149600,0.02019646,0.01670227,0.00324125,-0.00174600
14322,20010612,S,-0.00074600,0.00100000,-0.00174600,0.00669595,-0.00080086,-0.00418828,-0.00294400
14322,20010613,S,-0.01394400,-0.01100000,-0.00294400,0.00941871,0.03078484,0.01826387,0.01421200
14322,20010614,S,-0.00378800,-0.01800000,0.01421200,-0.00269616,0.00672349,0.01354501,-0.01401100
14322,20010615,S,-0.01901100,-0.00500000,-0.01401100,0.01895746,0.01414023,0.03276400,0.01921200
14322,20010618,S,0.01421200,-0.00500000,0.01921200,0.01080747,0.02166127,0.03765619,0.00591700
14322,20010619,S,0.00891700,0.00300000,0.00591700,0.02481564,0.02443593,0.02309316,-0.00066700
14322,20010620,S,0.00833300,0.00900000,-0.00066700,0.05199882,0.05675464,0.08717189,0.04584900
14322,20010621,S,0.05684900,0.01100000,0.04584900,0.04337347,0.06992874,0.07435489,-0.00166400
14322,20010622,S,-0.01066400,-0.00900000,-0.00166400,0.02439452,0.03009264,0.04364032,-0.01819200
14322,20010625,S,-0.02419200,-0.00600000,-0.01819200,-0.02218455,0.02114498,0.04257299,-0.00266400
14322,20010626,S,-0.00466400,-0.00200000,-0.00266400,-0.01028619,0.03235719,0.05679221,0.01067200
14322,20010627,S,0.00567200,-0.00500000,0.01067200,0.02600177,0.00535336,0.06190832,0.01791700
14322,20010628,S,0.02991700,0.01200000,0.01791700,0.03747052,0.01551517,0.08651965,0.00838100
14322,20010629,S,0.00738100,-0.00100000,0.00838100,0.03064324,0.03881298,0.07079907,0.00370800
14322,20010702,S,0.01370800,0.01000000,0.00370800,0.01493194,0.04448551,0.06699280,0.00269900
14322,20010703,S,0.00069900,-0.00200000,0.00269900,-0.01006603,0.01597792,0.04889610,-0.01619200
