PERMNO,date,TICKER,C2C,indexC2C,C2CindexAdj,C2CindexAdjFwd3Days,C2CindexAdjFwd5Days,C2CindexAdjFwd10Days,C2CindexAdjFwd1Day
59440,20010102,SAFC,-0.02471500,-0.02800000,0.00328500,,,,-0.03846000
59440,20010103,SAFC,0.01154000,0.05000000,-0.03846000,-0.12860246,,,-0.09621200
59440,20010104,SAFC,-0.10721200,-0.01100000,-0.09621200,-0.09258513,,,0.04346700
59440,20010105,SAFC,0.01746700,-0.02600000,0.04346700,-0.05102772,-0.08308490,,0.00414600
59440,20010108,SAFC,0.00214600,-0.00200000,0.00414600,0.05899391,-0.07882558,,0.01098900
59440,20010109,SAFC,0.01498900,0.00400000,0.01098900,0.01373912,-0.04308278,,-0.00156100
59440,20010110,SAFC,0.00843900,0.01000000,-0.00156100,-0.02364564,0.02463917,,-0.03249000
59440,20010111,SAFC,-0.02249000,0.01000000,-0.03249000,-0.20385294,-0.19196517,,-0.17217000
59440,20010112,SAFC,-0.17817000,-0.00600000,-0.17217000,-0.21080048,-0.20615645,-0.27023554,-0.01120800
59440,20010116,SAFC,-0.00520800,0.00600000,-0.01120800,-0.20153514,-0.23307340,-0.29840749,-0.02294200
59440,20010117,SAFC,-0.02094200,0.00200000,-0.02294200,-0.06379040,-0.25627675,-0.28300149,-0.03004300
59440,20010118,SAFC,-0.01604300,0.01400000,-0.03004300,-0.03814131,-0.21577894,-0.19520370,0.01487000
59440,20010119,SAFC,0.01087000,-0.00400000,0.01487000,0.03617879,0.00084510,-0.19473101,0.05174700
59440,20010122,SAFC,0.05174700,0.00000000,0.05174700,0.09703081,0.04032633,-0.17834857,0.02725600
59440,20010123,SAFC,0.04025600,0.01300000,0.02725600,0.05922992,0.04337647,-0.20494121,-0.02019900
59440,20010124,SAFC,-0.01719900,0.00300000,-0.02019900,0.00118220,0.06917254,-0.20479471,-0.00500000
59440,20010125,SAFC,-0.01000000,-0.00500000,-0.00500000,-0.04267204,0.03407398,-0.19057940,-0.01820200
59440,20010126,SAFC,-0.02020200,-0.00200000,-0.01820200,-0.02246095,-0.01663788,-0.01609340,0.00073200
59440,20010129,SAFC,0.00773200,0.00700000,0.00073200,-0.01959657,-0.04437960,-0.00655521,-0.00188500
59440,20010130,SAFC,0.00511500,0.00700000,-0.00188500,0.02296350,-0.00091865,0.04243382,0.02381200
59440,20010131,SAFC,0.01781200,-0.00600000,0.02381200,-0.00084742,-0.01855388,0.04996635,-0.02250000
59440,20010201,SAFC,-0.01750000,0.00500000,-0.02250000,0.02310186,0.02225818,0.05714583,0.02208900
59440,20010202,SAFC,0.00508900,-0.01700000,0.02208900,0.00813319,0.03020115,0.01366350,0.00865800
59440,20010205,SAFC,0.01265800,0.00400000,0.00865800,0.05320958,0.05422441,0.00869217,0.02200000
59440,20010206,SAFC,0.02000000,-0.00200000,0.02200000,0.04399845,0.04303600,0.04213394,0.01290200
59440,20010207,SAFC,0.00490200,-0.00800000,0.01290200,0.05342396,0.08476332,0.06610138,0.01819500
59440,20010208,SAFC,0.01219500,-0.00600000,0.01819500,0.03657441,0.06786956,0.09079950,0.00577100
59440,20010209,SAFC,-0.00722900,-0.01300000,0.00577100,0.02178332,0.05706181,0.08806112,-0.00229100
59440,20010212,SAFC,0.00970900,0.01200000,-0.00229100,0.02219360,0.05336753,0.10832987,0.01861500
59440,20010213,SAFC,0.00961500,-0.00900000,0.01861500,0.01367663,0.03756430,0.08076249,-0.00276200
59440,20010214,SAFC,-0.00476200,-0.00200000,-0.00276200,-0.01616100,-0.01264500,0.07105257,-0.03192300
59440,20010215,SAFC,-0.02392300,0.00800000,-0.03192300,-0.04163213,-0.02613215,0.03991534,-0.00796100
59440,20010216,SAFC,-0.02696100,-0.01900000,-0.00796100,-0.06055385,-0.04549731,0.00753989,-0.02330200
59440,20010220,SAFC,-0.04030200,-0.01700000,-0.02330200,-0.05629485,-0.08737560,-0.03915760,-0.02824400
59440,20010221,SAFC,-0.04724400,-0.01900000,-0.02824400,-0.02284764,-0.05931694,-0.02472581,0.02954800
59440,20010222,SAFC,0.02754800,-0.00200000,0.02954800,-0.00728491,-0.03648374,-0.04773499,-0.00740500
59440,20010223,SAFC,-0.01340500,-0.00600000,-0.00740500,0.03520016,-0.01822290,-0.04298295,0.01289100
59440,20010226,SAFC,0.02989100,0.01700000,0.01289100,0.01394508,0.01361660,-0.03219782,0.00866000
59440,20010227,SAFC,0.00066000,-0.00800000,0.00866000,-0.04908717,-0.02811614,-0.11052210,-0.06839900
59440,20010228,SAFC,-0.08239900,-0.01400000,-0.06839900,-0.02922111,-0.02461229,-0.08067220,0.03348300
59440,20010301,SAFC,0.03448300,0.00100000,0.03348300,-0.01863758,0.00208836,-0.03422653,0.01988900
59440,20010302,SAFC,0.01388900,-0.00600000,0.01988900,0.05650728,-0.00807783,-0.02555279,0.00221900
59440,20010305,SAFC,0.00821900,0.00600000,0.00221900,0.05670261,0.01570500,0.02920616,0.03347800
59440,20010306,SAFC,0.04347800,0.01000000,0.03347800,0.04633628,0.10364990,0.07077162,0.00962500
59440,20010307,SAFC,0.01562500,0.00600000,0.00962500,0.07158143,0.09583287,0.06743622,0.02620500
59440,20010308,SAFC,0.02820500,0.00200000,0.02620500,0.05885461,0.09729390,0.09858625,0.02250600
59440,20010309,SAFC,-0.00249400,-0.02500000,0.02250600,0.08813545,0.13428220,0.12271136,0.04050000
59440,20010312,SAFC,-0.00250000,-0.04300000,0.04050000,0.02050962,0.05575719,0.07144847,-0.04256900
59440,20010313,SAFC,-0.02756900,0.01500000,-0.04256900,0.00640039,0.05263078,0.15478555,0.00795900
59440,20010314,SAFC,-0.01804100,-0.02600000,0.00795900,0.01548371,0.07700563,0.17470686,0.05174300
59440,20010315,SAFC,0.05774300,0.00600000,0.05174300,0.08872274,0.08475985,0.18363744,0.02992600
59440,20010316,SAFC,0.00992600,-0.02000000,0.02992600,0.05149281,0.01532496,0.14984998,-0.03028500
59440,20010319,SAFC,-0.01228500,0.01800000,-0.03028500,0.03871033,0.09747599,0.15168764,0.03892500
59440,20010320,SAFC,0.01492500,-0.02400000,0.03892500,0.00711668,0.08796161,0.13655764,-0.00160800
59440,20010321,SAFC,-0.01960800,-0.01800000,-0.00160800,0.03047583,0.03028472,0.10377173,-0.00600000
59440,20010322,SAFC,-0.01000000,-0.00400000,-0.00600000,0.02197425,0.03089584,0.11545191,0.03050500
