PERMNO,date,TICKER,C2C,indexC2C,C2CindexAdj,C2CindexAdjFwd3Days,C2CindexAdjFwd5Days,C2CindexAdjFwd10Days,C2CindexAdjFwd1Day
14277,20010102,SLB,0.02267400,-0.02800000,0.05067400,,,,-0.07446500
14277,20010103,SLB,-0.02446500,0.05000000,-0.07446500,-0.03752047,,,-0.01486200
14277,20010104,SLB,-0.02586200,-0.01100000,-0.01486200,-0.07261281,,,0.01393200
14277,20010105,SLB,-0.01206800,-0.02600000,0.01393200,0.00415721,-0.01791164,,0.00525700
14277,20010108,SLB,0.00325700,-0.00200000,0.00525700,0.01762302,-0.06927628,,-0.00156500
14277,20010109,SLB,0.00243500,0.00400000,-0.00156500,0.00753149,0.00633346,,0.00376500
14277,20010110,SLB,0.01376500,0.01000000,0.00376500,0.02046200,0.03984045,,0.01795500
14277,20010111,SLB,0.02795500,0.01000000,0.01795500,0.03622253,0.04018879,,0.01377000
14277,20010112,SLB,0.00777000,-0.00600000,0.01377000,0.01958882,0.02212219,0.00296515,-0.01216800
14277,20010116,SLB,-0.00616800,0.00600000,-0.01216800,-0.05091534,-0.03101105,-0.10008780,-0.05242700
14277,20010117,SLB,-0.05042700,0.00200000,-0.05242700,-0.12389817,-0.09564112,-0.08734305,-0.06220300
14277,20010118,SLB,-0.04820300,0.01400000,-0.06220300,-0.09730221,-0.09584444,-0.05892140,0.01601700
14277,20010119,SLB,0.01201700,-0.00400000,0.01601700,-0.04752610,-0.10978652,-0.07504158,-0.00084800
14277,20010122,SLB,-0.00084800,0.00000000,-0.00084800,0.00564475,-0.10812979,-0.09045460,-0.00960400
14277,20010123,SLB,0.00339600,0.01300000,-0.00960400,0.00855909,-0.03921405,-0.07068650,0.01899700
14277,20010124,SLB,0.02199700,0.00300000,0.01899700,0.06119837,0.07720623,-0.02446128,0.05053000
14277,20010125,SLB,0.04553000,-0.00500000,0.05053000,0.05054264,0.04025836,-0.05982100,-0.01858600
14277,20010126,SLB,-0.02058600,-0.00200000,-0.01858600,0.00176115,0.01123431,-0.10133949,-0.02876200
14277,20010129,SLB,-0.02176200,0.00700000,-0.02876200,-0.05556787,0.01201557,-0.09819095,-0.00871900
14277,20010130,SLB,-0.00171900,0.00700000,-0.00871900,-0.01459299,0.01630019,-0.02316296,0.02321900
14277,20010131,SLB,0.01721900,-0.00600000,0.02321900,-0.00754928,-0.05439857,0.01907920,-0.02179700
14277,20010201,SLB,-0.01679700,0.00500000,-0.02179700,0.03787983,0.00017458,0.04027177,0.03673200
14277,20010202,SLB,0.01973200,-0.01700000,0.03673200,0.02388808,0.03865196,0.05085822,0.00911700
14277,20010205,SLB,0.01311700,0.00400000,0.00911700,0.06510088,0.06625474,0.07953480,0.01840800
14277,20010206,SLB,0.01640800,-0.00200000,0.01840800,0.03407533,0.04876414,0.06561002,0.00636000
14277,20010207,SLB,-0.00164000,-0.00800000,0.00636000,0.02079472,0.06692373,0.01118513,-0.00372700
14277,20010208,SLB,-0.00972700,-0.00600000,-0.00372700,0.01302308,0.04041572,0.04042260,0.01057600
14277,20010209,SLB,-0.00242400,-0.01300000,0.01057600,-0.12119857,-0.09843690,-0.06354209,-0.12964700
14277,20010212,SLB,-0.11764700,0.01200000,-0.12964700,-0.17316876,-0.16862857,-0.11242591,-0.06317399
14277,20010213,SLB,-0.07217400,-0.00900000,-0.06317399,-0.16405720,-0.15526702,-0.11215424,0.02418100
14277,20010214,SLB,0.02218100,-0.00200000,0.02418100,-0.06577084,-0.17615802,-0.11623548,-0.02618500
14277,20010215,SLB,-0.01818500,0.00800000,-0.02618500,0.02062727,-0.16491621,-0.12748580,0.02289100
14277,20010216,SLB,0.00389100,-0.01900000,0.02289100,0.02379800,-0.01690612,-0.10958705,0.02734900
14277,20010220,SLB,0.01034900,-0.01700000,0.02734900,0.04205624,0.03994508,-0.12822509,-0.00685400
14277,20010221,SLB,-0.02585400,-0.01900000,-0.00685400,0.00846141,0.00524788,-0.14342337,-0.01158600
14277,20010222,SLB,-0.01358600,-0.00200000,-0.01158600,-0.04964833,-0.00174068,-0.16674118,-0.03291700
14277,20010223,SLB,-0.03891700,-0.00600000,-0.03291700,0.01245188,0.03233665,-0.13377257,0.06032100
14277,20010226,SLB,0.07732100,0.01700000,0.06032100,0.02858032,0.00928545,-0.00782855,0.00413300
14277,20010227,SLB,-0.00386700,-0.00800000,0.00413300,0.06758391,0.02031635,0.05956340,0.00390700
14277,20010228,SLB,-0.01009300,-0.01400000,0.00390700,0.00033786,0.02433455,0.02848011,-0.00774500
14277,20010301,SLB,-0.00674500,0.00100000,-0.00774500,0.03446406,0.10005901,0.09200277,0.03884900
14277,20010302,SLB,0.03284900,-0.00600000,0.03884900,0.03793783,0.04538448,0.07728071,0.00669100
14277,20010305,SLB,0.01269100,0.00600000,0.00669100,0.04957491,0.04495020,0.05380496,0.00298500
14277,20010306,SLB,0.01298500,0.01000000,0.00298500,0.03594710,0.06845021,0.08959945,0.02545000
14277,20010307,SLB,0.03145000,0.00600000,0.02545000,0.02312778,0.07101557,0.09679045,-0.00546800
14277,20010308,SLB,-0.00346800,0.00200000,-0.00546800,0.04133523,0.05201603,0.15660657,0.02137500
14277,20010309,SLB,-0.00362500,-0.02500000,0.02137500,0.04757367,0.07661780,0.12160357,0.03252100
14277,20010312,SLB,-0.01047900,-0.04300000,0.03252100,0.01218054,0.03132980,0.07555057,-0.04206300
14277,20010313,SLB,-0.02706300,0.01500000,-0.04206300,0.00136024,0.01645947,0.08113458,0.01012700
14277,20010314,SLB,-0.01587300,-0.02600000,0.01012700,-0.05852185,-0.00512821,0.06031619,-0.02842700
14277,20010315,SLB,-0.02242700,0.00600000,-0.02842700,-0.03507738,-0.04204145,0.00434824,-0.01834100
14277,20010316,SLB,-0.03834100,-0.02000000,-0.01834100,-0.02881828,-0.05882256,0.01563405,0.01892800
14277,20010319,SLB,0.03692800,0.01800000,0.01892800,0.04861622,0.02945134,0.05892954,0.04921300
14277,20010320,SLB,0.02521300,-0.02400000,0.04921300,0.05372829,0.00583473,0.02132151,-0.01366300
14277,20010321,SLB,-0.03166300,-0.01800000,-0.01366300,0.00600712,0.00554260,0.00023119,-0.02838100
14277,20010322,SLB,-0.03238100,-0.00400000,-0.02838100,-0.03221667,0.03509098,-0.01041667,0.01034800
14277,20010323,SLB,0.03034800,0.02000000,0.01034800,-0.01439644,0.02095748,-0.03834385,0.00476200
14277,20010326,SLB,0.01576200,0.01100000,0.00476200,-0.02784772,-0.06956807,-0.03794457,-0.04167400
14277,20010327,SLB,-0.01567400,0.02600000,-0.04167400,-0.04853158,-0.06755558,-0.05937530,-0.01198700
14277,20010328,SLB,-0.03598700,-0.02400000,-0.01198700,-0.09057003,-0.07947709,-0.07043526,-0.04042500
14277,20010329,SLB,-0.04542500,-0.00500000,-0.04042500,-0.06444617,-0.10119964,-0.06812497,-0.01411500
14277,20010330,SLB,-0.00311500,0.01100000,-0.01411500,-0.08108989,-0.12909797,-0.10893197,-0.02879200
14277,20010402,SLB,-0.04079200,-0.01200000,-0.02879200,-0.04710163,-0.09245515,-0.15443161,-0.00617400
14277,20010403,SLB,-0.04017400,-0.03400000,-0.00617400,-0.01368765,-0.06473550,-0.12687208,0.02166500
14277,20010404,SLB,0.01866500,-0.00300000,0.02166500,0.02582721,-0.01818508,-0.09706148,0.01078400
14277,20010405,SLB,0.05478400,0.04400000,0.01078400,0.07252035,0.03235588,-0.06884521,0.03684500
14277,20010406,SLB,0.01684500,-0.02000000,0.03684500,0.08474100,0.09795214,-0.04338621,0.03255200
14277,20010409,SLB,0.04055200,0.00800000,0.03255200,0.06813385,0.10729907,-0.00700694,-0.00378300
14277,20010410,SLB,0.02321700,0.02700000,-0.00378300,0.00533576,0.05679316,-0.01774152,-0.02263500
14277,20010411,SLB,-0.02463500,-0.00200000,-0.02263500,-0.02522922,0.04637763,0.02704728,0.00211500
14277,20010412,SLB,0.01711500,0.01500000,0.00211500,-0.00263767,0.02697907,0.06096623,0.01835700
14277,20010416,SLB,0.01535700,-0.00300000,0.01835700,0.01880245,-0.00876554,0.09304684,-0.00211600
14277,20010417,SLB,0.00788400,0.01000000,-0.00211600,-0.04771262,-0.06921236,0.03320401,-0.06326600
14277,20010418,SLB,-0.02426600,0.03900000,-0.06326600,-0.11049874,-0.09202621,-0.04140640,-0.04441400
14277,20010419,SLB,-0.03141400,0.01300000,-0.04441400,-0.07288857,-0.05749382,-0.01304047,0.03552000
14277,20010420,SLB,0.02652000,-0.00900000,0.03552000,0.02949958,-0.03621549,-0.01084506,0.03919000
14277,20010423,SLB,0.02419000,-0.01500000,0.03919000,0.07662579,-0.03118503,-0.04129274,0.00219900
14277,20010424,SLB,-0.00980100,-0.01200000,0.00219900,0.04810985,0.03833236,-0.03072750,0.00639200
14277,20010425,SLB,0.02239200,0.01600000,0.00639200,0.07343555,0.15308698,0.05997093,0.06403700
14277,20010426,SLB,0.06903700,0.00500000,0.06403700,0.03451150,0.07746296,0.01891777,-0.03519000
14277,20010427,SLB,-0.02019000,0.01500000,-0.03519000,0.03520014,0.04434486,0.00743710,0.00754600
14277,20010430,SLB,0.00454600,-0.00300000,0.00754600,-0.06279048,0.00514450,-0.02761267,-0.03526700
14277,20010501,SLB,-0.02126700,0.01400000,-0.03526700,-0.07924162,-0.05529606,-0.01743606,-0.05231800
14277,20010502,SLB,-0.05131800,0.00100000,-0.05231800,-0.06886933,-0.09547048,0.04625446,0.01759900
14277,20010503,SLB,0.00259900,-0.01500000,0.01759900,-0.02968580,-0.05695636,0.01643707,0.00592900
14277,20010504,SLB,0.01992900,0.01400000,0.00592900,0.01636530,-0.07103496,-0.03080245,-0.00721400
14277,20010507,SLB,-0.00921400,-0.00200000,-0.00721400,-0.00849031,-0.04325953,-0.04042500,-0.00697900
14277,20010508,SLB,-0.00897900,-0.00200000,-0.00697900,0.00797962,0.03175973,-0.02375955,0.02244400
14277,20010509,SLB,0.01844400,-0.00400000,0.02244400,0.00984005,0.00851167,-0.08823555,-0.00540100
14277,20010510,SLB,-0.00540100,-0.00000000,-0.00540100,0.01407183,-0.00012842,-0.05617232,-0.00270100
14277,20010511,SLB,-0.01070100,-0.00800000,-0.00270100,0.01773294,0.03311232,-0.03910504,0.02622200
14277,20010514,SLB,0.02922200,0.00300000,0.02622200,0.05485686,0.07242509,0.02611735,0.03105900
14277,20010515,SLB,0.03105900,0.00000000,0.03105900,0.03785449,0.02895289,0.06209161,-0.02069700
14277,20010516,SLB,0.00730300,0.02800000,-0.02069700,0.03542621,0.06002572,0.06962345,0.02388400
14277,20010517,SLB,0.02688400,0.00300000,0.02388400,0.00842103,0.06911366,0.06787155,0.00494200
14277,20010518,SLB,0.00794200,0.00300000,0.00494200,0.01172632,0.02300175,0.05830261,-0.01716700
14277,20010521,SLB,-0.00116700,0.01600000,-0.01716700,-0.02687478,-0.02444679,0.04987325,-0.01453100
14277,20010522,SLB,-0.01753100,-0.00300000,-0.01453100,-0.04825441,-0.02100933,0.00693469,-0.01745700
14277,20010523,SLB,-0.03345700,-0.01600000,-0.01745700,-0.05119287,-0.06362495,-0.00890237,-0.02069200
14277,20010524,SLB,-0.01769200,0.00300000,-0.02069200,-0.02254293,-0.05296411,0.00966706,0.01528900
14277,20010525,SLB,0.00328900,-0.01200000,0.01528900,-0.00842018,-0.03891172,-0.01959750,-0.00308300
14277,20010529,SLB,-0.01108300,-0.00800000,-0.00308300,0.01178015,-0.02498972,-0.04883682,-0.00010100
14277,20010530,SLB,-0.01610100,-0.01600000,-0.00010100,0.00193634,-0.00341910,-0.02380104,0.00523000
14277,20010531,SLB,0.01123000,0.00600000,0.00523000,-0.00207242,0.00994328,-0.05263808,-0.00717300
