PERMNO,date,TICKER,C2C,indexC2C,C2CindexAdj,C2CindexAdjFwd3Days,C2CindexAdjFwd5Days,C2CindexAdjFwd10Days,C2CindexAdjFwd1Day
75857,20010102,SLR,-0.08967600,-0.02800000,-0.06167600,,,,0.09387600
75857,20010103,SLR,0.14387600,0.05000000,0.09387600,0.03575940,,,0.01468300
75857,20010104,SLR,0.00368300,-0.01100000,0.01468300,0.09127181,,,-0.01351500
75857,20010105,SLR,-0.03951500,-0.02600000,-0.01351500,0.01456091,0.03506022,,0.01434200
75857,20010108,SLR,0.01234200,-0.00200000,0.01434200,0.03732480,0.14985314,,0.03809000
75857,20010109,SLR,0.04209000,0.00400000,0.03809000,0.04734714,0.04638897,,-0.00582200
75857,20010110,SLR,0.00417800,0.01000000,-0.00582200,0.09686451,0.09447937,,0.06129000
75857,20010111,SLR,0.07129000,0.01000000,0.06129000,0.04173099,0.09772392,,-0.01264300
75857,20010112,SLR,-0.01864300,-0.00600000,-0.01264300,0.03830335,0.07280907,0.10989700,-0.00890200
75857,20010116,SLR,-0.00290200,0.00600000,-0.00890200,0.01279600,0.06954076,0.23406344,0.03504700
75857,20010117,SLR,0.03704700,0.00200000,0.03504700,0.05676778,0.10810711,0.15800605,0.02937800
75857,20010118,SLR,0.04337800,0.01400000,0.02937800,0.09811767,0.07429740,0.17659311,0.02992300
75857,20010119,SLR,0.02592300,-0.00400000,0.02992300,0.02960610,0.05689815,0.16285523,-0.02884400
75857,20010122,SLR,-0.02884400,0.00000000,-0.02884400,-0.02068697,0.04421066,0.12313499,-0.02110000
75857,20010123,SLR,-0.00810000,0.01300000,-0.02110000,-0.04702839,0.01111113,0.08348814,0.00293900
75857,20010124,SLR,0.00593900,0.00300000,0.00293900,-0.04139539,-0.04090860,0.06245375,-0.02329000
75857,20010125,SLR,-0.02829000,-0.00500000,-0.02329000,-0.02593203,-0.07449102,-0.00595262,-0.00559500
75857,20010126,SLR,-0.00759500,-0.00200000,-0.00559500,-0.03809121,-0.05625446,-0.00266134,-0.00955100
75857,20010129,SLR,-0.00255100,0.00700000,-0.00955100,-0.00138788,-0.02210711,0.02101216,0.01397200
75857,20010130,SLR,0.02097200,0.00700000,0.01397200,0.00861766,-0.02059830,-0.01024433,0.00424700
75857,20010131,SLR,-0.00175300,-0.00600000,0.00424700,0.01245208,-0.00287678,-0.04413670,-0.00575300
75857,20010201,SLR,-0.00075300,0.00500000,-0.00575300,0.01625902,0.02079842,-0.05474192,0.01775300
75857,20010202,SLR,0.00075300,-0.01700000,0.01775300,-0.03954607,-0.02222859,-0.07718415,-0.05167900
75857,20010205,SLR,-0.04767900,0.00400000,-0.05167900,-0.07084490,-0.07211993,-0.09299759,-0.03884300
75857,20010206,SLR,-0.04084300,-0.00200000,-0.03884300,-0.17967193,-0.16766012,-0.18458748,-0.10051600
75857,20010207,SLR,-0.10851600,-0.00800000,-0.10051600,-0.14744843,-0.17387805,-0.17808073,-0.01557200
75857,20010208,SLR,-0.02157200,-0.00600000,-0.01557200,-0.14218516,-0.21607118,-0.19937207,-0.03424400
75857,20010209,SLR,-0.04724400,-0.01300000,-0.03424400,-0.04955360,-0.17635011,-0.19301267,-0.00009900
75857,20010212,SLR,0.01190100,0.01200000,-0.00009900,0.00542111,-0.10791196,-0.16878890,0.04134200
75857,20010213,SLR,0.03234200,-0.00900000,0.04134200,0.06985735,0.01620306,-0.15143921,0.02700000
75857,20010214,SLR,0.02500000,-0.00200000,0.02700000,0.12035083,0.08138708,-0.10825087,0.04788100
75857,20010215,SLR,0.05588100,0.00800000,0.04788100,0.00616736,0.04763054,-0.17769471,-0.06345600
